# timestamp(s) tx ty tz qx qy qz qw
1403638539.281952381 0.043236580 -0.001859566 0.007077677 0.816582053 -0.009543853 0.577041631 0.011208086
1403638539.330574036 0.022703013 -0.001714854 0.024361058 0.822305137 0.003573926 0.569029593 0.002609807
1403638539.380431175 0.029549143 0.000203734 0.036844110 0.823399348 0.003894814 0.567441691 0.002875840
1403638539.430451155 0.036833107 0.001012170 0.050227435 0.824301828 0.004525164 0.566123490 0.003195994
1403638539.480360746 0.044654289 0.004674125 0.065040655 0.825573438 0.004169868 0.564274636 0.002290253
1403638539.529987097 0.053256313 0.005597530 0.081305852 0.826196455 0.004764445 0.563356354 0.002517197
1403638539.579607725 0.062166886 0.006661845 0.098184085 0.826369310 0.005292402 0.563097121 0.002717699
1403638539.629434586 0.071078182 0.007798631 0.113538543 0.826838788 0.005364805 0.562409254 0.002160796
1403638539.678868294 0.081093371 0.007494230 0.128106805 0.827686199 0.004987291 0.561167911 0.001122084
1403638539.729177713 0.087787346 0.010240712 0.135082717 0.827568382 0.005667537 0.561330185 0.002622334
1403638539.779884577 0.088724707 0.012516363 0.130675405 0.826122052 0.006615917 0.563448631 0.002055448
1403638539.830056429 0.095869972 0.013924486 0.132914489 0.826638875 0.006991255 0.562685813 0.001992227
1403638539.879816055 0.102983166 0.015405416 0.134295397 0.828108925 0.007238280 0.560517925 0.001694383
1403638539.929597616 0.109904214 0.012948815 0.133935037 0.829376968 0.008086829 0.558630488 0.000652296
1403638539.979709148 0.117113427 0.012408433 0.134372698 -0.831418215 -0.007774764 -0.555592723 0.000174141
1403638540.029923439 0.126015220 0.012707705 0.135613423 -0.834074743 -0.007574665 -0.551599295 0.000406966
1403638540.079716444 0.136677549 0.010382435 0.140594989 -0.836987264 -0.007980689 -0.547163317 0.000965280
1403638540.129900217 0.153801599 0.013941690 0.150087011 -0.839419872 -0.007818222 -0.543426920 0.000580490
1403638540.180059433 0.168833967 0.015593697 0.153898354 -0.840388432 -0.008512215 -0.541917692 0.000204268
1403638540.229465246 0.189307367 0.015448281 0.159496583 -0.838940533 -0.009009136 -0.544148344 0.000444042
1403638540.279042006 0.208544597 0.016700340 0.165608418 -0.835952228 -0.009352640 -0.548722227 0.000563601
1403638540.328903913 0.229738076 0.018534159 0.170990333 -0.832716164 -0.009732333 -0.553614283 0.000544941
1403638540.378831387 0.251779927 0.019826480 0.176428420 -0.829724607 -0.011057708 -0.558063092 0.000623615
1403638540.428874254 0.274390174 0.021773139 0.181159724 -0.827856700 -0.013248964 -0.560779876 0.001918163
1403638540.478915453 0.297546674 0.024210127 0.185116709 -0.826961205 -0.016635107 -0.561996358 0.004304828
1403638540.528967857 0.320724397 0.026732296 0.188330471 -0.826720664 -0.021512023 -0.562149001 0.007660082
1403638540.579005480 0.344776540 0.029964606 0.191451585 -0.826336842 -0.027817874 -0.562364867 0.011804455
1403638540.628993034 0.369274753 0.033932943 0.194533515 -0.825962610 -0.035095223 -0.562386936 0.016583918
1403638540.678963184 0.394316874 0.038408441 0.197500015 -0.825363933 -0.044685252 -0.562467236 0.020204329
1403638540.728896618 0.419062382 0.044108911 0.201317830 -0.823754868 -0.056219932 -0.563653726 0.023700500
1403638540.778753281 0.444308836 0.050950567 0.204091352 -0.823056061 -0.068286368 -0.563138932 0.028111123
1403638540.828648090 0.471031720 0.058914402 0.206894090 -0.821600063 -0.082186815 -0.563176386 0.032419485
1403638540.878614902 0.497844087 0.068007952 0.208858638 -0.820630647 -0.095874332 -0.562061703 0.038211184
