# timestamp(s) tx ty tz qx qy qz qw
1403715528.859530210 0.006447807 0.018347567 0.049698904 0.816245784 -0.000548658 0.577594920 0.011252856
1403715528.911250114 0.037600307 0.056476298 0.111511111 0.818617762 -0.004653656 0.574232905 0.009993736
1403715528.961242199 0.037783467 0.057848913 0.130611879 0.818535653 -0.003736668 0.574324436 0.011698920
1403715529.011242151 0.043795959 0.063925248 0.145613201 0.819431469 -0.002119718 0.573035096 0.012583847
1403715529.060601234 0.052357081 0.071659568 0.158278808 0.819849938 -0.001133192 0.572501359 0.009326792
1403715529.110778809 0.057401899 0.076153038 0.174830403 0.818258432 0.002547131 0.574789976 0.007945755
1403715529.163186073 0.059694833 0.083496241 0.192196431 0.819673149 0.007868085 0.572764624 0.003834934
1403715529.213186026 0.065401580 0.093672498 0.214841084 -0.820917329 -0.014033954 -0.570873122 0.001290332
1403715529.262040615 0.069217380 0.101566411 0.229856716 -0.823273262 -0.021632705 -0.567209079 0.005198280
1403715529.311616182 0.077726991 0.112744012 0.249100431 -0.825470618 -0.030377132 -0.563565481 0.008332848
1403715529.363026142 0.078637036 0.121868059 0.272153417 -0.826489403 -0.039669701 -0.561350366 0.015078078
1403715529.413239241 0.086062336 0.132751337 0.291404799 -0.826645494 -0.049465085 -0.560170927 0.020468639
1403715529.463933945 0.089896596 0.138595322 0.285330439 -0.826767615 -0.056985598 -0.559120657 0.024331935
1403715529.513571978 0.100349242 0.149112948 0.294459121 -0.825652879 -0.062679949 -0.559994920 0.027825105
1403715529.563554287 0.108478575 0.158803829 0.302334156 -0.824700749 -0.068269697 -0.560529332 0.031855784
1403715529.612761974 0.118254620 0.162599677 0.303744800 -0.823821595 -0.074278199 -0.560784163 0.036357268
1403715529.662447214 0.127901216 0.172822000 0.311041915 -0.822465429 -0.078281578 -0.562039895 0.039163356
1403715529.712305546 0.135271603 0.182522360 0.317942500 -0.821066465 -0.083307990 -0.563266792 0.040498884
1403715529.762144566 0.144913011 0.194949512 0.329876284 -0.820541900 -0.087288377 -0.563310224 0.042110809
1403715529.812284946 0.152263436 0.208064587 0.337166118 -0.819138974 -0.089602678 -0.564798597 0.044556096
1403715529.862244844 0.162705261 0.221305098 0.346958072 -0.818489337 -0.091728850 -0.565260392 0.046278634
1403715529.912537098 0.170961732 0.235143555 0.359236759 -0.817156512 -0.092249869 -0.566884449 0.048859168
1403715529.962652445 0.178004082 0.249215734 0.368901871 -0.815157906 -0.093067881 -0.569431739 0.051024045
1403715530.012810469 0.188183765 0.263865665 0.382254194 -0.812700665 -0.094686255 -0.572678774 0.050903482
