# timestamp(s) tx ty tz qx qy qz qw
1403715893.789431572 -0.027870391 0.021489220 0.088040409 0.803450237 0.005961701 0.595281400 0.008498782
1403715893.835382700 -0.056774047 0.033356263 0.090826456 0.812776885 0.000929494 0.582528806 0.007284302
1403715893.883766413 -0.062971921 0.037003235 0.098422123 0.817060612 0.000476927 0.576507268 0.007148387
1403715893.932621479 -0.067782306 0.040198061 0.106864549 0.819984138 0.000156677 0.572344310 0.006926776
1403715893.982409954 -0.070114714 0.043499727 0.115488234 0.823709458 0.000034216 0.566970841 0.006840601
1403715894.032268763 -0.071552656 0.045407475 0.122143949 0.827829124 -0.000068698 0.560948177 0.006006617
1403715894.081840992 -0.072490665 0.048489379 0.129063456 0.832498374 0.000191426 0.553995542 0.005946443
1403715894.131721497 -0.073145434 0.048787787 0.132878038 0.833038823 0.003227462 0.553172879 0.005972320
1403715894.181830406 -0.072958994 0.051957336 0.141908998 0.830721650 0.008167970 0.556519372 0.011000598
1403715894.231458664 -0.072636528 0.058287881 0.156177212 0.827625927 0.011120219 0.560915194 0.016905932
1403715894.281745911 -0.071676333 0.063558662 0.169035949 0.823392303 0.016151566 0.566832836 0.021558693
1403715894.331745386 -0.070738872 0.073019395 0.187366865 0.821355276 0.019064456 0.569458262 0.027006372
1403715894.382359028 -0.069310956 0.085424543 0.207216610 0.818570195 0.020548299 0.573116603 0.032526341
1403715894.432948828 -0.068481258 0.097092053 0.224092825 0.817178950 0.021532632 0.574952195 0.034422129
1403715894.483084202 -0.069510483 0.111072043 0.239053892 0.818547606 0.020515151 0.573038880 0.034429451
1403715894.533018827 -0.071082150 0.126781807 0.249310804 0.821034356 0.018582469 0.569622703 0.032973558
1403715894.582981110 -0.071922885 0.141058897 0.256444588 0.822897548 0.017482855 0.567050626 0.031425512
1403715894.632936239 -0.073388203 0.159646278 0.264029827 0.824574826 0.015818989 0.564737060 0.029969483
1403715894.682839394 -0.075219826 0.180255120 0.271140053 0.826496742 0.013123212 0.562144735 0.026911205
