# timestamp(s) tx ty tz qx qy qz qw
1413393217.155760527 -0.061405020 -0.009308655 0.050731763 0.800194927 -0.003091318 0.599449769 0.018398300
1413393217.206009626 -0.029305712 0.007140072 0.070865848 0.802593163 -0.003807082 0.596236019 0.018229920
1413393217.255807638 -0.032547496 0.011862482 0.079309943 0.802573148 -0.003829123 0.596206582 0.019984767
1413393217.305674791 -0.037009946 0.017223966 0.087368577 0.803071577 -0.003933812 0.595488881 0.021296957
1413393217.355556488 -0.043117177 0.023536880 0.095791025 0.803830279 -0.004180125 0.594468503 0.021133119
1413393217.405611992 -0.050173958 0.030519523 0.104012991 0.804666677 -0.004525503 0.593306957 0.021861256
1413393217.455573320 -0.057828034 0.038633512 0.111754908 0.805561477 -0.004881167 0.592068155 0.022409380
1413393217.505641699 -0.066395047 0.047105741 0.118228617 0.805825632 -0.004618775 0.591711927 0.022376605
1413393217.555531263 -0.075888574 0.058549360 0.125679014 0.806054448 -0.005782806 0.591361582 0.023114188
1413393217.605767250 -0.086383241 0.070127100 0.132240143 0.806170192 -0.005555664 0.591180809 0.023748848
1413393217.655671597 -0.097839494 0.082057767 0.137307215 0.806325190 -0.005389351 0.590979456 0.023535634
1413393217.706210136 -0.109248705 0.093583772 0.143189616 0.806261973 -0.005467698 0.591046851 0.023986583
1413393217.756154537 -0.121604822 0.106095274 0.150575939 0.806004879 -0.005318354 0.591422847 0.023385158
1413393217.806429863 -0.135928699 0.122764773 0.164289272 0.806542828 -0.004818124 0.590694360 0.023358616
1413393217.856437206 -0.147409395 0.136378498 0.175779312 0.806609145 -0.005750226 0.590624202 0.022620228
1413393217.906502485 -0.158939334 0.149674564 0.190356825 0.806587986 -0.005568787 0.590683010 0.021872171
1413393217.956365108 -0.170097039 0.164437692 0.206115106 0.806022978 -0.005753588 0.591462366 0.021589924
1413393218.006500959 -0.181177281 0.179708271 0.221747415 0.806200976 -0.006619362 0.591248772 0.020519767
1413393218.056637764 -0.192233791 0.195784278 0.234626468 0.805986410 -0.008502352 0.591612359 0.017562273
1413393218.106617689 -0.202429945 0.212471698 0.246294740 0.806248940 -0.011137689 0.591292785 0.014541003
1413393218.156774282 -0.213544956 0.228233814 0.256152177 0.806304621 -0.014832013 0.591243746 0.009148905
1413393218.206929922 -0.224915883 0.243689811 0.263269033 0.806075283 -0.018372897 0.591520556 0.002916666
1413393218.256764174 -0.237005812 0.259216441 0.267404634 -0.806614754 0.023168778 -0.590614772 0.003168095
1413393218.306786776 -0.249165737 0.274505673 0.269615776 -0.807543861 0.026728830 -0.589150106 0.007786898
1413393218.356380701 -0.262444848 0.289505437 0.269947819 -0.807735476 0.026331949 -0.588904496 0.007843738
1413393218.405838728 -0.276325495 0.307313405 0.268129214 -0.807376605 0.024601711 -0.589518395 0.002415527
1413393218.456006765 -0.291491790 0.319746996 0.265174789 0.807358797 -0.021179012 0.589673162 0.002963930
1413393218.505973577 -0.307212012 0.330978746 0.261473187 0.806937145 -0.017256707 0.590329058 0.008139575
1413393218.556037903 -0.323796466 0.342371938 0.258289752 0.806677151 -0.014231908 0.590662324 0.013691078
1413393218.606095552 -0.339702455 0.353918448 0.255592482 0.805938261 -0.011372471 0.591646454 0.016989973
