# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.986132383346558,0.00441,0.00017,0.00088,0.00000,0.00000,0.00235,0.00781
1403637150.037858724594116,0.00440,0.00018,0.00280,0.00000,0.00447,0.00234,0.01420
1403637150.087604522705078,0.00466,0.00025,0.00341,0.00063,0.00000,0.00221,0.01115
1403637150.137282133102417,0.00480,0.00025,0.00082,0.00036,0.00000,0.00236,0.00859
1403637150.187094211578369,0.00458,0.00022,0.00027,0.00034,0.00000,0.00232,0.00773
1403637150.237038612365723,0.00512,0.00024,0.00077,0.00032,0.00001,0.00235,0.00880
1403637150.287057399749756,0.00721,0.00022,0.00078,0.00029,0.00000,0.00223,0.01073
1403637150.337218284606934,0.00804,0.00024,0.00047,0.00057,0.00000,0.00378,0.01310
1403637150.387444257736206,0.00826,0.00024,0.00112,0.00030,0.00000,0.00259,0.01252
1403637150.437514781951904,0.00462,0.00025,0.00138,0.00024,0.00000,0.00242,0.00890
1403637150.487598657608032,0.00458,0.00025,0.00033,0.00021,0.00000,0.00240,0.00776
1403637150.537653923034668,0.00436,0.00029,0.00060,0.00013,0.00052,0.00237,0.00828
1403637150.587610244750977,0.00401,0.00021,0.00061,0.00014,0.00000,0.00250,0.00748
1403637150.637708425521851,0.00717,0.00028,0.00094,0.00010,0.00273,0.00245,0.01368
1403637150.687531709671021,0.00400,0.00021,0.00175,0.00025,0.00313,0.00250,0.01185
1403637150.737458944320679,0.00410,0.00026,0.00084,0.00046,0.00117,0.00244,0.00927
1403637150.787449359893799,0.00417,0.00027,0.00063,0.00053,0.00000,0.00261,0.00821
1403637150.837489366531372,0.00359,0.00028,0.00168,0.00051,0.00168,0.00250,0.01024
1403637150.887579917907715,0.00398,0.00027,0.00083,0.00063,0.00291,0.00250,0.01114
1403637150.937627077102661,0.00406,0.00029,0.00082,0.00096,0.00211,0.00247,0.01071
1403637150.987613916397095,0.00612,0.00030,0.00151,0.00124,0.00100,0.00257,0.01275
1403637151.037662982940674,0.00414,0.00029,0.00079,0.00124,0.00227,0.00259,0.01132
1403637151.087695121765137,0.00442,0.00031,0.00033,0.00145,0.00151,0.00263,0.01065
1403637151.137773752212524,0.00507,0.00030,0.00189,0.00134,0.00617,0.00258,0.01735
1403637151.187900304794312,0.00509,0.00033,0.00107,0.00195,0.00516,0.00270,0.01630
1403637151.237859725952148,0.00438,0.00034,0.00043,0.00239,0.00421,0.00284,0.01458
1403637151.287808418273926,0.00394,0.00033,0.00073,0.00279,0.00182,0.00279,0.01241
1403637151.337760686874390,0.00416,0.00039,0.00210,0.00298,0.00000,0.00268,0.01232
1403637151.387690067291260,0.00435,0.00032,0.00183,0.00243,0.00176,0.00288,0.01357
1403637151.437654733657837,0.00467,0.00037,0.00127,0.00269,0.00188,0.00278,0.01368
1403637151.487641334533691,0.00563,0.00030,0.00057,0.00260,0.00131,0.00292,0.01334
1403637151.537683010101318,0.00429,0.00042,0.00368,0.00271,0.00393,0.00275,0.01777
1403637151.587691068649292,0.00454,0.00036,0.00030,0.00305,0.00015,0.00266,0.01107
1403637151.637691497802734,0.00387,0.00037,0.00119,0.00253,0.00678,0.00282,0.01756
1403637151.687703609466553,0.00378,0.00037,0.00101,0.00271,0.00185,0.00294,0.01265
1403637151.737713336944580,0.00436,0.00034,0.00046,0.00292,0.00123,0.00289,0.01220
1403637151.787724971771240,0.00377,0.00034,0.00046,0.00271,0.00112,0.00288,0.01128
1403637151.837699890136719,0.00359,0.00032,0.00060,0.00286,0.00103,0.00269,0.01110
1403637151.887736797332764,0.00379,0.00033,0.00008,0.00301,0.00233,0.00282,0.01235
1403637151.937761068344116,0.00379,0.00038,0.00056,0.00311,0.00363,0.00286,0.01433
1403637151.987773895263672,0.00345,0.00042,0.00011,0.00380,0.00297,0.00306,0.01380
1403637152.037793397903442,0.00339,0.00042,0.00117,0.00415,0.00109,0.00266,0.01288
1403637152.087821245193481,0.00392,0.00040,0.00371,0.00418,0.00005,0.00321,0.01547
1403637152.137858390808105,0.00349,0.00038,0.00439,0.00420,0.00133,0.00306,0.01685
1403637152.187844038009644,0.00395,0.00038,0.00416,0.00443,0.00006,0.00295,0.01593
1403637152.237863779067993,0.00362,0.00038,0.00164,0.00399,0.00199,0.00338,0.01501
1403637152.287838220596313,0.00541,0.00038,0.00371,0.00398,0.00022,0.00304,0.01674
1403637152.337853908538818,0.00344,0.00042,0.00139,0.00400,0.00106,0.00303,0.01335
