# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987587690353394,0.00948,0.00019,0.00066,0.00000,0.00000,0.00500,0.01533
1403637150.035280466079712,0.00840,0.00019,0.00314,0.00000,0.00258,0.00492,0.01921
1403637150.086657285690308,0.00886,0.00021,0.00293,0.00010,0.00000,0.00499,0.01709
1403637150.136542797088623,0.00932,0.00020,0.00011,0.00009,0.00000,0.00469,0.01442
1403637150.186480522155762,0.00962,0.00021,0.00039,0.00003,0.00000,0.00513,0.01538
1403637150.236487865447998,0.00988,0.00022,0.00063,0.00002,0.00001,0.00496,0.01574
1403637150.286394119262695,0.01211,0.00023,0.00068,0.00000,0.00001,0.00507,0.01810
1403637150.336559057235718,0.01187,0.00021,0.00055,0.00000,0.00000,0.00495,0.01759
1403637150.386833667755127,0.01483,0.00022,0.00088,0.00000,0.00000,0.00521,0.02115
1403637150.437164068222046,0.01066,0.00021,0.00088,0.00000,0.00000,0.00504,0.01680
1403637150.487494945526123,0.01017,0.00021,0.00060,0.00000,0.00000,0.00534,0.01633
1403637150.537495136260986,0.00929,0.00024,0.00031,0.00000,0.00000,0.00518,0.01501
1403637150.588042259216309,0.00876,0.00022,0.00186,0.00000,0.00000,0.00537,0.01621
1403637150.638192892074585,0.00897,0.00021,0.00080,0.00000,0.00199,0.00529,0.01726
1403637150.688254594802856,0.00836,0.00022,0.00058,0.00007,0.00000,0.00548,0.01472
1403637150.738274097442627,0.00843,0.00023,0.00026,0.00006,0.00020,0.00518,0.01437
1403637150.788131952285767,0.01039,0.00023,0.00075,0.00007,0.00005,0.00531,0.01680
1403637150.838135957717896,0.00813,0.00023,0.00090,0.00007,0.00029,0.00521,0.01482
1403637150.888068199157715,0.00834,0.00023,0.00053,0.00007,0.00136,0.00535,0.01588
1403637150.938056707382202,0.00885,0.00023,0.00021,0.00008,0.00007,0.00554,0.01499
1403637150.988134145736694,0.01041,0.00024,0.00033,0.00007,0.00353,0.00587,0.02044
1403637151.037894010543823,0.01259,0.00035,0.00169,0.00019,0.00363,0.00651,0.02496
1403637151.087859392166138,0.01008,0.00038,0.00088,0.00020,0.00074,0.00617,0.01846
1403637151.137842655181885,0.01538,0.00025,0.00053,0.00014,0.00255,0.00533,0.02418
1403637151.187849998474121,0.00894,0.00024,0.00041,0.00009,0.00321,0.00547,0.01835
1403637151.237809181213379,0.00905,0.00024,0.00007,0.00018,0.00179,0.00542,0.01674
1403637151.287847757339478,0.00785,0.00027,0.00063,0.00016,0.00090,0.00551,0.01532
1403637151.337847709655762,0.00709,0.00027,0.00054,0.00005,0.00037,0.00551,0.01383
1403637151.387847661972046,0.00735,0.00024,0.00030,0.00003,0.00008,0.00548,0.01348
1403637151.437847614288330,0.00790,0.00024,0.00053,0.00000,0.00001,0.00526,0.01394
1403637151.487847566604614,0.00834,0.00022,0.00037,0.00000,0.00100,0.00539,0.01531
1403637151.537774801254272,0.00789,0.00022,0.00068,0.00000,0.00081,0.00515,0.01475
