# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862143039703369,0.00643,0.00019,0.00008,0.00000,0.00000,0.00639,0.01310
1403715278.911199331283569,0.01092,0.00021,0.00003,0.00000,0.01588,0.00699,0.03404
1403715278.961133718490601,0.00720,0.00047,0.00017,0.00360,0.00000,0.00488,0.01632
1403715279.011181831359863,0.00677,0.00036,0.00011,0.00431,0.00000,0.00490,0.01645
1403715279.061170339584351,0.00851,0.00037,0.00002,0.00341,0.00000,0.00537,0.01767
1403715279.111073732376099,0.00613,0.00039,0.00002,0.00372,0.00000,0.00514,0.01541
1403715279.161011695861816,0.00615,0.00039,0.00015,0.00362,0.00000,0.00513,0.01544
1403715279.210937976837158,0.00593,0.00046,0.00002,0.00369,0.00000,0.00537,0.01547
1403715279.260843753814697,0.00618,0.00043,0.00002,0.00373,0.00000,0.00601,0.01638
1403715279.310725927352905,0.00658,0.00045,0.00002,0.00372,0.00000,0.00528,0.01606
1403715279.360877990722656,0.00706,0.00037,0.00002,0.00345,0.00000,0.00522,0.01613
1403715279.411103487014771,0.00557,0.00043,0.00002,0.00350,0.00000,0.00522,0.01474
1403715279.461271524429321,0.00775,0.00042,0.00002,0.00357,0.00000,0.00562,0.01738
1403715279.511274576187134,0.00535,0.00047,0.00002,0.00357,0.00017,0.00524,0.01482
1403715279.561244964599609,0.00577,0.00045,0.00002,0.00348,0.00000,0.00522,0.01494
1403715279.611237764358521,0.00535,0.00044,0.00002,0.00359,0.00000,0.00516,0.01456
1403715279.661280155181885,0.00563,0.00046,0.00002,0.00350,0.00000,0.00536,0.01497
1403715279.711381912231445,0.00562,0.00049,0.00002,0.00356,0.00000,0.00524,0.01492
1403715279.761371612548828,0.00583,0.00047,0.00002,0.00349,0.00000,0.00540,0.01521
1403715279.811429977416992,0.00554,0.00044,0.00002,0.00360,0.00000,0.00514,0.01473
1403715279.861377239227295,0.00659,0.00044,0.00002,0.00336,0.00000,0.00535,0.01577
1403715279.911357641220093,0.00560,0.00044,0.00004,0.00347,0.00000,0.00531,0.01486
1403715279.961309671401978,0.00583,0.00047,0.00007,0.00349,0.00000,0.00539,0.01525
1403715280.011206150054932,0.00573,0.00046,0.00002,0.00345,0.00000,0.00642,0.01608
1403715280.061168670654297,0.00643,0.00049,0.00002,0.00380,0.00000,0.00536,0.01610
1403715280.111220598220825,0.00588,0.00046,0.00016,0.00368,0.00017,0.00517,0.01553
1403715280.161571502685547,0.00593,0.00047,0.00002,0.00335,0.00000,0.00528,0.01505
1403715280.211980104446411,0.00583,0.00043,0.00008,0.00358,0.00000,0.00521,0.01513
1403715280.262564420700073,0.00589,0.00046,0.00004,0.00366,0.00000,0.00530,0.01535
1403715280.312641620635986,0.00582,0.00045,0.00002,0.00363,0.00000,0.00536,0.01528
1403715280.362650394439697,0.00582,0.00045,0.00002,0.00336,0.00000,0.00541,0.01506
1403715280.412584304809570,0.00583,0.00045,0.00002,0.00355,0.00311,0.00523,0.01818
1403715280.462376117706299,0.00583,0.00048,0.00002,0.00360,0.00000,0.00548,0.01542
1403715280.512268781661987,0.00724,0.00041,0.00016,0.00343,0.00000,0.00533,0.01657
1403715280.562103748321533,0.00635,0.00044,0.00020,0.00333,0.00000,0.00602,0.01635
1403715280.612050771713257,0.00628,0.00042,0.00015,0.00327,0.00000,0.00526,0.01537
1403715280.661978960037231,0.00619,0.00042,0.00002,0.00339,0.00000,0.00509,0.01511
1403715280.711958169937134,0.00679,0.00044,0.00027,0.00326,0.00088,0.00497,0.01661
1403715280.761925458908081,0.00624,0.00042,0.00002,0.00363,0.00000,0.00482,0.01512
1403715280.811891078948975,0.00848,0.00040,0.00016,0.00330,0.00000,0.00478,0.01711
1403715280.861908197402954,0.00609,0.00043,0.00002,0.00343,0.00000,0.00482,0.01479
1403715280.911977291107178,0.00645,0.00044,0.00024,0.00314,0.00000,0.00496,0.01522
1403715280.962098598480225,0.00603,0.00042,0.00193,0.00279,0.00000,0.00481,0.01597
1403715281.012135028839111,0.00675,0.00039,0.00019,0.00292,0.00031,0.00497,0.01554
1403715281.062124490737915,0.00587,0.00040,0.00115,0.00320,0.01251,0.00520,0.02834
1403715281.112121582031250,0.00718,0.00050,0.00002,0.00462,0.00000,0.00495,0.01727
1403715281.162144660949707,0.00525,0.00050,0.00019,0.00444,0.00000,0.00495,0.01533
1403715281.212195396423340,0.01017,0.00038,0.00013,0.00414,0.00000,0.00513,0.01995
1403715281.262359619140625,0.00599,0.00043,0.00018,0.00418,0.00000,0.00509,0.01587
1403715281.312471389770508,0.00707,0.00048,0.00015,0.00414,0.00000,0.00491,0.01675
1403715281.362483978271484,0.00665,0.00042,0.00016,0.00403,0.00000,0.00524,0.01650
1403715281.412560224533081,0.00687,0.00046,0.00002,0.00398,0.00000,0.00535,0.01668
1403715281.462625026702881,0.00593,0.00040,0.00002,0.00413,0.00000,0.00524,0.01572
1403715281.512608289718628,0.00765,0.00051,0.00022,0.00395,0.00000,0.00498,0.01731
1403715281.562589883804321,0.00631,0.00038,0.00002,0.00391,0.00000,0.00536,0.01598
1403715281.612585306167603,0.00696,0.00047,0.00002,0.00385,0.00009,0.00557,0.01696
1403715281.662580013275146,0.00605,0.00045,0.00002,0.00344,0.00000,0.00543,0.01538
1403715281.712566614151001,0.00700,0.00047,0.00051,0.00295,0.00001,0.00520,0.01614
1403715281.762446880340576,0.00609,0.00039,0.00035,0.00282,0.02552,0.00540,0.04056
1403715281.812482118606567,0.00740,0.00054,0.00002,0.00529,0.00000,0.00578,0.01903
1403715281.862447977066040,0.00610,0.00055,0.00050,0.00484,0.00000,0.00530,0.01729
1403715281.912487268447876,0.00663,0.00059,0.00041,0.00464,0.00044,0.00493,0.01765
1403715281.962474346160889,0.00547,0.00062,0.00002,0.00511,0.00000,0.00524,0.01647
1403715282.012499570846558,0.00646,0.00060,0.00002,0.00507,0.00000,0.00529,0.01746
1403715282.062478780746460,0.00555,0.00050,0.00002,0.00493,0.00000,0.00600,0.01700
1403715282.112495422363281,0.00593,0.00052,0.00002,0.00458,0.00000,0.00575,0.01680
1403715282.162558078765869,0.00652,0.00049,0.00002,0.00472,0.00000,0.00536,0.01711
1403715282.212559223175049,0.00661,0.00055,0.00034,0.00458,0.00038,0.00511,0.01757
1403715282.262612104415894,0.00557,0.00049,0.00019,0.00475,0.00000,0.00501,0.01602
1403715282.312589406967163,0.00645,0.00055,0.00002,0.00469,0.00000,0.00509,0.01681
