# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.859384775161743,0.01014,0.00019,0.00119,0.00000,0.00000,0.00583,0.01736
1403715278.910020351409912,0.00962,0.00020,0.00721,0.00000,0.01213,0.00603,0.03519
1403715278.960370063781738,0.00998,0.00042,0.00796,0.00341,0.00000,0.00553,0.02731
1403715279.010346412658691,0.00942,0.00033,0.00043,0.00330,0.00000,0.00594,0.01942
1403715279.060393571853638,0.01033,0.00035,0.00026,0.00334,0.00000,0.00571,0.01999
1403715279.110441923141479,0.01236,0.00033,0.00008,0.00344,0.00000,0.00578,0.02199
1403715279.160494565963745,0.00928,0.00036,0.00008,0.00369,0.00000,0.00566,0.01907
1403715279.210578680038452,0.01056,0.00038,0.00066,0.00349,0.00000,0.00610,0.02119
1403715279.260721445083618,0.00894,0.00039,0.00006,0.00347,0.00678,0.00591,0.02555
1403715279.310850620269775,0.00858,0.00042,0.00011,0.00425,0.00824,0.00653,0.02813
1403715279.360912561416626,0.01011,0.00044,0.00100,0.00538,0.01250,0.00629,0.03572
1403715279.411009550094604,0.00904,0.00104,0.00458,0.00778,0.00477,0.00752,0.03474
1403715279.461127042770386,0.01007,0.00060,0.00427,0.00965,0.00272,0.00767,0.03499
1403715279.511223793029785,0.00957,0.00055,0.03094,0.00838,0.00000,0.00609,0.05553
1403715279.561303615570068,0.00966,0.00049,0.01618,0.00829,0.00000,0.00587,0.04049
1403715279.611294031143188,0.00870,0.00055,0.00011,0.00857,0.00000,0.00630,0.02423
1403715279.661302089691162,0.00865,0.00055,0.00011,0.00870,0.00000,0.00589,0.02390
1403715279.711345672607422,0.00892,0.00055,0.00004,0.00879,0.00000,0.00619,0.02450
1403715279.761326074600220,0.00829,0.00049,0.00228,0.00813,0.00000,0.00611,0.02529
1403715279.811343669891357,0.00930,0.00055,0.00005,0.00832,0.00000,0.00620,0.02441
1403715279.861296653747559,0.00858,0.00052,0.00010,0.00828,0.00000,0.00662,0.02411
1403715279.911275863647461,0.00891,0.00049,0.00007,0.00827,0.00006,0.00614,0.02395
1403715279.961250782012939,0.01265,0.00052,0.00010,0.00817,0.00008,0.00598,0.02750
1403715280.011194467544556,0.00888,0.00051,0.00175,0.00814,0.00043,0.00633,0.02604
1403715280.061150312423706,0.00892,0.00053,0.00656,0.00786,0.00009,0.00688,0.03085
1403715280.111253738403320,0.01022,0.00079,0.02721,0.00737,0.00009,0.00636,0.05202
1403715280.161695241928101,0.01198,0.00050,0.01695,0.00739,0.00133,0.00649,0.04465
1403715280.212000846862793,0.00947,0.00045,0.00020,0.00837,0.00143,0.00646,0.02638
1403715280.262438535690308,0.01049,0.00043,0.00023,0.00769,0.00000,0.00619,0.02504
1403715280.312506198883057,0.00912,0.00054,0.00047,0.00738,0.00000,0.00645,0.02396
1403715280.362512826919556,0.00942,0.00044,0.00027,0.00730,0.00120,0.00663,0.02525
1403715280.412477254867554,0.00992,0.00052,0.00068,0.00717,0.00000,0.00658,0.02489
1403715280.462362289428711,0.01206,0.00056,0.00102,0.01541,0.00618,0.00636,0.04159
1403715280.512291908264160,0.01024,0.00052,0.00086,0.00821,0.00000,0.00656,0.02639
1403715280.562175035476685,0.00941,0.00046,0.00349,0.00649,0.00000,0.00666,0.02652
1403715280.612066745758057,0.01173,0.00042,0.00130,0.00633,0.00357,0.00589,0.02924
1403715280.661940813064575,0.00916,0.00046,0.00309,0.00690,0.00644,0.00611,0.03215
1403715280.711861610412598,0.00909,0.00050,0.02441,0.00756,0.00213,0.00687,0.05055
1403715280.761834621429443,0.01246,0.00055,0.02341,0.01022,0.00292,0.00773,0.05729
1403715280.811838150024414,0.01336,0.00055,0.00464,0.01009,0.00255,0.00685,0.03804
1403715280.861855983734131,0.01179,0.00048,0.00047,0.00754,0.00000,0.00629,0.02658
1403715280.911884546279907,0.01133,0.00043,0.00108,0.00698,0.00372,0.00632,0.02986
1403715280.961887598037720,0.01099,0.00047,0.00113,0.00673,0.00009,0.00668,0.02609
1403715281.011872768402100,0.01032,0.00044,0.00104,0.00655,0.00048,0.00629,0.02512
1403715281.061866283416748,0.01045,0.00042,0.00010,0.00641,0.00737,0.00660,0.03135
1403715281.111843109130859,0.00958,0.00051,0.00211,0.00733,0.00415,0.00667,0.03036
1403715281.161843776702881,0.00940,0.00046,0.00590,0.00728,0.00218,0.00632,0.03154
1403715281.211866378784180,0.01016,0.00047,0.00180,0.00759,0.00000,0.00631,0.02633
1403715281.261976718902588,0.00999,0.00046,0.00041,0.00733,0.00249,0.00648,0.02716
1403715281.312066555023193,0.01129,0.00046,0.02072,0.00692,0.00367,0.00631,0.04937
1403715281.362108945846558,0.00935,0.00055,0.02309,0.00734,0.00590,0.00645,0.05268
1403715281.412133216857910,0.00927,0.00047,0.00175,0.00858,0.00221,0.00678,0.02906
1403715281.462152004241943,0.00972,0.00057,0.00676,0.00907,0.00000,0.00727,0.03339
1403715281.512120723724365,0.00993,0.00052,0.00707,0.00865,0.00000,0.00658,0.03277
1403715281.562115430831909,0.00955,0.00057,0.00407,0.00833,0.00217,0.00661,0.03130
1403715281.612098932266235,0.01109,0.00053,0.00750,0.00831,0.00000,0.00643,0.03386
1403715281.662085056304932,0.00938,0.00052,0.00026,0.00769,0.00052,0.00680,0.02517
1403715281.712066411972046,0.01461,0.00043,0.00333,0.00617,0.00217,0.00620,0.03291
1403715281.762036323547363,0.01092,0.00044,0.00161,0.00601,0.00178,0.00648,0.02725
1403715281.812040090560913,0.01021,0.00040,0.00207,0.00534,0.00001,0.00644,0.02448
1403715281.862024068832397,0.01050,0.00040,0.00840,0.00494,0.01818,0.00600,0.04844
1403715281.912043333053589,0.01364,0.00046,0.01319,0.00751,0.00585,0.00656,0.04722
1403715281.962047100067139,0.01095,0.00054,0.01620,0.00859,0.00000,0.00673,0.04301
1403715282.012047767639160,0.00999,0.00049,0.00015,0.00886,0.00226,0.00667,0.02842
1403715282.062066555023193,0.00951,0.00057,0.00369,0.00848,0.00058,0.00686,0.02968
1403715282.112062215805054,0.00977,0.00049,0.00586,0.00838,0.00227,0.00662,0.03340
1403715282.162084102630615,0.00998,0.00057,0.00076,0.00929,0.00063,0.00662,0.02785
1403715282.212091922760010,0.00952,0.00050,0.00700,0.00899,0.00055,0.00674,0.03330
1403715282.262145996093750,0.00917,0.00055,0.01862,0.00957,0.00000,0.00663,0.04453
1403715282.312129497528076,0.00952,0.00052,0.00049,0.00913,0.00000,0.00649,0.02615
1403715282.362111091613770,0.00912,0.00054,0.00120,0.00991,0.00000,0.00810,0.02887
1403715282.412106752395630,0.01433,0.00055,0.00203,0.00912,0.00000,0.00722,0.03326
1403715282.462075948715210,0.01072,0.00049,0.01773,0.00915,0.00492,0.00741,0.05042
1403715282.512047529220581,0.00936,0.00057,0.01313,0.01226,0.00672,0.01170,0.05374
1403715282.562043905258179,0.01290,0.00049,0.01445,0.00838,0.00217,0.00696,0.04536
1403715282.612041711807251,0.01428,0.00057,0.00041,0.00886,0.00000,0.00679,0.03091
1403715282.662048578262329,0.01162,0.00045,0.00005,0.00892,0.00000,0.00671,0.02775
1403715282.712044000625610,0.00996,0.00047,0.00171,0.00809,0.00585,0.00672,0.03280
1403715282.762043714523315,0.00970,0.00049,0.00081,0.01032,0.00000,0.00644,0.02777
1403715282.812050342559814,0.01093,0.00049,0.00671,0.00926,0.00060,0.00677,0.03475
1403715282.862035274505615,0.00966,0.00053,0.01447,0.00872,0.00058,0.00616,0.04013
1403715282.912026405334473,0.01011,0.00051,0.00032,0.00928,0.00000,0.00685,0.02708
1403715282.962023258209229,0.00987,0.00049,0.01128,0.00914,0.00309,0.00644,0.04033
1403715283.012015819549561,0.01171,0.00047,0.00236,0.00901,0.00000,0.00659,0.03014
1403715283.062019109725952,0.01022,0.00055,0.01591,0.00836,0.00059,0.00695,0.04257
1403715283.112004518508911,0.00916,0.00054,0.00782,0.00823,0.00218,0.00682,0.03474
1403715283.162001848220825,0.01034,0.00050,0.01312,0.00821,0.00436,0.00678,0.04331
1403715283.212011098861694,0.00929,0.00051,0.01678,0.00844,0.00254,0.00676,0.04432
1403715283.262007474899292,0.00994,0.00051,0.00005,0.00966,0.00000,0.00663,0.02678
1403715283.312004804611206,0.01109,0.00053,0.00039,0.01004,0.00002,0.00669,0.02876
1403715283.361998081207275,0.01046,0.00051,0.00010,0.00958,0.00042,0.00673,0.02780
1403715283.411967992782593,0.01009,0.00053,0.00552,0.00857,0.00243,0.00625,0.03339
1403715283.461925745010376,0.00928,0.00054,0.01345,0.00832,0.00000,0.00664,0.03824
1403715283.511883258819580,0.01046,0.00053,0.00102,0.00772,0.00000,0.00663,0.02635
