# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862500190734863,0.00949,0.00014,0.00064,0.00000,0.00000,0.00567,0.01595
1403715278.912989854812622,0.01074,0.00018,0.00625,0.00000,0.01475,0.00602,0.03794
1403715278.958542346954346,0.01003,0.00017,0.00076,0.00463,0.00000,0.00509,0.02068
1403715279.008177518844604,0.01523,0.00022,0.00012,0.00094,0.00000,0.00731,0.02382
1403715279.058177947998047,0.01226,0.00021,0.00028,0.00058,0.00029,0.00666,0.02027
1403715279.107684373855591,0.01140,0.00041,0.00246,0.00013,0.00630,0.00695,0.02765
1403715279.157563686370850,0.01140,0.00027,0.00072,0.00240,0.00069,0.00751,0.02300
1403715279.207563638687134,0.01400,0.00034,0.00119,0.00133,0.00058,0.00644,0.02387
1403715279.357563257217407,0.01449,0.00055,0.00232,0.00030,0.00894,0.00704,0.03364
1403715279.457626104354858,0.01184,0.00060,0.00303,0.00078,0.00411,0.00549,0.02585
1403715279.608011007308960,0.02192,0.00031,0.00013,0.00081,0.00121,0.00778,0.03216
1403715279.758057832717896,0.01707,0.00029,0.00107,0.00050,0.00845,0.01238,0.03977
1403715279.907600641250610,0.01565,0.00083,0.00101,0.00160,0.00767,0.00808,0.03485
1403715280.157514572143555,0.01048,0.00029,0.00192,0.00091,0.00929,0.00669,0.02959
1403715280.307048320770264,0.00851,0.00021,0.00023,0.00061,0.00104,0.00599,0.01660
1403715280.457048416137695,0.01378,0.00022,0.00066,0.00019,0.00585,0.00544,0.02614
1403715280.557055950164795,0.01127,0.00026,0.00070,0.00060,0.00114,0.00479,0.01878
1403715280.707064390182495,0.01798,0.00041,0.00116,0.00029,0.00146,0.00624,0.02753
1403715280.807066202163696,0.01155,0.00024,0.00182,0.00013,0.00407,0.00605,0.02385
1403715280.957076311111450,0.01155,0.00030,0.00098,0.00032,0.00023,0.00710,0.02048
1403715281.057078599929810,0.01035,0.00025,0.00052,0.00023,0.00183,0.00629,0.01947
1403715281.157083034515381,0.01105,0.00022,0.00063,0.00010,0.00353,0.00544,0.02098
1403715281.257083654403687,0.00847,0.00047,0.00063,0.00043,0.00083,0.00601,0.01684
1403715281.357086181640625,0.00910,0.00025,0.00030,0.00021,0.00242,0.00656,0.01884
1403715281.457089662551880,0.00856,0.00021,0.00031,0.00012,0.00170,0.00485,0.01574
1403715281.557090044021606,0.00809,0.00021,0.00040,0.00027,0.00766,0.00597,0.02259
1403715281.657092809677124,0.01390,0.00054,0.00059,0.00020,0.00059,0.00753,0.02337
1403715281.756975889205933,0.01187,0.00018,0.00257,0.00009,0.00181,0.00537,0.02189
1403715281.906975984573364,0.02205,0.00019,0.00110,0.00023,0.00034,0.00536,0.02926
1403715282.006977081298828,0.01503,0.00020,0.00014,0.00019,0.00080,0.00663,0.02300
1403715282.156973123550415,0.01086,0.00048,0.00097,0.00003,0.00360,0.00586,0.02180
1403715282.256973028182983,0.00884,0.00017,0.00012,0.00018,0.00262,0.00673,0.01865
1403715282.356983423233032,0.00785,0.00018,0.00023,0.00018,0.00105,0.00552,0.01501
1403715282.456983804702759,0.00852,0.00042,0.00141,0.00000,0.00332,0.00564,0.01931
1403715282.556983947753906,0.01263,0.00015,0.00042,0.00018,0.00000,0.00658,0.01997
1403715282.656983852386475,0.00964,0.00017,0.00046,0.00018,0.00053,0.00496,0.01595
