# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.987428188323975,0,5,0,0,5
1403637150.037140369415283,12,18,0,12,6
1403637150.086526870727539,10,27,9,0,7
1403637150.136465549468994,8,2,6,0,8
1403637150.186484575271606,6,2,5,0,9
1403637150.236530303955078,4,10,4,0,10
1403637150.286659002304077,4,3,3,0,11
1403637150.336747169494629,3,3,3,0,11
1403637150.386713743209839,3,14,3,0,11
1403637150.436772823333740,2,5,2,0,11
1403637150.486701011657715,2,3,2,0,11
1403637150.536990642547607,0,3,0,0,11
1403637150.586947679519653,0,6,0,0,11
1403637150.636739253997803,9,2,0,9,11
1403637150.687141418457031,8,6,7,0,11
1403637150.737218618392944,7,0,6,0,11
1403637150.787288904190063,7,5,6,1,11
1403637150.837541341781616,10,4,6,4,11
1403637150.887804985046387,16,6,9,7,11
1403637150.937841415405273,16,1,14,0,11
1403637150.987843990325928,18,1,14,2,11
1403637151.037869930267334,14,4,14,0,11
1403637151.087872505187988,14,1,14,0,11
1403637151.137878417968750,14,0,14,0,11
1403637151.187977313995361,18,1,14,4,11
1403637151.238127231597900,22,0,18,4,11
1403637151.288155555725098,22,0,22,0,11
1403637151.338178396224976,21,2,21,0,11
1403637151.388140916824341,20,1,19,0,11
1403637151.438144445419312,21,2,19,1,11
1403637151.488146305084229,24,2,20,4,11
1403637151.538144111633301,25,1,24,1,11
1403637151.588131427764893,25,2,25,0,11
1403637151.638114929199219,28,4,25,3,11
1403637151.688097238540649,28,4,28,0,11
1403637151.738121032714844,28,2,28,0,11
1403637151.788135290145874,28,0,28,0,11
1403637151.838138103485107,26,0,26,0,11
1403637151.888180732727051,28,0,26,2,11
1403637151.938181161880493,28,1,28,0,11
1403637151.988191843032837,28,1,28,0,11
1403637152.038226842880249,30,0,28,2,11
1403637152.088271379470825,32,0,29,3,11
1403637152.138349056243896,39,0,31,8,11
1403637152.188333749771118,39,0,38,0,11
1403637152.238368034362793,39,1,38,0,11
1403637152.288347244262695,38,0,37,0,11
1403637152.338373899459839,37,0,37,0,11
1403637152.388401985168457,37,0,37,0,11
