# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987428188323975,0.00223,0.00010,0.00056,0.00000,0.00000,0.00139,0.00429
1403637150.037140369415283,0.00295,0.00011,0.00172,0.00000,0.00188,0.00132,0.00797
1403637150.086526870727539,0.00252,0.00013,0.00223,0.00021,0.00000,0.00124,0.00633
1403637150.136465549468994,0.00264,0.00013,0.00020,0.00015,0.00000,0.00132,0.00442
1403637150.186484575271606,0.00290,0.00013,0.00022,0.00012,0.00003,0.00129,0.00470
1403637150.236530303955078,0.00284,0.00013,0.00029,0.00008,0.00000,0.00129,0.00462
1403637150.286659002304077,0.00364,0.00014,0.00031,0.00007,0.00000,0.00136,0.00552
1403637150.336747169494629,0.00366,0.00013,0.00032,0.00007,0.00000,0.00142,0.00561
1403637150.386713743209839,0.00530,0.00015,0.00120,0.00008,0.00000,0.00145,0.00819
1403637150.436772823333740,0.00290,0.00013,0.00077,0.00006,0.00000,0.00134,0.00519
1403637150.486701011657715,0.00310,0.00012,0.00031,0.00006,0.00000,0.00142,0.00502
1403637150.536990642547607,0.00238,0.00013,0.00034,0.00000,0.00000,0.00141,0.00427
1403637150.586947679519653,0.00282,0.00013,0.00064,0.00000,0.00000,0.00142,0.00501
1403637150.636739253997803,0.00321,0.00015,0.00061,0.00000,0.00367,0.00154,0.00918
1403637150.687141418457031,0.00268,0.00014,0.00091,0.00019,0.00000,0.00177,0.00568
1403637150.737218618392944,0.00306,0.00013,0.00019,0.00018,0.00000,0.00147,0.00504
1403637150.787288904190063,0.00279,0.00015,0.00051,0.00016,0.00033,0.00182,0.00577
1403637150.837541341781616,0.00266,0.00016,0.00066,0.00017,0.00222,0.00146,0.00734
1403637150.887804985046387,0.00266,0.00013,0.00044,0.00028,0.00472,0.00180,0.01003
1403637150.937841415405273,0.00278,0.00015,0.00018,0.00062,0.00070,0.00141,0.00584
1403637150.987843990325928,0.00238,0.00014,0.00030,0.00060,0.00074,0.00178,0.00594
1403637151.037869930267334,0.00241,0.00015,0.00069,0.00055,0.00071,0.00136,0.00586
1403637151.087872505187988,0.00384,0.00015,0.00044,0.00056,0.00019,0.00185,0.00703
1403637151.137878417968750,0.00298,0.00014,0.00023,0.00057,0.00072,0.00154,0.00618
1403637151.187977313995361,0.00225,0.00014,0.00053,0.00055,0.00284,0.00199,0.00830
1403637151.238127231597900,0.00231,0.00014,0.00002,0.00091,0.00217,0.00142,0.00697
1403637151.288155555725098,0.00262,0.00018,0.00028,0.00121,0.00019,0.00181,0.00629
1403637151.338178396224976,0.00274,0.00018,0.00068,0.00114,0.00054,0.00148,0.00675
1403637151.388140916824341,0.00256,0.00014,0.00039,0.00102,0.00009,0.00183,0.00603
1403637151.438144445419312,0.00323,0.00014,0.00043,0.00100,0.00144,0.00149,0.00774
1403637151.488146305084229,0.00276,0.00014,0.00077,0.00110,0.00333,0.00183,0.00994
1403637151.538144111633301,0.00377,0.00015,0.00018,0.00160,0.00072,0.00152,0.00793
1403637151.588131427764893,0.00322,0.00015,0.00039,0.00175,0.00000,0.00184,0.00734
1403637151.638114929199219,0.00224,0.00015,0.00052,0.00175,0.00315,0.00148,0.00929
