# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.048401594161987,0.00705,0.00010,0.00054,0.00000,0.00000,0.00214,0.00985
1413393890.105926275253296,0.00819,0.00010,0.00177,0.00000,0.00291,0.00202,0.01499
1413393890.156005620956421,0.00655,0.00015,0.00020,0.00064,0.00000,0.00189,0.00944
1413393890.206262111663818,0.00843,0.00015,0.00017,0.00070,0.00000,0.00189,0.01134
1413393890.256381750106812,0.00703,0.00014,0.00027,0.00067,0.00001,0.00198,0.01009
1413393890.306768894195557,0.00781,0.00014,0.00031,0.00083,0.00001,0.00213,0.01124
1413393890.356964349746704,0.00682,0.00014,0.00002,0.00078,0.00000,0.00209,0.00985
1413393890.407054185867310,0.00783,0.00014,0.00068,0.00059,0.00000,0.00234,0.01157
1413393890.456695318222046,0.00660,0.00015,0.00051,0.00059,0.00153,0.00215,0.01153
1413393890.506438255310059,0.00782,0.00014,0.00036,0.00078,0.00038,0.00211,0.01159
1413393890.556185960769653,0.00640,0.00014,0.00072,0.00087,0.00707,0.00197,0.01717
1413393890.606297969818115,0.00721,0.00015,0.00010,0.00174,0.00837,0.00212,0.01969
1413393890.656527042388916,0.00615,0.00017,0.00001,0.00264,0.00115,0.00223,0.01236
1413393890.706732988357544,0.00611,0.00017,0.00328,0.00266,0.01052,0.00207,0.02481
1413393890.756858825683594,0.00590,0.00019,0.00446,0.00427,0.00110,0.00212,0.01804
1413393890.806895017623901,0.00788,0.00023,0.00128,0.00519,0.00000,0.00224,0.01682
1413393890.856844663619995,0.00649,0.00021,0.00299,0.00456,0.00000,0.00192,0.01616
1413393890.906860828399658,0.00788,0.00022,0.00115,0.00480,0.00000,0.00236,0.01643
1413393890.956825256347656,0.00645,0.00020,0.00237,0.00447,0.00000,0.00198,0.01546
1413393891.006828069686890,0.00625,0.00019,0.00009,0.00465,0.00000,0.00227,0.01345
1413393891.056774854660034,0.00908,0.00021,0.00257,0.00473,0.00000,0.00227,0.01886
1413393891.106709480285645,0.00632,0.00021,0.00359,0.00442,0.00000,0.00214,0.01668
1413393891.156690835952759,0.00702,0.00019,0.00171,0.00446,0.00000,0.00218,0.01558
1413393891.206675767898560,0.00601,0.00024,0.00149,0.00469,0.00000,0.00237,0.01479
1413393891.256665945053101,0.00602,0.00019,0.00062,0.00464,0.00000,0.00214,0.01361
1413393891.306804180145264,0.00579,0.00022,0.00316,0.00446,0.00000,0.00206,0.01570
1413393891.356936931610107,0.00692,0.00019,0.00429,0.00379,0.00000,0.00193,0.01712
1413393891.406918048858643,0.00719,0.00019,0.00317,0.00333,0.00279,0.00191,0.01857
1413393891.456852197647095,0.00627,0.00018,0.00120,0.00341,0.00193,0.00178,0.01477
1413393891.506724119186401,0.00721,0.00018,0.00051,0.00325,0.00019,0.00213,0.01348
1413393891.556576251983643,0.01058,0.00020,0.00038,0.00309,0.00109,0.00221,0.01754
1413393891.606401920318604,0.00617,0.00017,0.00004,0.00345,0.00098,0.00216,0.01297
1413393891.656246900558472,0.00611,0.00018,0.00006,0.00367,0.00290,0.00221,0.01514
1413393891.706124544143677,0.00593,0.00018,0.00010,0.00410,0.00481,0.00276,0.01788
1413393891.756045579910278,0.00648,0.00018,0.00008,0.00479,0.00060,0.00222,0.01435
1413393891.805972814559937,0.00608,0.00020,0.00062,0.00434,0.00162,0.00259,0.01545
1413393891.855936288833618,0.00626,0.00019,0.00012,0.00449,0.00001,0.00198,0.01305
1413393891.905837297439575,0.00695,0.00019,0.00070,0.00416,0.00242,0.00261,0.01702
