# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.936523199081421,0.00377,0.00016,0.00036,0.00000,0.00000,0.00150,0.00580
1403637149.986297369003296,0.00454,0.00011,0.00203,0.00000,0.00147,0.00130,0.00945
1403637150.037119150161743,0.00424,0.00012,0.00147,0.00010,0.00000,0.00127,0.00721
1403637150.087307453155518,0.00542,0.00013,0.00045,0.00003,0.00000,0.00133,0.00737
1403637150.137192726135254,0.00581,0.00013,0.00021,0.00002,0.00007,0.00130,0.00752
1403637150.187095642089844,0.00509,0.00013,0.00030,0.00002,0.00001,0.00130,0.00684
1403637150.237110137939453,0.00531,0.00013,0.00026,0.00002,0.00000,0.00126,0.00698
1403637150.287086963653564,0.00677,0.00013,0.00042,0.00000,0.00003,0.00136,0.00872
1403637150.337100267410278,0.00720,0.00013,0.00052,0.00000,0.00000,0.00135,0.00920
1403637150.387275934219360,0.01154,0.00013,0.00063,0.00000,0.00000,0.00132,0.01362
1403637150.437275886535645,0.00533,0.00013,0.00031,0.00000,0.00000,0.00131,0.00708
1403637150.487282276153564,0.00456,0.00013,0.00014,0.00000,0.00000,0.00130,0.00613
1403637150.537282466888428,0.00479,0.00013,0.00034,0.00000,0.00019,0.00132,0.00677
1403637150.587282419204712,0.00479,0.00013,0.00054,0.00000,0.00071,0.00139,0.00756
1403637150.637346506118774,0.00463,0.00012,0.00032,0.00000,0.00002,0.00134,0.00644
1403637150.687332868576050,0.00499,0.00013,0.00027,0.00000,0.00000,0.00137,0.00675
1403637150.737357378005981,0.00429,0.00013,0.00021,0.00000,0.00000,0.00141,0.00606
1403637150.787357568740845,0.00406,0.00012,0.00040,0.00000,0.00000,0.00140,0.00599
1403637150.837357521057129,0.00394,0.00013,0.00030,0.00000,0.00026,0.00141,0.00603
1403637150.887584924697876,0.00478,0.00013,0.00040,0.00000,0.00127,0.00143,0.00801
1403637150.937835931777954,0.00395,0.00013,0.00016,0.00007,0.00119,0.00141,0.00692
1403637150.988038539886475,0.00402,0.00013,0.00028,0.00012,0.00189,0.00146,0.00790
1403637151.038076162338257,0.00379,0.00026,0.00026,0.00024,0.00058,0.00168,0.00682
1403637151.087898731231689,0.00397,0.00013,0.00020,0.00022,0.00314,0.00143,0.00911
1403637151.137894868850708,0.00426,0.00014,0.00041,0.00034,0.00073,0.00166,0.00754
1403637151.187967061996460,0.00387,0.00014,0.00024,0.00031,0.00225,0.00145,0.00826
1403637151.238330841064453,0.00428,0.00015,0.00021,0.00045,0.00135,0.00148,0.00791
1403637151.288257122039795,0.00362,0.00015,0.00011,0.00054,0.00000,0.00144,0.00585
1403637151.338309049606323,0.00375,0.00014,0.00049,0.00052,0.00035,0.00144,0.00669
1403637151.388494968414307,0.00347,0.00014,0.00017,0.00052,0.00088,0.00147,0.00664
1403637151.438444614410400,0.00413,0.00015,0.00076,0.00046,0.00210,0.00154,0.00915
1403637151.488392591476440,0.00462,0.00015,0.00047,0.00055,0.00140,0.00145,0.00865
1403637151.538348436355591,0.00410,0.00015,0.00009,0.00059,0.00092,0.00145,0.00731
1403637151.588340520858765,0.00392,0.00015,0.00118,0.00061,0.00070,0.00146,0.00801
1403637151.638333082199097,0.00336,0.00014,0.00021,0.00063,0.00035,0.00150,0.00619
1403637151.688198804855347,0.00365,0.00014,0.00042,0.00063,0.00116,0.00144,0.00745
1403637151.738173723220825,0.00330,0.00014,0.00015,0.00073,0.00037,0.00150,0.00618
1403637151.788119316101074,0.00356,0.00015,0.00001,0.00075,0.00313,0.00147,0.00907
1403637151.838026285171509,0.00326,0.00015,0.00016,0.00108,0.00241,0.00153,0.00860
1403637151.887971639633179,0.00327,0.00016,0.00001,0.00136,0.00057,0.00143,0.00680
1403637151.937961101531982,0.00406,0.00016,0.00045,0.00130,0.00001,0.00146,0.00745
1403637151.987965106964111,0.00328,0.00016,0.00032,0.00126,0.00056,0.00149,0.00706
1403637152.037965774536133,0.00331,0.00016,0.00015,0.00129,0.00109,0.00149,0.00748
1403637152.087971925735474,0.00335,0.00015,0.00079,0.00109,0.00127,0.00151,0.00817
1403637152.137998342514038,0.00445,0.00016,0.00029,0.00111,0.00165,0.00147,0.00911
1403637152.187958240509033,0.00343,0.00016,0.00033,0.00117,0.00040,0.00146,0.00696
1403637152.238014698028564,0.00329,0.00015,0.00003,0.00116,0.00089,0.00140,0.00692
1403637152.287961006164551,0.00330,0.00016,0.00004,0.00121,0.00019,0.00154,0.00644
1403637152.338000059127808,0.00324,0.00015,0.00017,0.00106,0.00045,0.00149,0.00657
1403637152.388087034225464,0.00321,0.00015,0.00004,0.00108,0.00067,0.00147,0.00661
1403637152.437974452972412,0.00307,0.00015,0.00004,0.00109,0.00096,0.00142,0.00673
1403637152.488048315048218,0.00311,0.00015,0.00005,0.00118,0.00221,0.00147,0.00816
1403637152.537999391555786,0.00313,0.00015,0.00030,0.00133,0.00009,0.00146,0.00645
1403637152.587971925735474,0.00308,0.00014,0.00002,0.00132,0.00053,0.00143,0.00654
1403637152.638095617294312,0.00318,0.00015,0.00001,0.00135,0.00060,0.00149,0.00678
1403637152.688066720962524,0.00326,0.00016,0.00001,0.00135,0.00497,0.00150,0.01126
1403637152.738156557083130,0.00330,0.00016,0.00003,0.00146,0.00086,0.00141,0.00722
