# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861014127731323,0.00413,0.00011,0.00041,0.00000,0.00000,0.00191,0.00656
1403715278.912088632583618,0.00372,0.00011,0.00382,0.00000,0.00728,0.00137,0.01632
1403715278.962045907974243,0.00423,0.00015,0.00106,0.00222,0.00000,0.00126,0.00891
1403715279.011653423309326,0.00358,0.00016,0.00006,0.00219,0.00000,0.00131,0.00729
1403715279.061527967453003,0.00400,0.00015,0.00006,0.00226,0.00000,0.00139,0.00786
1403715279.111229181289673,0.00354,0.00016,0.00003,0.00230,0.00000,0.00133,0.00736
1403715279.161262750625610,0.00332,0.00016,0.00044,0.00227,0.00000,0.00133,0.00752
1403715279.211507797241211,0.00340,0.00016,0.00025,0.00228,0.00000,0.00135,0.00745
1403715279.261473894119263,0.00345,0.00016,0.00001,0.00234,0.00196,0.00144,0.00936
1403715279.311544418334961,0.00363,0.00019,0.00004,0.00255,0.00375,0.00142,0.01159
1403715279.361838102340698,0.00347,0.00016,0.00001,0.00302,0.00114,0.00136,0.00917
1403715279.411973476409912,0.00360,0.00017,0.00001,0.00319,0.00936,0.00140,0.01774
1403715279.462076902389526,0.00348,0.00019,0.00001,0.00456,0.00000,0.00165,0.00989
1403715279.512128114700317,0.00336,0.00018,0.01169,0.00452,0.00346,0.00132,0.02453
1403715279.561993122100830,0.00351,0.00019,0.00005,0.00531,0.00006,0.00141,0.01053
1403715279.611991167068481,0.00337,0.00019,0.00113,0.00525,0.00123,0.00146,0.01263
1403715279.661977291107178,0.00337,0.00019,0.00001,0.00563,0.00000,0.00142,0.01062
1403715279.712016582489014,0.00339,0.00018,0.00001,0.00557,0.00000,0.00140,0.01055
1403715279.761994838714600,0.00341,0.00018,0.00001,0.00564,0.00000,0.00139,0.01064
1403715279.812028884887695,0.00352,0.00019,0.00001,0.00560,0.00000,0.00145,0.01077
1403715279.861996173858643,0.00342,0.00019,0.00004,0.00559,0.00003,0.00142,0.01070
1403715279.911995172500610,0.00333,0.00019,0.00004,0.00556,0.00000,0.00142,0.01055
1403715279.961960077285767,0.00360,0.00019,0.00230,0.00551,0.00004,0.00150,0.01316
1403715280.011910676956177,0.00348,0.00019,0.00001,0.00552,0.00000,0.00167,0.01089
1403715280.061901569366455,0.00355,0.00019,0.00005,0.00555,0.00000,0.00143,0.01077
1403715280.111938238143921,0.00382,0.00019,0.01090,0.00547,0.00007,0.00129,0.02174
1403715280.162071466445923,0.00359,0.00018,0.00015,0.00537,0.00065,0.00136,0.01131
1403715280.212275266647339,0.00359,0.00019,0.00113,0.00548,0.00006,0.00136,0.01181
1403715280.262651681900024,0.00358,0.00020,0.00008,0.00530,0.00000,0.00141,0.01057
1403715280.312706232070923,0.00352,0.00019,0.00001,0.00530,0.00000,0.00139,0.01041
1403715280.362697601318359,0.00357,0.00018,0.00001,0.00526,0.00000,0.00141,0.01044
1403715280.412636995315552,0.00388,0.00019,0.00001,0.00509,0.00000,0.00141,0.01058
1403715280.462485313415527,0.00347,0.00019,0.00075,0.00506,0.00003,0.00140,0.01090
1403715280.512411117553711,0.00343,0.00018,0.00009,0.00486,0.00018,0.00149,0.01024
1403715280.562279939651489,0.00386,0.00018,0.00039,0.00488,0.00079,0.00167,0.01177
