# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.004029512405396,0.00481,0.00016,0.00047,0.00000,0.00000,0.00169,0.00713
1413393890.055280685424805,0.00469,0.00011,0.00153,0.00000,0.00232,0.00117,0.00982
1413393890.105440378189087,0.00370,0.00012,0.00029,0.00048,0.00000,0.00152,0.00611
1413393890.155657291412354,0.00365,0.00012,0.00008,0.00048,0.00000,0.00119,0.00552
1413393890.205749750137329,0.00385,0.00013,0.00028,0.00047,0.00008,0.00161,0.00642
1413393890.255889415740967,0.00384,0.00012,0.00017,0.00057,0.00000,0.00122,0.00592
1413393890.306021213531494,0.00352,0.00013,0.00032,0.00052,0.00000,0.00160,0.00609
1413393890.356200695037842,0.00418,0.00013,0.00004,0.00056,0.00000,0.00132,0.00623
1413393890.406375885009766,0.00352,0.00013,0.00050,0.00046,0.00136,0.00167,0.00765
1413393890.456377029418945,0.00365,0.00013,0.00052,0.00064,0.00202,0.00126,0.00822
1413393890.506337165832520,0.00346,0.00013,0.00044,0.00091,0.00020,0.00167,0.00682
1413393890.556113004684448,0.00367,0.00013,0.00053,0.00103,0.00613,0.00134,0.01284
1413393890.606336593627930,0.00363,0.00015,0.00017,0.00183,0.00726,0.00183,0.01486
1413393890.656586885452271,0.00381,0.00015,0.00112,0.00252,0.01248,0.00126,0.02133
1413393890.706718683242798,0.00443,0.00019,0.00348,0.00451,0.00000,0.00126,0.01387
1413393890.756813764572144,0.00313,0.00018,0.00102,0.00454,0.00113,0.00136,0.01136
1413393890.806860685348511,0.00317,0.00018,0.00297,0.00478,0.00000,0.00130,0.01241
1413393890.856851577758789,0.00351,0.00018,0.00279,0.00478,0.00000,0.00139,0.01266
1413393890.906858444213867,0.00345,0.00018,0.00106,0.00491,0.00000,0.00135,0.01095
1413393890.956825494766235,0.00321,0.00018,0.00295,0.00477,0.00000,0.00142,0.01253
1413393891.006817817687988,0.00324,0.00025,0.00231,0.00475,0.00000,0.00180,0.01236
1413393891.056757926940918,0.00386,0.00019,0.00211,0.00474,0.00000,0.00135,0.01226
1413393891.106692314147949,0.00401,0.00020,0.00142,0.00469,0.00000,0.00139,0.01171
1413393891.156663656234741,0.00355,0.00018,0.00228,0.00456,0.00113,0.00194,0.01364
1413393891.206626176834106,0.00348,0.00019,0.00358,0.00488,0.00000,0.00149,0.01362
1413393891.256638765335083,0.00321,0.00017,0.00167,0.00493,0.00000,0.00137,0.01135
1413393891.306812286376953,0.00319,0.00019,0.00320,0.00537,0.00000,0.00174,0.01368
1413393891.356916189193726,0.00340,0.00018,0.00174,0.00410,0.00000,0.00124,0.01066
1413393891.406854629516602,0.00404,0.00017,0.00174,0.00358,0.00283,0.00121,0.01356
1413393891.456779956817627,0.00376,0.00018,0.00059,0.00377,0.00292,0.00123,0.01245
1413393891.506645202636719,0.00418,0.00017,0.00052,0.00366,0.00001,0.00122,0.00975
1413393891.556483983993530,0.00449,0.00017,0.00014,0.00350,0.00273,0.00131,0.01233
1413393891.606296062469482,0.00341,0.00017,0.00005,0.00378,0.00098,0.00128,0.00966
1413393891.656115531921387,0.00331,0.00017,0.00007,0.00385,0.00106,0.00149,0.00994
1413393891.706084728240967,0.00350,0.00019,0.00013,0.00397,0.00105,0.00150,0.01034
1413393891.756007432937622,0.00325,0.00017,0.00011,0.00384,0.00102,0.00147,0.00986
1413393891.805904150009155,0.00315,0.00016,0.00049,0.00391,0.00323,0.00134,0.01226
1413393891.855877161026001,0.00322,0.00017,0.00036,0.00394,0.00165,0.00137,0.01071
1413393891.905814886093140,0.00397,0.00018,0.00007,0.00385,0.00160,0.00123,0.01090
1413393891.955760240554810,0.00403,0.00017,0.00426,0.00404,0.00208,0.00124,0.01582
1413393892.005736827850342,0.00466,0.00017,0.00575,0.00451,0.00002,0.00129,0.01641
1413393892.055779695510864,0.00378,0.00018,0.00039,0.00439,0.00220,0.00128,0.01223
1413393892.105865001678467,0.00394,0.00018,0.00437,0.00430,0.00016,0.00129,0.01425
1413393892.155876398086548,0.00460,0.00018,0.00028,0.00407,0.00001,0.00128,0.01041
1413393892.205834627151489,0.00398,0.00017,0.00041,0.00401,0.00070,0.00130,0.01057
1413393892.255796432495117,0.00391,0.00017,0.00078,0.00411,0.00001,0.00133,0.01030
1413393892.305743455886841,0.00470,0.00017,0.00033,0.00412,0.00057,0.00147,0.01136
1413393892.355725288391113,0.00386,0.00018,0.00138,0.00400,0.00000,0.00128,0.01069
1413393892.405679464340210,0.00426,0.00017,0.00121,0.00374,0.00016,0.00127,0.01082
1413393892.455643653869629,0.00346,0.00016,0.00030,0.00363,0.00000,0.00130,0.00885
1413393892.505602121353149,0.00415,0.00017,0.00036,0.00312,0.00213,0.00140,0.01133
1413393892.555603504180908,0.00355,0.00016,0.00113,0.00294,0.00479,0.00126,0.01384
1413393892.605601072311401,0.00329,0.00017,0.00044,0.00335,0.00268,0.00125,0.01119
1413393892.655605554580688,0.00482,0.00017,0.00051,0.00358,0.00001,0.00129,0.01039
1413393892.705615043640137,0.00350,0.00016,0.00305,0.00338,0.00706,0.00123,0.01839
1413393892.755614280700684,0.00473,0.00018,0.00255,0.00415,0.00019,0.00132,0.01312
1413393892.805622100830078,0.00348,0.00017,0.00024,0.00361,0.00311,0.00139,0.01199
1413393892.855606794357300,0.00342,0.00017,0.00152,0.00379,0.00215,0.00134,0.01239
1413393892.905591726303101,0.00340,0.00017,0.00135,0.00400,0.00057,0.00140,0.01088
1413393892.955587148666382,0.00327,0.00017,0.00169,0.00357,0.00190,0.00136,0.01197
1413393893.005595207214355,0.00316,0.00017,0.00066,0.00356,0.00009,0.00136,0.00900
1413393893.055615425109863,0.00503,0.00018,0.00245,0.00270,0.00162,0.00141,0.01339
1413393893.105636835098267,0.00334,0.00017,0.00115,0.00296,0.00000,0.00143,0.00905
1413393893.155671119689941,0.00324,0.00017,0.00001,0.00287,0.00055,0.00141,0.00823
1413393893.205676317214966,0.00330,0.00017,0.00341,0.00290,0.00360,0.00143,0.01481
1413393893.255684375762939,0.00325,0.00018,0.00004,0.00378,0.00060,0.00145,0.00929
1413393893.305676460266113,0.00326,0.00018,0.00757,0.00367,0.00058,0.00141,0.01667
1413393893.355671644210815,0.00332,0.00018,0.00316,0.00348,0.00000,0.00149,0.01162
1413393893.405668258666992,0.00320,0.00018,0.00071,0.00325,0.00001,0.00137,0.00873
1413393893.455677986145020,0.00392,0.00023,0.00059,0.00319,0.00265,0.00184,0.01243
1413393893.505690574645996,0.00338,0.00017,0.00119,0.00327,0.00166,0.00139,0.01107
1413393893.555685997009277,0.00317,0.00025,0.00285,0.00337,0.00000,0.00179,0.01143
1413393893.605670928955078,0.00423,0.00018,0.00836,0.00288,0.00001,0.00139,0.01705
1413393893.655646800994873,0.00346,0.00023,0.00011,0.00263,0.00316,0.00189,0.01148
1413393893.705644607543945,0.00410,0.00018,0.00051,0.00333,0.00001,0.00137,0.00950
1413393893.755645036697388,0.00340,0.00023,0.00050,0.00304,0.00002,0.00178,0.00897
1413393893.805647373199463,0.00349,0.00016,0.00257,0.00263,0.00311,0.00140,0.01336
1413393893.855652332305908,0.00433,0.00018,0.00290,0.00288,0.00001,0.00166,0.01196
1413393893.905651092529297,0.00463,0.00016,0.00417,0.00244,0.00418,0.00140,0.01698
1413393893.955648899078369,0.00332,0.00017,0.00296,0.00262,0.00205,0.00168,0.01280
1413393894.005643606185913,0.00405,0.00017,0.00201,0.00238,0.00111,0.00137,0.01109
1413393894.055645227432251,0.00394,0.00017,0.00139,0.00217,0.00002,0.00180,0.00949
1413393894.105650186538696,0.00378,0.00017,0.00113,0.00193,0.00053,0.00130,0.00884
1413393894.155672073364258,0.00372,0.00016,0.00050,0.00190,0.00560,0.00181,0.01370
1413393894.205683946609497,0.00480,0.00017,0.00089,0.00228,0.00147,0.00140,0.01100
1413393894.255693912506104,0.00352,0.00016,0.00086,0.00190,0.00179,0.00173,0.00994
1413393894.305700302124023,0.00396,0.00016,0.00035,0.00214,0.00049,0.00136,0.00846
1413393894.355702877044678,0.00391,0.00017,0.00208,0.00204,0.00093,0.00180,0.01092
1413393894.405704021453857,0.00452,0.00015,0.00051,0.00207,0.00048,0.00138,0.00911
1413393894.455707550048828,0.00362,0.00015,0.00039,0.00209,0.00854,0.00144,0.01624
1413393894.505711078643799,0.00346,0.00017,0.00099,0.00333,0.00159,0.00142,0.01097
1413393894.555712699890137,0.00369,0.00017,0.00027,0.00363,0.00603,0.00133,0.01512
1413393894.605714321136475,0.00432,0.00019,0.00185,0.00448,0.00000,0.00140,0.01224
1413393894.655711650848389,0.00343,0.00018,0.00048,0.00448,0.00114,0.00131,0.01103
1413393894.705707788467407,0.00346,0.00018,0.00135,0.00456,0.00062,0.00144,0.01161
1413393894.755711555480957,0.00363,0.00019,0.00767,0.00420,0.00000,0.00142,0.01710
1413393894.805706501007080,0.00370,0.00018,0.00033,0.00418,0.00001,0.00137,0.00977
1413393894.855705976486206,0.00366,0.00018,0.00084,0.00372,0.00035,0.00138,0.01013
