# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.986807346343994,0.00177,0.00009,0.00051,0.00000,0.00000,0.00108,0.00345
1403637150.037493944168091,0.00176,0.00010,0.00151,0.00000,0.00282,0.00106,0.00724
1403637150.087430953979492,0.00189,0.00013,0.00177,0.00048,0.00000,0.00078,0.00506
1403637150.137252807617188,0.00191,0.00012,0.00028,0.00032,0.00000,0.00071,0.00334
1403637150.187227725982666,0.00160,0.00011,0.00017,0.00028,0.00000,0.00068,0.00285
1403637150.237072467803955,0.00204,0.00012,0.00042,0.00021,0.00000,0.00071,0.00349
1403637150.287117481231689,0.00318,0.00012,0.00049,0.00018,0.00000,0.00066,0.00463
1403637150.337366580963135,0.00275,0.00011,0.00028,0.00018,0.00000,0.00072,0.00404
1403637150.387448310852051,0.00244,0.00013,0.00042,0.00017,0.00001,0.00069,0.00386
1403637150.437559604644775,0.00231,0.00017,0.00062,0.00008,0.00000,0.00072,0.00391
1403637150.487556219100952,0.00237,0.00013,0.00021,0.00008,0.00000,0.00113,0.00391
1403637150.537575006484985,0.00188,0.00013,0.00018,0.00004,0.00028,0.00083,0.00335
1403637150.587559223175049,0.00190,0.00013,0.00049,0.00005,0.00000,0.00080,0.00337
1403637150.637574672698975,0.00192,0.00012,0.00036,0.00003,0.00219,0.00075,0.00537
1403637150.687571048736572,0.00188,0.00012,0.00143,0.00018,0.00198,0.00104,0.00663
1403637150.737574338912964,0.00208,0.00014,0.00036,0.00038,0.00000,0.00084,0.00380
1403637150.787566184997559,0.00164,0.00014,0.00025,0.00036,0.00036,0.00086,0.00362
1403637150.837592601776123,0.00171,0.00014,0.00078,0.00032,0.00034,0.00075,0.00405
1403637150.887641191482544,0.00191,0.00014,0.00044,0.00033,0.00195,0.00081,0.00558
1403637150.937668323516846,0.00168,0.00015,0.00055,0.00060,0.00054,0.00081,0.00433
1403637150.987674951553345,0.00195,0.00018,0.00058,0.00064,0.00347,0.00087,0.00769
1403637151.037708520889282,0.00185,0.00015,0.00034,0.00116,0.00190,0.00093,0.00633
1403637151.087733268737793,0.00159,0.00014,0.00031,0.00130,0.00133,0.00088,0.00556
1403637151.137894868850708,0.00126,0.00015,0.00167,0.00133,0.00430,0.00082,0.00953
1403637151.188055515289307,0.00147,0.00016,0.00080,0.00173,0.00290,0.00088,0.00793
1403637151.238054990768433,0.00190,0.00017,0.00122,0.00212,0.00010,0.00107,0.00658
1403637151.288023948669434,0.00148,0.00016,0.00061,0.00169,0.00147,0.00076,0.00617
1403637151.337961196899414,0.00160,0.00015,0.00072,0.00196,0.00000,0.00084,0.00527
1403637151.387931823730469,0.00194,0.00017,0.00038,0.00189,0.00151,0.00085,0.00675
1403637151.437927722930908,0.00196,0.00015,0.00124,0.00166,0.00066,0.00082,0.00649
1403637151.487912416458130,0.00164,0.00015,0.00014,0.00168,0.00013,0.00081,0.00456
1403637151.537884473800659,0.00188,0.00016,0.00151,0.00154,0.00202,0.00089,0.00801
1403637151.587895154953003,0.00189,0.00016,0.00018,0.00171,0.00103,0.00083,0.00580
1403637151.637869358062744,0.00182,0.00018,0.00021,0.00180,0.00016,0.00086,0.00503
1403637151.687851667404175,0.00173,0.00015,0.00026,0.00169,0.00000,0.00088,0.00471
1403637151.737855672836304,0.00178,0.00015,0.00046,0.00165,0.00093,0.00095,0.00591
