# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861349105834961,0.00160,0.00009,0.00028,0.00000,0.00000,0.00101,0.00298
1403715278.911096334457397,0.00199,0.00011,0.00138,0.00000,0.00505,0.00110,0.00963
1403715278.960974216461182,0.00160,0.00017,0.00165,0.00142,0.00000,0.00067,0.00550
1403715279.010958194732666,0.00149,0.00015,0.00007,0.00139,0.00000,0.00078,0.00389
1403715279.060915708541870,0.00175,0.00016,0.00035,0.00126,0.00000,0.00082,0.00434
1403715279.110870122909546,0.00161,0.00018,0.00003,0.00144,0.00000,0.00078,0.00405
1403715279.160827875137329,0.00141,0.00016,0.00005,0.00140,0.00000,0.00077,0.00380
1403715279.210776567459106,0.00147,0.00016,0.00003,0.00145,0.00000,0.00087,0.00398
1403715279.260706901550293,0.00159,0.00015,0.00001,0.00145,0.00052,0.00086,0.00458
1403715279.310697793960571,0.00146,0.00016,0.00004,0.00152,0.00448,0.00099,0.00866
1403715279.360869169235229,0.00155,0.00018,0.00235,0.00210,0.00055,0.00086,0.00759
1403715279.411083459854126,0.00134,0.00016,0.00097,0.00247,0.00004,0.00089,0.00588
1403715279.461231470108032,0.00147,0.00020,0.00008,0.00239,0.00004,0.00121,0.00539
1403715279.511217117309570,0.00166,0.00023,0.00110,0.00236,0.00004,0.00091,0.00629
1403715279.561196565628052,0.00158,0.00023,0.00028,0.00244,0.00004,0.00120,0.00577
1403715279.611180782318115,0.00141,0.00018,0.00016,0.00239,0.00004,0.00094,0.00512
1403715279.661212205886841,0.00158,0.00020,0.00008,0.00240,0.00004,0.00093,0.00523
1403715279.711292266845703,0.00179,0.00019,0.00003,0.00251,0.00000,0.00106,0.00559
1403715279.761279821395874,0.00170,0.00020,0.00001,0.00241,0.00000,0.00084,0.00516
1403715279.811325073242188,0.00156,0.00017,0.00004,0.00237,0.00000,0.00090,0.00504
1403715279.861275196075439,0.00165,0.00019,0.00004,0.00264,0.00000,0.00098,0.00549
1403715279.911248207092285,0.00162,0.00019,0.00002,0.00242,0.00003,0.00127,0.00556
1403715279.961228847503662,0.00160,0.00019,0.00010,0.00239,0.00004,0.00104,0.00536
1403715280.011152505874634,0.00140,0.00018,0.00010,0.00241,0.00004,0.00119,0.00531
1403715280.061132431030273,0.00127,0.00021,0.00009,0.00237,0.00004,0.00084,0.00481
1403715280.111186742782593,0.00140,0.00020,0.00061,0.00240,0.00004,0.00085,0.00551
1403715280.161490201950073,0.00161,0.00020,0.00076,0.00235,0.00064,0.00122,0.00680
1403715280.211859941482544,0.00163,0.00016,0.00012,0.00253,0.00059,0.00085,0.00588
1403715280.262371540069580,0.00161,0.00021,0.00010,0.00270,0.00000,0.00085,0.00548
1403715280.312394142150879,0.00164,0.00021,0.00004,0.00268,0.00000,0.00087,0.00544
1403715280.362379312515259,0.00153,0.00018,0.00002,0.00271,0.00000,0.00086,0.00530
1403715280.412300109863281,0.00157,0.00017,0.00045,0.00248,0.00000,0.00093,0.00560
1403715280.462094545364380,0.00164,0.00021,0.00149,0.00240,0.00000,0.00087,0.00661
1403715280.512033224105835,0.00166,0.00017,0.00013,0.00234,0.00000,0.00084,0.00514
1403715280.561964035034180,0.00167,0.00017,0.00230,0.00216,0.00052,0.00110,0.00792
1403715280.611965894699097,0.00179,0.00017,0.00105,0.00212,0.00110,0.00087,0.00711
