# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.784058094024658,0.00174,0.00009,0.00018,0.00000,0.00000,0.00109,0.00311
1403715893.834058046340942,0.00179,0.00010,0.00038,0.00000,0.00047,0.00109,0.00383
1403715893.884057998657227,0.00181,0.00010,0.00040,0.00000,0.00000,0.00073,0.00304
1403715893.934057950973511,0.00174,0.00012,0.00010,0.00000,0.00000,0.00084,0.00280
1403715893.984057903289795,0.00175,0.00010,0.00005,0.00000,0.00000,0.00089,0.00278
1403715894.034058094024658,0.00179,0.00011,0.00008,0.00000,0.00000,0.00086,0.00285
1403715894.084058046340942,0.00179,0.00011,0.00007,0.00000,0.00000,0.00082,0.00279
1403715894.134057998657227,0.00196,0.00011,0.00007,0.00000,0.00000,0.00091,0.00306
1403715894.187606096267700,0.00169,0.00011,0.00008,0.00000,0.00034,0.00089,0.00311
1403715894.234746456146240,0.00195,0.00012,0.00008,0.00007,0.00177,0.00088,0.00485
1403715894.284756422042847,0.00191,0.00013,0.00006,0.00018,0.00200,0.00092,0.00519
1403715894.334750890731812,0.00170,0.00014,0.00008,0.00041,0.00000,0.00091,0.00325
1403715894.384858369827271,0.00165,0.00013,0.00028,0.00041,0.00000,0.00096,0.00343
1403715894.434053659439087,0.00185,0.00014,0.00543,0.00035,0.01375,0.00098,0.02251
1403715894.483865737915039,0.00200,0.00017,0.00752,0.00239,0.00000,0.00084,0.01292
1403715894.533945560455322,0.00182,0.00017,0.00254,0.00248,0.00000,0.00093,0.00794
1403715894.583980321884155,0.00179,0.00018,0.00055,0.00252,0.00000,0.00093,0.00597
1403715894.634027242660522,0.00145,0.00016,0.00008,0.00238,0.00000,0.00093,0.00501
1403715894.684077501296997,0.00190,0.00019,0.00108,0.00232,0.00057,0.00090,0.00697
1403715894.734119892120361,0.00174,0.00017,0.00035,0.00231,0.00000,0.00097,0.00554
1403715894.784173011779785,0.00185,0.00019,0.00089,0.00241,0.00118,0.00108,0.00760
1403715894.834317445755005,0.00202,0.00021,0.00300,0.00253,0.00000,0.00106,0.00882
1403715894.884300947189331,0.00170,0.00017,0.00190,0.00245,0.00000,0.00092,0.00714
1403715894.934288501739502,0.00196,0.00017,0.00058,0.00222,0.00000,0.00088,0.00581
1403715894.984239816665649,0.00189,0.00017,0.00260,0.00217,0.00052,0.00119,0.00853
1403715895.034189939498901,0.00186,0.00019,0.00723,0.00209,0.00104,0.00090,0.01331
1403715895.084212541580200,0.00211,0.00019,0.00693,0.00222,0.00053,0.00089,0.01287
1403715895.134200334548950,0.00187,0.00017,0.00284,0.00232,0.00055,0.00086,0.00861
1403715895.184176921844482,0.00169,0.00021,0.00052,0.00250,0.00000,0.00087,0.00579
1403715895.234184980392456,0.00200,0.00019,0.00078,0.00240,0.00000,0.00092,0.00629
1403715895.284148454666138,0.00203,0.00020,0.00031,0.00239,0.00110,0.00095,0.00697
1403715895.334148645401001,0.00190,0.00017,0.00216,0.00211,0.00051,0.00103,0.00788
1403715895.384160757064819,0.00169,0.00017,0.00224,0.00234,0.00175,0.00147,0.00966
1403715895.434150218963623,0.00199,0.00019,0.00286,0.00248,0.00000,0.00125,0.00878
