# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.860895872116089,0,5,0,0,5
1403715278.911948442459106,32,32,0,32,6
1403715278.961881399154663,31,8,31,0,7
1403715279.011535167694092,29,0,29,0,8
1403715279.061416625976562,29,0,29,0,9
1403715279.111168146133423,29,0,29,0,10
1403715279.161201238632202,28,2,28,0,11
1403715279.211376190185547,28,1,28,0,11
1403715279.261339187622070,30,0,28,2,11
1403715279.311369657516479,34,0,30,4,11
1403715279.361598968505859,35,0,34,1,11
1403715279.411714076995850,44,0,35,9,11
1403715279.461827278137207,44,0,44,0,11
1403715279.511915206909180,47,23,44,3,11
1403715279.561821222305298,47,0,47,0,11
1403715279.611826419830322,48,1,47,1,11
1403715279.661826372146606,48,0,48,0,11
1403715279.711879968643188,48,0,48,0,11
1403715279.761850595474243,48,0,48,0,11
1403715279.811880826950073,48,0,48,0,11
1403715279.861836433410645,48,0,48,0,11
1403715279.911828994750977,48,0,48,0,11
1403715279.961779117584229,48,2,48,0,11
1403715280.011716365814209,48,0,48,0,11
1403715280.061704158782959,48,0,48,0,11
1403715280.111768484115601,48,20,48,0,11
1403715280.161941289901733,48,0,47,1,11
1403715280.212186574935913,48,1,48,0,11
1403715280.262594699859619,47,0,47,0,11
1403715280.312647581100464,47,0,47,0,11
1403715280.362638235092163,47,0,47,0,11
1403715280.412578821182251,47,0,46,0,11
1403715280.462429523468018,47,2,46,0,11
1403715280.512358665466309,46,0,45,1,11
1403715280.562229871749878,46,1,45,1,11
1403715280.612199544906616,45,0,45,0,11
1403715280.662064313888550,48,1,43,3,11
1403715280.712040185928345,47,23,45,0,11
1403715280.762041330337524,47,1,44,3,11
1403715280.812061071395874,47,0,44,2,11
1403715280.862098932266235,47,0,45,0,11
1403715280.912167787551880,46,0,44,0,11
1403715280.962202548980713,43,0,42,0,11
1403715281.012215614318848,42,0,41,1,11
1403715281.062215805053711,42,1,42,0,11
1403715281.112199783325195,47,0,42,5,11
1403715281.162190675735474,45,1,45,0,11
1403715281.212226152420044,45,2,45,0,11
1403715281.262343168258667,45,0,43,1,11
1403715281.312443256378174,46,16,43,3,11
1403715281.362456083297729,48,5,45,3,11
1403715281.412500619888306,48,0,47,0,11
1403715281.462531328201294,48,0,47,0,11
1403715281.512494087219238,48,0,47,1,11
1403715281.562478780746460,48,0,47,0,11
1403715281.612473964691162,49,13,43,2,11
1403715281.662465572357178,49,0,41,1,11
1403715281.712444067001343,41,0,37,0,11
1403715281.762409925460815,36,0,35,0,11
1403715281.812418222427368,36,0,34,0,11
1403715281.862400770187378,33,2,32,0,11
1403715281.912411451339722,48,0,32,16,11
1403715281.962420701980591,48,5,47,0,11
1403715282.012430906295776,48,0,47,0,11
1403715282.062433004379272,48,0,47,1,11
1403715282.112427234649658,48,0,47,0,11
1403715282.162456512451172,48,0,46,0,11
1403715282.212454080581665,50,9,46,3,11
1403715282.262475252151489,50,0,47,1,11
1403715282.312463760375977,49,22,47,0,11
1403715282.362452268600464,49,0,47,1,11
1403715282.412433862686157,46,0,44,0,11
1403715282.462420225143433,45,0,44,0,11
1403715282.512400388717651,44,0,44,0,11
1403715282.562410593032837,47,0,42,5,11
1403715282.612414121627808,46,1,45,0,11
1403715282.662420749664307,46,1,46,0,11
1403715282.712410449981689,45,1,45,0,11
1403715282.762409448623657,45,0,45,0,11
1403715282.812412738800049,48,5,45,3,11
1403715282.862386226654053,48,0,48,0,11
1403715282.912381172180176,50,19,47,2,11
1403715282.962377548217773,50,1,48,0,11
1403715283.012375116348267,50,3,47,1,11
1403715283.062369108200073,49,0,47,0,11
1403715283.112364768981934,49,29,46,2,11
1403715283.162360191345215,49,0,47,1,11
1403715283.212352275848389,49,0,47,0,11
1403715283.262339591979980,47,0,46,0,11
1403715283.312332868576050,47,0,45,1,11
1403715283.362319231033325,45,0,44,0,11
1403715283.412275314331055,47,0,43,4,11
1403715283.462228536605835,42,0,42,0,11
1403715283.512153863906860,48,8,40,8,11
1403715283.562157630920410,48,0,48,0,11
1403715283.612156391143799,48,1,48,0,11
1403715283.662199020385742,48,1,48,0,11
1403715283.712261438369751,50,22,48,2,11
1403715283.762306451797485,49,0,49,0,11
1403715283.812332391738892,49,0,49,0,11
1403715283.862344503402710,49,0,49,0,11
1403715283.912349700927734,48,0,48,0,11
1403715283.962363481521606,48,0,48,0,11
1403715284.012384653091431,49,0,47,1,11
1403715284.062404394149780,50,9,48,1,11
1403715284.112461090087891,50,30,48,1,11
1403715284.162423849105835,49,0,47,0,11
1403715284.212391138076782,48,0,47,0,11
1403715284.262375116348267,48,0,45,1,11
1403715284.312356472015381,50,15,46,2,11
1403715284.362354278564453,50,1,48,2,11
1403715284.412377119064331,50,1,48,0,11
1403715284.462349414825439,50,0,49,0,11
1403715284.512336015701294,48,0,47,0,11
1403715284.562324285507202,48,0,47,0,11
1403715284.612318992614746,47,0,47,0,11
1403715284.662293672561646,47,6,46,0,11
1403715284.712244749069214,50,23,46,4,11
1403715284.762219190597534,50,0,49,0,11
1403715284.812216758728027,50,0,49,0,11
1403715284.862221479415894,50,0,49,1,11
1403715284.912213563919067,50,15,50,0,11
1403715284.962239742279053,50,0,50,0,11
1403715285.012263059616089,50,0,50,0,11
1403715285.062275648117065,50,1,49,0,11
