# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.048401594161987,0.00743,0.00010,0.00051,0.00000,0.00000,0.00205,0.01010
1413393890.105954408645630,0.00780,0.00009,0.00168,0.00000,0.00266,0.00203,0.01427
1413393890.155956745147705,0.00709,0.00013,0.00019,0.00057,0.00000,0.00227,0.01025
1413393890.206164121627808,0.00872,0.00013,0.00028,0.00058,0.00000,0.00192,0.01163
1413393890.256261825561523,0.00695,0.00012,0.00028,0.00057,0.00001,0.00191,0.00984
1413393890.306619644165039,0.00939,0.00020,0.00042,0.00103,0.00000,0.00223,0.01328
1413393890.356767177581787,0.00744,0.00014,0.00014,0.00065,0.00000,0.00202,0.01039
1413393890.406805515289307,0.00719,0.00013,0.00063,0.00057,0.00000,0.00205,0.01058
1413393890.456408739089966,0.00734,0.00012,0.00027,0.00057,0.00135,0.00210,0.01176
1413393890.506178379058838,0.00690,0.00012,0.00033,0.00072,0.00034,0.00190,0.01031
1413393890.555903911590576,0.00680,0.00013,0.00045,0.00086,0.00655,0.00200,0.01679
1413393890.606057643890381,0.00702,0.00015,0.00009,0.00160,0.01026,0.00198,0.02108
1413393890.656315565109253,0.00676,0.00015,0.00027,0.00245,0.00102,0.00217,0.01282
1413393890.706572055816650,0.00704,0.00017,0.00359,0.00309,0.01092,0.00221,0.02701
1413393890.756689548492432,0.00730,0.00019,0.00374,0.00434,0.00166,0.00203,0.01927
1413393890.806736946105957,0.00750,0.00021,0.00120,0.00486,0.00000,0.00210,0.01587
1413393890.856710672378540,0.00763,0.00017,0.00463,0.00471,0.00000,0.00216,0.01929
1413393890.906729221343994,0.00748,0.00017,0.00004,0.00486,0.00000,0.00212,0.01468
1413393890.956712484359741,0.00828,0.00017,0.00237,0.00462,0.00000,0.00218,0.01761
1413393891.006706237792969,0.00791,0.00017,0.00117,0.00483,0.00000,0.00206,0.01615
1413393891.056681156158447,0.00806,0.00016,0.00220,0.00475,0.00000,0.00234,0.01752
1413393891.106631994247437,0.00878,0.00017,0.00078,0.00470,0.00000,0.00243,0.01686
1413393891.156629323959351,0.00810,0.00019,0.00298,0.00468,0.00000,0.00237,0.01832
1413393891.206617116928101,0.00819,0.00018,0.00123,0.00476,0.00000,0.00232,0.01667
1413393891.256601333618164,0.00832,0.00020,0.00113,0.00467,0.00000,0.00254,0.01686
1413393891.306765079498291,0.00871,0.00017,0.00387,0.00495,0.00000,0.00226,0.01997
1413393891.356921434402466,0.00754,0.00018,0.00391,0.00423,0.00000,0.00221,0.01807
1413393891.406899690628052,0.00882,0.00016,0.00244,0.00323,0.00424,0.00234,0.02122
1413393891.456799507141113,0.01031,0.00018,0.00057,0.00359,0.00306,0.00220,0.01990
1413393891.506667613983154,0.00913,0.00015,0.00051,0.00356,0.00001,0.00234,0.01570
1413393891.556526899337769,0.01107,0.00015,0.00014,0.00351,0.00131,0.00215,0.01833
1413393891.606343269348145,0.00797,0.00014,0.00005,0.00378,0.00105,0.00211,0.01511
1413393891.656187534332275,0.00670,0.00018,0.00006,0.00403,0.00387,0.00232,0.01716
1413393891.706111192703247,0.00682,0.00017,0.00001,0.00452,0.00000,0.00220,0.01372
1413393891.755998849868774,0.00792,0.00017,0.00004,0.00449,0.00272,0.00211,0.01744
1413393891.805943727493286,0.00605,0.00016,0.00060,0.00448,0.00108,0.00214,0.01452
1413393891.855907917022705,0.00760,0.00018,0.00005,0.00440,0.00000,0.00228,0.01450
1413393891.905839681625366,0.00734,0.00019,0.00195,0.00374,0.00130,0.00229,0.01681
1413393891.955806016921997,0.00780,0.00030,0.00332,0.00434,0.00276,0.00208,0.02060
1413393892.005795001983643,0.00955,0.00029,0.00588,0.00385,0.00158,0.00220,0.02335
1413393892.055819749832153,0.00888,0.00018,0.00005,0.00403,0.00277,0.00227,0.01818
1413393892.105890750885010,0.00828,0.00019,0.00370,0.00437,0.00002,0.00213,0.01869
1413393892.155883312225342,0.00925,0.00020,0.00011,0.00391,0.00179,0.00194,0.01719
1413393892.205831527709961,0.00776,0.00016,0.00053,0.00443,0.00001,0.00207,0.01496
1413393892.255794525146484,0.00722,0.00016,0.00042,0.00374,0.00001,0.00195,0.01349
1413393892.305757045745850,0.00973,0.00019,0.00057,0.00411,0.00000,0.00228,0.01689
1413393892.355742692947388,0.00780,0.00017,0.00077,0.00426,0.00001,0.00252,0.01553
