# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636624.662684679031372,0,8,0,0,5
1403636624.712983131408691,17,31,0,17,6
1403636624.762792587280273,16,18,16,0,7
1403636624.812397003173828,16,2,15,0,8
1403636624.862210750579834,16,3,14,0,9
1403636624.912824869155884,14,3,13,0,10
1403636624.962978124618530,13,2,11,0,11
1403636625.013185024261475,13,1,8,0,11
1403636625.063526630401611,11,1,6,0,11
1403636625.113857984542847,8,1,4,0,11
1403636625.164364337921143,6,5,2,1,11
1403636625.214421749114990,4,6,3,0,11
1403636625.264244079589844,3,12,2,0,11
1403636625.314039945602417,16,12,2,14,11
1403636625.364824056625366,25,7,14,10,11
1403636625.415408849716187,25,1,15,0,11
1403636625.465650796890259,24,0,9,0,11
1403636625.515670776367188,15,0,5,0,11
1403636625.565580368041992,14,1,5,5,11
1403636625.615572929382324,10,0,10,0,11
1403636625.665534734725952,10,0,10,0,11
1403636625.715390205383301,10,3,10,0,11
1403636625.765242576599121,10,3,10,0,11
1403636625.815132617950439,10,2,10,0,11
1403636625.864993810653687,10,6,10,0,11
1403636625.914874553680420,12,2,10,2,11
1403636625.964769363403320,12,4,12,0,11
1403636626.014770984649658,12,2,12,0,11
1403636626.064773321151733,11,2,10,0,11
1403636626.114659547805786,11,4,10,0,11
1403636626.164557218551636,11,3,10,1,11
1403636626.214507341384888,15,1,11,4,11
1403636626.264563798904419,17,2,15,2,11
1403636626.314718723297119,18,1,17,1,11
1403636626.364522695541382,20,1,12,3,11
1403636626.414533853530884,20,0,14,0,11
1403636626.464497804641724,18,0,14,3,11
1403636626.514406681060791,21,2,17,4,11
1403636626.564352035522461,27,0,19,6,11
1403636626.614145517349243,28,1,25,1,11
1403636626.664077997207642,26,0,26,0,11
1403636626.713979959487915,26,1,26,0,11
1403636626.763855218887329,29,0,26,3,11
1403636626.813786745071411,29,0,28,0,11
1403636626.863698959350586,31,1,28,2,11
1403636626.913662672042847,31,0,30,1,11
1403636626.963647365570068,32,0,31,1,11
1403636627.013642311096191,32,0,32,0,11
1403636627.063687562942505,35,0,31,4,11
1403636627.113701581954956,40,0,35,5,11
1403636627.163587808609009,40,0,40,0,11
1403636627.213423490524292,40,0,40,0,11
1403636627.263184785842896,42,0,40,2,11
1403636627.313142299652100,42,0,42,0,11
1403636627.363177776336670,42,1,40,1,11
1403636627.413185834884644,42,0,40,0,11
1403636627.463207960128784,41,0,40,0,11
1403636627.513242006301880,40,2,39,0,11
1403636627.563236951828003,40,0,39,0,11
1403636627.613181114196777,39,0,38,1,11
1403636627.663087129592896,38,0,38,0,11
1403636627.712952136993408,37,0,37,0,11
1403636627.762870788574219,38,0,37,1,11
1403636627.812862157821655,38,2,38,0,11
1403636627.862827539443970,38,0,36,1,11
1403636627.912860393524170,38,0,37,0,11
1403636627.962952136993408,37,1,35,0,11
1403636628.013207674026489,44,2,30,10,11
1403636628.063481330871582,42,0,39,1,11
1403636628.113729715347290,41,2,40,1,11
1403636628.163824081420898,41,0,40,0,11
1403636628.213857173919678,40,0,37,0,11
1403636628.263797760009766,38,1,35,0,11
1403636628.313767433166504,35,0,34,0,11
1403636628.363727092742920,32,0,29,0,11
1403636628.413679838180542,31,2,28,0,11
1403636628.463596820831299,30,1,27,2,11
1403636628.513556480407715,28,0,28,0,11
1403636628.563514709472656,28,1,27,1,11
1403636628.613499879837036,31,1,28,3,11
1403636628.663483858108521,31,1,31,0,11
1403636628.713458538055420,35,0,31,4,11
1403636628.763436555862427,35,0,35,0,11
1403636628.813418388366699,35,0,35,0,11
1403636628.863405942916870,38,1,35,3,11
1403636628.913402080535889,39,0,37,1,11
1403636628.963400602340698,40,0,36,1,11
1403636629.013394594192505,40,0,36,1,11
1403636629.063390731811523,39,0,36,1,11
1403636629.113384962081909,38,0,29,0,11
1403636629.163386106491089,42,1,27,5,11
1403636629.213383197784424,32,2,29,0,11
1403636629.263376235961914,31,2,27,1,11
1403636629.313355684280396,30,0,28,0,11
1403636629.363317966461182,27,0,26,0,11
1403636629.413268089294434,27,1,26,0,11
1403636629.463281393051147,27,1,26,1,11
