# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636624.661420822143555,0,5,0,0,5
1403636624.712894201278687,23,26,0,23,6
1403636624.762533187866211,20,14,19,0,7
1403636624.812118768692017,19,1,15,0,8
1403636624.861799240112305,18,5,16,0,9
1403636624.912004947662354,16,4,11,0,10
1403636624.962026119232178,15,4,2,0,11
1403636625.011967420578003,9,2,1,0,11
1403636625.061967372894287,2,0,0,0,11
1403636625.111967325210571,1,0,0,0,11
1403636625.161967277526855,0,0,0,0,11
1403636625.212847232818604,0,9,0,0,11
1403636625.262836456298828,0,2,0,0,11
1403636625.313022136688232,7,0,0,7,11
1403636625.362898349761963,11,1,6,4,11
1403636625.413125514984131,11,1,10,0,11
1403636625.463432073593140,10,0,10,0,11
1403636625.513534307479858,10,0,10,0,11
1403636625.563454866409302,10,0,8,0,11
1403636625.612944364547729,12,0,8,2,11
1403636625.662318944931030,13,0,10,3,11
1403636625.712285757064819,12,4,12,0,11
1403636625.762503147125244,11,2,11,0,11
1403636625.812586307525635,25,12,11,14,11
1403636625.862677574157715,22,11,21,0,11
1403636625.912759065628052,29,10,19,8,11
1403636625.962731361389160,26,7,17,4,11
1403636626.012786865234375,22,10,19,0,11
1403636626.062779664993286,19,2,18,1,11
1403636626.112757682800293,19,8,16,0,11
1403636626.162826776504517,18,7,12,0,11
1403636626.213011741638184,18,7,12,3,11
1403636626.263231992721558,17,7,15,2,11
1403636626.313489675521851,21,5,17,4,11
1403636626.363634347915649,26,1,20,5,11
1403636626.413846492767334,31,1,25,5,11
1403636626.463978528976440,41,0,29,11,11
1403636626.513995170593262,43,6,39,4,11
1403636626.563959121704102,46,5,42,4,11
1403636626.613978624343872,47,1,46,1,11
1403636626.664035558700562,50,2,47,3,11
1403636626.714014053344727,50,7,50,0,11
1403636626.764020919799805,50,7,50,0,11
1403636626.814017772674561,50,7,50,0,11
1403636626.863947153091431,50,7,50,0,11
1403636626.913919925689697,50,1,50,0,11
1403636626.963889360427856,50,1,49,0,11
1403636627.013859510421753,48,1,47,0,11
1403636627.063857793807983,49,2,47,2,11
