# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636897.651822566986084,0.00218,0.00012,0.00052,0.00000,0.00000,0.00116,0.00398
1403636897.702986717224121,0.00268,0.00014,0.00163,0.00000,0.00199,0.00095,0.00739
1403636897.756561517715454,0.00233,0.00014,0.00161,0.00030,0.00000,0.00091,0.00530
1403636897.807561397552490,0.00224,0.00015,0.00017,0.00015,0.00000,0.00104,0.00375
1403636897.857892751693726,0.00207,0.00015,0.00011,0.00011,0.00001,0.00202,0.00447
1403636897.908617496490479,0.00211,0.00015,0.00033,0.00006,0.00001,0.00105,0.00371
1403636897.959041595458984,0.00237,0.00015,0.00025,0.00004,0.00001,0.00105,0.00387
1403636898.009041547775269,0.00219,0.00014,0.00007,0.00001,0.00000,0.00126,0.00368
1403636898.058952331542969,0.00242,0.00016,0.00023,0.00002,0.00007,0.00216,0.00505
1403636898.108842134475708,0.00218,0.00015,0.00025,0.00000,0.00012,0.00136,0.00408
1403636898.158842086791992,0.00279,0.00016,0.00020,0.00000,0.00032,0.00219,0.00568
1403636898.208807945251465,0.00216,0.00016,0.00034,0.00000,0.00003,0.00145,0.00413
1403636898.258021116256714,0.00216,0.00017,0.00059,0.00000,0.00132,0.00223,0.00648
1403636898.307205438613892,0.00221,0.00017,0.00023,0.00000,0.00549,0.00130,0.00941
1403636898.357969522476196,0.00224,0.00017,0.00034,0.00027,0.00900,0.00155,0.01356
1403636898.407652616500854,0.00185,0.00017,0.00085,0.00125,0.00000,0.00113,0.00525
1403636898.457556962966919,0.00171,0.00016,0.00044,0.00122,0.00056,0.00202,0.00612
1403636898.507332801818848,0.00160,0.00017,0.00065,0.00128,0.00397,0.00104,0.00870
1403636898.557488679885864,0.00211,0.00017,0.00203,0.00169,0.00176,0.00106,0.00883
1403636898.607415437698364,0.00193,0.00018,0.00079,0.00165,0.00427,0.00128,0.01010
1403636898.657357454299927,0.00159,0.00018,0.00042,0.00191,0.00016,0.00104,0.00531
1403636898.707404851913452,0.00223,0.00017,0.00237,0.00177,0.00245,0.00105,0.01004
1403636898.757211923599243,0.00201,0.00019,0.00035,0.00192,0.00006,0.00105,0.00558
1403636898.807121276855469,0.00194,0.00017,0.00183,0.00193,0.00061,0.00099,0.00747
1403636898.856968402862549,0.00277,0.00019,0.00032,0.00194,0.00188,0.00118,0.00828
1403636898.906732082366943,0.00191,0.00020,0.00501,0.00228,0.00078,0.00119,0.01137
1403636898.956664085388184,0.00181,0.00020,0.00081,0.00193,0.00059,0.00119,0.00653
1403636899.006510257720947,0.00202,0.00016,0.00063,0.00186,0.00128,0.00105,0.00699
1403636899.056170225143433,0.00215,0.00021,0.00080,0.00187,0.00114,0.00110,0.00727
1403636899.105775833129883,0.00203,0.00016,0.00124,0.00167,0.00394,0.00102,0.01005
1403636899.155483007431030,0.00198,0.00016,0.00047,0.00215,0.00072,0.00106,0.00654
1403636899.205060005187988,0.00225,0.00018,0.00082,0.00179,0.00065,0.00103,0.00671
1403636899.254605293273926,0.00177,0.00017,0.00178,0.00153,0.00283,0.00099,0.00907
1403636899.304558753967285,0.00220,0.00016,0.00170,0.00156,0.00321,0.00105,0.00988
1403636899.354546070098877,0.00228,0.00018,0.00077,0.00145,0.00161,0.00119,0.00748
1403636899.404564857482910,0.00210,0.00016,0.00035,0.00131,0.00222,0.00113,0.00728
1403636899.454510927200317,0.00205,0.00017,0.00096,0.00120,0.00014,0.00102,0.00554
1403636899.504297494888306,0.00241,0.00016,0.00036,0.00093,0.00077,0.00100,0.00564
1403636899.554092884063721,0.00216,0.00015,0.00014,0.00085,0.00050,0.00097,0.00477
1403636899.603969573974609,0.00186,0.00015,0.00005,0.00094,0.00000,0.00100,0.00400
1403636899.653842687606812,0.00225,0.00014,0.00053,0.00086,0.00046,0.00143,0.00568
1403636899.703819990158081,0.00239,0.00014,0.00039,0.00088,0.00011,0.00104,0.00496
1403636899.753765344619751,0.00230,0.00016,0.00038,0.00089,0.00219,0.00106,0.00698
1403636899.803693294525146,0.00176,0.00015,0.00092,0.00119,0.00048,0.00104,0.00554
1403636899.853723764419556,0.00247,0.00017,0.00158,0.00114,0.00204,0.00143,0.00883
1403636899.903743267059326,0.00224,0.00016,0.00140,0.00120,0.00250,0.00137,0.00886
1403636899.953670978546143,0.00181,0.00016,0.00035,0.00138,0.00022,0.00105,0.00497
1403636900.003489494323730,0.00181,0.00015,0.00036,0.00128,0.00150,0.00099,0.00610
1403636900.053469657897949,0.00163,0.00015,0.00144,0.00145,0.00256,0.00098,0.00822
1403636900.103437900543213,0.00244,0.00017,0.00103,0.00146,0.00128,0.00106,0.00744
1403636900.153403043746948,0.00191,0.00017,0.00031,0.00160,0.00059,0.00106,0.00564
1403636900.203424453735352,0.00190,0.00017,0.00062,0.00139,0.00056,0.00097,0.00561
1403636900.253421783447266,0.00158,0.00015,0.00070,0.00151,0.00003,0.00096,0.00492
1403636900.303404092788696,0.00200,0.00016,0.00040,0.00143,0.00152,0.00098,0.00649
1403636900.353376865386963,0.00178,0.00021,0.00077,0.00209,0.00106,0.00102,0.00694
1403636900.403269767761230,0.00176,0.00016,0.00043,0.00177,0.00207,0.00111,0.00730
1403636900.453228950500488,0.00185,0.00017,0.00010,0.00199,0.00231,0.00149,0.00790
1403636900.503195762634277,0.00222,0.00019,0.00080,0.00179,0.00129,0.00126,0.00756
1403636900.553139448165894,0.00209,0.00017,0.00073,0.00185,0.00070,0.00107,0.00661
1403636900.603124380111694,0.00179,0.00020,0.00053,0.00193,0.00003,0.00107,0.00554
1403636900.653036832809448,0.00184,0.00017,0.00070,0.00176,0.00399,0.00102,0.00948
1403636900.702998876571655,0.00187,0.00016,0.00327,0.00242,0.00242,0.00104,0.01117
1403636900.752982378005981,0.00204,0.00021,0.00147,0.00273,0.00331,0.00108,0.01084
1403636900.802972793579102,0.00197,0.00018,0.00167,0.00321,0.00001,0.00123,0.00826
1403636900.852924346923828,0.00200,0.00018,0.00038,0.00305,0.00000,0.00147,0.00707
1403636900.902901887893677,0.00193,0.00019,0.00154,0.00283,0.00003,0.00104,0.00756
1403636900.952920198440552,0.00157,0.00016,0.00163,0.00282,0.00072,0.00100,0.00791
1403636901.002908229827881,0.00153,0.00016,0.00053,0.00270,0.00060,0.00116,0.00669
1403636901.052901506423950,0.00151,0.00018,0.00016,0.00281,0.00008,0.00105,0.00579
1403636901.102889299392700,0.00151,0.00017,0.00068,0.00264,0.00066,0.00105,0.00671
1403636901.152851104736328,0.00183,0.00016,0.00249,0.00267,0.00067,0.00105,0.00888
1403636901.202831983566284,0.00160,0.00016,0.00065,0.00252,0.00007,0.00103,0.00603
1403636901.252828359603882,0.00159,0.00017,0.00248,0.00233,0.00008,0.00117,0.00782
1403636901.302844285964966,0.00217,0.00017,0.00352,0.00235,0.00123,0.00104,0.01049
1403636901.352837324142456,0.00203,0.00018,0.00106,0.00237,0.00349,0.00135,0.01047
1403636901.402909517288208,0.00200,0.00024,0.00187,0.00285,0.00068,0.00112,0.00877
1403636901.452972173690796,0.00198,0.00027,0.00070,0.00278,0.00001,0.00143,0.00716
1403636901.503002882003784,0.00252,0.00020,0.00068,0.00259,0.00182,0.00125,0.00906
1403636901.553036689758301,0.00205,0.00025,0.00049,0.00296,0.00078,0.00154,0.00807
1403636901.603029727935791,0.00239,0.00024,0.00057,0.00307,0.00001,0.00131,0.00759
1403636901.653061151504517,0.00214,0.00018,0.00179,0.00301,0.00210,0.00110,0.01032
1403636901.703066349029541,0.00205,0.00019,0.00279,0.00338,0.00001,0.00107,0.00950
1403636901.753042697906494,0.00188,0.00017,0.00274,0.00309,0.00065,0.00149,0.01002
1403636901.803013086318970,0.00166,0.00017,0.00161,0.00306,0.00064,0.00121,0.00835
1403636901.853006362915039,0.00173,0.00016,0.00305,0.00298,0.00062,0.00103,0.00958
1403636901.902970075607300,0.00236,0.00019,0.00390,0.00321,0.00077,0.00122,0.01167
1403636901.952960729598999,0.00180,0.00021,0.00151,0.00316,0.00070,0.00112,0.00851
1403636902.002946615219116,0.00195,0.00020,0.00159,0.00342,0.00000,0.00132,0.00849
