# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.942121267318726,0.00956,0.00014,0.00041,0.00000,0.00000,0.00251,0.01262
1403638132.992121219635010,0.00836,0.00013,0.00073,0.00000,0.00044,0.00243,0.01210
1403638133.042121410369873,0.00899,0.00014,0.00036,0.00000,0.00000,0.00237,0.01186
1403638133.092121362686157,0.00821,0.00014,0.00000,0.00000,0.00000,0.00253,0.01089
1403638133.142121315002441,0.00648,0.00015,0.00004,0.00000,0.00000,0.00227,0.00894
1403638133.192121267318726,0.00683,0.00015,0.00005,0.00000,0.00000,0.00224,0.00926
1403638133.242121219635010,0.00676,0.00017,0.00004,0.00000,0.00000,0.00253,0.00951
1403638133.292121410369873,0.00939,0.00016,0.00005,0.00000,0.00000,0.00252,0.01211
1403638133.342121362686157,0.00641,0.00015,0.00005,0.00000,0.00014,0.00224,0.00899
1403638133.392121315002441,0.00675,0.00015,0.00001,0.00000,0.00000,0.00241,0.00932
1403638133.442121267318726,0.00898,0.00027,0.00012,0.00000,0.00006,0.00312,0.01255
1403638133.492121219635010,0.00687,0.00017,0.00001,0.00000,0.00006,0.00241,0.00951
1403638133.533004283905029,0.00621,0.00016,0.00005,0.00000,0.00083,0.00229,0.00954
1403638133.591618061065674,0.00866,0.00015,0.00496,0.00004,0.00842,0.00246,0.02469
1403638133.642254114151001,0.00658,0.00017,0.00005,0.00041,0.00265,0.00229,0.01215
1403638133.692142009735107,0.00978,0.00025,0.00011,0.00079,0.00039,0.00320,0.01452
1403638133.742022514343262,0.00718,0.00017,0.00001,0.00051,0.00000,0.00242,0.01028
1403638133.791965007781982,0.00619,0.00016,0.00005,0.00050,0.00000,0.00233,0.00923
1403638133.842318058013916,0.00623,0.00017,0.00004,0.00053,0.00185,0.00226,0.01108
1403638133.892769098281860,0.00642,0.00016,0.00004,0.00059,0.00000,0.00216,0.00937
1403638133.943674802780151,0.00765,0.00026,0.00008,0.00088,0.00287,0.00314,0.01488
1403638133.994118452072144,0.00900,0.00031,0.00008,0.00107,0.00000,0.00248,0.01295
1403638134.044967412948608,0.00628,0.00017,0.00003,0.00060,0.00001,0.00235,0.00944
1403638134.095306873321533,0.01032,0.00018,0.00007,0.00047,0.00008,0.00271,0.01382
1403638134.145338296890259,0.01040,0.00018,0.00004,0.00027,0.00125,0.00272,0.01486
1403638134.195138692855835,0.00903,0.00016,0.00040,0.00020,0.00972,0.00262,0.02213
1403638134.244717597961426,0.01002,0.00017,0.00016,0.00035,0.00146,0.00247,0.01463
1403638134.294502258300781,0.00947,0.00015,0.00006,0.00030,0.00088,0.00254,0.01341
1403638134.344415187835693,0.00802,0.00016,0.00010,0.00026,0.00003,0.00260,0.01117
1403638134.394391298294067,0.00993,0.00015,0.00004,0.00019,0.00003,0.00265,0.01299
1403638134.444344758987427,0.01001,0.00016,0.00009,0.00013,0.00053,0.00258,0.01351
