# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.945096969604492,0.00530,0.00010,0.00018,0.00000,0.00000,0.00160,0.00719
1403638132.995096921920776,0.00494,0.00011,0.00045,0.00000,0.00038,0.00134,0.00722
1403638133.045097112655640,0.00588,0.00019,0.00079,0.00000,0.00000,0.00160,0.00846
1403638133.095097064971924,0.00602,0.00012,0.00046,0.00000,0.00000,0.00127,0.00787
1403638133.145097017288208,0.00524,0.00012,0.00003,0.00000,0.00000,0.00136,0.00675
1403638133.195096969604492,0.00500,0.00011,0.00002,0.00000,0.00000,0.00139,0.00653
1403638133.245096921920776,0.00530,0.00013,0.00004,0.00000,0.00000,0.00129,0.00676
1403638133.295097112655640,0.00533,0.00013,0.00005,0.00000,0.00000,0.00130,0.00682
1403638133.345097064971924,0.00549,0.00011,0.00005,0.00000,0.00002,0.00128,0.00695
1403638133.395097017288208,0.00612,0.00012,0.00003,0.00000,0.00000,0.00134,0.00762
1403638133.445096969604492,0.00590,0.00011,0.00005,0.00000,0.00000,0.00137,0.00744
1403638133.495096921920776,0.00580,0.00014,0.00003,0.00000,0.00004,0.00198,0.00798
1403638133.545097112655640,0.00623,0.00013,0.00011,0.00000,0.00000,0.00141,0.00787
1403638133.590428590774536,0.00610,0.00012,0.00108,0.00000,0.00165,0.00151,0.01045
1403638133.641241788864136,0.00630,0.00013,0.00012,0.00009,0.00482,0.00205,0.01351
1403638133.692345380783081,0.00675,0.00014,0.00008,0.00025,0.00167,0.00207,0.01096
1403638133.742210388183594,0.00642,0.00014,0.00003,0.00039,0.00000,0.00155,0.00853
1403638133.792129278182983,0.00606,0.00014,0.00007,0.00038,0.00000,0.00139,0.00805
1403638133.842155218124390,0.00644,0.00013,0.00004,0.00038,0.00010,0.00129,0.00838
1403638133.892157554626465,0.00589,0.00015,0.00005,0.00036,0.00075,0.00130,0.00849
1403638133.943810701370239,0.00559,0.00015,0.00006,0.00035,0.00262,0.00134,0.01010
1403638133.994591712951660,0.00524,0.00014,0.00006,0.00046,0.00091,0.00160,0.00841
1403638134.045312643051147,0.00544,0.00016,0.00007,0.00046,0.00022,0.00144,0.00779
1403638134.095731496810913,0.00533,0.00014,0.00009,0.00032,0.00017,0.00142,0.00746
1403638134.146047830581665,0.00582,0.00021,0.00075,0.00035,0.00006,0.00187,0.00907
1403638134.195226192474365,0.00661,0.00021,0.00360,0.00014,0.00870,0.00223,0.02148
1403638134.244548559188843,0.00575,0.00023,0.00150,0.00060,0.00596,0.00155,0.01560
1403638134.294287443161011,0.00635,0.00015,0.00103,0.00094,0.00251,0.00145,0.01243
1403638134.344164609909058,0.00502,0.00018,0.00031,0.00088,0.00001,0.00130,0.00770
1403638134.394016742706299,0.00502,0.00016,0.00010,0.00069,0.00057,0.00196,0.00849
