# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.945096969604492,0.00159,0.00010,0.00018,0.00000,0.00000,0.00117,0.00305
1403638132.995096921920776,0.00149,0.00010,0.00045,0.00000,0.00038,0.00100,0.00343
1403638133.045097112655640,0.00202,0.00019,0.00079,0.00000,0.00000,0.00123,0.00424
1403638133.095097064971924,0.00209,0.00012,0.00046,0.00000,0.00000,0.00096,0.00363
1403638133.145097017288208,0.00162,0.00012,0.00003,0.00000,0.00000,0.00092,0.00269
1403638133.195096969604492,0.00151,0.00011,0.00002,0.00000,0.00000,0.00095,0.00259
1403638133.245096921920776,0.00166,0.00012,0.00004,0.00000,0.00000,0.00092,0.00274
1403638133.295097112655640,0.00166,0.00013,0.00005,0.00000,0.00000,0.00097,0.00281
1403638133.345097064971924,0.00174,0.00011,0.00005,0.00000,0.00002,0.00092,0.00284
1403638133.395097017288208,0.00206,0.00012,0.00003,0.00000,0.00000,0.00096,0.00317
1403638133.445096969604492,0.00192,0.00011,0.00005,0.00000,0.00000,0.00111,0.00320
1403638133.495096921920776,0.00195,0.00014,0.00003,0.00000,0.00004,0.00139,0.00355
1403638133.545097112655640,0.00203,0.00013,0.00011,0.00000,0.00000,0.00113,0.00340
1403638133.590428590774536,0.00203,0.00012,0.00108,0.00000,0.00165,0.00119,0.00607
1403638133.641241788864136,0.00207,0.00013,0.00012,0.00009,0.00482,0.00162,0.00885
1403638133.692345380783081,0.00234,0.00014,0.00008,0.00025,0.00167,0.00146,0.00593
1403638133.742210388183594,0.00216,0.00014,0.00003,0.00039,0.00000,0.00126,0.00399
1403638133.792129278182983,0.00194,0.00014,0.00007,0.00038,0.00000,0.00103,0.00357
1403638133.842155218124390,0.00221,0.00013,0.00004,0.00038,0.00010,0.00104,0.00389
1403638133.892157554626465,0.00195,0.00015,0.00005,0.00036,0.00075,0.00105,0.00431
1403638133.943810701370239,0.00176,0.00015,0.00006,0.00035,0.00262,0.00109,0.00602
1403638133.994591712951660,0.00177,0.00014,0.00006,0.00046,0.00091,0.00123,0.00457
1403638134.045312643051147,0.00168,0.00016,0.00007,0.00046,0.00022,0.00109,0.00369
1403638134.095731496810913,0.00166,0.00014,0.00009,0.00032,0.00017,0.00108,0.00346
1403638134.146047830581665,0.00206,0.00021,0.00075,0.00035,0.00006,0.00153,0.00496
1403638134.195226192474365,0.00251,0.00021,0.00360,0.00014,0.00870,0.00158,0.01674
1403638134.244548559188843,0.00196,0.00023,0.00150,0.00060,0.00596,0.00128,0.01154
1403638134.294287443161011,0.00204,0.00015,0.00101,0.00091,0.00251,0.00104,0.00766
1403638134.344164609909058,0.00180,0.00018,0.00031,0.00088,0.00001,0.00104,0.00421
1403638134.394016742706299,0.00178,0.00016,0.00010,0.00069,0.00057,0.00145,0.00475
1403638134.443856239318848,0.00152,0.00018,0.00008,0.00065,0.00004,0.00100,0.00348
1403638134.493714094161987,0.00179,0.00015,0.00004,0.00059,0.00001,0.00106,0.00363
1403638134.543559551239014,0.00198,0.00016,0.00007,0.00054,0.00088,0.00115,0.00479
1403638134.593445777893066,0.00183,0.00016,0.00003,0.00056,0.00166,0.00122,0.00545
1403638134.643387079238892,0.00191,0.00017,0.00005,0.00067,0.00038,0.00115,0.00432
1403638134.693428516387939,0.00187,0.00017,0.00010,0.00054,0.00073,0.00143,0.00482
1403638134.743545055389404,0.00219,0.00016,0.00010,0.00056,0.00020,0.00129,0.00450
1403638134.793678998947144,0.00207,0.00018,0.00043,0.00046,0.00146,0.00170,0.00630
1403638134.843711137771606,0.00208,0.00014,0.00006,0.00046,0.00096,0.00138,0.00510
1403638134.893581628799438,0.00202,0.00015,0.00007,0.00049,0.00071,0.00155,0.00499
1403638134.943438529968262,0.00187,0.00017,0.00004,0.00067,0.00148,0.00135,0.00558
1403638134.993430137634277,0.00191,0.00015,0.00003,0.00038,0.00046,0.00124,0.00419
1403638135.043611764907837,0.00201,0.00014,0.00013,0.00037,0.00033,0.00112,0.00409
1403638135.093741416931152,0.00193,0.00013,0.00005,0.00026,0.00016,0.00107,0.00360
1403638135.143826007843018,0.00176,0.00014,0.00005,0.00021,0.00007,0.00105,0.00328
1403638135.193911075592041,0.00174,0.00013,0.00006,0.00020,0.00025,0.00104,0.00343
1403638135.243983745574951,0.00197,0.00013,0.00044,0.00013,0.00007,0.00104,0.00378
1403638135.293990612030029,0.00183,0.00014,0.00005,0.00011,0.00063,0.00107,0.00384
1403638135.343974351882935,0.00179,0.00015,0.00008,0.00012,0.00017,0.00110,0.00341
1403638135.393993616104126,0.00173,0.00013,0.00007,0.00011,0.00069,0.00107,0.00380
1403638135.444061517715454,0.00180,0.00013,0.00006,0.00010,0.00026,0.00103,0.00339
1403638135.494098424911499,0.00175,0.00013,0.00011,0.00010,0.00033,0.00103,0.00344
1403638135.544121980667114,0.00177,0.00017,0.00003,0.00009,0.00043,0.00156,0.00405
1403638135.594136714935303,0.00238,0.00014,0.00005,0.00007,0.00015,0.00156,0.00436
1403638135.644136667251587,0.00216,0.00013,0.00013,0.00000,0.00014,0.00128,0.00384
1403638135.694136619567871,0.00198,0.00014,0.00005,0.00000,0.00009,0.00148,0.00374
1403638135.744136571884155,0.00175,0.00013,0.00001,0.00000,0.00010,0.00146,0.00346
1403638135.794136762619019,0.00213,0.00013,0.00004,0.00000,0.00007,0.00111,0.00348
1403638135.844157934188843,0.00191,0.00014,0.00010,0.00000,0.00049,0.00107,0.00370
1403638135.894155025482178,0.00195,0.00012,0.00007,0.00006,0.00024,0.00107,0.00350
1403638135.944163084030151,0.00184,0.00014,0.00008,0.00005,0.00058,0.00115,0.00384
1403638135.994212865829468,0.00213,0.00013,0.00009,0.00007,0.00144,0.00108,0.00495
1403638136.044277667999268,0.00217,0.00013,0.00005,0.00011,0.00142,0.00119,0.00507
1403638136.094265699386597,0.00227,0.00014,0.00018,0.00017,0.00171,0.00109,0.00556
1403638136.144184827804565,0.00227,0.00015,0.00007,0.00029,0.00264,0.00153,0.00696
1403638136.194165468215942,0.00195,0.00014,0.00004,0.00051,0.00167,0.00130,0.00562
1403638136.244267940521240,0.00201,0.00017,0.00005,0.00064,0.00221,0.00161,0.00671
1403638136.294341802597046,0.00185,0.00015,0.00005,0.00095,0.00148,0.00110,0.00558
1403638136.344443798065186,0.00192,0.00015,0.00005,0.00111,0.00157,0.00127,0.00605
1403638136.394513607025146,0.00202,0.00028,0.00006,0.00150,0.00052,0.00118,0.00556
1403638136.444661140441895,0.00193,0.00015,0.00006,0.00099,0.00260,0.00110,0.00683
1403638136.494989633560181,0.00184,0.00015,0.00009,0.00117,0.00537,0.00126,0.00987
1403638136.544994831085205,0.00209,0.00019,0.00016,0.00159,0.00111,0.00112,0.00625
1403638136.595039367675781,0.00174,0.00019,0.00066,0.00190,0.00019,0.00115,0.00582
1403638136.645128488540649,0.00209,0.00040,0.00028,0.00148,0.00018,0.00157,0.00600
1403638136.695234775543213,0.00190,0.00016,0.00011,0.00119,0.00034,0.00128,0.00498
1403638136.745294094085693,0.00188,0.00017,0.00013,0.00088,0.00018,0.00142,0.00467
1403638136.795359134674072,0.00275,0.00017,0.00011,0.00078,0.00014,0.00126,0.00520
1403638136.845388889312744,0.00238,0.00015,0.00012,0.00068,0.00010,0.00120,0.00463
1403638136.895372152328491,0.00209,0.00014,0.00009,0.00048,0.00007,0.00112,0.00402
1403638136.945346832275391,0.00268,0.00015,0.00008,0.00062,0.00006,0.00139,0.00498
1403638136.995347499847412,0.00203,0.00014,0.00012,0.00044,0.00005,0.00135,0.00412
1403638137.045419454574585,0.00229,0.00015,0.00009,0.00040,0.00025,0.00120,0.00438
1403638137.095558643341064,0.00195,0.00014,0.00011,0.00036,0.00017,0.00114,0.00386
1403638137.145654439926147,0.00260,0.00015,0.00012,0.00023,0.00006,0.00112,0.00427
1403638137.195706844329834,0.00238,0.00014,0.00025,0.00014,0.00070,0.00108,0.00469
1403638137.245743274688721,0.00253,0.00014,0.00019,0.00009,0.00031,0.00124,0.00449
1403638137.295743465423584,0.00263,0.00013,0.00007,0.00003,0.00020,0.00111,0.00416
1403638137.345743417739868,0.00238,0.00013,0.00013,0.00002,0.00017,0.00101,0.00385
1403638137.395743370056152,0.00284,0.00014,0.00010,0.00000,0.00007,0.00108,0.00423
1403638137.445743322372437,0.00284,0.00013,0.00014,0.00000,0.00012,0.00104,0.00427
1403638137.495743274688721,0.00280,0.00013,0.00012,0.00000,0.00012,0.00110,0.00427
1403638137.545743465423584,0.00254,0.00013,0.00016,0.00000,0.00004,0.00104,0.00391
1403638137.595743417739868,0.00228,0.00013,0.00012,0.00000,0.00008,0.00101,0.00362
1403638137.645743370056152,0.00292,0.00012,0.00021,0.00000,0.00004,0.00092,0.00421
1403638137.695743322372437,0.00283,0.00013,0.00012,0.00000,0.00007,0.00090,0.00406
1403638137.745743274688721,0.00349,0.00013,0.00020,0.00000,0.00006,0.00088,0.00476
1403638137.795743465423584,0.00413,0.00013,0.00018,0.00000,0.00037,0.00084,0.00565
1403638137.845743417739868,0.00325,0.00012,0.00008,0.00000,0.00015,0.00083,0.00443
1403638137.895743370056152,0.00293,0.00012,0.00009,0.00000,0.00007,0.00081,0.00401
1403638137.945743322372437,0.00307,0.00012,0.00010,0.00000,0.00011,0.00080,0.00420
1403638137.995743274688721,0.00238,0.00013,0.00006,0.00000,0.00004,0.00079,0.00340
1403638138.045743465423584,0.00185,0.00013,0.00004,0.00000,0.00005,0.00078,0.00286
1403638138.095743417739868,0.00230,0.00013,0.00004,0.00000,0.00007,0.00089,0.00343
1403638138.145743370056152,0.00163,0.00013,0.00004,0.00000,0.00002,0.00093,0.00276
1403638138.195743322372437,0.00189,0.00013,0.00001,0.00000,0.00008,0.00095,0.00307
1403638138.245743274688721,0.00194,0.00013,0.00001,0.00000,0.00009,0.00102,0.00320
1403638138.295743465423584,0.00167,0.00013,0.00001,0.00000,0.00016,0.00102,0.00299
1403638138.345743417739868,0.00166,0.00013,0.00005,0.00000,0.00015,0.00099,0.00298
1403638138.395743370056152,0.00163,0.00013,0.00001,0.00000,0.00029,0.00099,0.00305
1403638138.445743322372437,0.00181,0.00012,0.00003,0.00000,0.00012,0.00102,0.00310
1403638138.495743274688721,0.00159,0.00013,0.00001,0.00000,0.00005,0.00100,0.00279
1403638138.545743465423584,0.00161,0.00013,0.00001,0.00000,0.00019,0.00105,0.00300
1403638138.595743417739868,0.00160,0.00012,0.00001,0.00000,0.00025,0.00100,0.00299
1403638138.645743370056152,0.00163,0.00013,0.00002,0.00000,0.00081,0.00100,0.00358
1403638138.695743322372437,0.00162,0.00013,0.00001,0.00000,0.00016,0.00102,0.00293
1403638138.745743274688721,0.00171,0.00013,0.00001,0.00000,0.00004,0.00103,0.00292
1403638138.795743465423584,0.00158,0.00013,0.00001,0.00000,0.00023,0.00106,0.00302
1403638138.845743417739868,0.00162,0.00012,0.00001,0.00000,0.00007,0.00101,0.00284
1403638138.895743370056152,0.00164,0.00013,0.00002,0.00000,0.00018,0.00103,0.00299
1403638138.945743322372437,0.00172,0.00013,0.00003,0.00000,0.00015,0.00105,0.00308
1403638138.995743274688721,0.00162,0.00013,0.00001,0.00000,0.00044,0.00103,0.00323
1403638139.045743465423584,0.00161,0.00013,0.00003,0.00000,0.00012,0.00103,0.00292
1403638139.095743417739868,0.00158,0.00013,0.00001,0.00000,0.00004,0.00105,0.00282
1403638139.145743370056152,0.00153,0.00013,0.00001,0.00000,0.00019,0.00103,0.00289
1403638139.195743322372437,0.00157,0.00013,0.00001,0.00000,0.00026,0.00104,0.00300
1403638139.245743274688721,0.00174,0.00013,0.00002,0.00000,0.00080,0.00101,0.00369
1403638139.295743465423584,0.00165,0.00012,0.00001,0.00000,0.00016,0.00106,0.00300
1403638139.345743417739868,0.00158,0.00013,0.00001,0.00000,0.00005,0.00103,0.00280
1403638139.395743370056152,0.00160,0.00012,0.00001,0.00000,0.00021,0.00103,0.00298
1403638139.445743322372437,0.00157,0.00013,0.00001,0.00000,0.00008,0.00102,0.00280
1403638139.495743274688721,0.00184,0.00012,0.00001,0.00000,0.00017,0.00147,0.00363
1403638139.545743465423584,0.00161,0.00012,0.00001,0.00000,0.00016,0.00124,0.00313
1403638139.595743417739868,0.00171,0.00012,0.00001,0.00000,0.00044,0.00142,0.00370
1403638139.645743370056152,0.00168,0.00013,0.00001,0.00000,0.00013,0.00127,0.00322
1403638139.695743322372437,0.00174,0.00013,0.00001,0.00000,0.00005,0.00126,0.00319
1403638139.745743274688721,0.00154,0.00012,0.00001,0.00000,0.00019,0.00105,0.00292
1403638139.795743465423584,0.00178,0.00013,0.00001,0.00000,0.00026,0.00145,0.00363
1403638139.845743417739868,0.00167,0.00014,0.00001,0.00000,0.00081,0.00123,0.00385
1403638139.895743370056152,0.00166,0.00013,0.00001,0.00000,0.00016,0.00161,0.00357
1403638139.945743322372437,0.00164,0.00014,0.00001,0.00000,0.00005,0.00127,0.00310
1403638139.995743274688721,0.00150,0.00013,0.00001,0.00000,0.00022,0.00122,0.00308
1403638140.045743465423584,0.00150,0.00014,0.00001,0.00000,0.00008,0.00107,0.00280
1403638140.095743417739868,0.00155,0.00013,0.00001,0.00000,0.00018,0.00101,0.00288
1403638140.145743370056152,0.00160,0.00013,0.00001,0.00000,0.00019,0.00105,0.00298
1403638140.195743322372437,0.00173,0.00013,0.00001,0.00000,0.00046,0.00147,0.00380
1403638140.245743274688721,0.00162,0.00013,0.00001,0.00000,0.00012,0.00131,0.00319
1403638140.295743465423584,0.00177,0.00013,0.00001,0.00000,0.00005,0.00146,0.00342
1403638140.345743417739868,0.00197,0.00021,0.00002,0.00000,0.00031,0.00162,0.00413
1403638140.395743370056152,0.00184,0.00014,0.00001,0.00000,0.00026,0.00148,0.00373
1403638140.445743322372437,0.00136,0.00013,0.00001,0.00000,0.00079,0.00121,0.00350
1403638140.495743274688721,0.00141,0.00012,0.00001,0.00000,0.00016,0.00141,0.00311
1403638140.545743465423584,0.00138,0.00012,0.00001,0.00000,0.00005,0.00125,0.00281
1403638140.595743417739868,0.00135,0.00013,0.00001,0.00000,0.00021,0.00099,0.00270
1403638140.645743370056152,0.00134,0.00012,0.00001,0.00000,0.00008,0.00123,0.00278
1403638140.695743322372437,0.00129,0.00013,0.00001,0.00000,0.00018,0.00099,0.00259
1403638140.745743274688721,0.00138,0.00012,0.00001,0.00000,0.00018,0.00103,0.00272
1403638140.795743465423584,0.00131,0.00013,0.00001,0.00000,0.00045,0.00099,0.00289
1403638140.845743417739868,0.00182,0.00013,0.00001,0.00000,0.00012,0.00104,0.00311
1403638140.895743370056152,0.00125,0.00013,0.00001,0.00000,0.00004,0.00103,0.00246
1403638140.945743322372437,0.00128,0.00012,0.00001,0.00000,0.00019,0.00103,0.00262
1403638140.995743274688721,0.00131,0.00012,0.00001,0.00000,0.00025,0.00103,0.00272
1403638141.045743465423584,0.00134,0.00012,0.00001,0.00000,0.00078,0.00099,0.00324
1403638141.095743417739868,0.00151,0.00012,0.00001,0.00000,0.00015,0.00147,0.00326
1403638141.145743370056152,0.00144,0.00013,0.00001,0.00000,0.00005,0.00119,0.00282
1403638141.195743322372437,0.00137,0.00014,0.00001,0.00000,0.00020,0.00099,0.00271
1403638141.245743274688721,0.00134,0.00012,0.00001,0.00000,0.00007,0.00098,0.00253
1403638141.295743465423584,0.00152,0.00013,0.00001,0.00000,0.00017,0.00100,0.00283
1403638141.345743417739868,0.00131,0.00012,0.00001,0.00000,0.00017,0.00098,0.00259
1403638141.395743370056152,0.00170,0.00013,0.00001,0.00000,0.00045,0.00102,0.00331
1403638141.445743322372437,0.00136,0.00012,0.00001,0.00000,0.00012,0.00106,0.00267
1403638141.495743274688721,0.00135,0.00012,0.00001,0.00000,0.00004,0.00115,0.00268
1403638141.545743465423584,0.00133,0.00012,0.00001,0.00000,0.00019,0.00099,0.00265
1403638141.595743417739868,0.00129,0.00013,0.00001,0.00000,0.00025,0.00098,0.00265
1403638141.645743370056152,0.00130,0.00013,0.00001,0.00000,0.00081,0.00100,0.00325
1403638141.695743322372437,0.00130,0.00012,0.00001,0.00000,0.00016,0.00101,0.00260
1403638141.745743274688721,0.00136,0.00013,0.00001,0.00000,0.00005,0.00100,0.00254
1403638141.795743465423584,0.00135,0.00012,0.00001,0.00000,0.00021,0.00099,0.00268
1403638141.845743417739868,0.00132,0.00012,0.00001,0.00000,0.00008,0.00099,0.00251
1403638141.895743370056152,0.00130,0.00013,0.00001,0.00000,0.00018,0.00100,0.00262
1403638141.945743322372437,0.00186,0.00014,0.00001,0.00000,0.00018,0.00105,0.00324
1403638141.995743274688721,0.00135,0.00013,0.00001,0.00000,0.00044,0.00103,0.00297
1403638142.045743465423584,0.00138,0.00013,0.00001,0.00000,0.00012,0.00101,0.00265
1403638142.095743417739868,0.00133,0.00012,0.00001,0.00000,0.00004,0.00097,0.00248
1403638142.145743370056152,0.00130,0.00017,0.00001,0.00000,0.00022,0.00108,0.00278
1403638142.195743322372437,0.00151,0.00013,0.00001,0.00000,0.00026,0.00102,0.00294
1403638142.245743274688721,0.00150,0.00013,0.00001,0.00000,0.00081,0.00100,0.00345
1403638142.295743465423584,0.00155,0.00013,0.00001,0.00000,0.00016,0.00099,0.00284
1403638142.345743417739868,0.00148,0.00013,0.00001,0.00000,0.00004,0.00100,0.00266
1403638142.395743370056152,0.00165,0.00013,0.00001,0.00000,0.00021,0.00107,0.00307
1403638142.445743322372437,0.00176,0.00013,0.00001,0.00000,0.00009,0.00105,0.00304
1403638142.495743274688721,0.00144,0.00014,0.00001,0.00000,0.00016,0.00103,0.00278
1403638142.545743465423584,0.00149,0.00013,0.00001,0.00000,0.00019,0.00101,0.00283
1403638142.595743417739868,0.00148,0.00012,0.00001,0.00000,0.00048,0.00111,0.00320
1403638142.645743370056152,0.00153,0.00014,0.00001,0.00000,0.00014,0.00102,0.00283
1403638142.695743322372437,0.00154,0.00012,0.00001,0.00000,0.00005,0.00100,0.00271
1403638142.745743274688721,0.00162,0.00013,0.00001,0.00000,0.00021,0.00107,0.00304
1403638142.795743465423584,0.00150,0.00013,0.00001,0.00000,0.00028,0.00105,0.00296
1403638142.845743417739868,0.00161,0.00013,0.00001,0.00000,0.00082,0.00099,0.00357
1403638142.895743370056152,0.00153,0.00013,0.00001,0.00000,0.00016,0.00101,0.00283
1403638142.945743322372437,0.00152,0.00014,0.00001,0.00000,0.00005,0.00102,0.00272
1403638142.995743274688721,0.00193,0.00013,0.00001,0.00000,0.00021,0.00100,0.00327
1403638143.045743465423584,0.00156,0.00012,0.00004,0.00000,0.00007,0.00100,0.00279
1403638143.095743417739868,0.00148,0.00013,0.00001,0.00000,0.00016,0.00100,0.00277
1403638143.145743370056152,0.00149,0.00013,0.00001,0.00000,0.00018,0.00098,0.00279
1403638143.195743322372437,0.00145,0.00013,0.00001,0.00000,0.00047,0.00098,0.00303
1403638143.245743274688721,0.00150,0.00013,0.00001,0.00000,0.00013,0.00099,0.00276
1403638143.295743465423584,0.00149,0.00013,0.00001,0.00000,0.00004,0.00101,0.00268
1403638143.345743417739868,0.00154,0.00013,0.00001,0.00000,0.00019,0.00100,0.00287
1403638143.395743370056152,0.00146,0.00013,0.00001,0.00000,0.00024,0.00103,0.00288
1403638143.445743322372437,0.00168,0.00013,0.00001,0.00000,0.00076,0.00145,0.00403
1403638143.495743274688721,0.00167,0.00014,0.00001,0.00000,0.00016,0.00131,0.00328
1403638143.545743465423584,0.00208,0.00014,0.00001,0.00000,0.00005,0.00144,0.00371
1403638143.595743417739868,0.00150,0.00013,0.00001,0.00000,0.00020,0.00114,0.00298
1403638143.645743370056152,0.00151,0.00012,0.00001,0.00000,0.00008,0.00100,0.00272
1403638143.695743322372437,0.00153,0.00013,0.00001,0.00000,0.00016,0.00115,0.00298
1403638143.745743274688721,0.00191,0.00018,0.00003,0.00000,0.00026,0.00191,0.00429
1403638143.795743465423584,0.00155,0.00013,0.00001,0.00000,0.00047,0.00129,0.00345
1403638143.845743417739868,0.00164,0.00014,0.00001,0.00000,0.00013,0.00142,0.00333
