# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.862618923187256,0.00237,0.00011,0.00063,0.00000,0.00000,0.00127,0.00438
1403715528.907669067382812,0.00215,0.00012,0.00154,0.00000,0.00151,0.00098,0.00631
1403715528.966361999511719,0.00163,0.00013,0.00220,0.00020,0.00000,0.00074,0.00490
1403715529.016124963760376,0.00196,0.00013,0.00069,0.00008,0.00000,0.00085,0.00371
1403715529.065191507339478,0.00211,0.00013,0.00037,0.00007,0.00000,0.00085,0.00354
1403715529.114728212356567,0.00180,0.00013,0.00011,0.00005,0.00001,0.00087,0.00295
1403715529.164661407470703,0.00210,0.00013,0.00066,0.00005,0.00000,0.00088,0.00382
1403715529.214297056198120,0.00210,0.00012,0.00090,0.00006,0.00000,0.00085,0.00404
1403715529.263909101486206,0.00219,0.00013,0.00107,0.00006,0.00119,0.00087,0.00549
1403715529.313835382461548,0.00240,0.00012,0.00136,0.00013,0.00041,0.00089,0.00532
1403715529.363690853118896,0.00235,0.00014,0.00134,0.00016,0.00165,0.00095,0.00660
1403715529.413683652877808,0.00229,0.00013,0.00154,0.00019,0.00210,0.00098,0.00725
1403715529.463684320449829,0.00282,0.00023,0.00091,0.00042,0.00225,0.00100,0.00764
1403715529.513492107391357,0.00208,0.00014,0.00103,0.00070,0.00640,0.00100,0.01136
1403715529.563435554504395,0.00191,0.00016,0.00024,0.00133,0.00650,0.00110,0.01123
1403715529.613398313522339,0.00209,0.00020,0.00046,0.00196,0.00112,0.00099,0.00681
1403715529.663412809371948,0.00232,0.00017,0.00013,0.00200,0.00001,0.00104,0.00567
1403715529.713059425354004,0.00211,0.00015,0.00045,0.00187,0.00057,0.00101,0.00616
1403715529.763036489486694,0.00191,0.00016,0.00093,0.00194,0.00438,0.00117,0.01048
1403715529.813000679016113,0.00216,0.00017,0.00057,0.00265,0.00183,0.00108,0.00846
1403715529.862920761108398,0.00238,0.00019,0.00287,0.00270,0.00125,0.00104,0.01044
1403715529.912851333618164,0.00229,0.00025,0.00536,0.00283,0.00144,0.00150,0.01368
1403715529.962906599044800,0.00204,0.00018,0.00496,0.00319,0.00064,0.00128,0.01228
1403715530.012765884399414,0.00207,0.00018,0.00403,0.00256,0.00179,0.00100,0.01163
1403715530.062634468078613,0.00214,0.00017,0.00168,0.00285,0.00133,0.00144,0.00961
1403715530.112642049789429,0.00253,0.00025,0.00032,0.00295,0.00062,0.00148,0.00815
1403715530.162830352783203,0.00204,0.00022,0.00051,0.00292,0.00064,0.00124,0.00758
1403715530.213140726089478,0.00242,0.00018,0.00085,0.00310,0.00130,0.00165,0.00950
1403715530.263336658477783,0.00226,0.00018,0.00174,0.00347,0.00000,0.00142,0.00907
1403715530.313280105590820,0.00231,0.00026,0.00116,0.00344,0.00000,0.00150,0.00868
1403715530.363116025924683,0.00204,0.00018,0.00354,0.00335,0.00000,0.00127,0.01037
1403715530.412994861602783,0.00238,0.00025,0.00174,0.00314,0.00000,0.00147,0.00898
1403715530.462727785110474,0.00262,0.00021,0.00335,0.00325,0.00067,0.00156,0.01165
1403715530.512562274932861,0.00202,0.00024,0.00475,0.00302,0.00075,0.00178,0.01257
1403715530.562490224838257,0.00232,0.00019,0.00402,0.00347,0.00000,0.00139,0.01139
1403715530.612509965896606,0.00217,0.00020,0.00398,0.00318,0.00000,0.00165,0.01118
1403715530.662515163421631,0.00249,0.00018,0.00542,0.00303,0.00066,0.00169,0.01347
1403715530.712517976760864,0.00214,0.00018,0.00019,0.00295,0.00000,0.00154,0.00699
1403715530.762502193450928,0.00208,0.00019,0.00394,0.00280,0.00128,0.00156,0.01186
1403715530.812474727630615,0.00276,0.00017,0.00292,0.00291,0.00001,0.00116,0.00992
1403715530.862467765808105,0.00218,0.00024,0.00175,0.00267,0.00121,0.00154,0.00959
1403715530.912472963333130,0.00288,0.00019,0.00045,0.00310,0.00065,0.00119,0.00846
1403715530.962483406066895,0.00251,0.00019,0.00406,0.00287,0.00062,0.00130,0.01155
1403715531.012470483779907,0.00185,0.00017,0.00256,0.00282,0.00126,0.00109,0.00973
1403715531.062439441680908,0.00189,0.00016,0.00192,0.00309,0.00066,0.00114,0.00886
1403715531.112366437911987,0.00237,0.00017,0.00406,0.00319,0.00000,0.00118,0.01098
1403715531.162331342697144,0.00205,0.00017,0.00349,0.00306,0.00068,0.00135,0.01080
1403715531.212460994720459,0.00197,0.00017,0.00425,0.00285,0.00000,0.00118,0.01043
1403715531.262499094009399,0.00267,0.00025,0.00436,0.00266,0.00117,0.00143,0.01254
1403715531.312520980834961,0.00186,0.00018,0.00012,0.00275,0.00001,0.00124,0.00615
1403715531.362411022186279,0.00203,0.00017,0.00403,0.00267,0.00256,0.00128,0.01274
1403715531.412385225296021,0.00276,0.00019,0.00305,0.00287,0.00065,0.00133,0.01085
1403715531.462395906448364,0.00213,0.00040,0.00251,0.00284,0.00196,0.00155,0.01137
1403715531.512322664260864,0.00265,0.00019,0.00353,0.00313,0.00000,0.00127,0.01077
1403715531.562214374542236,0.00277,0.00025,0.00241,0.00290,0.00083,0.00154,0.01070
1403715531.612090110778809,0.00190,0.00017,0.00132,0.00290,0.00001,0.00141,0.00771
1403715531.661993980407715,0.00199,0.00036,0.00275,0.00276,0.00126,0.00144,0.01056
1403715531.711988687515259,0.00250,0.00018,0.00346,0.00294,0.00062,0.00133,0.01103
1403715531.762070894241333,0.00190,0.00016,0.00276,0.00290,0.00062,0.00147,0.00982
1403715531.812223434448242,0.00193,0.00018,0.00370,0.00261,0.00061,0.00113,0.01016
1403715531.862311840057373,0.00216,0.00025,0.00240,0.00253,0.00259,0.00141,0.01135
1403715531.912342309951782,0.00186,0.00018,0.00053,0.00269,0.00061,0.00127,0.00715
1403715531.962303161621094,0.00210,0.00025,0.00459,0.00261,0.00076,0.00118,0.01149
1403715532.012287855148315,0.00222,0.00019,0.00140,0.00290,0.00242,0.00114,0.01028
1403715532.062291145324707,0.00221,0.00016,0.00280,0.00319,0.00067,0.00111,0.01013
1403715532.112276792526245,0.00191,0.00041,0.00357,0.00348,0.00000,0.00148,0.01085
1403715532.162274837493896,0.00185,0.00018,0.00127,0.00342,0.00000,0.00126,0.00798
1403715532.212271213531494,0.00175,0.00018,0.00091,0.00311,0.00000,0.00103,0.00698
1403715532.262247323989868,0.00165,0.00017,0.00337,0.00309,0.00128,0.00148,0.01104
1403715532.312276124954224,0.00189,0.00025,0.00357,0.00325,0.00000,0.00152,0.01048
1403715532.362255334854126,0.00178,0.00018,0.00135,0.00316,0.00011,0.00131,0.00789
1403715532.412249088287354,0.00221,0.00035,0.00272,0.00311,0.00064,0.00192,0.01096
1403715532.462256431579590,0.00194,0.00019,0.00179,0.00313,0.00065,0.00138,0.00909
1403715532.512261629104614,0.00206,0.00024,0.00055,0.00351,0.00003,0.00155,0.00795
1403715532.562280416488647,0.00213,0.00018,0.00368,0.00304,0.00063,0.00131,0.01098
1403715532.612291336059570,0.00190,0.00034,0.00060,0.00299,0.00133,0.00148,0.00864
1403715532.662313699722290,0.00193,0.00018,0.00257,0.00312,0.00000,0.00123,0.00902
1403715532.712328433990479,0.00171,0.00020,0.00242,0.00297,0.00001,0.00105,0.00835
1403715532.762343168258667,0.00191,0.00017,0.00015,0.00288,0.00063,0.00120,0.00694
1403715532.812355279922485,0.00193,0.00032,0.00007,0.00297,0.00000,0.00142,0.00670
1403715532.862354516983032,0.00175,0.00017,0.00104,0.00303,0.00013,0.00120,0.00732
1403715532.912337303161621,0.00179,0.00016,0.00060,0.00295,0.00005,0.00105,0.00660
1403715532.962327957153320,0.00186,0.00019,0.00030,0.00292,0.00006,0.00121,0.00654
1403715533.012321949005127,0.00245,0.00025,0.00029,0.00275,0.00006,0.00134,0.00713
1403715533.062316179275513,0.00182,0.00017,0.00048,0.00281,0.00238,0.00140,0.00905
1403715533.112314224243164,0.00184,0.00016,0.00189,0.00310,0.00010,0.00112,0.00820
1403715533.162304639816284,0.00192,0.00017,0.00400,0.00302,0.00123,0.00185,0.01218
1403715533.212249517440796,0.00193,0.00017,0.00163,0.00313,0.00000,0.00109,0.00796
1403715533.262219190597534,0.00197,0.00016,0.00272,0.00286,0.00061,0.00166,0.00998
1403715533.312191486358643,0.00268,0.00018,0.00476,0.00267,0.00061,0.00113,0.01203
1403715533.362191438674927,0.00287,0.00017,0.00050,0.00268,0.00062,0.00100,0.00783
1403715533.412276268005371,0.00206,0.00032,0.00052,0.00266,0.00001,0.00130,0.00686
1403715533.462337017059326,0.00262,0.00028,0.00039,0.00246,0.00133,0.00137,0.00847
1403715533.512397050857544,0.00255,0.00018,0.00292,0.00261,0.00069,0.00110,0.01004
1403715533.562422275543213,0.00233,0.00017,0.00160,0.00256,0.00136,0.00140,0.00941
1403715533.612446069717407,0.00231,0.00018,0.00112,0.00269,0.00120,0.00146,0.00896
1403715533.662481784820557,0.00304,0.00016,0.00164,0.00300,0.00064,0.00107,0.00956
1403715533.712473392486572,0.00262,0.00042,0.00002,0.00303,0.00133,0.00144,0.00886
1403715533.762479066848755,0.00248,0.00018,0.00130,0.00329,0.00000,0.00125,0.00851
1403715533.812457084655762,0.00320,0.00018,0.00134,0.00283,0.00001,0.00109,0.00864
