# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.048401594161987,0,10,0,0,5
1413393890.105954408645630,15,17,0,15,6
1413393890.155956745147705,15,1,14,0,7
1413393890.206164121627808,15,3,14,0,8
1413393890.256261825561523,14,3,14,0,9
1413393890.306619644165039,14,1,14,0,10
1413393890.356767177581787,14,1,14,0,11
1413393890.406805515289307,13,3,13,0,11
1413393890.456408739089966,15,1,13,2,11
1413393890.506178379058838,16,1,15,1,11
1413393890.555903911590576,28,2,16,12,11
1413393890.606057643890381,35,0,24,10,11
1413393890.656315565109253,37,1,34,2,11
1413393890.706572055816650,48,7,36,12,11
1413393890.756689548492432,50,6,48,2,11
1413393890.806736946105957,50,1,50,0,11
1413393890.856710672378540,50,12,50,0,11
1413393890.906729221343994,50,0,50,0,11
1413393890.956712484359741,50,2,50,0,11
1413393891.006706237792969,50,1,50,0,11
1413393891.056681156158447,50,2,50,0,11
1413393891.106631994247437,50,1,50,0,11
1413393891.156629323959351,50,4,50,0,11
1413393891.206617116928101,50,2,50,0,11
1413393891.256601333618164,50,2,50,0,11
1413393891.306765079498291,50,4,50,0,11
1413393891.356921434402466,46,6,44,0,11
1413393891.406899690628052,44,5,39,4,11
1413393891.456799507141113,45,1,40,3,11
1413393891.506667613983154,41,3,39,0,11
1413393891.556526899337769,41,0,39,2,11
1413393891.606343269348145,42,0,41,1,11
1413393891.656187534332275,46,0,42,4,11
1413393891.706111192703247,46,0,45,0,11
1413393891.755998849868774,49,0,45,3,11
1413393891.805943727493286,49,1,46,1,11
1413393891.855907917022705,49,0,45,0,11
1413393891.905839681625366,47,3,42,3,11
1413393891.955806016921997,48,6,43,3,11
1413393892.005795001983643,46,17,42,2,11
1413393892.055819749832153,50,0,43,4,11
1413393892.105890750885010,46,6,44,0,11
1413393892.155883312225342,47,0,43,2,11
1413393892.205831527709961,46,2,45,0,11
1413393892.255794525146484,44,1,43,0,11
1413393892.305757045745850,43,4,42,0,11
1413393892.355742692947388,42,4,42,0,11
1413393892.405667304992676,48,3,41,6,11
1413393892.455632925033569,48,0,46,0,11
1413393892.505614280700684,46,2,43,2,11
1413393892.555603742599487,46,8,41,3,11
1413393892.605613470077515,47,9,42,1,11
1413393892.655619859695435,46,1,42,2,11
1413393892.705639362335205,44,11,41,3,11
1413393892.755637645721436,42,2,38,2,11
1413393892.805637836456299,44,2,39,2,11
1413393892.855638027191162,44,2,40,4,11
1413393892.905632257461548,44,1,41,0,11
1413393892.955619812011719,46,10,39,4,11
1413393893.005637645721436,42,7,38,2,11
1413393893.055645465850830,37,5,34,0,11
1413393893.105658769607544,35,2,34,0,11
1413393893.155685663223267,36,0,32,3,11
