# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987428188323975,0.00228,0.00010,0.00054,0.00000,0.00000,0.00129,0.00421
1403637150.036609888076782,0.00309,0.00011,0.00168,0.00000,0.00172,0.00129,0.00789
1403637150.086408853530884,0.00282,0.00013,0.00220,0.00022,0.00000,0.00165,0.00701
1403637150.136347055435181,0.00302,0.00012,0.00015,0.00020,0.00000,0.00131,0.00480
1403637150.186437129974365,0.00342,0.00013,0.00027,0.00011,0.00000,0.00171,0.00564
1403637150.236543178558350,0.00333,0.00013,0.00034,0.00008,0.00000,0.00134,0.00521
1403637150.286695003509521,0.00437,0.00015,0.00026,0.00007,0.00000,0.00175,0.00660
1403637150.336674690246582,0.00489,0.00014,0.00045,0.00007,0.00000,0.00138,0.00693
1403637150.386558532714844,0.00402,0.00016,0.00096,0.00007,0.00000,0.00140,0.00662
1403637150.436527490615845,0.00314,0.00013,0.00109,0.00006,0.00000,0.00144,0.00586
1403637150.486412048339844,0.00310,0.00013,0.00032,0.00005,0.00000,0.00142,0.00502
1403637150.536418437957764,0.00267,0.00013,0.00013,0.00000,0.00000,0.00141,0.00434
1403637150.587053775787354,0.00282,0.00012,0.00059,0.00000,0.00000,0.00143,0.00496
1403637150.636893987655640,0.00298,0.00012,0.00161,0.00000,0.00340,0.00141,0.00952
1403637150.686954498291016,0.00281,0.00013,0.00117,0.00022,0.00000,0.00139,0.00571
1403637150.737001419067383,0.00265,0.00014,0.00023,0.00018,0.00000,0.00142,0.00462
1403637150.787097692489624,0.00448,0.00013,0.00031,0.00017,0.00127,0.00153,0.00791
1403637150.837132215499878,0.00254,0.00013,0.00120,0.00023,0.00033,0.00139,0.00581
1403637150.887335538864136,0.00266,0.00014,0.00021,0.00023,0.00517,0.00181,0.01022
1403637150.937428236007690,0.00328,0.00015,0.00050,0.00059,0.00031,0.00142,0.00627
1403637150.987433433532715,0.00285,0.00014,0.00040,0.00060,0.00164,0.00149,0.00712
1403637151.037403583526611,0.00242,0.00015,0.00028,0.00073,0.00133,0.00142,0.00634
1403637151.087387561798096,0.00244,0.00014,0.00034,0.00085,0.00029,0.00178,0.00585
1403637151.137370109558105,0.00309,0.00014,0.00044,0.00087,0.00066,0.00147,0.00668
1403637151.187425136566162,0.00255,0.00014,0.00052,0.00087,0.00297,0.00182,0.00887
1403637151.237513780593872,0.00250,0.00014,0.00002,0.00130,0.00253,0.00137,0.00785
1403637151.287535429000854,0.00315,0.00016,0.00028,0.00176,0.00037,0.00167,0.00739
1403637151.337591409683228,0.00402,0.00016,0.00041,0.00174,0.00290,0.00159,0.01082
1403637151.387591361999512,0.00259,0.00015,0.00019,0.00201,0.00066,0.00181,0.00741
1403637151.437601566314697,0.00312,0.00016,0.00070,0.00199,0.00000,0.00160,0.00757
1403637151.487592697143555,0.00302,0.00015,0.00034,0.00200,0.00490,0.00187,0.01230
1403637151.537555456161499,0.00261,0.00017,0.00061,0.00237,0.00180,0.00144,0.00900
1403637151.587557792663574,0.00323,0.00017,0.00098,0.00258,0.00025,0.00164,0.00885
1403637151.637577295303345,0.00287,0.00018,0.00046,0.00263,0.00139,0.00150,0.00903
1403637151.687605619430542,0.00259,0.00017,0.00027,0.00288,0.00357,0.00173,0.01120
1403637151.737593889236450,0.00299,0.00018,0.00048,0.00323,0.00015,0.00156,0.00859
1403637151.787624597549438,0.00253,0.00018,0.00011,0.00318,0.00000,0.00195,0.00795
1403637151.837667942047119,0.00287,0.00022,0.00213,0.00289,0.00030,0.00139,0.00979
1403637151.887702941894531,0.00276,0.00017,0.00026,0.00271,0.00055,0.00181,0.00826
1403637151.937745094299316,0.00298,0.00019,0.00015,0.00290,0.00059,0.00164,0.00844
1403637151.987779617309570,0.00230,0.00019,0.00049,0.00294,0.00059,0.00149,0.00800
1403637152.037800788879395,0.00319,0.00017,0.00004,0.00266,0.00028,0.00156,0.00791
1403637152.087884426116943,0.00319,0.00021,0.00049,0.00264,0.00112,0.00157,0.00922
1403637152.137987375259399,0.00258,0.00016,0.00002,0.00272,0.00502,0.00143,0.01193
1403637152.187971591949463,0.00239,0.00017,0.00007,0.00341,0.00044,0.00146,0.00794
1403637152.238006353378296,0.00254,0.00018,0.00016,0.00320,0.00053,0.00150,0.00812
1403637152.287966489791870,0.00247,0.00018,0.00002,0.00320,0.00248,0.00167,0.01002
1403637152.338013887405396,0.00313,0.00017,0.00001,0.00349,0.00000,0.00143,0.00823
1403637152.388075590133667,0.00257,0.00017,0.00017,0.00317,0.00017,0.00137,0.00763
1403637152.438003063201904,0.00233,0.00017,0.00263,0.00337,0.00134,0.00149,0.01133
1403637152.488056421279907,0.00241,0.00017,0.00001,0.00346,0.00151,0.00153,0.00911
1403637152.538031578063965,0.00235,0.00018,0.00004,0.00353,0.00000,0.00145,0.00754
1403637152.588012695312500,0.00238,0.00018,0.00022,0.00334,0.00056,0.00147,0.00813
1403637152.638062238693237,0.00241,0.00018,0.00238,0.00337,0.00031,0.00147,0.01012
1403637152.688070535659790,0.00277,0.00018,0.00011,0.00349,0.00012,0.00145,0.00812
1403637152.738109111785889,0.00274,0.00018,0.00017,0.00332,0.00178,0.00154,0.00973
1403637152.788139343261719,0.00256,0.00016,0.00019,0.00356,0.00120,0.00154,0.00921
1403637152.838180541992188,0.00252,0.00017,0.00004,0.00374,0.00062,0.00157,0.00867
1403637152.888207435607910,0.00267,0.00018,0.00074,0.00367,0.00043,0.00141,0.00911
1403637152.938199043273926,0.00246,0.00017,0.00019,0.00371,0.00000,0.00141,0.00794
1403637152.988157510757446,0.00263,0.00017,0.00030,0.00358,0.00000,0.00155,0.00823
1403637153.038171052932739,0.00230,0.00018,0.00205,0.00330,0.00028,0.00147,0.00958
1403637153.088184595108032,0.00227,0.00018,0.00033,0.00316,0.00102,0.00138,0.00834
1403637153.138155460357666,0.00237,0.00017,0.00028,0.00323,0.00001,0.00142,0.00748
1403637153.188182592391968,0.00305,0.00028,0.00037,0.00289,0.00017,0.00149,0.00826
1403637153.238187789916992,0.00255,0.00019,0.00406,0.00265,0.00207,0.00143,0.01296
1403637153.288181304931641,0.00250,0.00018,0.00010,0.00317,0.00014,0.00149,0.00757
1403637153.338178157806396,0.00247,0.00017,0.00008,0.00279,0.00039,0.00161,0.00751
1403637153.388178348541260,0.00319,0.00017,0.00008,0.00293,0.00009,0.00170,0.00816
1403637153.438174724578857,0.00230,0.00017,0.00006,0.00304,0.00020,0.00208,0.00785
1403637153.488189697265625,0.00255,0.00018,0.00001,0.00304,0.00031,0.00144,0.00753
1403637153.538207054138184,0.00226,0.00016,0.00001,0.00300,0.00000,0.00160,0.00704
1403637153.588194608688354,0.00218,0.00017,0.00004,0.00303,0.00000,0.00149,0.00691
1403637153.638191699981689,0.00312,0.00017,0.00062,0.00300,0.00138,0.00161,0.00991
1403637153.688173770904541,0.00310,0.00017,0.00001,0.00315,0.00000,0.00172,0.00815
1403637153.738217592239380,0.00221,0.00020,0.00417,0.00292,0.00862,0.00148,0.01960
1403637153.788192749023438,0.00245,0.00018,0.00017,0.00439,0.00005,0.00157,0.00881
1403637153.838201284408569,0.00276,0.00025,0.00415,0.00390,0.00014,0.00189,0.01308
1403637153.888196706771851,0.00265,0.00018,0.00118,0.00417,0.00023,0.00159,0.01002
1403637153.938214540481567,0.00275,0.00026,0.00001,0.00416,0.00026,0.00186,0.00931
1403637153.988285303115845,0.00231,0.00021,0.00005,0.00420,0.00008,0.00145,0.00830
1403637154.038348674774170,0.00221,0.00021,0.00001,0.00398,0.00004,0.00180,0.00825
1403637154.088517665863037,0.00232,0.00021,0.00010,0.00396,0.00010,0.00144,0.00814
1403637154.138586044311523,0.00254,0.00020,0.00006,0.00405,0.00017,0.00188,0.00890
1403637154.188639879226685,0.00251,0.00020,0.00001,0.00432,0.00000,0.00151,0.00856
1403637154.238620281219482,0.00255,0.00019,0.00210,0.00385,0.00024,0.00182,0.01075
1403637154.288592338562012,0.00260,0.00018,0.00004,0.00427,0.00000,0.00163,0.00872
