# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.963228464126587,0.00140,0.00009,0.00042,0.00000,0.00000,0.00059,0.00250
1403715279.012208938598633,0.00153,0.00011,0.00267,0.00000,0.00561,0.00036,0.01027
1403715279.062228441238403,0.00173,0.00013,0.00007,0.00175,0.00000,0.00038,0.00406
1403715279.112278461456299,0.00166,0.00014,0.00001,0.00178,0.00000,0.00047,0.00407
1403715279.162301778793335,0.00157,0.00013,0.00003,0.00183,0.00000,0.00046,0.00402
1403715279.211979150772095,0.00142,0.00014,0.00001,0.00186,0.00000,0.00046,0.00390
1403715279.262343406677246,0.00158,0.00014,0.00001,0.00196,0.00000,0.00048,0.00417
1403715279.312374114990234,0.00132,0.00016,0.00001,0.00193,0.00000,0.00051,0.00392
1403715279.362071752548218,0.00130,0.00013,0.00001,0.00196,0.00320,0.00061,0.00722
1403715279.411889314651489,0.00148,0.00013,0.00004,0.00239,0.00187,0.00052,0.00643
1403715279.462078809738159,0.00153,0.00015,0.00002,0.00263,0.00589,0.00046,0.01068
1403715279.511990785598755,0.00136,0.00015,0.00001,0.00319,0.00067,0.00045,0.00584
1403715279.561906576156616,0.00128,0.00015,0.00006,0.00332,0.00106,0.00078,0.00665
1403715279.612168312072754,0.00139,0.00015,0.00665,0.00321,0.00522,0.00045,0.01706
1403715279.662196874618530,0.00142,0.00018,0.00110,0.00410,0.00108,0.00047,0.00835
1403715279.712327957153320,0.00146,0.00016,0.00002,0.00449,0.00004,0.00044,0.00661
1403715279.762318611145020,0.00134,0.00015,0.00001,0.00447,0.00115,0.00043,0.00756
1403715279.812402486801147,0.00134,0.00015,0.00003,0.00488,0.00000,0.00045,0.00685
1403715279.862337350845337,0.00139,0.00016,0.00001,0.00468,0.00000,0.00044,0.00668
1403715279.912352800369263,0.00188,0.00016,0.00001,0.00497,0.00000,0.00054,0.00756
1403715279.962118387222290,0.00152,0.00025,0.00006,0.00487,0.00004,0.00049,0.00722
1403715280.011719226837158,0.00148,0.00015,0.00001,0.00480,0.00117,0.00055,0.00815
1403715280.061608076095581,0.00140,0.00021,0.00009,0.00487,0.00002,0.00048,0.00707
1403715280.111600160598755,0.00146,0.00016,0.00010,0.00451,0.00006,0.00068,0.00698
1403715280.161903619766235,0.00140,0.00016,0.00005,0.00436,0.00107,0.00051,0.00754
1403715280.212557554244995,0.00151,0.00015,0.00715,0.00436,0.00006,0.00044,0.01367
1403715280.263145685195923,0.00146,0.00017,0.00111,0.00416,0.00106,0.00042,0.00838
1403715280.313372135162354,0.00146,0.00016,0.00013,0.00471,0.00003,0.00050,0.00698
1403715280.363511323928833,0.00150,0.00018,0.00002,0.00442,0.00000,0.00043,0.00654
1403715280.413517713546753,0.00146,0.00016,0.00029,0.00432,0.00000,0.00042,0.00665
1403715280.463409185409546,0.00167,0.00016,0.00059,0.00410,0.00000,0.00047,0.00700
1403715280.513319492340088,0.00145,0.00015,0.00012,0.00399,0.00000,0.00044,0.00614
1403715280.563159227371216,0.00140,0.00016,0.00016,0.00380,0.00000,0.00055,0.00607
1403715280.613086938858032,0.00164,0.00019,0.00032,0.00375,0.00000,0.00043,0.00632
1403715280.662987470626831,0.00162,0.00016,0.00019,0.00346,0.00000,0.00062,0.00606
1403715280.712946414947510,0.00156,0.00016,0.00020,0.00368,0.00198,0.00047,0.00805
1403715280.762911558151245,0.00149,0.00015,0.00069,0.00397,0.00055,0.00049,0.00734
1403715280.812872171401978,0.00154,0.00015,0.00439,0.00377,0.00610,0.00043,0.01639
1403715280.862850189208984,0.00162,0.00016,0.00059,0.00495,0.00160,0.00046,0.00938
1403715280.912952661514282,0.00190,0.00025,0.00231,0.00473,0.00000,0.00044,0.00963
1403715280.962961435317993,0.00195,0.00016,0.00014,0.00475,0.00012,0.00062,0.00773
1403715281.012853860855103,0.00242,0.00023,0.00031,0.00470,0.00167,0.00048,0.00981
1403715281.062758207321167,0.00147,0.00015,0.00017,0.00432,0.00018,0.00046,0.00676
1403715281.112677574157715,0.00175,0.00025,0.00013,0.00442,0.00019,0.00071,0.00744
1403715281.162617206573486,0.00224,0.00020,0.00019,0.00421,0.00381,0.00044,0.01111
1403715281.212623119354248,0.00163,0.00017,0.00016,0.00421,0.00057,0.00063,0.00737
1403715281.262729644775391,0.00164,0.00018,0.00004,0.00442,0.00390,0.00054,0.01072
1403715281.312862396240234,0.00171,0.00019,0.00011,0.00499,0.00109,0.00049,0.00858
1403715281.362909793853760,0.00179,0.00017,0.00007,0.00539,0.00000,0.00054,0.00797
1403715281.413062810897827,0.00162,0.00018,0.00507,0.00507,0.00000,0.00049,0.01243
1403715281.463157892227173,0.00168,0.00025,0.00303,0.00502,0.00000,0.00048,0.01047
1403715281.513232231140137,0.00153,0.00016,0.00349,0.00474,0.00116,0.00051,0.01159
1403715281.563215255737305,0.00172,0.00017,0.00011,0.00499,0.00015,0.00053,0.00767
1403715281.613204240798950,0.00186,0.00017,0.00133,0.00466,0.00000,0.00051,0.00854
1403715281.663188934326172,0.00171,0.00016,0.00052,0.00411,0.00000,0.00051,0.00701
1403715281.713098287582397,0.00175,0.00017,0.00033,0.00383,0.00304,0.00053,0.00966
1403715281.762978076934814,0.00180,0.00015,0.00021,0.00397,0.00242,0.00060,0.00916
1403715281.813016414642334,0.00183,0.00022,0.00025,0.00378,0.00000,0.00053,0.00662
