# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862143039703369,0.00152,0.00009,0.00005,0.00000,0.00000,0.00176,0.00342
1403715278.911199092864990,0.00209,0.00012,0.00001,0.00000,0.00726,0.00131,0.01079
1403715278.961133718490601,0.00190,0.00014,0.00005,0.00226,0.00000,0.00108,0.00544
1403715279.011181831359863,0.00158,0.00015,0.00003,0.00222,0.00000,0.00108,0.00506
1403715279.061169862747192,0.00160,0.00014,0.00001,0.00223,0.00000,0.00104,0.00503
1403715279.111073017120361,0.00155,0.00015,0.00000,0.00224,0.00000,0.00106,0.00499
1403715279.161011219024658,0.00160,0.00015,0.00003,0.00226,0.00000,0.00107,0.00512
1403715279.210937500000000,0.00163,0.00016,0.00000,0.00230,0.00000,0.00118,0.00527
1403715279.260843276977539,0.00153,0.00015,0.00000,0.00229,0.00000,0.00111,0.00509
1403715279.310725688934326,0.00155,0.00015,0.00000,0.00228,0.00000,0.00110,0.00508
1403715279.360877513885498,0.00157,0.00015,0.00001,0.00230,0.00000,0.00109,0.00512
1403715279.411103248596191,0.00150,0.00015,0.00000,0.00230,0.00000,0.00112,0.00508
1403715279.461271286010742,0.00160,0.00016,0.00000,0.00231,0.00000,0.00133,0.00541
1403715279.511274576187134,0.00164,0.00015,0.00001,0.00232,0.00008,0.00112,0.00532
1403715279.561245441436768,0.00158,0.00015,0.00001,0.00231,0.00000,0.00112,0.00517
1403715279.611238002777100,0.00168,0.00015,0.00000,0.00230,0.00000,0.00115,0.00529
1403715279.661280393600464,0.00157,0.00015,0.00000,0.00224,0.00000,0.00119,0.00516
1403715279.711382389068604,0.00187,0.00020,0.00001,0.00230,0.00000,0.00120,0.00557
1403715279.761371850967407,0.00153,0.00015,0.00000,0.00231,0.00000,0.00111,0.00510
1403715279.811430454254150,0.00170,0.00015,0.00000,0.00230,0.00000,0.00113,0.00529
1403715279.861377716064453,0.00198,0.00015,0.00000,0.00229,0.00000,0.00111,0.00553
1403715279.911358118057251,0.00209,0.00015,0.00001,0.00220,0.00000,0.00118,0.00563
1403715279.961309909820557,0.00188,0.00015,0.00003,0.00224,0.00000,0.00116,0.00546
1403715280.011206388473511,0.00180,0.00015,0.00001,0.00222,0.00000,0.00140,0.00558
1403715280.061168909072876,0.00193,0.00015,0.00001,0.00219,0.00000,0.00118,0.00545
1403715280.111220836639404,0.00176,0.00015,0.00006,0.00220,0.00008,0.00112,0.00538
1403715280.161571741104126,0.00184,0.00015,0.00001,0.00222,0.00000,0.00123,0.00545
1403715280.211980342864990,0.00182,0.00016,0.00005,0.00221,0.00000,0.00117,0.00541
1403715280.262564659118652,0.00177,0.00015,0.00000,0.00221,0.00000,0.00113,0.00525
1403715280.312641859054565,0.00167,0.00015,0.00000,0.00221,0.00000,0.00110,0.00514
1403715280.362650632858276,0.00187,0.00014,0.00001,0.00220,0.00000,0.00116,0.00537
1403715280.412584543228149,0.00169,0.00014,0.00001,0.00228,0.00189,0.00115,0.00716
1403715280.462376356124878,0.00194,0.00015,0.00000,0.00241,0.00000,0.00119,0.00571
1403715280.512269258499146,0.00209,0.00016,0.00006,0.00234,0.00000,0.00113,0.00578
1403715280.562104225158691,0.00180,0.00016,0.00009,0.00230,0.00000,0.00133,0.00568
1403715280.612051248550415,0.00187,0.00016,0.00003,0.00224,0.00000,0.00119,0.00549
1403715280.661979436874390,0.00194,0.00017,0.00001,0.00247,0.00000,0.00119,0.00577
1403715280.711958646774292,0.00193,0.00017,0.00011,0.00222,0.00049,0.00119,0.00612
1403715280.761925697326660,0.00181,0.00015,0.00001,0.00233,0.00000,0.00117,0.00547
1403715280.811891317367554,0.00181,0.00016,0.00004,0.00217,0.00000,0.00118,0.00537
1403715280.861908435821533,0.00184,0.00017,0.00002,0.00213,0.00000,0.00118,0.00535
