# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.859384775161743,0.00312,0.00010,0.00074,0.00000,0.00000,0.00196,0.00593
1403715278.910019874572754,0.00319,0.00013,0.00413,0.00000,0.00647,0.00149,0.01540
1403715278.960370063781738,0.00317,0.00015,0.00421,0.00200,0.00000,0.00124,0.01076
1403715279.010346174240112,0.00340,0.00015,0.00021,0.00211,0.00000,0.00144,0.00731
1403715279.060393333435059,0.00321,0.00015,0.00014,0.00226,0.00000,0.00154,0.00730
1403715279.110441446304321,0.00292,0.00015,0.00003,0.00228,0.00000,0.00151,0.00689
1403715279.160494089126587,0.00268,0.00015,0.00004,0.00229,0.00000,0.00152,0.00669
1403715279.210578203201294,0.00313,0.00015,0.00042,0.00218,0.00000,0.00150,0.00738
1403715279.260720729827881,0.00272,0.00015,0.00002,0.00224,0.00401,0.00154,0.01068
1403715279.310850381851196,0.00288,0.00017,0.00005,0.00277,0.00456,0.00153,0.01196
1403715279.360912084579468,0.00289,0.00022,0.00062,0.00321,0.00664,0.00143,0.01502
1403715279.411009311676025,0.00300,0.00019,0.00215,0.00448,0.00246,0.00156,0.01383
1403715279.461127042770386,0.00252,0.00018,0.00233,0.00535,0.00121,0.00184,0.01343
1403715279.511224031448364,0.00384,0.00019,0.01589,0.00505,0.00000,0.00155,0.02652
1403715279.561304092407227,0.00276,0.00019,0.00907,0.00498,0.00000,0.00155,0.01856
1403715279.611294507980347,0.00283,0.00021,0.00006,0.00536,0.00000,0.00155,0.01001
1403715279.661302566528320,0.00268,0.00019,0.00005,0.00534,0.00000,0.00156,0.00981
1403715279.711345911026001,0.00306,0.00020,0.00001,0.00549,0.00000,0.00153,0.01030
1403715279.761326313018799,0.00265,0.00022,0.00125,0.00514,0.00000,0.00149,0.01075
1403715279.811344146728516,0.00292,0.00019,0.00001,0.00510,0.00000,0.00158,0.00980
1403715279.861297130584717,0.00309,0.00026,0.00004,0.00540,0.00000,0.00172,0.01051
1403715279.911276340484619,0.00275,0.00021,0.00003,0.00519,0.00003,0.00156,0.00978
1403715279.961251258850098,0.00284,0.00018,0.00005,0.00548,0.00003,0.00161,0.01019
1403715280.011194705963135,0.00276,0.00018,0.00115,0.00533,0.00021,0.00189,0.01152
1403715280.061150550842285,0.00297,0.00019,0.00361,0.00485,0.00003,0.00155,0.01320
1403715280.111253976821899,0.00290,0.00019,0.01484,0.00463,0.00004,0.00145,0.02405
1403715280.161695241928101,0.00319,0.00019,0.00965,0.00446,0.00057,0.00149,0.01955
1403715280.212000846862793,0.00334,0.00019,0.00007,0.00484,0.00059,0.00157,0.01061
1403715280.262438535690308,0.00428,0.00019,0.00011,0.00486,0.00000,0.00163,0.01107
1403715280.312505960464478,0.00300,0.00019,0.00020,0.00485,0.00000,0.00159,0.00984
1403715280.362512826919556,0.00290,0.00018,0.00010,0.00448,0.00061,0.00160,0.00988
1403715280.412477016448975,0.00295,0.00018,0.00041,0.00470,0.00000,0.00167,0.00990
1403715280.462362051010132,0.00295,0.00021,0.00045,0.00474,0.00227,0.00166,0.01227
1403715280.512291908264160,0.00315,0.00019,0.00040,0.00467,0.00000,0.00155,0.00996
1403715280.562175035476685,0.00319,0.00019,0.00209,0.00423,0.00000,0.00178,0.01147
1403715280.612066745758057,0.00353,0.00019,0.00082,0.00413,0.00228,0.00156,0.01252
1403715280.661940813064575,0.00303,0.00023,0.00164,0.00419,0.00358,0.00161,0.01430
1403715280.711861848831177,0.00304,0.00018,0.01399,0.00464,0.00111,0.00146,0.02442
1403715280.761834859848022,0.00366,0.00019,0.00963,0.00447,0.00106,0.00147,0.02049
1403715280.811838388442993,0.00375,0.00019,0.00228,0.00475,0.00100,0.00159,0.01356
1403715280.861856222152710,0.00347,0.00022,0.00017,0.00457,0.00000,0.00157,0.01000
1403715280.911884546279907,0.00376,0.00019,0.00059,0.00428,0.00204,0.00170,0.01256
1403715280.961887598037720,0.00390,0.00019,0.00070,0.00398,0.00003,0.00162,0.01041
1403715281.011873006820679,0.00347,0.00018,0.00049,0.00400,0.00015,0.00167,0.00996
1403715281.061866521835327,0.00312,0.00020,0.00005,0.00416,0.00430,0.00180,0.01363
1403715281.111843109130859,0.00292,0.00018,0.00131,0.00455,0.00232,0.00176,0.01306
1403715281.161844015121460,0.00325,0.00023,0.00353,0.00472,0.00105,0.00168,0.01446
1403715281.211866378784180,0.00274,0.00020,0.00124,0.00479,0.00000,0.00169,0.01065
1403715281.261976718902588,0.00266,0.00022,0.00007,0.00437,0.00107,0.00157,0.00998
1403715281.312066793441772,0.00509,0.00019,0.01162,0.00429,0.00174,0.00164,0.02458
1403715281.362108945846558,0.00306,0.00019,0.01231,0.00435,0.00317,0.00158,0.02466
1403715281.412133216857910,0.00317,0.00020,0.00115,0.00534,0.00110,0.00169,0.01265
1403715281.462152004241943,0.00309,0.00019,0.00353,0.00533,0.00000,0.00177,0.01391
1403715281.512120723724365,0.00322,0.00020,0.00416,0.00516,0.00000,0.00168,0.01442
1403715281.562115430831909,0.00303,0.00018,0.00253,0.00502,0.00110,0.00164,0.01351
1403715281.612098932266235,0.00311,0.00019,0.00419,0.00490,0.00000,0.00170,0.01409
1403715281.662084579467773,0.00319,0.00021,0.00008,0.00513,0.00018,0.00191,0.01070
1403715281.712065935134888,0.00434,0.00020,0.00202,0.00383,0.00117,0.00168,0.01325
1403715281.762036085128784,0.00439,0.00018,0.00077,0.00360,0.00097,0.00167,0.01160
1403715281.812039852142334,0.00349,0.00021,0.00131,0.00349,0.00001,0.00165,0.01016
1403715281.862015008926392,0.00300,0.00017,0.00534,0.00296,0.00948,0.00158,0.02254
1403715281.912028789520264,0.00436,0.00023,0.00735,0.00443,0.00423,0.00160,0.02220
1403715281.962031841278076,0.00325,0.00021,0.00901,0.00527,0.00000,0.00162,0.01937
1403715282.012031555175781,0.00341,0.00018,0.00007,0.00579,0.00115,0.00168,0.01229
1403715282.062049627304077,0.00318,0.00020,0.00202,0.00502,0.00016,0.00166,0.01223
1403715282.112046003341675,0.00313,0.00018,0.00365,0.00515,0.00110,0.00165,0.01486
1403715282.162064552307129,0.00323,0.00021,0.00032,0.00582,0.00016,0.00162,0.01137
1403715282.212074756622314,0.00312,0.00019,0.00404,0.00565,0.00021,0.00169,0.01490
1403715282.262129306793213,0.00301,0.00019,0.01060,0.00556,0.00016,0.00154,0.02106
1403715282.312113523483276,0.00308,0.00024,0.00014,0.00582,0.00000,0.00175,0.01101
1403715282.362095832824707,0.00368,0.00019,0.00077,0.00538,0.00000,0.00162,0.01164
1403715282.412082672119141,0.00312,0.00019,0.00040,0.00479,0.00000,0.00168,0.01017
1403715282.462054252624512,0.00308,0.00020,0.01012,0.00410,0.00169,0.00164,0.02082
1403715282.512028217315674,0.00306,0.00019,0.00532,0.00451,0.00410,0.00155,0.01873
1403715282.562025070190430,0.00422,0.00023,0.00823,0.00514,0.00107,0.00166,0.02055
1403715282.612023591995239,0.00318,0.00020,0.00047,0.00546,0.00000,0.00175,0.01106
1403715282.662030220031738,0.00317,0.00018,0.00005,0.00537,0.00000,0.00166,0.01042
1403715282.712026357650757,0.00336,0.00019,0.00158,0.00588,0.00335,0.00171,0.01608
1403715282.762022733688354,0.00308,0.00020,0.00050,0.00585,0.00000,0.00178,0.01140
1403715282.812027692794800,0.00300,0.00020,0.00366,0.00531,0.00017,0.00162,0.01395
1403715282.862014293670654,0.00298,0.00021,0.00852,0.00536,0.00016,0.00164,0.01889
1403715282.912020206451416,0.00330,0.00018,0.00619,0.00537,0.00111,0.00164,0.01779
1403715282.962018013000488,0.00365,0.00025,0.00075,0.00620,0.00000,0.00176,0.01262
1403715283.012021064758301,0.00310,0.00019,0.00143,0.00579,0.00000,0.00160,0.01211
1403715283.062021017074585,0.00303,0.00019,0.00928,0.00514,0.00000,0.00158,0.01922
1403715283.112016201019287,0.00299,0.00018,0.00743,0.00493,0.00088,0.00164,0.01806
1403715283.162009716033936,0.00329,0.00019,0.00807,0.00496,0.00122,0.00157,0.01930
1403715283.212005376815796,0.00299,0.00021,0.00026,0.00536,0.00016,0.00167,0.01065
1403715283.261997938156128,0.00298,0.00019,0.00004,0.00575,0.00000,0.00170,0.01067
1403715283.311994791030884,0.00294,0.00018,0.00024,0.00545,0.00015,0.00169,0.01064
1403715283.361984729766846,0.00281,0.00018,0.00001,0.00581,0.00017,0.00161,0.01059
1403715283.411951065063477,0.00294,0.00019,0.00368,0.00566,0.00113,0.00160,0.01521
1403715283.461903333663940,0.00358,0.00019,0.00736,0.00479,0.00000,0.00152,0.01745
1403715283.511856079101562,0.00447,0.00019,0.01079,0.00424,0.00302,0.00180,0.02451
1403715283.561856269836426,0.00338,0.00018,0.00008,0.00520,0.00000,0.00172,0.01057
1403715283.611853599548340,0.00333,0.00018,0.00041,0.00490,0.00015,0.00169,0.01067
1403715283.661895751953125,0.00328,0.00019,0.00787,0.00493,0.00316,0.00190,0.02132
1403715283.711924552917480,0.00328,0.00019,0.00623,0.00614,0.00000,0.00186,0.01770
1403715283.761944055557251,0.00335,0.00020,0.00546,0.00639,0.00000,0.00181,0.01721
1403715283.811958074569702,0.00315,0.00020,0.00013,0.00589,0.00000,0.00178,0.01115
1403715283.861967325210571,0.00314,0.00019,0.00002,0.00606,0.00000,0.00181,0.01122
1403715283.911971569061279,0.00314,0.00022,0.00004,0.00598,0.00000,0.00177,0.01115
1403715283.961987972259521,0.00321,0.00019,0.00002,0.00595,0.00000,0.00177,0.01113
1403715284.012031793594360,0.00316,0.00020,0.00502,0.00612,0.00004,0.00185,0.01640
1403715284.062100887298584,0.00431,0.00023,0.01562,0.00583,0.00123,0.00195,0.02918
1403715284.112136602401733,0.00320,0.00020,0.01119,0.00581,0.00000,0.00178,0.02218
1403715284.162111759185791,0.00340,0.00018,0.00009,0.00581,0.00019,0.00187,0.01154
1403715284.212095022201538,0.00300,0.00019,0.00008,0.00571,0.00001,0.00182,0.01082
1403715284.262091875076294,0.00298,0.00018,0.00704,0.00545,0.00115,0.00177,0.01856
1403715284.312067270278931,0.00292,0.00018,0.00521,0.00584,0.00000,0.00180,0.01596
1403715284.362070798873901,0.00334,0.00018,0.00534,0.00616,0.00000,0.00187,0.01690
1403715284.412091970443726,0.00299,0.00019,0.00002,0.00584,0.00000,0.00185,0.01089
1403715284.462086200714111,0.00332,0.00019,0.00010,0.00571,0.00021,0.00180,0.01133
1403715284.512089967727661,0.00300,0.00020,0.00013,0.00561,0.00017,0.00174,0.01085
1403715284.562083721160889,0.00314,0.00019,0.00002,0.00583,0.00000,0.00171,0.01089
1403715284.612076044082642,0.00294,0.00019,0.00412,0.00569,0.00002,0.00183,0.01479
1403715284.662063121795654,0.00314,0.00018,0.01427,0.00550,0.00078,0.00167,0.02554
1403715284.712056636810303,0.00311,0.00019,0.00795,0.00563,0.00000,0.00166,0.01855
1403715284.762046813964844,0.00307,0.00019,0.00004,0.00567,0.00000,0.00168,0.01065
1403715284.812039852142334,0.00301,0.00021,0.00005,0.00582,0.00000,0.00170,0.01079
1403715284.862034559249878,0.00316,0.00019,0.00580,0.00559,0.00000,0.00172,0.01646
1403715284.912049293518066,0.00319,0.00019,0.00516,0.00549,0.00001,0.00170,0.01574
1403715284.962075948715210,0.00311,0.00018,0.00457,0.00557,0.00111,0.00174,0.01628
1403715285.012095212936401,0.00329,0.00020,0.00002,0.00518,0.00000,0.00176,0.01045
1403715285.062098026275635,0.00327,0.00019,0.00013,0.00499,0.00016,0.00162,0.01037
1403715285.112101554870605,0.00317,0.00019,0.00007,0.00499,0.00017,0.00162,0.01022
1403715285.162122011184692,0.00332,0.00018,0.00005,0.00496,0.00000,0.00181,0.01032
1403715285.212172269821167,0.00299,0.00018,0.00311,0.00473,0.00004,0.00169,0.01274
1403715285.262217521667480,0.00308,0.00019,0.01128,0.00452,0.00319,0.00159,0.02385
1403715285.312256574630737,0.00296,0.00020,0.00814,0.00517,0.00107,0.00157,0.01911
1403715285.362265586853027,0.00302,0.00023,0.00001,0.00564,0.00000,0.00172,0.01063
1403715285.412264585494995,0.00363,0.00020,0.00061,0.00542,0.00002,0.00166,0.01155
1403715285.462247610092163,0.00315,0.00021,0.00526,0.00560,0.00112,0.00173,0.01707
1403715285.512263536453247,0.00306,0.00020,0.00472,0.00533,0.00000,0.00181,0.01512
1403715285.562273025512695,0.00313,0.00021,0.00443,0.00476,0.00000,0.00166,0.01419
1403715285.612269878387451,0.00332,0.00019,0.00029,0.00495,0.00045,0.00168,0.01088
1403715285.662269830703735,0.00317,0.00018,0.00030,0.00529,0.00000,0.00168,0.01063
1403715285.712265968322754,0.00334,0.00026,0.00041,0.00523,0.00000,0.00217,0.01142
1403715285.762257575988770,0.00324,0.00022,0.00024,0.00534,0.00000,0.00173,0.01077
1403715285.812258243560791,0.00309,0.00020,0.00345,0.00507,0.00175,0.00173,0.01530
1403715285.862247228622437,0.00417,0.00024,0.01472,0.00476,0.00057,0.00175,0.02619
1403715285.912232398986816,0.00340,0.00018,0.00916,0.00475,0.00159,0.00174,0.02082
1403715285.962227582931519,0.00297,0.00023,0.00573,0.00482,0.00022,0.00168,0.01564
1403715286.012217283248901,0.00290,0.00019,0.00037,0.00554,0.00077,0.00176,0.01153
1403715286.062217712402344,0.00294,0.00020,0.00607,0.00537,0.00000,0.00170,0.01628
1403715286.112219810485840,0.00287,0.00019,0.00599,0.00526,0.00000,0.00168,0.01600
1403715286.162222385406494,0.00291,0.00019,0.00313,0.00511,0.00108,0.00171,0.01413
1403715286.212226390838623,0.00270,0.00018,0.00001,0.00565,0.00000,0.00176,0.01032
1403715286.262223482131958,0.00276,0.00024,0.00009,0.00526,0.00000,0.00183,0.01019
1403715286.312219858169556,0.00309,0.00018,0.00004,0.00533,0.00000,0.00167,0.01031
1403715286.362211227416992,0.00293,0.00022,0.00007,0.00480,0.00000,0.00161,0.00962
1403715286.412215471267700,0.00280,0.00018,0.00782,0.00422,0.00212,0.00164,0.01878
1403715286.462195158004761,0.00275,0.00019,0.01311,0.00439,0.00119,0.00161,0.02325
1403715286.512188434600830,0.00274,0.00018,0.00853,0.00433,0.00104,0.00156,0.01840
1403715286.562185049057007,0.00350,0.00024,0.00496,0.00424,0.00158,0.00176,0.01628
1403715286.612183809280396,0.00308,0.00018,0.00049,0.00439,0.00022,0.00168,0.01004
1403715286.662172555923462,0.00308,0.00019,0.00511,0.00380,0.00330,0.00157,0.01705
1403715286.712163448333740,0.00463,0.00020,0.00373,0.00420,0.00159,0.00167,0.01602
1403715286.762161254882812,0.00301,0.00018,0.00026,0.00336,0.00101,0.00152,0.00935
1403715286.812155485153198,0.00283,0.00017,0.00012,0.00320,0.00003,0.00175,0.00811
1403715286.862152099609375,0.00306,0.00018,0.00057,0.00296,0.00013,0.00171,0.00861
1403715286.912141561508179,0.00279,0.00026,0.00024,0.00300,0.00014,0.00172,0.00814
1403715286.962147474288940,0.00270,0.00015,0.00010,0.00300,0.00000,0.00171,0.00766
1403715287.012149333953857,0.00327,0.00017,0.00067,0.00235,0.00770,0.00169,0.01585
1403715287.062153339385986,0.00347,0.00018,0.00594,0.00327,0.00787,0.00166,0.02239
1403715287.112169027328491,0.00318,0.00018,0.01059,0.00374,0.00220,0.00154,0.02145
1403715287.162170648574829,0.00325,0.00019,0.00401,0.00426,0.00314,0.00153,0.01638
1403715287.212165117263794,0.00299,0.00019,0.00053,0.00407,0.00000,0.00168,0.00946
1403715287.262171983718872,0.00326,0.00019,0.00444,0.00363,0.00441,0.00153,0.01745
1403715287.312172174453735,0.00325,0.00019,0.00228,0.00362,0.00198,0.00156,0.01288
1403715287.362165451049805,0.00313,0.00018,0.00064,0.00392,0.00057,0.00166,0.01011
1403715287.412163972854614,0.00288,0.00018,0.00076,0.00374,0.00253,0.00158,0.01169
1403715287.462160825729370,0.00417,0.00018,0.00025,0.00408,0.00000,0.00170,0.01039
1403715287.512154102325439,0.00307,0.00018,0.00038,0.00399,0.00014,0.00164,0.00941
1403715287.562151193618774,0.00285,0.00018,0.00062,0.00424,0.00350,0.00188,0.01327
1403715287.612140178680420,0.00301,0.00018,0.00144,0.00414,0.00174,0.00176,0.01227
1403715287.662141084671021,0.00313,0.00017,0.00410,0.00377,0.00316,0.00162,0.01595
1403715287.712140798568726,0.00276,0.00017,0.00578,0.00364,0.00430,0.00156,0.01822
1403715287.762148141860962,0.00317,0.00018,0.00358,0.00391,0.00309,0.00157,0.01550
1403715287.812157630920410,0.00281,0.00021,0.00195,0.00435,0.00071,0.00155,0.01157
1403715287.862154722213745,0.00270,0.00017,0.00207,0.00376,0.00515,0.00150,0.01536
1403715287.912162065505981,0.00271,0.00019,0.00129,0.00467,0.00058,0.00160,0.01104
1403715287.962167978286743,0.00308,0.00018,0.00064,0.00489,0.00020,0.00158,0.01058
1403715288.012188673019409,0.00302,0.00019,0.00559,0.00450,0.00216,0.00148,0.01694
1403715288.062207937240601,0.00315,0.00025,0.00042,0.00475,0.00119,0.00148,0.01125
1403715288.112218141555786,0.00346,0.00025,0.00052,0.00488,0.00098,0.00168,0.01179
1403715288.162243127822876,0.00299,0.00023,0.00348,0.00454,0.00120,0.00158,0.01402
1403715288.212263107299805,0.00272,0.00018,0.00124,0.00491,0.00005,0.00168,0.01078
1403715288.262255191802979,0.00265,0.00019,0.00527,0.00439,0.00195,0.00162,0.01607
1403715288.312257289886475,0.00325,0.00019,0.00313,0.00435,0.00313,0.00162,0.01568
1403715288.362249374389648,0.00427,0.00019,0.00253,0.00476,0.00109,0.00172,0.01457
1403715288.412239789962769,0.00313,0.00020,0.00127,0.00511,0.00003,0.00168,0.01142
1403715288.462240695953369,0.00315,0.00018,0.00405,0.00490,0.00222,0.00166,0.01617
