# timestamp (sec),tracking,propagation,msckf update,re-tri & marg,total
1403715278.860895872116089,0.00264,0.00010,0.00039,0.00130,0.00442
1403715278.911382913589478,0.00271,0.00012,0.00437,0.00125,0.00845
1403715278.961499452590942,0.00232,0.00012,0.00431,0.00128,0.00802
1403715279.011515140533447,0.00246,0.00016,0.00023,0.00140,0.00425
1403715279.061515331268311,0.00269,0.00012,0.00001,0.00142,0.00424
1403715279.111515283584595,0.00233,0.00012,0.00003,0.00138,0.00385
1403715279.161497354507446,0.00211,0.00012,0.00035,0.00137,0.00395
1403715279.211492300033569,0.00217,0.00014,0.00018,0.00154,0.00403
1403715279.261247873306274,0.00220,0.00013,0.00137,0.00145,0.00515
1403715279.311159133911133,0.00219,0.00012,0.00241,0.00144,0.00617
1403715279.361190080642700,0.00234,0.00013,0.00071,0.00145,0.00463
1403715279.411356925964355,0.00314,0.00020,0.00521,0.00142,0.00997
1403715279.461356878280640,0.00239,0.00013,0.00001,0.00150,0.00403
1403715279.511728286743164,0.00224,0.00012,0.01419,0.00139,0.01794
1403715279.561749219894409,0.00247,0.00013,0.00906,0.00138,0.01304
1403715279.611762285232544,0.00214,0.00013,0.00134,0.00142,0.00502
1403715279.661762237548828,0.00245,0.00012,0.00000,0.00151,0.00409
1403715279.711762189865112,0.00220,0.00016,0.00000,0.00143,0.00380
1403715279.761762142181396,0.00217,0.00012,0.00000,0.00147,0.00377
1403715279.811762332916260,0.00222,0.00013,0.00000,0.00149,0.00384
1403715279.861801385879517,0.00221,0.00013,0.00135,0.00152,0.00520
1403715279.911782503128052,0.00293,0.00014,0.00244,0.00149,0.00700
1403715279.961774349212646,0.00225,0.00012,0.00213,0.00142,0.00592
1403715280.011768341064453,0.00217,0.00015,0.00397,0.00152,0.00781
1403715280.061768531799316,0.00226,0.00016,0.00004,0.00144,0.00391
1403715280.111767292022705,0.00244,0.00012,0.01387,0.00135,0.01778
1403715280.161870956420898,0.00229,0.00012,0.00900,0.00142,0.01284
1403715280.211896896362305,0.00233,0.00014,0.00134,0.00144,0.00525
1403715280.261896848678589,0.00219,0.00012,0.00003,0.00140,0.00375
1403715280.311897039413452,0.00218,0.00012,0.00000,0.00146,0.00377
1403715280.361896991729736,0.00227,0.00012,0.00000,0.00142,0.00383
1403715280.411896944046021,0.00247,0.00013,0.00000,0.00140,0.00401
1403715280.462063789367676,0.00224,0.00013,0.00195,0.00143,0.00575
1403715280.512317895889282,0.00221,0.00016,0.00259,0.00145,0.00641
1403715280.562362432479858,0.00259,0.00013,0.00126,0.00145,0.00543
1403715280.612334966659546,0.00235,0.00013,0.00378,0.00143,0.00769
1403715280.662185430526733,0.00233,0.00012,0.00219,0.00140,0.00604
1403715280.712154388427734,0.00270,0.00012,0.01500,0.00137,0.01919
1403715280.762147665023804,0.00239,0.00013,0.00792,0.00143,0.01187
1403715280.812134265899658,0.00283,0.00013,0.00178,0.00148,0.00621
1403715280.862134218215942,0.00231,0.00011,0.00007,0.00147,0.00397
1403715280.912134170532227,0.00239,0.00013,0.00005,0.00143,0.00401
1403715280.962149858474731,0.00249,0.00013,0.00052,0.00157,0.00472
1403715281.012167453765869,0.00301,0.00013,0.00059,0.00145,0.00518
1403715281.062160968780518,0.00282,0.00013,0.00023,0.00150,0.00467
1403715281.112267017364502,0.00279,0.00012,0.00453,0.00154,0.00899
1403715281.162150859832764,0.00243,0.00012,0.00147,0.00142,0.00545
1403715281.212131977081299,0.00226,0.00013,0.00398,0.00147,0.00785
1403715281.262138843536377,0.00227,0.00012,0.00262,0.00147,0.00648
1403715281.312395334243774,0.00232,0.00013,0.01182,0.00139,0.01566
1403715281.362482547760010,0.00242,0.00013,0.00942,0.00144,0.01341
1403715281.412487268447876,0.00203,0.00012,0.00089,0.00144,0.00449
1403715281.462487220764160,0.00231,0.00013,0.00003,0.00144,0.00391
1403715281.512493371963501,0.00246,0.00012,0.00011,0.00149,0.00418
1403715281.562493562698364,0.00242,0.00012,0.00000,0.00152,0.00407
1403715281.612480401992798,0.00241,0.00012,0.00735,0.00147,0.01136
1403715281.662480354309082,0.00233,0.00013,0.00000,0.00142,0.00387
1403715281.712442398071289,0.00343,0.00012,0.00422,0.00149,0.00926
1403715281.762379646301270,0.00462,0.00013,0.00100,0.00164,0.00738
1403715281.812289237976074,0.00275,0.00013,0.00299,0.00155,0.00742
1403715281.862290382385254,0.00248,0.00013,0.00274,0.00152,0.00687
1403715281.912278652191162,0.00342,0.00013,0.00800,0.00152,0.01308
1403715281.962249279022217,0.00274,0.00012,0.00741,0.00149,0.01176
1403715282.012246370315552,0.00242,0.00012,0.00093,0.00158,0.00505
1403715282.062246561050415,0.00234,0.00013,0.00004,0.00148,0.00400
1403715282.112246513366699,0.00238,0.00013,0.00000,0.00147,0.00398
1403715282.162246465682983,0.00238,0.00013,0.00001,0.00156,0.00408
1403715282.212274312973022,0.00238,0.00013,0.00614,0.00149,0.01014
1403715282.262288808822632,0.00244,0.00012,0.00264,0.00155,0.00675
1403715282.312303543090820,0.00237,0.00013,0.01159,0.00143,0.01551
1403715282.362303495407104,0.00255,0.00013,0.00000,0.00156,0.00424
1403715282.412331104278564,0.00236,0.00012,0.00283,0.00156,0.00687
1403715282.462316274642944,0.00235,0.00014,0.00227,0.00147,0.00623
1403715282.512285709381104,0.00340,0.00012,0.00766,0.00153,0.01271
1403715282.562285900115967,0.00273,0.00012,0.00694,0.00157,0.01137
1403715282.612292051315308,0.00264,0.00012,0.00158,0.00156,0.00591
1403715282.662292957305908,0.00255,0.00012,0.00029,0.00159,0.00455
1403715282.712300062179565,0.00252,0.00013,0.00034,0.00158,0.00458
1403715282.762299060821533,0.00250,0.00013,0.00020,0.00155,0.00438
1403715282.812292575836182,0.00271,0.00016,0.00475,0.00163,0.00925
1403715282.862294912338257,0.00253,0.00014,0.00224,0.00157,0.00647
1403715282.912275791168213,0.00265,0.00013,0.01078,0.00148,0.01505
1403715282.962275743484497,0.00266,0.00013,0.00000,0.00163,0.00442
1403715283.012266159057617,0.00259,0.00012,0.00137,0.00158,0.00566
1403715283.062264204025269,0.00258,0.00012,0.01215,0.00146,0.01631
1403715283.112270832061768,0.00250,0.00012,0.00730,0.00154,0.01146
1403715283.162273406982422,0.00232,0.00012,0.00654,0.00175,0.01072
1403715283.212276935577393,0.00224,0.00012,0.00102,0.00145,0.00483
1403715283.262271642684937,0.00237,0.00013,0.00033,0.00150,0.00433
1403715283.312271833419800,0.00238,0.00012,0.00000,0.00148,0.00398
1403715283.362267971038818,0.00244,0.00013,0.00078,0.00155,0.00490
1403715283.412243366241455,0.00242,0.00013,0.00297,0.00151,0.00703
1403715283.462217807769775,0.00234,0.00012,0.00258,0.00144,0.00648
1403715283.512108325958252,0.00235,0.00014,0.01011,0.00136,0.01397
1403715283.562108755111694,0.00461,0.00013,0.00016,0.00150,0.00641
1403715283.612105369567871,0.00357,0.00011,0.00059,0.00152,0.00579
1403715283.662154912948608,0.00255,0.00012,0.01106,0.00150,0.01523
1403715283.712151288986206,0.00277,0.00013,0.00547,0.00153,0.00990
1403715283.762160062789917,0.00247,0.00012,0.00507,0.00174,0.00941
1403715283.812160253524780,0.00250,0.00012,0.00018,0.00164,0.00445
1403715283.862160205841064,0.00302,0.00012,0.00001,0.00162,0.00476
1403715283.912160158157349,0.00277,0.00013,0.00003,0.00158,0.00452
1403715283.962160110473633,0.00248,0.00013,0.00001,0.00156,0.00417
1403715284.012182235717773,0.00243,0.00013,0.00288,0.00160,0.00704
1403715284.062184333801270,0.00262,0.00012,0.00162,0.00154,0.00590
1403715284.112316131591797,0.00255,0.00013,0.01501,0.00151,0.01919
1403715284.162336587905884,0.00250,0.00012,0.00358,0.00150,0.00771
1403715284.212336540222168,0.00257,0.00012,0.00056,0.00158,0.00483
1403715284.262329578399658,0.00251,0.00012,0.00959,0.00150,0.01373
1403715284.312309741973877,0.00247,0.00012,0.00496,0.00150,0.00906
1403715284.362289667129517,0.00252,0.00012,0.00556,0.00148,0.00969
1403715284.412288427352905,0.00242,0.00012,0.00027,0.00154,0.00435
1403715284.462288379669189,0.00245,0.00013,0.00000,0.00157,0.00416
1403715284.512288331985474,0.00249,0.00012,0.00001,0.00157,0.00419
1403715284.562288522720337,0.00246,0.00013,0.00001,0.00151,0.00411
1403715284.612303972244263,0.00239,0.00013,0.00281,0.00155,0.00688
1403715284.662302970886230,0.00241,0.00012,0.00035,0.00154,0.00442
1403715284.712289810180664,0.00240,0.00012,0.01478,0.00146,0.01877
1403715284.762290716171265,0.00242,0.00012,0.00204,0.00153,0.00611
1403715284.812288284301758,0.00237,0.00012,0.00058,0.00153,0.00460
