# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862143039703369,0.00459,0.00009,0.00006,0.00000,0.00000,0.00257,0.00732
1403715278.911344289779663,0.00549,0.00012,0.00001,0.00000,0.00745,0.00205,0.01512
1403715278.961307048797607,0.00665,0.00015,0.00004,0.00222,0.00000,0.00179,0.01085
1403715279.011283874511719,0.00670,0.00022,0.00005,0.00219,0.00000,0.00185,0.01100
1403715279.061259269714355,0.00648,0.00016,0.00001,0.00220,0.00000,0.00182,0.01067
1403715279.111096620559692,0.00625,0.00016,0.00001,0.00211,0.00000,0.00183,0.01035
1403715279.161047458648682,0.00635,0.00015,0.00004,0.00223,0.00000,0.00205,0.01081
1403715279.211066484451294,0.00690,0.00017,0.00001,0.00229,0.00000,0.00246,0.01183
1403715279.260982036590576,0.00627,0.00015,0.00001,0.00215,0.00000,0.00188,0.01045
1403715279.310873031616211,0.00621,0.00016,0.00001,0.00215,0.00000,0.00222,0.01075
1403715279.361060142517090,0.00617,0.00016,0.00001,0.00216,0.00000,0.00193,0.01043
1403715279.411281824111938,0.00658,0.00016,0.00001,0.00226,0.00000,0.00183,0.01083
1403715279.461423873901367,0.00553,0.00016,0.00001,0.00242,0.00000,0.00215,0.01027
1403715279.511412858963013,0.00570,0.00015,0.00001,0.00213,0.00008,0.00170,0.00977
1403715279.561339139938354,0.00557,0.00015,0.00001,0.00221,0.00000,0.00175,0.00970
1403715279.611321210861206,0.00550,0.00015,0.00001,0.00241,0.00000,0.00187,0.00994
1403715279.661344289779663,0.00571,0.00016,0.00001,0.00225,0.00000,0.00208,0.01020
1403715279.711431503295898,0.00562,0.00016,0.00001,0.00218,0.00000,0.00175,0.00972
1403715279.761425971984863,0.00572,0.00017,0.00001,0.00218,0.00000,0.00181,0.00989
1403715279.811478614807129,0.00626,0.00015,0.00001,0.00226,0.00000,0.00201,0.01069
1403715279.861434936523438,0.00703,0.00022,0.00001,0.00228,0.00000,0.00194,0.01148
1403715279.911421775817871,0.00559,0.00015,0.00001,0.00212,0.00000,0.00200,0.00988
1403715279.961389780044556,0.00718,0.00015,0.00003,0.00233,0.00000,0.00214,0.01183
1403715280.011302709579468,0.00700,0.00015,0.00001,0.00212,0.00000,0.00221,0.01149
1403715280.061272621154785,0.00652,0.00015,0.00001,0.00212,0.00000,0.00190,0.01070
1403715280.111313819885254,0.00678,0.00022,0.00008,0.00348,0.00013,0.00233,0.01303
1403715280.161630630493164,0.00662,0.00027,0.00001,0.00223,0.00000,0.00178,0.01091
1403715280.212008953094482,0.00617,0.00015,0.00004,0.00220,0.00000,0.00183,0.01040
1403715280.262569904327393,0.00569,0.00015,0.00001,0.00218,0.00000,0.00209,0.01011
1403715280.312647581100464,0.00644,0.00016,0.00001,0.00224,0.00000,0.00206,0.01091
1403715280.362658739089966,0.00561,0.00015,0.00001,0.00218,0.00000,0.00193,0.00987
1403715280.412596225738525,0.00590,0.00019,0.00001,0.00227,0.00195,0.00210,0.01242
1403715280.462393760681152,0.00533,0.00016,0.00001,0.00233,0.00000,0.00181,0.00963
1403715280.512289524078369,0.00817,0.00015,0.00004,0.00219,0.00000,0.00196,0.01252
1403715280.562126636505127,0.00775,0.00031,0.00012,0.00391,0.00000,0.00265,0.01474
1403715280.612076759338379,0.00661,0.00016,0.00005,0.00223,0.00000,0.00259,0.01164
1403715280.662006855010986,0.00663,0.00016,0.00001,0.00209,0.00000,0.00181,0.01070
1403715280.711982488632202,0.00692,0.00023,0.00018,0.00264,0.00044,0.00193,0.01235
