# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.859501600265503,0.00388,0.00014,0.00091,0.00000,0.00000,0.00200,0.00694
1403715278.910231590270996,0.00332,0.00011,0.00399,0.00000,0.00683,0.00164,0.01589
1403715278.960563182830811,0.00424,0.00022,0.00446,0.00207,0.00000,0.00144,0.01244
1403715279.010502815246582,0.00348,0.00016,0.00024,0.00236,0.00000,0.00161,0.00786
1403715279.060514688491821,0.00331,0.00015,0.00014,0.00208,0.00000,0.00151,0.00719
1403715279.110509395599365,0.00292,0.00015,0.00003,0.00246,0.00000,0.00158,0.00714
1403715279.160572290420532,0.00285,0.00017,0.00004,0.00222,0.00000,0.00155,0.00683
1403715279.210706472396851,0.00330,0.00016,0.00041,0.00234,0.00000,0.00166,0.00786
1403715279.260855436325073,0.00371,0.00017,0.00002,0.00226,0.00387,0.00166,0.01168
1403715279.311021804809570,0.00365,0.00016,0.00005,0.00269,0.00481,0.00165,0.01302
1403715279.361149787902832,0.00294,0.00017,0.00058,0.00334,0.00695,0.00157,0.01554
1403715279.411258459091187,0.00288,0.00018,0.00212,0.00449,0.00241,0.00182,0.01391
1403715279.461379528045654,0.00286,0.00019,0.00221,0.00506,0.00117,0.00191,0.01340
1403715279.511452913284302,0.00367,0.00018,0.01542,0.00530,0.00000,0.00151,0.02608
1403715279.561469078063965,0.00280,0.00019,0.00945,0.00541,0.00000,0.00184,0.01970
1403715279.611456394195557,0.00284,0.00019,0.00005,0.00532,0.00000,0.00153,0.00993
1403715279.661449193954468,0.00335,0.00018,0.00005,0.00540,0.00000,0.00181,0.01079
1403715279.711482286453247,0.00285,0.00021,0.00002,0.00529,0.00000,0.00165,0.01002
1403715279.761471033096313,0.00270,0.00018,0.00119,0.00558,0.00000,0.00179,0.01144
1403715279.811491489410400,0.00384,0.00019,0.00002,0.00508,0.00000,0.00172,0.01086
1403715279.861455678939819,0.00291,0.00020,0.00005,0.00511,0.00000,0.00163,0.00990
1403715279.911441802978516,0.00289,0.00018,0.00003,0.00505,0.00003,0.00178,0.00995
1403715279.961435794830322,0.00347,0.00019,0.00005,0.00512,0.00003,0.00164,0.01049
1403715280.011405706405640,0.00303,0.00019,0.00109,0.00523,0.00021,0.00186,0.01161
1403715280.061372518539429,0.00311,0.00018,0.00348,0.00492,0.00004,0.00165,0.01337
1403715280.111406803131104,0.00372,0.00018,0.01493,0.00483,0.00004,0.00150,0.02520
1403715280.161752700805664,0.00416,0.00025,0.00975,0.00496,0.00069,0.00167,0.02148
1403715280.212017774581909,0.00333,0.00020,0.00008,0.00478,0.00062,0.00159,0.01060
1403715280.262436389923096,0.00352,0.00033,0.00015,0.00517,0.00000,0.00166,0.01084
1403715280.312501907348633,0.00305,0.00019,0.00023,0.00478,0.00000,0.00167,0.00992
1403715280.362509012222290,0.00325,0.00019,0.00010,0.00456,0.00071,0.00175,0.01056
1403715280.412472963333130,0.00340,0.00021,0.00033,0.00454,0.00000,0.00178,0.01026
1403715280.462355375289917,0.00303,0.00019,0.00043,0.00449,0.00226,0.00167,0.01207
1403715280.512287616729736,0.00616,0.00033,0.00041,0.00542,0.00000,0.00159,0.01391
