# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.937362432479858,0,6,0,0,5
1403637149.987400293350220,28,23,0,28,6
1403637150.037374019622803,23,22,21,0,7
1403637150.087186336517334,22,12,17,0,8
1403637150.137032747268677,15,7,13,0,9
1403637150.187000513076782,13,5,13,0,10
1403637150.236916065216064,12,13,11,0,11
1403637150.286994457244873,11,20,9,0,11
1403637150.337151527404785,11,6,8,0,11
1403637150.387204170227051,7,6,7,0,11
1403637150.437190532684326,5,8,4,0,11
1403637150.487200498580933,4,4,3,0,11
1403637150.537195682525635,1,6,1,0,11
1403637150.587802410125732,8,9,1,7,11
1403637150.637803554534912,7,7,5,1,11
1403637150.687757730484009,10,10,6,3,11
1403637150.737565517425537,13,3,9,4,11
1403637150.787597894668579,14,5,13,1,11
1403637150.837740182876587,18,8,10,6,11
1403637150.887812137603760,26,5,13,10,11
1403637150.937821388244629,24,3,23,0,11
1403637150.987826824188232,23,8,23,0,11
1403637151.037815093994141,23,3,21,2,11
1403637151.087809562683105,28,5,23,5,11
1403637151.137781381607056,31,8,26,4,11
1403637151.187914371490479,40,9,28,11,11
1403637151.237837791442871,46,0,38,7,11
1403637151.287744522094727,46,3,43,1,11
1403637151.337702274322510,46,3,43,2,11
1403637151.387626886367798,42,6,41,0,11
1403637151.437566518783569,37,5,34,0,11
1403637151.487626791000366,39,5,33,4,11
1403637151.537637472152710,36,1,34,0,11
1403637151.587713479995728,36,4,33,3,11
1403637151.637679576873779,39,4,36,3,11
1403637151.687678098678589,37,3,37,0,11
1403637151.737683773040771,41,2,35,4,11
1403637151.787721395492554,43,4,39,2,11
1403637151.837713956832886,41,1,40,1,11
1403637151.887732028961182,46,3,39,7,11
1403637151.937746763229370,49,0,45,4,11
1403637151.987806081771851,50,1,48,1,11
1403637152.037845134735107,50,6,48,0,11
1403637152.087888717651367,48,7,47,0,11
1403637152.137950658798218,47,8,47,0,11
1403637152.187930345535278,49,6,47,2,11
1403637152.237958431243896,50,0,49,1,11
1403637152.287917375564575,48,2,48,0,11
1403637152.337940931320190,48,2,46,0,11
1403637152.387979269027710,48,2,45,0,11
1403637152.437900543212891,46,6,43,1,11
1403637152.487937211990356,46,1,43,2,11
1403637152.537914514541626,46,1,45,1,11
1403637152.587908506393433,45,3,44,1,11
1403637152.637953519821167,47,0,44,3,11
1403637152.687972068786621,49,5,46,2,11
1403637152.738024473190308,48,2,48,0,11
1403637152.788058280944824,46,4,46,0,11
1403637152.838096857070923,43,1,43,0,11
1403637152.888129234313965,44,2,43,1,11
1403637152.938122510910034,41,0,39,1,11
1403637152.988057851791382,41,2,39,1,11
1403637153.038062572479248,44,2,40,4,11
1403637153.088024616241455,44,1,44,0,11
1403637153.137980461120605,45,0,44,1,11
1403637153.187920093536377,45,2,43,1,11
1403637153.237910509109497,44,2,43,0,11
1403637153.287922382354736,48,4,43,5,11
1403637153.337909221649170,48,3,46,1,11
1403637153.387922763824463,47,2,46,0,11
1403637153.437923669815063,46,5,46,0,11
1403637153.487948656082153,45,0,44,0,11
1403637153.537959575653076,45,1,43,0,11
1403637153.587931156158447,42,4,40,0,11
1403637153.637910604476929,43,5,40,2,11
1403637153.687870979309082,41,2,41,0,11
1403637153.737895727157593,44,2,39,3,11
1403637153.787852525711060,41,2,39,0,11
1403637153.837849140167236,41,1,37,2,11
1403637153.887851715087891,43,0,39,3,11
1403637153.937863826751709,41,1,40,0,11
1403637153.987950325012207,41,0,39,1,11
1403637154.038020133972168,42,0,40,2,11
1403637154.088185071945190,42,3,41,0,11
1403637154.138239145278931,42,0,41,0,11
1403637154.188295602798462,42,2,41,1,11
1403637154.238264799118042,45,2,42,3,11
1403637154.288230895996094,46,0,45,1,11
1403637154.338170766830444,50,0,45,4,11
1403637154.388143539428711,49,2,46,0,11
1403637154.438069343566895,49,0,46,1,11
1403637154.488035917282104,47,0,43,0,11
1403637154.538033485412598,48,2,42,1,11
1403637154.588063716888428,43,1,40,0,11
1403637154.638098001480103,41,0,38,1,11
1403637154.688124656677246,40,1,36,3,11
1403637154.738142728805542,41,0,37,2,11
1403637154.788159370422363,37,6,36,1,11
1403637154.838180303573608,41,1,35,4,11
1403637154.888197183609009,40,0,36,0,11
1403637154.938237428665161,37,3,35,1,11
1403637154.988271474838257,35,2,34,0,11
1403637155.038304328918457,35,1,32,2,11
1403637155.088304281234741,33,1,31,1,11
1403637155.138292551040649,33,6,31,2,11
1403637155.188308954238892,34,2,31,1,11
1403637155.238323211669922,33,0,30,1,11
1403637155.288340330123901,31,1,30,0,11
1403637155.338354825973511,34,1,29,3,11
1403637155.388376235961914,36,8,29,5,11
1403637155.438360691070557,39,1,31,6,11
1403637155.488340616226196,38,2,37,0,11
1403637155.538319587707520,43,0,35,8,11
1403637155.588286876678467,47,6,40,6,11
1403637155.638262033462524,48,4,45,2,11
1403637155.688244581222534,46,0,46,0,11
1403637155.738238573074341,46,5,46,0,11
1403637155.788220643997192,47,4,46,1,11
1403637155.838238716125488,47,2,45,2,11
1403637155.888240575790405,47,3,46,1,11
1403637155.938232660293579,46,0,45,0,11
1403637155.988255500793457,43,2,40,0,11
1403637156.038276433944702,34,1,32,0,11
1403637156.088299274444580,30,1,28,0,11
1403637156.138300418853760,26,0,24,0,11
1403637156.188305854797363,24,2,22,1,11
1403637156.238305091857910,24,1,20,2,11
1403637156.288311481475830,23,0,21,1,11
1403637156.338305473327637,23,1,22,1,11
1403637156.388301134109497,24,1,21,3,11
1403637156.438289165496826,24,1,22,2,11
1403637156.488290071487427,24,3,22,2,11
1403637156.538284063339233,21,1,21,0,11
1403637156.588275194168091,24,1,20,4,11
1403637156.638271331787109,22,1,20,2,11
1403637156.688260555267334,25,0,20,4,11
1403637156.738248825073242,25,1,23,1,11
1403637156.788196325302124,24,0,21,3,11
1403637156.838144779205322,24,1,23,1,11
1403637156.888120174407959,25,1,23,2,11
1403637156.938104867935181,26,0,24,1,11
1403637156.988099575042725,30,0,25,4,11
1403637157.038120508193970,30,0,28,2,11
1403637157.088140726089478,31,0,29,2,11
1403637157.138216018676758,33,0,30,3,11
1403637157.188235998153687,41,0,33,8,11
1403637157.238263130187988,41,3,40,1,11
1403637157.288265466690063,41,0,41,0,11
1403637157.338267087936401,45,1,41,4,11
1403637157.388244628906250,46,5,44,1,11
1403637157.438225507736206,46,1,45,0,11
1403637157.488215923309326,45,1,45,0,11
1403637157.538208484649658,46,2,44,1,11
1403637157.588198661804199,47,1,44,2,11
1403637157.638191699981689,47,0,46,1,11
1403637157.688180208206177,46,3,45,0,11
1403637157.738172531127930,46,1,43,0,11
1403637157.788150548934937,45,7,41,2,11
1403637157.838129281997681,45,8,40,3,11
1403637157.888105630874634,44,0,41,0,11
1403637157.938066482543945,47,3,41,4,11
1403637157.988047599792480,48,8,44,3,11
1403637158.038033723831177,45,1,40,2,11
1403637158.088046312332153,48,5,40,5,11
1403637158.138071060180664,47,9,45,2,11
1403637158.188075065612793,48,4,44,3,11
1403637158.238079309463501,50,2,46,2,11
1403637158.288075447082520,48,10,47,0,11
1403637158.338054418563843,49,0,47,1,11
1403637158.388037443161011,46,21,44,1,11
1403637158.438031196594238,48,8,42,4,11
1403637158.488027095794678,46,7,42,2,11
1403637158.538020610809326,48,6,43,3,11
1403637158.587991476058960,49,7,45,2,11
1403637158.637959957122803,49,2,47,1,11
1403637158.687940120697021,49,11,46,1,11
1403637158.737918138504028,46,16,43,1,11
1403637158.787924289703369,46,2,40,3,11
1403637158.837920665740967,41,2,37,2,11
1403637158.887906312942505,43,0,34,8,11
1403637158.937892675399780,42,2,40,0,11
1403637158.987882852554321,49,8,38,8,11
1403637159.037873029708862,49,8,45,1,11
1403637159.087876796722412,46,16,43,1,11
1403637159.137869358062744,47,3,41,3,11
1403637159.187861919403076,49,5,43,3,11
1403637159.237865209579468,47,3,47,0,11
1403637159.287864446640015,49,8,45,3,11
1403637159.337855100631714,50,15,48,1,11
1403637159.387852430343628,46,12,45,0,11
1403637159.437854528427124,48,2,44,2,11
1403637159.487862825393677,44,1,42,1,11
1403637159.537878036499023,46,1,42,3,11
1403637159.587889909744263,49,9,43,4,11
1403637159.637923955917358,49,7,47,1,11
1403637159.687939405441284,49,9,47,1,11
1403637159.737924814224243,49,1,46,1,11
1403637159.787916898727417,48,7,45,1,11
1403637159.837914228439331,45,1,41,1,11
1403637159.887906551361084,49,8,41,5,11
1403637159.937910318374634,43,17,41,0,11
1403637159.987912178039551,47,9,36,7,11
1403637160.037913560867310,47,2,42,2,11
1403637160.087908983230591,42,5,39,1,11
1403637160.137917518615723,42,4,38,2,11
1403637160.187915325164795,46,1,40,5,11
1403637160.237919092178345,48,5,44,4,11
1403637160.287943363189697,47,8,45,2,11
1403637160.337946891784668,43,4,42,1,11
1403637160.387958526611328,46,2,39,6,11
1403637160.437971115112305,48,4,44,2,11
1403637160.487988233566284,43,9,40,2,11
1403637160.537992954254150,46,3,40,6,11
1403637160.587997674942017,46,7,42,4,11
1403637160.638002634048462,47,1,43,3,11
1403637160.688022613525391,48,5,44,3,11
1403637160.738052129745483,45,7,44,1,11
1403637160.788084268569946,43,0,43,0,11
1403637160.838128566741943,43,0,42,1,11
1403637160.888176679611206,49,5,42,6,11
1403637160.938223361968994,48,0,47,0,11
1403637160.988261699676514,46,1,44,2,11
1403637161.038303136825562,48,6,44,4,11
1403637161.088351726531982,47,5,45,2,11
1403637161.138379335403442,48,1,47,1,11
1403637161.188394784927368,48,5,45,1,11
1403637161.238406419754028,50,8,46,2,11
1403637161.288399219512939,48,8,48,0,11
1403637161.338395357131958,49,8,48,1,11
1403637161.388394832611084,50,2,49,1,11
1403637161.438378334045410,47,9,47,0,11
1403637161.488374710083008,49,2,45,3,11
1403637161.538368463516235,46,15,44,1,11
1403637161.588364124298096,46,4,43,2,11
1403637161.638363122940063,49,5,45,3,11
1403637161.688367366790771,48,5,46,1,11
1403637161.738376617431641,42,9,38,2,11
1403637161.788371324539185,49,6,39,8,11
1403637161.838370323181152,47,5,43,1,11
1403637161.888340711593628,47,5,42,3,11
1403637161.938322782516479,46,8,42,3,11
1403637161.988328456878662,45,2,44,0,11
1403637162.038333654403687,47,5,42,3,11
1403637162.088347434997559,44,0,40,1,11
1403637162.138363122940063,45,7,37,5,11
1403637162.188392400741577,46,2,41,4,11
1403637162.238419294357300,48,2,45,3,11
1403637162.288441419601440,50,1,46,2,11
1403637162.338455915451050,49,1,47,0,11
1403637162.388467311859131,48,5,47,1,11
1403637162.438480854034424,50,4,48,2,11
1403637162.488526582717896,50,16,50,0,11
1403637162.538525104522705,49,15,49,0,11
1403637162.588530063629150,48,5,48,0,11
1403637162.638530731201172,49,1,45,2,11
1403637162.688512802124023,50,5,46,1,11
1403637162.738518953323364,47,10,46,0,11
1403637162.788509607315063,47,5,43,3,11
1403637162.838517427444458,49,5,45,3,11
1403637162.888524532318115,46,2,44,1,11
1403637162.938530683517456,46,3,44,0,11
1403637162.988541126251221,46,6,39,4,11
1403637163.038545370101929,48,5,42,4,11
1403637163.088542222976685,46,10,44,2,11
1403637163.138530969619751,48,9,43,4,11
1403637163.188530921936035,46,2,43,2,11
1403637163.238534212112427,48,7,43,4,11
1403637163.288531303405762,48,10,46,2,11
1403637163.338527202606201,49,10,47,2,11
1403637163.388527631759644,44,7,41,1,11
1403637163.438528299331665,44,1,39,2,11
1403637163.488536119461060,42,4,38,1,11
1403637163.538545608520508,42,7,37,3,11
1403637163.588551521301270,41,1,35,4,11
1403637163.638560295104980,47,0,36,8,11
1403637163.688575983047485,46,15,41,3,11
1403637163.738587856292725,48,1,43,4,11
1403637163.788605213165283,48,4,43,2,11
1403637163.838626861572266,47,5,43,1,11
1403637163.888640403747559,48,10,44,3,11
1403637163.938649177551270,48,11,46,2,11
1403637163.988660097122192,50,5,48,2,11
1403637164.038664102554321,50,12,50,0,11
1403637164.088670730590820,48,5,46,0,11
1403637164.138665199279785,47,14,44,1,11
1403637164.188663721084595,47,3,43,3,11
1403637164.238651752471924,48,4,45,2,11
1403637164.288641452789307,49,13,47,2,11
1403637164.338632583618164,47,7,46,1,11
1403637164.388626337051392,46,2,44,1,11
