# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.937362432479858,0.00195,0.00009,0.00048,0.00000,0.00000,0.00119,0.00372
1403637149.987400293350220,0.00173,0.00011,0.00175,0.00000,0.00537,0.00076,0.00971
1403637150.037374019622803,0.00170,0.00014,0.00180,0.00055,0.00000,0.00068,0.00487
1403637150.087186336517334,0.00199,0.00012,0.00118,0.00042,0.00000,0.00087,0.00458
1403637150.137032747268677,0.00221,0.00013,0.00032,0.00027,0.00000,0.00071,0.00364
1403637150.187000513076782,0.00181,0.00012,0.00028,0.00025,0.00000,0.00068,0.00314
1403637150.236916065216064,0.00189,0.00011,0.00052,0.00021,0.00000,0.00067,0.00340
1403637150.286994457244873,0.00373,0.00014,0.00074,0.00020,0.00000,0.00073,0.00554
1403637150.337151527404785,0.00308,0.00013,0.00036,0.00015,0.00000,0.00072,0.00444
1403637150.387204170227051,0.00237,0.00012,0.00040,0.00013,0.00000,0.00072,0.00375
1403637150.437190532684326,0.00202,0.00013,0.00033,0.00008,0.00000,0.00071,0.00328
1403637150.487200498580933,0.00191,0.00012,0.00020,0.00006,0.00000,0.00078,0.00308
1403637150.537195682525635,0.00185,0.00013,0.00041,0.00004,0.00000,0.00084,0.00327
1403637150.587802410125732,0.00173,0.00013,0.00074,0.00004,0.00209,0.00087,0.00560
1403637150.637803554534912,0.00212,0.00013,0.00023,0.00010,0.00031,0.00081,0.00369
1403637150.687757730484009,0.00170,0.00012,0.00105,0.00012,0.00081,0.00092,0.00472
1403637150.737565517425537,0.00242,0.00016,0.00048,0.00024,0.00125,0.00083,0.00537
1403637150.787597894668579,0.00201,0.00012,0.00056,0.00030,0.00032,0.00082,0.00413
1403637150.837740182876587,0.00173,0.00012,0.00126,0.00022,0.00176,0.00089,0.00599
1403637150.887812137603760,0.00187,0.00012,0.00030,0.00035,0.00434,0.00084,0.00782
1403637150.937821388244629,0.00242,0.00023,0.00075,0.00146,0.00017,0.00092,0.00595
1403637150.987826824188232,0.00203,0.00014,0.00109,0.00081,0.00013,0.00084,0.00504
1403637151.037815093994141,0.00198,0.00015,0.00031,0.00074,0.00083,0.00090,0.00491
1403637151.087809562683105,0.00210,0.00014,0.00052,0.00083,0.00183,0.00104,0.00646
1403637151.137781381607056,0.00206,0.00016,0.00122,0.00112,0.00201,0.00099,0.00755
1403637151.187914371490479,0.00220,0.00015,0.00180,0.00105,0.00453,0.00090,0.01063
1403637151.237837791442871,0.00194,0.00022,0.00005,0.00170,0.00351,0.00090,0.00832
1403637151.287744522094727,0.00176,0.00020,0.00070,0.00206,0.00065,0.00094,0.00631
1403637151.337702274322510,0.00181,0.00015,0.00117,0.00210,0.00101,0.00093,0.00717
1403637151.387626886367798,0.00210,0.00017,0.00171,0.00197,0.00000,0.00107,0.00702
1403637151.437566518783569,0.00279,0.00019,0.00102,0.00141,0.00008,0.00101,0.00651
1403637151.487626791000366,0.00207,0.00015,0.00122,0.00137,0.00190,0.00086,0.00758
1403637151.537637472152710,0.00196,0.00015,0.00022,0.00148,0.00012,0.00100,0.00494
1403637151.587713479995728,0.00195,0.00014,0.00054,0.00137,0.00134,0.00089,0.00622
1403637151.637679576873779,0.00211,0.00015,0.00056,0.00169,0.00158,0.00127,0.00736
1403637151.687678098678589,0.00188,0.00014,0.00054,0.00165,0.00020,0.00113,0.00553
1403637151.737683773040771,0.00177,0.00014,0.00024,0.00149,0.00208,0.00098,0.00670
1403637151.787721395492554,0.00166,0.00016,0.00085,0.00171,0.00114,0.00098,0.00650
1403637151.837713956832886,0.00200,0.00015,0.00020,0.00179,0.00049,0.00088,0.00551
1403637151.887732028961182,0.00176,0.00018,0.00070,0.00170,0.00330,0.00087,0.00852
1403637151.937746763229370,0.00175,0.00017,0.00008,0.00224,0.00198,0.00086,0.00708
1403637151.987806081771851,0.00145,0.00018,0.00061,0.00245,0.00056,0.00104,0.00630
1403637152.037845134735107,0.00215,0.00016,0.00232,0.00265,0.00000,0.00095,0.00823
1403637152.087888717651367,0.00161,0.00017,0.00255,0.00238,0.00000,0.00097,0.00768
1403637152.137950658798218,0.00202,0.00022,0.00269,0.00260,0.00004,0.00100,0.00857
1403637152.187930345535278,0.00186,0.00019,0.00236,0.00247,0.00137,0.00144,0.00970
1403637152.237958431243896,0.00196,0.00015,0.00009,0.00287,0.00062,0.00103,0.00673
1403637152.287917375564575,0.00163,0.00016,0.00075,0.00244,0.00000,0.00098,0.00597
1403637152.337940931320190,0.00178,0.00017,0.00056,0.00222,0.00003,0.00088,0.00565
1403637152.387979269027710,0.00173,0.00020,0.00124,0.00238,0.00003,0.00101,0.00659
1403637152.437900543212891,0.00162,0.00016,0.00229,0.00195,0.00050,0.00090,0.00743
