# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.861374378204346,0,1,0,0,5
1403715278.911132097244263,40,26,0,40,6
1403715278.961095333099365,38,21,38,0,7
1403715279.011037588119507,37,0,37,0,8
1403715279.060980558395386,37,3,37,0,9
1403715279.110904216766357,37,0,37,0,10
1403715279.160869359970093,36,0,36,0,11
1403715279.210841894149780,36,0,36,0,11
1403715279.260565757751465,38,0,36,2,11
1403715279.310577869415283,48,0,38,10,11
1403715279.360772848129272,48,6,48,0,11
1403715279.410983562469482,48,3,48,0,11
1403715279.461103200912476,48,1,48,0,11
1403715279.511098861694336,48,1,48,0,11
1403715279.561146259307861,48,1,48,0,11
1403715279.611147642135620,48,0,48,0,11
1403715279.661208868026733,48,0,48,0,11
1403715279.711302042007446,48,0,48,0,11
1403715279.761243343353271,48,0,48,0,11
1403715279.811269044876099,48,0,48,0,11
1403715279.861195802688599,48,0,48,0,11
1403715279.911156892776489,48,0,48,0,11
1403715279.961138010025024,48,0,48,0,11
1403715280.011069297790527,48,0,48,0,11
1403715280.061045646667480,48,0,47,0,11
1403715280.111099481582642,48,0,47,0,11
1403715280.161430597305298,48,1,47,1,11
1403715280.211824178695679,48,0,48,0,11
1403715280.262394428253174,48,0,48,0,11
1403715280.312434434890747,48,0,48,0,11
1403715280.362418651580811,48,0,48,0,11
1403715280.412342309951782,48,1,48,0,11
1403715280.462144851684570,50,1,48,2,11
1403715280.512091636657715,49,0,49,0,11
1403715280.561988592147827,47,7,46,1,11
1403715280.611971378326416,48,2,46,2,11
1403715280.661917924880981,48,6,46,2,11
1403715280.711874008178711,50,35,48,2,11
1403715280.761794328689575,47,17,47,0,11
1403715280.811743497848511,49,2,46,3,11
1403715280.861786842346191,49,1,48,1,11
1403715280.911806583404541,49,1,49,0,11
1403715280.961832046508789,46,0,46,0,11
1403715281.011835098266602,50,3,46,4,11
1403715281.061850070953369,50,1,50,0,11
1403715281.111843347549438,49,1,48,0,11
1403715281.161812305450439,49,9,48,0,11
1403715281.211864233016968,48,2,47,1,11
1403715281.262029170989990,49,3,47,2,11
