# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861374378204346,0.00186,0.00009,0.00027,0.00000,0.00000,0.00096,0.00319
1403715278.911132097244263,0.00180,0.00010,0.00134,0.00000,0.00492,0.00097,0.00912
1403715278.961095333099365,0.00170,0.00018,0.00149,0.00118,0.00000,0.00067,0.00522
1403715279.011037588119507,0.00173,0.00014,0.00003,0.00119,0.00000,0.00076,0.00385
1403715279.060980558395386,0.00196,0.00015,0.00035,0.00131,0.00000,0.00089,0.00467
1403715279.110904216766357,0.00175,0.00016,0.00005,0.00138,0.00000,0.00088,0.00422
1403715279.160869359970093,0.00157,0.00015,0.00003,0.00133,0.00000,0.00082,0.00390
1403715279.210841894149780,0.00154,0.00014,0.00001,0.00133,0.00000,0.00103,0.00405
1403715279.260565757751465,0.00164,0.00017,0.00001,0.00137,0.00098,0.00109,0.00526
1403715279.310577869415283,0.00154,0.00014,0.00005,0.00140,0.00455,0.00087,0.00855
1403715279.360772848129272,0.00166,0.00019,0.00225,0.00214,0.00004,0.00085,0.00712
1403715279.410983562469482,0.00148,0.00016,0.00124,0.00210,0.00003,0.00100,0.00601
1403715279.461103200912476,0.00145,0.00016,0.00056,0.00244,0.00004,0.00133,0.00597
1403715279.511098861694336,0.00159,0.00017,0.00093,0.00212,0.00004,0.00096,0.00580
1403715279.561146259307861,0.00156,0.00017,0.00074,0.00220,0.00003,0.00089,0.00559
1403715279.611147642135620,0.00150,0.00016,0.00013,0.00214,0.00003,0.00083,0.00480
1403715279.661208868026733,0.00146,0.00016,0.00005,0.00226,0.00003,0.00087,0.00484
1403715279.711302042007446,0.00154,0.00018,0.00001,0.00212,0.00000,0.00085,0.00470
1403715279.761243343353271,0.00153,0.00015,0.00001,0.00216,0.00000,0.00083,0.00469
1403715279.811269044876099,0.00151,0.00019,0.00001,0.00232,0.00000,0.00085,0.00488
1403715279.861195802688599,0.00153,0.00019,0.00001,0.00215,0.00000,0.00090,0.00477
1403715279.911156892776489,0.00156,0.00014,0.00003,0.00214,0.00000,0.00082,0.00470
1403715279.961138010025024,0.00163,0.00015,0.00010,0.00211,0.00004,0.00088,0.00490
1403715280.011069297790527,0.00164,0.00021,0.00010,0.00218,0.00004,0.00120,0.00538
1403715280.061045646667480,0.00176,0.00016,0.00011,0.00212,0.00003,0.00093,0.00512
1403715280.111099481582642,0.00176,0.00016,0.00053,0.00213,0.00003,0.00089,0.00551
1403715280.161430597305298,0.00170,0.00029,0.00089,0.00219,0.00054,0.00093,0.00655
1403715280.211824178695679,0.00183,0.00015,0.00009,0.00215,0.00003,0.00087,0.00513
1403715280.262394428253174,0.00157,0.00016,0.00004,0.00230,0.00004,0.00090,0.00500
1403715280.312434434890747,0.00171,0.00021,0.00004,0.00216,0.00000,0.00081,0.00493
1403715280.362418651580811,0.00164,0.00015,0.00002,0.00234,0.00000,0.00094,0.00509
1403715280.412342309951782,0.00165,0.00019,0.00040,0.00214,0.00000,0.00103,0.00542
1403715280.462144851684570,0.00175,0.00022,0.00055,0.00235,0.00115,0.00091,0.00693
1403715280.512091636657715,0.00215,0.00020,0.00011,0.00252,0.00000,0.00094,0.00592
1403715280.561988592147827,0.00195,0.00016,0.00240,0.00207,0.00053,0.00153,0.00864
1403715280.611971378326416,0.00215,0.00017,0.00090,0.00198,0.00107,0.00091,0.00718
1403715280.661917924880981,0.00183,0.00017,0.00217,0.00209,0.00099,0.00089,0.00814
1403715280.711874008178711,0.00194,0.00020,0.00665,0.00221,0.00103,0.00084,0.01288
1403715280.761794328689575,0.00187,0.00022,0.00430,0.00221,0.00000,0.00094,0.00954
1403715280.811743497848511,0.00215,0.00016,0.00086,0.00209,0.00156,0.00102,0.00783
1403715280.861786842346191,0.00190,0.00015,0.00063,0.00232,0.00052,0.00087,0.00640
1403715280.911806583404541,0.00228,0.00015,0.00028,0.00244,0.00000,0.00088,0.00603
1403715280.961832046508789,0.00212,0.00015,0.00011,0.00226,0.00000,0.00101,0.00567
1403715281.011835098266602,0.00184,0.00015,0.00093,0.00208,0.00196,0.00089,0.00787
1403715281.061850070953369,0.00179,0.00015,0.00052,0.00255,0.00000,0.00101,0.00603
1403715281.111843347549438,0.00193,0.00027,0.00036,0.00255,0.00000,0.00118,0.00629
1403715281.161812305450439,0.00204,0.00015,0.00266,0.00229,0.00002,0.00097,0.00813
1403715281.211864233016968,0.00226,0.00017,0.00080,0.00217,0.00057,0.00100,0.00696
1403715281.262029170989990,0.00184,0.00016,0.00131,0.00213,0.00102,0.00095,0.00741
1403715281.312167167663574,0.00231,0.00017,0.00390,0.00225,0.00052,0.00095,0.01010
1403715281.362162113189697,0.00178,0.00021,0.00465,0.00264,0.00059,0.00121,0.01109
1403715281.412213087081909,0.00207,0.00023,0.00093,0.00261,0.00061,0.00108,0.00752
1403715281.462274551391602,0.00189,0.00019,0.00473,0.00237,0.00000,0.00125,0.01043
1403715281.512244462966919,0.00183,0.00018,0.00300,0.00242,0.00002,0.00110,0.00855
1403715281.562221288681030,0.00184,0.00015,0.00049,0.00243,0.00057,0.00130,0.00678
1403715281.612194061279297,0.00187,0.00018,0.00164,0.00241,0.00000,0.00095,0.00706
1403715281.662168502807617,0.00257,0.00017,0.00053,0.00230,0.00000,0.00117,0.00674
1403715281.712126731872559,0.00201,0.00018,0.00148,0.00194,0.00055,0.00104,0.00721
1403715281.762069225311279,0.00189,0.00017,0.00259,0.00178,0.00059,0.00110,0.00812
1403715281.812081098556519,0.00221,0.00018,0.00013,0.00195,0.00055,0.00100,0.00601
1403715281.862070798873901,0.00241,0.00017,0.00302,0.00158,0.00272,0.00094,0.01085
1403715281.912105560302734,0.00229,0.00015,0.00303,0.00206,0.00243,0.00094,0.01090
1403715281.962098598480225,0.00257,0.00016,0.00261,0.00253,0.00055,0.00114,0.00956
1403715282.012093305587769,0.00196,0.00020,0.00055,0.00264,0.00000,0.00100,0.00635
1403715282.062080860137939,0.00236,0.00018,0.00276,0.00254,0.00000,0.00109,0.00893
1403715282.112064599990845,0.00194,0.00019,0.00221,0.00255,0.00001,0.00103,0.00794
1403715282.162094831466675,0.00188,0.00017,0.00001,0.00261,0.00059,0.00104,0.00630
1403715282.212101697921753,0.00191,0.00016,0.00454,0.00250,0.00000,0.00112,0.01024
1403715282.262127876281738,0.00195,0.00017,0.00004,0.00260,0.00058,0.00106,0.00640
1403715282.312104940414429,0.00192,0.00028,0.00159,0.00266,0.00000,0.00106,0.00752
1403715282.362079381942749,0.00181,0.00016,0.00336,0.00279,0.00004,0.00108,0.00923
1403715282.412067651748657,0.00243,0.00018,0.00168,0.00237,0.00009,0.00107,0.00781
1403715282.462048292160034,0.00193,0.00015,0.00315,0.00237,0.00061,0.00152,0.00973
1403715282.512031078338623,0.00158,0.00016,0.00317,0.00244,0.00102,0.00096,0.00934
1403715282.562039852142334,0.00165,0.00017,0.00266,0.00263,0.00060,0.00137,0.00908
1403715282.612048864364624,0.00203,0.00031,0.00591,0.00280,0.00000,0.00111,0.01216
1403715282.662065744400024,0.00210,0.00018,0.00265,0.00281,0.00000,0.00102,0.00876
1403715282.712056398391724,0.00163,0.00016,0.00236,0.00276,0.00000,0.00096,0.00786
1403715282.762056350708008,0.00170,0.00017,0.00006,0.00286,0.00000,0.00109,0.00588
1403715282.812086105346680,0.00174,0.00017,0.00395,0.00277,0.00000,0.00106,0.00968
1403715282.862059354782104,0.00164,0.00017,0.00001,0.00467,0.00000,0.00115,0.00765
1403715282.912048101425171,0.00161,0.00017,0.00135,0.00286,0.00000,0.00094,0.00694
1403715282.962033033370972,0.00152,0.00016,0.00603,0.00265,0.00000,0.00103,0.01139
1403715283.012018918991089,0.00220,0.00017,0.00194,0.00266,0.00062,0.00104,0.00864
1403715283.062015533447266,0.00174,0.00016,0.00303,0.00283,0.00000,0.00098,0.00875
1403715283.112016201019287,0.00168,0.00018,0.00296,0.00382,0.00000,0.00105,0.00970
1403715283.162011384963989,0.00215,0.00031,0.00397,0.00265,0.00056,0.00105,0.01069
1403715283.212004184722900,0.00185,0.00016,0.00625,0.00246,0.00105,0.00102,0.01279
1403715283.261987447738647,0.00216,0.00018,0.00384,0.00268,0.00001,0.00109,0.00995
1403715283.311980009078979,0.00205,0.00016,0.00105,0.00241,0.00101,0.00112,0.00780
1403715283.361963987350464,0.00195,0.00018,0.00044,0.00261,0.00000,0.00101,0.00619
1403715283.411899089813232,0.00181,0.00017,0.00384,0.00266,0.00112,0.00119,0.01078
1403715283.461836099624634,0.00190,0.00017,0.00008,0.00276,0.00000,0.00098,0.00590
1403715283.511744737625122,0.00250,0.00016,0.00098,0.00222,0.00097,0.00102,0.00785
1403715283.561713218688965,0.00188,0.00016,0.00615,0.00229,0.00150,0.00130,0.01329
1403715283.611698865890503,0.00193,0.00017,0.00087,0.00244,0.00053,0.00098,0.00692
1403715283.661732912063599,0.00191,0.00018,0.00316,0.00262,0.00000,0.00104,0.00890
1403715283.711781263351440,0.00181,0.00018,0.00323,0.00260,0.00001,0.00117,0.00900
1403715283.761830329895020,0.00184,0.00016,0.00081,0.00246,0.00103,0.00105,0.00736
1403715283.811896085739136,0.00192,0.00027,0.00539,0.00266,0.00052,0.00108,0.01184
1403715283.861905813217163,0.00182,0.00016,0.00001,0.00261,0.00000,0.00112,0.00573
1403715283.911897659301758,0.00175,0.00016,0.00047,0.00323,0.00091,0.00105,0.00758
1403715283.961897134780884,0.00171,0.00019,0.00001,0.00280,0.00000,0.00109,0.00581
1403715284.011909961700439,0.00175,0.00017,0.00350,0.00301,0.00000,0.00104,0.00948
1403715284.061962842941284,0.00280,0.00033,0.00658,0.00271,0.00000,0.00117,0.01359
1403715284.111978054046631,0.00163,0.00017,0.00051,0.00266,0.00000,0.00108,0.00606
1403715284.161979436874390,0.00153,0.00017,0.00594,0.00259,0.00054,0.00098,0.01175
1403715284.211954116821289,0.00152,0.00016,0.00092,0.00319,0.00000,0.00104,0.00684
1403715284.261942863464355,0.00153,0.00018,0.00306,0.00269,0.00000,0.00110,0.00856
1403715284.311915397644043,0.00159,0.00018,0.00511,0.00331,0.00000,0.00117,0.01137
1403715284.361908435821533,0.00162,0.00017,0.00056,0.00264,0.00001,0.00096,0.00595
1403715284.411933422088623,0.00166,0.00017,0.00429,0.00383,0.00003,0.00111,0.01110
1403715284.461909532546997,0.00155,0.00016,0.00001,0.00265,0.00000,0.00100,0.00537
1403715284.511921644210815,0.00150,0.00016,0.00008,0.00249,0.00054,0.00129,0.00607
1403715284.561907768249512,0.00164,0.00017,0.00001,0.00283,0.00000,0.00096,0.00563
1403715284.611904382705688,0.00148,0.00016,0.00218,0.00252,0.00101,0.00100,0.00834
1403715284.661860942840576,0.00196,0.00028,0.00547,0.00350,0.00000,0.00114,0.01235
1403715284.711852312088013,0.00169,0.00017,0.00053,0.00285,0.00000,0.00127,0.00652
1403715284.761835813522339,0.00158,0.00017,0.00414,0.00257,0.00000,0.00099,0.00946
1403715284.811829566955566,0.00158,0.00017,0.00007,0.00288,0.00000,0.00094,0.00564
1403715284.861833095550537,0.00187,0.00017,0.00184,0.00277,0.00000,0.00103,0.00767
1403715284.911844968795776,0.00159,0.00017,0.00020,0.00275,0.00000,0.00097,0.00568
1403715284.961872577667236,0.00185,0.00019,0.00006,0.00320,0.00000,0.00132,0.00662
1403715285.011904716491699,0.00191,0.00017,0.00166,0.00257,0.00000,0.00102,0.00732
1403715285.061922073364258,0.00181,0.00016,0.00045,0.00261,0.00000,0.00100,0.00603
1403715285.111928462982178,0.00208,0.00016,0.00003,0.00256,0.00000,0.00099,0.00581
1403715285.161956310272217,0.00189,0.00015,0.00005,0.00252,0.00000,0.00118,0.00580
1403715285.211989164352417,0.00179,0.00016,0.00045,0.00227,0.00003,0.00113,0.00585
1403715285.262080430984497,0.00180,0.00016,0.00242,0.00223,0.00055,0.00096,0.00812
1403715285.312089920043945,0.00181,0.00016,0.00004,0.00224,0.00002,0.00111,0.00539
1403715285.362116575241089,0.00179,0.00020,0.00319,0.00216,0.00055,0.00100,0.00889
1403715285.412117958068848,0.00159,0.00017,0.00092,0.00240,0.00003,0.00098,0.00609
1403715285.462103128433228,0.00170,0.00016,0.00163,0.00249,0.00061,0.00105,0.00765
1403715285.512099742889404,0.00183,0.00018,0.00165,0.00233,0.00054,0.00106,0.00759
1403715285.562095165252686,0.00181,0.00017,0.00001,0.00291,0.00059,0.00104,0.00653
1403715285.612095117568970,0.00181,0.00016,0.00327,0.00253,0.00002,0.00102,0.00880
1403715285.662085056304932,0.00184,0.00018,0.00275,0.00292,0.00004,0.00104,0.00877
1403715285.712085008621216,0.00181,0.00017,0.00001,0.00258,0.00000,0.00113,0.00571
1403715285.762086153030396,0.00228,0.00017,0.00007,0.00230,0.00000,0.00114,0.00597
1403715285.812098741531372,0.00185,0.00015,0.00267,0.00212,0.00195,0.00104,0.00977
1403715285.862101793289185,0.00180,0.00020,0.00343,0.00262,0.00003,0.00102,0.00910
1403715285.912105560302734,0.00178,0.00016,0.00026,0.00252,0.00052,0.00100,0.00624
1403715285.962112903594971,0.00181,0.00015,0.00574,0.00266,0.00058,0.00132,0.01227
1403715286.012109756469727,0.00212,0.00020,0.00264,0.00301,0.00000,0.00117,0.00915
1403715286.062108993530273,0.00210,0.00019,0.00313,0.00299,0.00001,0.00124,0.00966
1403715286.112112522125244,0.00182,0.00017,0.00283,0.00307,0.00000,0.00157,0.00947
1403715286.162116527557373,0.00283,0.00034,0.00014,0.00471,0.00000,0.00155,0.00957
1403715286.212113142013550,0.00251,0.00028,0.00827,0.00454,0.00005,0.00139,0.01704
1403715286.262110948562622,0.00280,0.00031,0.00416,0.00455,0.00008,0.00167,0.01358
1403715286.312109947204590,0.00290,0.00030,0.00521,0.00459,0.00011,0.00163,0.01475
1403715286.362102031707764,0.00263,0.00034,0.00051,0.00397,0.00000,0.00180,0.00924
1403715286.412100315093994,0.00381,0.00037,0.00514,0.00313,0.00167,0.00142,0.01554
1403715286.462091922760010,0.00274,0.00021,0.00242,0.00279,0.00003,0.00112,0.00930
1403715286.512094497680664,0.00202,0.00017,0.00065,0.00277,0.00000,0.00109,0.00671
1403715286.562085390090942,0.00174,0.00017,0.00574,0.00280,0.00056,0.00111,0.01212
1403715286.612086772918701,0.00193,0.00016,0.00167,0.00234,0.00052,0.00118,0.00780
1403715286.662079572677612,0.00175,0.00017,0.00268,0.00219,0.00153,0.00104,0.00935
1403715286.712075233459473,0.00197,0.00017,0.00057,0.00227,0.00145,0.00095,0.00739
1403715286.762069225311279,0.00201,0.00016,0.00016,0.00214,0.00001,0.00104,0.00551
1403715286.812062263488770,0.00170,0.00018,0.00331,0.00161,0.00096,0.00103,0.00881
1403715286.862045288085938,0.00214,0.00013,0.00046,0.00175,0.00194,0.00109,0.00752
1403715286.912015199661255,0.00179,0.00016,0.00294,0.00182,0.00103,0.00103,0.00877
1403715286.962024927139282,0.00185,0.00018,0.00056,0.00255,0.00001,0.00106,0.00621
1403715287.012025833129883,0.00232,0.00016,0.00034,0.00184,0.00225,0.00107,0.00797
1403715287.062035322189331,0.00213,0.00016,0.00040,0.00195,0.00148,0.00100,0.00711
1403715287.112051963806152,0.00195,0.00018,0.00060,0.00191,0.00000,0.00105,0.00570
