# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.784058094024658,0.00569,0.00009,0.00019,0.00000,0.00000,0.00144,0.00741
1403715893.834058046340942,0.00660,0.00010,0.00038,0.00000,0.00048,0.00151,0.00908
1403715893.884057998657227,0.00648,0.00010,0.00041,0.00000,0.00000,0.00113,0.00812
1403715893.934057950973511,0.00613,0.00010,0.00010,0.00000,0.00000,0.00139,0.00772
1403715893.984057903289795,0.00621,0.00011,0.00005,0.00000,0.00000,0.00123,0.00760
1403715894.034058094024658,0.00637,0.00010,0.00008,0.00000,0.00000,0.00111,0.00766
1403715894.084058046340942,0.00694,0.00011,0.00009,0.00000,0.00000,0.00130,0.00843
1403715894.134057998657227,0.00668,0.00012,0.00008,0.00000,0.00000,0.00154,0.00843
1403715894.187667369842529,0.00638,0.00012,0.00009,0.00000,0.00036,0.00138,0.00832
1403715894.234681606292725,0.00711,0.00011,0.00017,0.00004,0.00196,0.00136,0.01076
1403715894.284715414047241,0.00765,0.00012,0.00006,0.00021,0.00205,0.00132,0.01141
1403715894.334583759307861,0.00705,0.00016,0.00010,0.00045,0.00000,0.00143,0.00919
1403715894.384525537490845,0.00670,0.00014,0.00026,0.00037,0.00000,0.00138,0.00884
1403715894.433568954467773,0.00698,0.00014,0.00561,0.00042,0.01412,0.00135,0.02862
1403715894.483379125595093,0.00699,0.00019,0.00785,0.00257,0.00000,0.00151,0.01910
1403715894.533488035202026,0.00630,0.00020,0.00262,0.00248,0.00000,0.00124,0.01284
1403715894.583602905273438,0.00696,0.00015,0.00054,0.00249,0.00000,0.00134,0.01149
1403715894.633687019348145,0.00585,0.00021,0.00006,0.00238,0.00000,0.00118,0.00968
1403715894.683794975280762,0.00631,0.00019,0.00123,0.00235,0.00058,0.00125,0.01191
1403715894.733860731124878,0.00593,0.00019,0.00051,0.00229,0.00000,0.00138,0.01030
1403715894.783977031707764,0.00679,0.00017,0.00045,0.00235,0.00000,0.00151,0.01128
1403715894.834063291549683,0.00815,0.00020,0.00282,0.00216,0.00056,0.00164,0.01552
1403715894.884050369262695,0.00607,0.00018,0.00055,0.00226,0.00118,0.00123,0.01148
1403715894.933981180191040,0.00662,0.00023,0.00066,0.00266,0.00000,0.00145,0.01163
1403715894.983951807022095,0.00700,0.00016,0.00239,0.00247,0.00000,0.00155,0.01356
1403715895.033972024917603,0.00580,0.00018,0.00744,0.00245,0.00058,0.00152,0.01798
1403715895.083977937698364,0.00652,0.00020,0.00730,0.00245,0.00058,0.00154,0.01859
1403715895.133984804153442,0.00664,0.00019,0.00274,0.00252,0.00057,0.00181,0.01448
1403715895.183959484100342,0.00644,0.00015,0.00085,0.00256,0.00000,0.00137,0.01138
