# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790008783340454,0.00272,0.00010,0.00064,0.00000,0.00000,0.00150,0.00496
1403715893.835584163665771,0.00346,0.00012,0.00208,0.00000,0.00260,0.00137,0.00963
1403715893.883445262908936,0.00293,0.00013,0.00002,0.00058,0.00000,0.00139,0.00505
1403715893.932169675827026,0.00267,0.00012,0.00003,0.00058,0.00000,0.00143,0.00482
1403715893.982005357742310,0.00229,0.00016,0.00016,0.00054,0.00000,0.00136,0.00451
1403715894.031768560409546,0.00266,0.00013,0.00015,0.00054,0.00000,0.00142,0.00491
1403715894.081338167190552,0.00270,0.00015,0.00009,0.00054,0.00000,0.00139,0.00487
1403715894.131613492965698,0.00281,0.00014,0.00018,0.00050,0.00000,0.00140,0.00503
1403715894.181860923767090,0.00238,0.00016,0.00022,0.00048,0.00266,0.00189,0.00779
1403715894.231712818145752,0.00247,0.00015,0.00003,0.00095,0.00117,0.00137,0.00615
1403715894.282110452651978,0.00279,0.00014,0.00023,0.00099,0.00317,0.00145,0.00878
1403715894.332188129425049,0.00238,0.00018,0.00042,0.00156,0.00019,0.00161,0.00634
1403715894.382729530334473,0.00263,0.00015,0.00089,0.00147,0.00204,0.00156,0.00874
1403715894.433212280273438,0.00226,0.00016,0.00925,0.00172,0.01078,0.00142,0.02560
1403715894.483244180679321,0.00248,0.00018,0.00019,0.00319,0.00408,0.00153,0.01166
1403715894.533177614212036,0.00234,0.00019,0.00001,0.00390,0.00000,0.00136,0.00781
1403715894.583199501037598,0.00261,0.00018,0.00226,0.00529,0.00126,0.00147,0.01307
1403715894.633194923400879,0.00305,0.00021,0.00002,0.00436,0.00000,0.00176,0.00940
1403715894.683153152465820,0.00281,0.00024,0.00002,0.00512,0.00000,0.00170,0.00990
1403715894.733207941055298,0.00320,0.00022,0.00010,0.00434,0.00001,0.00193,0.00979
1403715894.783334970474243,0.00396,0.00021,0.00011,0.00395,0.00033,0.00154,0.01010
1403715894.833316802978516,0.00382,0.00021,0.00460,0.00453,0.00126,0.00204,0.01646
1403715894.883270502090454,0.00413,0.00022,0.00131,0.00576,0.00001,0.00165,0.01308
