# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863197326660156,0.00695,0.00031,0.00089,0.00000,0.00000,0.00349,0.01165
1403715278.911065101623535,0.00630,0.00018,0.00598,0.00000,0.00718,0.00131,0.02095
1403715278.960943698883057,0.00242,0.00013,0.00050,0.00256,0.00000,0.00127,0.00689
1403715279.010447263717651,0.00351,0.00020,0.00009,0.00318,0.00000,0.00153,0.00851
1403715279.060137033462524,0.00633,0.00014,0.00003,0.00292,0.00000,0.00274,0.01216
1403715279.109849214553833,0.00628,0.00025,0.00102,0.00404,0.00000,0.00179,0.01337
1403715279.160230636596680,0.00401,0.00016,0.00047,0.00224,0.00000,0.00163,0.00851
1403715279.210639953613281,0.00629,0.00031,0.00166,0.00502,0.00000,0.00210,0.01537
1403715279.260911703109741,0.00418,0.00023,0.00002,0.00258,0.00815,0.00171,0.01687
1403715279.311359167098999,0.00327,0.00024,0.00006,0.00306,0.00441,0.00148,0.01250
1403715279.362546920776367,0.00235,0.00015,0.00001,0.00363,0.00118,0.00149,0.00881
1403715279.413805484771729,0.00250,0.00017,0.00001,0.00358,0.00954,0.00139,0.01720
1403715279.464114665985107,0.00236,0.00017,0.00001,0.00512,0.00000,0.00162,0.00928
1403715279.514941692352295,0.00531,0.00034,0.01804,0.00522,0.00122,0.00142,0.03155
1403715279.565399646759033,0.00301,0.00015,0.00001,0.00540,0.00004,0.00146,0.01008
1403715279.616067886352539,0.00228,0.00016,0.00130,0.00535,0.00147,0.00158,0.01215
1403715279.666305541992188,0.00245,0.00018,0.00001,0.00883,0.00000,0.00164,0.01311
1403715279.716248512268066,0.00288,0.00017,0.00001,0.00833,0.00000,0.00190,0.01330
1403715279.766227245330811,0.00344,0.00034,0.00003,0.01227,0.00000,0.00155,0.01762
1403715279.816163063049316,0.00326,0.00021,0.00006,0.00937,0.00000,0.00166,0.01456
1403715279.866301536560059,0.00396,0.00026,0.00009,0.00947,0.00000,0.00159,0.01537
1403715279.916105508804321,0.00252,0.00022,0.00090,0.01026,0.00000,0.00198,0.01588
1403715279.965681791305542,0.00353,0.00023,0.00203,0.00605,0.00003,0.00155,0.01341
1403715280.015832662582397,0.00294,0.00017,0.00001,0.00606,0.00000,0.00158,0.01077
1403715280.066028118133545,0.00361,0.00017,0.00005,0.00814,0.00000,0.00178,0.01374
1403715280.116300582885742,0.00515,0.00030,0.01224,0.00541,0.00004,0.00133,0.02449
1403715280.166631698608398,0.00244,0.00017,0.00001,0.00546,0.00003,0.00142,0.00953
1403715280.216772079467773,0.00296,0.00021,0.00135,0.00786,0.00007,0.00166,0.01411
1403715280.266841411590576,0.00312,0.00024,0.00017,0.00796,0.00000,0.00172,0.01322
1403715280.316807746887207,0.00497,0.00018,0.00001,0.00504,0.00000,0.00187,0.01208
1403715280.366606473922729,0.00448,0.00016,0.00010,0.00905,0.00022,0.00183,0.01584
1403715280.416539907455444,0.00445,0.00021,0.00002,0.00611,0.00000,0.00156,0.01235
1403715280.466353416442871,0.00353,0.00027,0.00067,0.00988,0.00000,0.00175,0.01610
1403715280.516353845596313,0.00261,0.00017,0.00005,0.00493,0.00000,0.00155,0.00932
1403715280.566085815429688,0.00528,0.00031,0.00225,0.00942,0.00089,0.00227,0.02043
1403715280.615981578826904,0.00310,0.00018,0.00071,0.00486,0.00338,0.00136,0.01358
1403715280.665911436080933,0.00263,0.00018,0.00009,0.00572,0.00000,0.00169,0.01031
1403715280.715899467468262,0.00265,0.00018,0.01014,0.00523,0.00005,0.00135,0.01961
1403715280.765862941741943,0.00314,0.00017,0.00115,0.00512,0.00117,0.00189,0.01264
1403715280.815841197967529,0.00485,0.00017,0.00063,0.00483,0.00106,0.00137,0.01291
1403715280.865830421447754,0.00279,0.00020,0.00037,0.00487,0.00001,0.00164,0.00988
1403715280.915802240371704,0.00391,0.00016,0.00134,0.00484,0.00000,0.00147,0.01172
1403715280.965666532516479,0.00353,0.00017,0.00018,0.00398,0.00219,0.00165,0.01171
1403715281.015573263168335,0.00304,0.00015,0.00032,0.00378,0.00027,0.00140,0.00896
1403715281.065535068511963,0.00350,0.00017,0.00005,0.00418,0.00000,0.00172,0.00962
1403715281.115536451339722,0.00277,0.00015,0.00001,0.00401,0.00000,0.00173,0.00868
1403715281.165516138076782,0.00234,0.00016,0.00013,0.00382,0.00339,0.00185,0.01169
1403715281.215591192245483,0.00371,0.00015,0.00069,0.00451,0.00000,0.00171,0.01077
1403715281.265651464462280,0.00296,0.00018,0.00009,0.00406,0.00000,0.00184,0.00914
1403715281.315564393997192,0.00406,0.00016,0.00778,0.00400,0.00868,0.00156,0.02624
1403715281.365585565567017,0.00264,0.00017,0.00068,0.00549,0.00000,0.00185,0.01082
1403715281.415443658828735,0.00271,0.00017,0.00002,0.00567,0.00004,0.00149,0.01010
1403715281.465044736862183,0.00377,0.00017,0.00925,0.00542,0.00232,0.00199,0.02293
1403715281.514958620071411,0.00365,0.00017,0.00001,0.00356,0.00000,0.00150,0.00889
1403715281.564909219741821,0.00358,0.00018,0.00036,0.00082,0.00016,0.00181,0.00692
1403715281.614902734756470,0.00295,0.00018,0.00048,0.00053,0.00172,0.00142,0.00729
1403715281.664864778518677,0.00259,0.00017,0.00072,0.00147,0.00243,0.00187,0.00925
1403715281.714845418930054,0.00386,0.00017,0.00060,0.00347,0.00038,0.00141,0.00989
1403715281.764477729797363,0.00321,0.00017,0.00431,0.00377,0.00805,0.00162,0.02114
1403715281.814575195312500,0.00444,0.00016,0.00017,0.00361,0.00001,0.00142,0.00982
1403715281.864563226699829,0.00298,0.00018,0.00030,0.00364,0.00000,0.00165,0.00876
1403715281.914580345153809,0.00892,0.00028,0.00297,0.00339,0.00758,0.00152,0.02466
1403715281.964582443237305,0.00387,0.00019,0.00002,0.00518,0.00000,0.00176,0.01102
1403715282.014613151550293,0.00298,0.00015,0.00002,0.00573,0.00004,0.00140,0.01031
1403715282.064751625061035,0.00266,0.00022,0.00584,0.00513,0.00252,0.00175,0.01812
1403715282.114744186401367,0.00281,0.00017,0.00005,0.00572,0.00000,0.00149,0.01024
1403715282.164839506149292,0.00290,0.00017,0.00007,0.00545,0.00000,0.00159,0.01018
1403715282.214811563491821,0.00258,0.00017,0.00011,0.00514,0.00019,0.00160,0.00979
1403715282.264834880828857,0.00275,0.00024,0.00008,0.00779,0.00000,0.00181,0.01267
1403715282.314826011657715,0.00285,0.00017,0.00073,0.00526,0.00016,0.00147,0.01065
1403715282.364936590194702,0.00275,0.00017,0.01269,0.00487,0.00226,0.00177,0.02452
1403715282.414862155914307,0.00284,0.00016,0.00013,0.00484,0.00000,0.00134,0.00931
1403715282.464781284332275,0.00345,0.00024,0.00012,0.00508,0.00000,0.00186,0.01074
1403715282.514663934707642,0.00620,0.00025,0.00102,0.00367,0.00265,0.00142,0.01522
1403715282.564816713333130,0.00268,0.00019,0.00008,0.00487,0.00000,0.00142,0.00924
1403715282.615028381347656,0.00549,0.00021,0.00021,0.00322,0.00112,0.00210,0.01235
1403715282.665224790573120,0.00493,0.00028,0.00385,0.00327,0.00541,0.00146,0.01921
1403715282.715133428573608,0.00319,0.00017,0.00087,0.00262,0.00041,0.00146,0.00872
1403715282.765087604522705,0.00691,0.00020,0.00018,0.00200,0.00025,0.00192,0.01145
1403715282.815071582794189,0.00943,0.00029,0.00110,0.00132,0.00215,0.00181,0.01610
1403715282.865028858184814,0.00476,0.00024,0.00048,0.00188,0.00149,0.00259,0.01143
1403715282.915050029754639,0.00688,0.00025,0.00054,0.00267,0.00181,0.00171,0.01386
1403715282.965187311172485,0.00404,0.00024,0.00676,0.00321,0.00471,0.00147,0.02043
1403715283.015057325363159,0.00288,0.00016,0.00015,0.00400,0.00026,0.00153,0.00898
1403715283.065066099166870,0.00298,0.00015,0.00009,0.00321,0.00000,0.00165,0.00808
1403715283.115089654922485,0.00289,0.00016,0.00046,0.00281,0.00161,0.00152,0.00946
1403715283.165037393569946,0.00367,0.00018,0.00038,0.00255,0.00096,0.00153,0.00927
1403715283.215074539184570,0.00242,0.00016,0.00052,0.00297,0.00045,0.00147,0.00799
1403715283.265053272247314,0.00623,0.00041,0.00588,0.00310,0.00302,0.00150,0.02014
1403715283.315069675445557,0.00259,0.00017,0.01057,0.00473,0.00369,0.00145,0.02319
1403715283.365024328231812,0.00338,0.00033,0.00005,0.01026,0.00000,0.00207,0.01608
1403715283.414957523345947,0.00402,0.00022,0.00011,0.00602,0.00000,0.00172,0.01209
1403715283.464916229248047,0.00377,0.00022,0.00016,0.00656,0.00000,0.00215,0.01287
1403715283.514887571334839,0.00403,0.00022,0.00020,0.00456,0.00000,0.00200,0.01101
1403715283.564984083175659,0.00275,0.00017,0.00425,0.00393,0.01096,0.00142,0.02348
1403715283.614997386932373,0.00492,0.00021,0.00008,0.00567,0.00000,0.00161,0.01249
1403715283.664965391159058,0.00290,0.00019,0.00008,0.00561,0.00000,0.00151,0.01029
1403715283.714806556701660,0.00446,0.00024,0.00072,0.00759,0.00001,0.00167,0.01470
1403715283.764610528945923,0.00376,0.00018,0.00038,0.00491,0.00000,0.00175,0.01098
1403715283.814441204071045,0.00276,0.00017,0.00008,0.00353,0.00000,0.00162,0.00815
1403715283.864442110061646,0.00278,0.00021,0.00413,0.00292,0.00154,0.00163,0.01323
1403715283.914408683776855,0.00378,0.00022,0.01210,0.00336,0.00243,0.00155,0.02343
1403715283.964440345764160,0.00262,0.00018,0.00052,0.00490,0.00019,0.00155,0.00996
1403715284.014592409133911,0.00346,0.00021,0.00002,0.00670,0.00000,0.00201,0.01241
1403715284.064723491668701,0.00300,0.00016,0.00010,0.00444,0.00017,0.00165,0.00952
1403715284.114786624908447,0.00265,0.00019,0.00010,0.00445,0.00038,0.00160,0.00936
1403715284.164714336395264,0.00998,0.00045,0.01580,0.00412,0.00273,0.00155,0.03463
1403715284.214667558670044,0.00265,0.00017,0.00016,0.00458,0.00043,0.00162,0.00962
1403715284.264563560485840,0.00351,0.00017,0.00036,0.00373,0.00016,0.00161,0.00953
1403715284.314520359039307,0.00308,0.00017,0.00015,0.00191,0.00103,0.00146,0.00779
1403715284.364513874053955,0.00734,0.00036,0.00065,0.00478,0.00129,0.00202,0.01645
1403715284.414608240127563,0.00428,0.00027,0.00060,0.00364,0.00208,0.00232,0.01320
1403715284.464649915695190,0.00274,0.00016,0.00289,0.00401,0.00430,0.00165,0.01575
1403715284.514304876327515,0.00306,0.00028,0.00832,0.00391,0.00264,0.00158,0.01979
1403715284.564303874969482,0.00279,0.00019,0.00005,0.00336,0.00001,0.00154,0.00794
1403715284.614377021789551,0.00233,0.00016,0.00006,0.00188,0.00018,0.00145,0.00607
1403715284.664369583129883,0.00347,0.00016,0.00076,0.00043,0.00135,0.00145,0.00762
1403715284.714433193206787,0.00574,0.00029,0.00068,0.00187,0.00175,0.00160,0.01192
1403715284.764449119567871,0.00267,0.00017,0.00436,0.00220,0.00239,0.00153,0.01332
1403715284.814401149749756,0.00234,0.00020,0.00005,0.00335,0.00016,0.00150,0.00761
1403715284.864372253417969,0.00707,0.00042,0.00003,0.00623,0.00000,0.00292,0.01665
1403715284.914351701736450,0.00463,0.00023,0.00050,0.00169,0.00193,0.00208,0.01106
1403715284.964355230331421,0.00296,0.00017,0.00041,0.00138,0.00136,0.00150,0.00779
1403715285.014343976974487,0.00342,0.00034,0.00054,0.00355,0.00157,0.00145,0.01088
1403715285.064422845840454,0.00982,0.00040,0.00168,0.00780,0.00078,0.00166,0.02214
1403715285.114551544189453,0.00251,0.00017,0.00170,0.00396,0.00079,0.00183,0.01096
1403715285.164562940597534,0.00244,0.00016,0.00036,0.00369,0.00070,0.00146,0.00881
1403715285.214530706405640,0.00260,0.00019,0.00018,0.00494,0.00000,0.00146,0.00938
1403715285.264476537704468,0.00498,0.00031,0.00018,0.00886,0.00027,0.00169,0.01629
1403715285.314477205276489,0.00245,0.00021,0.00011,0.00497,0.00000,0.00166,0.00939
1403715285.364446640014648,0.00270,0.00020,0.00682,0.00472,0.00187,0.00140,0.01770
1403715285.414457559585571,0.00237,0.00016,0.00001,0.00541,0.00000,0.00141,0.00935
1403715285.464480876922607,0.00397,0.00021,0.00003,0.00748,0.00000,0.00164,0.01332
1403715285.514552831649780,0.00358,0.00018,0.00001,0.00521,0.00000,0.00161,0.01059
1403715285.564738512039185,0.00559,0.00036,0.00130,0.01083,0.00000,0.00202,0.02011
1403715285.614794254302979,0.00696,0.00043,0.00004,0.01083,0.00000,0.00162,0.01989
1403715285.664829015731812,0.00236,0.00025,0.00074,0.00472,0.00227,0.00148,0.01182
1403715285.714721202850342,0.00349,0.00019,0.00992,0.00547,0.00305,0.00149,0.02362
1403715285.764661312103271,0.00321,0.00016,0.00006,0.00626,0.00000,0.00153,0.01122
1403715285.814515829086304,0.00232,0.00021,0.00058,0.00618,0.00000,0.00157,0.01087
1403715285.864427328109741,0.00260,0.00015,0.00006,0.00561,0.00000,0.00153,0.00996
1403715285.914456844329834,0.00339,0.00019,0.00001,0.00564,0.00000,0.00164,0.01087
1403715285.964721202850342,0.00507,0.00017,0.01056,0.00508,0.00239,0.00164,0.02491
1403715286.014751434326172,0.00230,0.00020,0.00001,0.00261,0.00000,0.00145,0.00657
1403715286.064755439758301,0.00497,0.00018,0.00049,0.00144,0.00017,0.00156,0.00881
1403715286.114776849746704,0.00760,0.00033,0.00123,0.00209,0.00386,0.00192,0.01702
1403715286.164793491363525,0.00307,0.00022,0.00043,0.00328,0.00099,0.00139,0.00938
1403715286.214792251586914,0.00407,0.00027,0.00023,0.00523,0.00051,0.00146,0.01177
1403715286.264800071716309,0.00493,0.00019,0.00035,0.00468,0.00178,0.00150,0.01343
1403715286.314848184585571,0.00427,0.00020,0.00950,0.00507,0.00174,0.00162,0.02241
1403715286.364810943603516,0.00281,0.00017,0.00023,0.00514,0.00000,0.00150,0.00985
1403715286.414796590805054,0.00597,0.00041,0.00166,0.01078,0.00000,0.00198,0.02080
1403715286.464734554290771,0.00293,0.00018,0.00008,0.00477,0.00000,0.00155,0.00950
1403715286.514764547348022,0.00386,0.00027,0.00189,0.00646,0.00000,0.00204,0.01453
1403715286.564844608306885,0.00332,0.00020,0.00733,0.00302,0.00698,0.00152,0.02236
1403715286.614882469177246,0.00249,0.00018,0.00062,0.00352,0.00041,0.00157,0.00879
1403715286.664922237396240,0.00499,0.00026,0.00031,0.00377,0.00044,0.00180,0.01157
1403715286.714950084686279,0.00462,0.00026,0.00147,0.00307,0.00059,0.00214,0.01215
1403715286.764917135238647,0.00658,0.00029,0.00289,0.00294,0.00266,0.00191,0.01727
1403715286.814796447753906,0.00270,0.00015,0.00029,0.00201,0.00335,0.00157,0.01008
1403715286.864495038986206,0.00234,0.00015,0.00522,0.00276,0.00672,0.00147,0.01866
1403715286.914403915405273,0.00246,0.00018,0.00521,0.00383,0.00381,0.00145,0.01693
1403715286.964399814605713,0.00391,0.00023,0.00008,0.00661,0.00000,0.00151,0.01233
1403715287.014422893524170,0.00613,0.00028,0.00008,0.00564,0.00000,0.00154,0.01367
1403715287.064413070678711,0.00357,0.00022,0.00092,0.00379,0.00015,0.00149,0.01015
1403715287.114445447921753,0.00240,0.00016,0.00017,0.00341,0.00000,0.00157,0.00771
1403715287.164471149444580,0.00316,0.00015,0.00162,0.00388,0.00749,0.00150,0.01782
1403715287.214561939239502,0.00252,0.00016,0.00026,0.00418,0.00000,0.00146,0.00858
1403715287.264591455459595,0.00232,0.00022,0.00009,0.00406,0.00001,0.00138,0.00809
1403715287.314643621444702,0.00723,0.00025,0.00786,0.00376,0.00176,0.00156,0.02242
1403715287.364679813385010,0.00256,0.00015,0.00161,0.00325,0.00056,0.00155,0.00968
1403715287.414688348770142,0.00601,0.00015,0.00024,0.00719,0.00004,0.00214,0.01577
1403715287.464640855789185,0.00383,0.00016,0.00378,0.00386,0.00834,0.00145,0.02143
1403715287.514541149139404,0.00252,0.00017,0.00353,0.00429,0.00230,0.00160,0.01441
1403715287.564499855041504,0.00227,0.00023,0.00351,0.00434,0.00117,0.00157,0.01309
1403715287.614466428756714,0.00330,0.00019,0.00057,0.00460,0.00018,0.00146,0.01030
1403715287.664506435394287,0.00327,0.00026,0.00029,0.00503,0.00018,0.00143,0.01047
1403715287.714572429656982,0.00255,0.00016,0.00010,0.00380,0.00001,0.00145,0.00806
1403715287.764695644378662,0.00697,0.00019,0.00025,0.00569,0.00204,0.00187,0.01702
1403715287.814832448959351,0.00578,0.00016,0.00018,0.00340,0.00015,0.00160,0.01127
1403715287.865002155303955,0.00261,0.00013,0.00116,0.00346,0.01292,0.00144,0.02172
1403715287.915041446685791,0.00264,0.00020,0.00410,0.00513,0.00000,0.00150,0.01356
1403715287.965061664581299,0.00254,0.00020,0.00062,0.00507,0.00000,0.00143,0.00986
