# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.983776092529297,0.01148,0.00031,0.00158,0.00000,0.00000,0.00314,0.01651
1403637150.034591674804688,0.01270,0.00028,0.00381,0.00000,0.00410,0.00167,0.02255
1403637150.085824966430664,0.01393,0.00030,0.00431,0.00042,0.00000,0.00191,0.02087
1403637150.135793209075928,0.01332,0.00027,0.00025,0.00026,0.00000,0.00233,0.01642
1403637150.185794353485107,0.01486,0.00018,0.00019,0.00012,0.00004,0.00203,0.01743
1403637150.235932350158691,0.01352,0.00026,0.00072,0.00009,0.00001,0.00226,0.01687
1403637150.286023139953613,0.01677,0.00016,0.00046,0.00007,0.00000,0.00190,0.01936
1403637150.336023092269897,0.01661,0.00019,0.00049,0.00003,0.00000,0.00202,0.01934
1403637150.386076688766479,0.01599,0.00017,0.00061,0.00003,0.00000,0.00204,0.01884
1403637150.436076641082764,0.01260,0.00019,0.00063,0.00000,0.00000,0.00239,0.01583
1403637150.486263751983643,0.01467,0.00026,0.00088,0.00000,0.00000,0.00274,0.01857
1403637150.536263942718506,0.01158,0.00027,0.00030,0.00000,0.00000,0.00320,0.01536
1403637150.585913181304932,0.01289,0.00028,0.00138,0.00000,0.00000,0.00259,0.01715
1403637150.635916471481323,0.01488,0.00022,0.00132,0.00000,0.00448,0.00157,0.02247
1403637150.685880422592163,0.01145,0.00028,0.00106,0.00016,0.00000,0.00258,0.01553
1403637150.735886335372925,0.01262,0.00030,0.00029,0.00019,0.00000,0.00337,0.01677
1403637150.785890102386475,0.00768,0.00010,0.00035,0.00006,0.00028,0.00133,0.00980
1403637150.835890054702759,0.01224,0.00032,0.00069,0.00006,0.00094,0.00310,0.01734
1403637150.885890007019043,0.01121,0.00028,0.00064,0.00004,0.00210,0.00341,0.01768
1403637150.935889959335327,0.00761,0.00010,0.00008,0.00000,0.00014,0.00137,0.00929
1403637150.985728025436401,0.01347,0.00026,0.00056,0.00000,0.00189,0.00306,0.01925
1403637151.035737037658691,0.01190,0.00022,0.00044,0.00014,0.00208,0.00259,0.01738
1403637151.085736989974976,0.01408,0.00019,0.00094,0.00004,0.00000,0.00282,0.01806
1403637151.135736942291260,0.01302,0.00030,0.00087,0.00004,0.00141,0.00256,0.01818
1403637151.185736894607544,0.01138,0.00032,0.00065,0.00000,0.00245,0.00290,0.01770
1403637151.235731124877930,0.01184,0.00030,0.00020,0.00000,0.00355,0.00299,0.01888
1403637151.285762786865234,0.00390,0.00012,0.00033,0.00007,0.00055,0.00155,0.00651
1403637151.335762023925781,0.01013,0.00028,0.00013,0.00013,0.00418,0.00204,0.01689
1403637151.385849237442017,0.01204,0.00029,0.00062,0.00043,0.00286,0.00266,0.01890
1403637151.435802221298218,0.01324,0.00030,0.00093,0.00070,0.00043,0.00283,0.01843
1403637151.485991716384888,0.01192,0.00029,0.00046,0.00081,0.00374,0.00236,0.01958
1403637151.535875320434570,0.01157,0.00032,0.00071,0.00107,0.00184,0.00220,0.01771
1403637151.585995197296143,0.01160,0.00034,0.00067,0.00132,0.00049,0.00260,0.01702
1403637151.636034488677979,0.01093,0.00038,0.00057,0.00145,0.00395,0.00200,0.01928
1403637151.686001539230347,0.01152,0.00027,0.00047,0.00117,0.00000,0.00281,0.01625
1403637151.735992908477783,0.01111,0.00033,0.00100,0.00130,0.00078,0.00257,0.01710
1403637151.786099433898926,0.00955,0.00033,0.00069,0.00147,0.00405,0.00235,0.01844
1403637151.836140155792236,0.01054,0.00031,0.00022,0.00169,0.00347,0.00276,0.01901
1403637151.886496782302856,0.00646,0.00013,0.00048,0.00071,0.00000,0.00141,0.00919
1403637151.936912536621094,0.01116,0.00038,0.00093,0.00237,0.00194,0.00336,0.02014
1403637151.987004041671753,0.01131,0.00039,0.00057,0.00249,0.00229,0.00258,0.01964
1403637152.037163496017456,0.01068,0.00029,0.00104,0.00239,0.00134,0.00297,0.01872
1403637152.087159633636475,0.01066,0.00034,0.00040,0.00229,0.00122,0.00241,0.01732
1403637152.137184381484985,0.01068,0.00036,0.00122,0.00206,0.00048,0.00339,0.01818
1403637152.187205553054810,0.01346,0.00042,0.00003,0.00234,0.00097,0.00273,0.01995
1403637152.237241983413696,0.01012,0.00032,0.00003,0.00233,0.00248,0.00291,0.01819
1403637152.287264823913574,0.01123,0.00031,0.00013,0.00242,0.00064,0.00331,0.01803
1403637152.337407350540161,0.01118,0.00039,0.00031,0.00189,0.00105,0.00374,0.01856
1403637152.387380123138428,0.01130,0.00038,0.00016,0.00204,0.00340,0.00208,0.01935
1403637152.437491655349731,0.01029,0.00035,0.00063,0.00268,0.00294,0.00275,0.01963
1403637152.487487792968750,0.00972,0.00038,0.00003,0.00261,0.00050,0.00279,0.01603
1403637152.537496089935303,0.01065,0.00034,0.00009,0.00277,0.00012,0.00307,0.01704
1403637152.587502479553223,0.01013,0.00038,0.00081,0.00287,0.00323,0.00267,0.02009
1403637152.637511730194092,0.01036,0.00039,0.00070,0.00296,0.00186,0.00300,0.01928
1403637152.687525033950806,0.01172,0.00033,0.00003,0.00257,0.00111,0.00227,0.01804
1403637152.737499713897705,0.01043,0.00035,0.00010,0.00280,0.00165,0.00249,0.01782
1403637152.787468671798706,0.01035,0.00033,0.00054,0.00266,0.00048,0.00253,0.01688
1403637152.837479114532471,0.01048,0.00034,0.00029,0.00300,0.00254,0.00234,0.01899
1403637152.887445449829102,0.01058,0.00031,0.00009,0.00289,0.00121,0.00253,0.01761
1403637152.937481641769409,0.01045,0.00042,0.00014,0.00346,0.00000,0.00378,0.01826
1403637152.987471818923950,0.00983,0.00040,0.00015,0.00306,0.00251,0.00235,0.01829
1403637153.037456035614014,0.01257,0.00035,0.00076,0.00251,0.00062,0.00228,0.01908
1403637153.087598085403442,0.01032,0.00036,0.00020,0.00295,0.00036,0.00268,0.01688
1403637153.137601852416992,0.01025,0.00040,0.00023,0.00279,0.00015,0.00303,0.01685
1403637153.187619924545288,0.00965,0.00035,0.00136,0.00268,0.00179,0.00249,0.01831
1403637153.237602472305298,0.00760,0.00014,0.00007,0.00086,0.00038,0.00138,0.01044
1403637153.287642478942871,0.01079,0.00039,0.00012,0.00264,0.00106,0.00338,0.01837
1403637153.337741136550903,0.00450,0.00013,0.00004,0.00066,0.00086,0.00206,0.00826
1403637153.387887954711914,0.00579,0.00029,0.00016,0.00092,0.00029,0.00216,0.00960
1403637153.437944173812866,0.00727,0.00028,0.00043,0.00067,0.00158,0.00190,0.01212
1403637153.488078355789185,0.00979,0.00036,0.00022,0.00108,0.00020,0.00345,0.01511
1403637153.538193464279175,0.01036,0.00037,0.00010,0.00107,0.00002,0.00407,0.01599
1403637153.588178634643555,0.01004,0.00032,0.00007,0.00065,0.00330,0.00312,0.01750
1403637153.638073444366455,0.00948,0.00034,0.00079,0.00073,0.00092,0.00396,0.01623
1403637153.688039064407349,0.00979,0.00034,0.00008,0.00078,0.00009,0.00385,0.01493
1403637153.738103151321411,0.01299,0.00029,0.00075,0.00073,0.00011,0.00327,0.01814
1403637153.788072586059570,0.01116,0.00030,0.00076,0.00063,0.00378,0.00217,0.01880
1403637153.838046073913574,0.01052,0.00027,0.00002,0.00073,0.00124,0.00310,0.01588
1403637153.888128519058228,0.01118,0.00034,0.00067,0.00064,0.00224,0.00275,0.01783
1403637153.938104867935181,0.01019,0.00030,0.00003,0.00080,0.00123,0.00346,0.01601
1403637153.988172769546509,0.01018,0.00034,0.00013,0.00055,0.00269,0.00373,0.01762
1403637154.038263559341431,0.01053,0.00034,0.00033,0.00071,0.00458,0.00302,0.01951
1403637154.088425159454346,0.00986,0.00033,0.00003,0.00088,0.00034,0.00348,0.01491
1403637154.138465404510498,0.01213,0.00038,0.00003,0.00088,0.00093,0.00299,0.01735
