# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.985352993011475,0.01152,0.00030,0.00128,0.00000,0.00000,0.00316,0.01627
1403637150.036702632904053,0.01331,0.00029,0.00390,0.00000,0.00333,0.00136,0.02220
1403637150.086352825164795,0.01324,0.00019,0.00326,0.00038,0.00000,0.00154,0.01861
1403637150.136475086212158,0.01276,0.00026,0.00038,0.00042,0.00000,0.00239,0.01621
1403637150.186569929122925,0.01599,0.00020,0.00043,0.00014,0.00001,0.00201,0.01878
1403637150.236645221710205,0.01523,0.00023,0.00061,0.00005,0.00001,0.00243,0.01855
1403637150.286645412445068,0.01664,0.00017,0.00041,0.00000,0.00000,0.00165,0.01887
1403637150.336645364761353,0.01576,0.00022,0.00071,0.00000,0.00000,0.00228,0.01899
1403637150.386645317077637,0.01540,0.00022,0.00061,0.00000,0.00000,0.00195,0.01818
1403637150.436645269393921,0.01529,0.00022,0.00051,0.00000,0.00000,0.00218,0.01821
1403637150.486645221710205,0.01388,0.00022,0.00035,0.00000,0.00000,0.00226,0.01672
1403637150.536645412445068,0.01284,0.00031,0.00051,0.00000,0.00000,0.00350,0.01716
1403637150.586652994155884,0.01243,0.00027,0.00150,0.00000,0.00000,0.00278,0.01699
1403637150.637310028076172,0.01403,0.00026,0.00133,0.00000,0.00563,0.00147,0.02272
1403637150.687535524368286,0.01209,0.00025,0.00073,0.00047,0.00000,0.00230,0.01585
1403637150.737692117691040,0.01479,0.00026,0.00046,0.00033,0.00000,0.00238,0.01823
1403637150.788232088088989,0.01209,0.00023,0.00061,0.00039,0.00640,0.00157,0.02128
1403637150.838304042816162,0.01153,0.00032,0.00090,0.00092,0.00194,0.00292,0.01852
1403637150.888331174850464,0.01122,0.00033,0.00078,0.00104,0.00101,0.00312,0.01750
1403637150.938276767730713,0.00760,0.00014,0.00010,0.00029,0.00068,0.00348,0.01229
1403637150.987882137298584,0.01270,0.00028,0.00055,0.00090,0.00187,0.00276,0.01908
