# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.984025001525879,0.02592,0.00033,0.00135,0.00000,0.00000,0.00514,0.03276
1403637150.029006719589233,0.03067,0.00031,0.00231,0.00000,0.00291,0.00333,0.03953
1403637150.078852176666260,0.03383,0.00022,0.00302,0.00020,0.00000,0.00288,0.04016
1403637150.129121541976929,0.02639,0.00035,0.00044,0.00025,0.00000,0.00469,0.03212
1403637150.179197788238525,0.03735,0.00026,0.00044,0.00012,0.00001,0.00426,0.04245
1403637150.228574514389038,0.02844,0.00030,0.00148,0.00015,0.00002,0.00421,0.03460
1403637150.278519392013550,0.03504,0.00031,0.00122,0.00000,0.00000,0.00341,0.03997
1403637150.328626632690430,0.03685,0.00023,0.00107,0.00000,0.00000,0.00335,0.04151
1403637150.378615379333496,0.02858,0.00034,0.00177,0.00001,0.00000,0.00451,0.03520
1403637150.428570508956909,0.02638,0.00032,0.00144,0.00000,0.00000,0.00436,0.03250
1403637150.478723049163818,0.02282,0.00028,0.00081,0.00000,0.00000,0.00482,0.02874
1403637150.529827356338501,0.02821,0.00032,0.00127,0.00000,0.00000,0.00587,0.03567
1403637150.580059289932251,0.02565,0.00030,0.00216,0.00000,0.00000,0.00529,0.03341
1403637150.631208896636963,0.02503,0.00033,0.00186,0.00000,0.00815,0.00286,0.03823
1403637150.681972980499268,0.02377,0.00060,0.00244,0.00052,0.00000,0.00480,0.03213
1403637150.732206344604492,0.02816,0.00029,0.00068,0.00046,0.00010,0.00415,0.03384
1403637150.782619476318359,0.02405,0.00030,0.00133,0.00039,0.00002,0.00523,0.03132
1403637150.832626581192017,0.01896,0.00030,0.00102,0.00039,0.00035,0.00538,0.02640
1403637150.882605552673340,0.02038,0.00029,0.00114,0.00040,0.00063,0.00524,0.02807
1403637150.932586908340454,0.02924,0.00038,0.00141,0.00039,0.00193,0.00449,0.03784
