# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.981960296630859,0,3,0,0,5
1403637150.036245584487915,14,3,0,14,6
1403637150.086690425872803,13,9,6,0,7
1403637150.136708021163940,12,1,1,0,8
1403637150.186606168746948,3,1,0,1,9
1403637150.236840248107910,1,1,0,0,10
1403637150.286840438842773,1,0,0,0,11
1403637150.336840391159058,0,0,0,0,11
1403637150.386840343475342,0,0,0,0,11
1403637150.436966180801392,0,1,0,0,11
1403637150.486966133117676,0,0,0,0,11
1403637150.536808729171753,0,1,0,0,11
1403637150.586797237396240,0,1,0,0,11
1403637150.637954473495483,6,0,0,6,11
1403637150.687873840332031,6,0,6,0,11
1403637150.737931013107300,5,0,5,0,11
1403637150.788025856018066,6,0,5,1,11
1403637150.837743759155273,6,1,6,0,11
1403637150.888157129287720,9,1,6,3,11
1403637150.938218593597412,9,4,9,0,11
1403637150.988729238510132,12,1,9,3,11
1403637151.038778543472290,13,1,12,1,11
1403637151.088787317276001,13,0,13,0,11
1403637151.138760566711426,13,1,13,0,11
1403637151.188918113708496,19,1,13,6,11
1403637151.239250898361206,25,1,18,7,11
1403637151.289269685745239,25,1,25,0,11
1403637151.339390039443970,24,0,24,0,11
1403637151.389539241790771,25,0,24,1,11
1403637151.439750194549561,24,2,23,0,11
1403637151.489829301834106,25,4,23,1,11
1403637151.539963960647583,24,2,24,0,11
1403637151.590072393417358,22,2,22,0,11
1403637151.640221834182739,23,1,22,1,11
1403637151.690352678298950,25,3,21,2,11
1403637151.740569829940796,29,2,23,4,11
1403637151.790649652481079,29,0,27,2,11
1403637151.840680837631226,31,0,29,2,11
1403637151.890774726867676,30,1,30,0,11
1403637151.940811157226562,30,0,30,0,11
1403637151.990839242935181,33,0,30,3,11
1403637152.040897369384766,33,0,31,0,11
1403637152.090862512588501,31,0,29,0,11
1403637152.140836477279663,32,0,29,2,11
1403637152.190866947174072,32,0,31,1,11
1403637152.240841627120972,32,1,32,0,11
1403637152.290859460830688,32,0,31,0,11
1403637152.340710401535034,33,1,29,3,11
1403637152.390694379806519,32,0,31,0,11
1403637152.440887928009033,32,0,31,0,11
1403637152.490821123123169,31,0,27,1,11
1403637152.540908813476562,31,0,27,0,11
1403637152.590921401977539,28,0,25,2,11
1403637152.640894174575806,26,0,24,0,11
1403637152.690801858901978,29,1,23,3,11
1403637152.740479230880737,31,0,24,4,11
1403637152.790219545364380,29,0,29,0,11
1403637152.840096235275269,30,0,29,1,11
1403637152.889970541000366,30,1,29,0,11
1403637152.940087318420410,31,2,26,4,11
1403637152.990162849426270,33,0,27,2,11
1403637153.040217876434326,32,0,25,0,11
1403637153.090634822845459,28,1,24,0,11
1403637153.140935897827148,26,0,22,1,11
1403637153.191597938537598,32,0,23,7,11
1403637153.241728067398071,31,0,28,1,11
1403637153.291833639144897,31,1,27,0,11
1403637153.341902256011963,29,0,29,0,11
1403637153.392101287841797,29,0,28,0,11
1403637153.442318916320801,29,1,27,1,11
1403637153.492611408233643,28,1,28,0,11
1403637153.542587995529175,29,0,20,1,11
1403637153.592404127120972,28,0,13,1,11
1403637153.642108678817749,23,0,14,1,11
1403637153.691984415054321,18,0,16,2,11
1403637153.741762638092041,20,0,18,2,11
1403637153.791671514511108,23,0,18,4,11
1403637153.841499090194702,25,1,21,2,11
1403637153.891481637954712,23,0,23,0,11
1403637153.941349267959595,25,0,21,2,11
1403637153.991461515426636,25,0,23,1,11
1403637154.041507244110107,24,0,24,0,11
1403637154.091531991958618,24,0,24,0,11
1403637154.141465187072754,27,1,23,3,11
1403637154.191390275955200,27,0,25,0,11
1403637154.241329193115234,27,0,24,1,11
1403637154.291248559951782,34,0,22,8,11
1403637154.341305494308472,33,0,28,0,11
1403637154.391162633895874,32,0,23,2,11
1403637154.440925836563110,30,0,23,0,11
1403637154.490716934204102,28,0,19,3,11
1403637154.540800094604492,26,0,22,0,11
1403637154.590810298919678,24,1,22,2,11
1403637154.641001939773560,23,0,20,0,11
1403637154.691054821014404,20,0,18,0,11
1403637154.741089582443237,22,0,16,3,11
1403637154.791067838668823,25,0,17,5,11
1403637154.841127634048462,24,1,19,2,11
1403637154.891209363937378,26,0,15,3,11
1403637154.941211462020874,23,1,15,1,11
1403637154.991228342056274,19,1,14,2,11
1403637155.041241168975830,19,0,15,2,11
1403637155.091171741485596,21,0,17,3,11
1403637155.141296386718750,25,1,20,5,11
1403637155.191316843032837,25,0,20,0,11
1403637155.241495609283447,25,3,20,0,11
1403637155.291493892669678,22,2,10,2,11
1403637155.341462135314941,22,0,7,0,11
1403637155.391228437423706,28,0,6,16,11
1403637155.441148042678833,25,0,21,2,11
1403637155.491044759750366,26,0,22,1,11
1403637155.540841817855835,23,0,22,0,11
1403637155.590668201446533,25,0,22,2,11
1403637155.640401840209961,26,1,21,2,11
1403637155.690310239791870,26,0,24,0,11
1403637155.740216970443726,25,0,22,1,11
1403637155.790099382400513,25,0,18,1,11
1403637155.840021848678589,25,0,10,1,11
1403637155.889760732650757,27,0,6,8,11
1403637155.939687013626099,25,1,11,7,11
1403637155.989617347717285,26,0,17,5,11
1403637156.039624214172363,22,0,20,0,11
1403637156.089638471603394,20,0,17,1,11
1403637156.139583587646484,17,1,17,0,11
1403637156.189569234848022,17,0,16,0,11
1403637156.239513158798218,16,0,14,0,11
1403637156.289489746093750,15,0,14,0,11
1403637156.339482545852661,14,0,14,0,11
1403637156.389472723007202,14,1,14,0,11
1403637156.439469575881958,14,0,13,0,11
1403637156.489448308944702,16,1,13,2,11
1403637156.539421796798706,17,3,15,2,11
1403637156.589425802230835,17,0,17,0,11
1403637156.639434337615967,17,0,16,1,11
1403637156.689458847045898,17,0,16,0,11
1403637156.739482164382935,17,0,15,0,11
1403637156.789449930191040,17,0,14,2,11
1403637156.839372873306274,17,0,15,1,11
1403637156.889327049255371,17,0,14,0,11
1403637156.939259529113770,18,0,14,2,11
1403637156.989160776138306,26,0,15,10,11
1403637157.039265394210815,26,0,26,0,11
1403637157.089233636856079,30,0,26,4,11
1403637157.139293670654297,32,0,29,2,11
