# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864569187164307,0.00419,0.00012,0.00034,0.00000,0.00000,0.00131,0.00597
1403715278.912629127502441,0.01210,0.00034,0.00739,0.00000,0.00737,0.00120,0.02841
1403715278.962757587432861,0.00960,0.00035,0.00141,0.00530,0.00000,0.00191,0.01857
1403715279.013625860214233,0.00941,0.00032,0.00014,0.00486,0.00000,0.00213,0.01687
1403715279.064233779907227,0.01184,0.00038,0.00009,0.00554,0.00000,0.00230,0.02015
1403715279.114722490310669,0.01167,0.00031,0.00120,0.00493,0.00000,0.00188,0.01999
1403715279.164962768554688,0.00841,0.00031,0.00124,0.00469,0.00000,0.00205,0.01672
1403715279.215267658233643,0.00935,0.00033,0.00180,0.00624,0.00000,0.00238,0.02010
1403715279.265553951263428,0.00967,0.00038,0.00003,0.00568,0.00577,0.00173,0.02325
1403715279.315531969070435,0.01092,0.00034,0.00009,0.00667,0.00508,0.00137,0.02448
1403715279.364497900009155,0.00959,0.00036,0.00003,0.00810,0.00176,0.00163,0.02148
1403715279.413974523544312,0.00987,0.00040,0.00004,0.00844,0.00989,0.00136,0.02999
1403715279.463408946990967,0.00687,0.00027,0.00002,0.00630,0.00000,0.00180,0.01526
1403715279.513185501098633,0.00890,0.00042,0.01755,0.00473,0.00111,0.00124,0.03395
1403715279.563954114913940,0.00528,0.00029,0.00003,0.01110,0.00006,0.00159,0.01835
1403715279.613968372344971,0.00908,0.00044,0.00398,0.00885,0.00134,0.00133,0.02501
1403715279.664172410964966,0.00462,0.00019,0.00001,0.01046,0.00000,0.00157,0.01686
1403715279.714365482330322,0.00919,0.00043,0.00003,0.01215,0.00000,0.00169,0.02349
1403715279.764488458633423,0.00885,0.00038,0.00003,0.01185,0.00000,0.00155,0.02267
1403715279.814538478851318,0.00910,0.00042,0.00010,0.01221,0.00000,0.00147,0.02330
1403715279.864460706710815,0.00827,0.00040,0.00013,0.01192,0.00000,0.00155,0.02227
1403715279.914415359497070,0.00874,0.00039,0.00010,0.01198,0.00000,0.00150,0.02272
1403715279.964102029800415,0.00899,0.00034,0.00495,0.00655,0.00003,0.00137,0.02224
1403715280.014187574386597,0.00928,0.00092,0.00004,0.01182,0.00000,0.00219,0.02426
1403715280.064019203186035,0.01068,0.00041,0.00012,0.01039,0.00000,0.00146,0.02306
1403715280.114204168319702,0.01018,0.00032,0.01222,0.00511,0.00004,0.00126,0.02913
1403715280.165061950683594,0.00626,0.00025,0.00010,0.00515,0.00003,0.00133,0.01312
1403715280.215547561645508,0.00975,0.00046,0.00330,0.00235,0.00054,0.00298,0.01939
1403715280.265594244003296,0.01090,0.00040,0.00077,0.00117,0.00249,0.00244,0.01817
1403715280.315515279769897,0.01019,0.00041,0.00198,0.00102,0.00498,0.00153,0.02011
1403715280.365632534027100,0.00992,0.00040,0.00057,0.00857,0.00084,0.00175,0.02204
1403715280.415837764739990,0.01023,0.00036,0.00015,0.00721,0.00001,0.00155,0.01950
1403715280.465941667556763,0.00972,0.00040,0.00113,0.00859,0.00000,0.00191,0.02176
1403715280.515879631042480,0.00972,0.00043,0.00036,0.00702,0.00042,0.00151,0.01947
1403715280.565777301788330,0.01020,0.00037,0.00233,0.00823,0.00050,0.00168,0.02331
1403715280.615735054016113,0.00938,0.00034,0.00031,0.00742,0.00000,0.00134,0.01880
1403715280.665704488754272,0.00978,0.00038,0.00124,0.00699,0.00059,0.00142,0.02039
1403715280.716409921646118,0.01243,0.00050,0.01216,0.00404,0.00525,0.00144,0.03582
1403715280.766422510147095,0.00421,0.00017,0.00066,0.00482,0.00073,0.00129,0.01189
1403715280.816354751586914,0.01284,0.00037,0.00293,0.00542,0.00002,0.00136,0.02295
1403715280.866366863250732,0.01011,0.00025,0.00024,0.00624,0.00000,0.00167,0.01852
1403715280.916214704513550,0.00392,0.00018,0.00013,0.00433,0.00061,0.00142,0.01057
1403715280.965912103652954,0.01012,0.00052,0.00041,0.00839,0.00019,0.00170,0.02134
1403715281.015729427337646,0.00963,0.00036,0.00072,0.00479,0.00060,0.00223,0.01834
1403715281.065522432327271,0.01207,0.00042,0.00134,0.00310,0.00049,0.00237,0.01979
1403715281.115320920944214,0.01042,0.00041,0.00134,0.00166,0.01013,0.00144,0.02539
1403715281.165383100509644,0.01022,0.00032,0.00078,0.00279,0.00137,0.00164,0.01713
1403715281.215501785278320,0.01024,0.00042,0.00102,0.00473,0.00150,0.00176,0.01967
1403715281.265981197357178,0.00999,0.00039,0.00055,0.00630,0.00441,0.00134,0.02298
1403715281.316388130187988,0.00953,0.00039,0.01020,0.00465,0.00182,0.00138,0.02798
1403715281.366359233856201,0.00872,0.00027,0.00607,0.00395,0.00167,0.00134,0.02202
1403715281.416457414627075,0.00942,0.00033,0.00003,0.00770,0.00080,0.00126,0.01956
1403715281.466500043869019,0.00313,0.00014,0.00004,0.00474,0.00000,0.00136,0.00941
1403715281.516445398330688,0.00906,0.00044,0.00003,0.00992,0.00000,0.00153,0.02098
1403715281.566260337829590,0.01007,0.00049,0.00004,0.01057,0.00005,0.00169,0.02291
1403715281.616129636764526,0.00950,0.00035,0.00776,0.00456,0.00322,0.00124,0.02663
1403715281.666043996810913,0.00703,0.00022,0.00008,0.00564,0.00001,0.00148,0.01447
1403715281.716009616851807,0.01186,0.00044,0.00321,0.00705,0.00000,0.00174,0.02431
1403715281.766011476516724,0.01053,0.00033,0.00171,0.00487,0.00019,0.00150,0.01913
1403715281.816013574600220,0.01114,0.00032,0.00009,0.00582,0.00001,0.00177,0.01916
1403715281.866126537322998,0.01059,0.00048,0.00073,0.00724,0.00024,0.00197,0.02124
1403715281.916222333908081,0.00956,0.00032,0.00063,0.00641,0.00969,0.00133,0.02793
1403715281.966323137283325,0.00791,0.00030,0.00423,0.00487,0.00347,0.00130,0.02210
1403715282.016363143920898,0.00878,0.00029,0.00003,0.00717,0.00118,0.00182,0.01926
1403715282.066483020782471,0.01097,0.00046,0.00021,0.01087,0.00018,0.00139,0.02408
1403715282.116537332534790,0.01039,0.00037,0.00015,0.00961,0.00020,0.00167,0.02238
1403715282.166612148284912,0.01445,0.00032,0.00003,0.01062,0.00000,0.00144,0.02686
1403715282.216665506362915,0.01098,0.00043,0.01612,0.00538,0.00237,0.00148,0.03676
1403715282.266634225845337,0.00466,0.00016,0.00057,0.00924,0.00000,0.00146,0.01610
1403715282.316640377044678,0.01086,0.00043,0.00013,0.00971,0.00000,0.00167,0.02281
1403715282.366579055786133,0.01239,0.00046,0.00030,0.00978,0.00041,0.00148,0.02482
1403715282.416500091552734,0.00994,0.00035,0.00029,0.00651,0.00000,0.00159,0.01868
1403715282.466497659683228,0.01202,0.00040,0.00048,0.00805,0.00003,0.00182,0.02281
1403715282.516411781311035,0.01089,0.00042,0.00059,0.00808,0.00216,0.00189,0.02403
1403715282.566413402557373,0.01137,0.00041,0.00717,0.00548,0.00033,0.00138,0.02614
1403715282.616387367248535,0.00982,0.00038,0.00034,0.00928,0.00051,0.00219,0.02251
1403715282.666440963745117,0.01090,0.00038,0.00039,0.00946,0.00000,0.00172,0.02285
1403715282.716332435607910,0.00960,0.00036,0.01255,0.00397,0.00824,0.00175,0.03648
1403715282.766315460205078,0.00401,0.00017,0.00007,0.00570,0.00000,0.00139,0.01133
1403715282.816415309906006,0.00998,0.00036,0.01226,0.00541,0.00003,0.00127,0.02932
1403715282.866461753845215,0.00806,0.00042,0.00003,0.01304,0.00081,0.00164,0.02401
1403715282.916511297225952,0.01025,0.00046,0.00005,0.01181,0.00000,0.00152,0.02409
1403715282.966480016708374,0.00506,0.00019,0.00005,0.00581,0.00000,0.00148,0.01259
1403715283.016662359237671,0.01112,0.00043,0.00076,0.00891,0.00017,0.00147,0.02286
1403715283.066608428955078,0.01183,0.00042,0.00018,0.00972,0.00000,0.00166,0.02381
1403715283.116546154022217,0.01105,0.00041,0.00009,0.00896,0.00000,0.00159,0.02211
1403715283.166566610336304,0.01086,0.00049,0.00781,0.00531,0.00032,0.00197,0.02676
1403715283.216562032699585,0.00854,0.00037,0.00037,0.00901,0.00076,0.00155,0.02060
1403715283.266579151153564,0.01139,0.00042,0.00112,0.00816,0.00020,0.00149,0.02278
1403715283.316612243652344,0.01041,0.00046,0.01122,0.00488,0.00293,0.00141,0.03130
1403715283.366685628890991,0.01076,0.00049,0.00216,0.00960,0.00033,0.00159,0.02493
1403715283.416704416275024,0.01108,0.00049,0.01359,0.00495,0.00097,0.00150,0.03259
1403715283.466705083847046,0.00836,0.00051,0.00100,0.01054,0.00000,0.00166,0.02208
1403715283.516650438308716,0.00969,0.00047,0.01355,0.00373,0.00390,0.00133,0.03266
1403715283.566666841506958,0.00514,0.00019,0.00007,0.00515,0.00000,0.00135,0.01190
1403715283.616718530654907,0.01009,0.00043,0.00010,0.00922,0.00000,0.00162,0.02146
1403715283.666680097579956,0.00935,0.00045,0.00010,0.00846,0.00000,0.00150,0.01987
1403715283.716513872146606,0.00908,0.00042,0.00009,0.00900,0.00000,0.00149,0.02010
1403715283.766427755355835,0.00968,0.00038,0.00004,0.00885,0.00325,0.00139,0.02359
1403715283.816419363021851,0.00971,0.00049,0.00014,0.01216,0.00017,0.00187,0.02456
1403715283.866420269012451,0.00999,0.00038,0.00003,0.01081,0.00000,0.00152,0.02273
1403715283.916403055191040,0.00959,0.00036,0.00667,0.00535,0.00371,0.00156,0.02725
1403715283.966350555419922,0.00698,0.00019,0.00002,0.00555,0.00000,0.00136,0.01410
1403715284.016117095947266,0.00334,0.00019,0.00955,0.00600,0.00084,0.00189,0.02181
1403715284.066017866134644,0.00593,0.00033,0.00015,0.01099,0.00021,0.00142,0.01904
1403715284.115910291671753,0.00964,0.00051,0.01484,0.00558,0.00000,0.00134,0.03192
1403715284.165932416915894,0.00445,0.00029,0.00022,0.01181,0.00002,0.00173,0.01852
1403715284.215988159179688,0.00972,0.00046,0.00003,0.01047,0.00000,0.00154,0.02222
1403715284.266062021255493,0.01045,0.00034,0.00003,0.00870,0.00000,0.00138,0.02091
1403715284.316168069839478,0.00917,0.00036,0.00003,0.00984,0.00000,0.00145,0.02085
1403715284.366153955459595,0.00936,0.00039,0.00003,0.00970,0.00062,0.00139,0.02150
1403715284.416125774383545,0.00951,0.00040,0.00003,0.00950,0.00074,0.00144,0.02163
1403715284.465991735458374,0.00964,0.00036,0.00003,0.00895,0.00000,0.00145,0.02043
1403715284.516119003295898,0.01003,0.00038,0.00641,0.00552,0.00027,0.00169,0.02430
1403715284.566105365753174,0.00438,0.00021,0.00002,0.01005,0.00000,0.00181,0.01648
1403715284.616108179092407,0.00330,0.00017,0.00533,0.00420,0.00229,0.00134,0.01663
