# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864630222320557,0.02543,0.00034,0.00097,0.00000,0.00000,0.00509,0.03185
1403715278.912889480590820,0.01923,0.00032,0.00942,0.00000,0.00831,0.00187,0.03915
1403715278.963063716888428,0.02366,0.00031,0.00143,0.00597,0.00000,0.00341,0.03478
1403715279.011522293090820,0.02464,0.00033,0.00015,0.00608,0.00000,0.00351,0.03470
1403715279.060582637786865,0.02257,0.00033,0.00009,0.00716,0.00000,0.00375,0.03390
1403715279.109985113143921,0.01941,0.00032,0.00127,0.00647,0.00000,0.00382,0.03129
1403715279.160305500030518,0.01630,0.00032,0.00143,0.00627,0.00000,0.00342,0.02775
1403715279.210777997970581,0.02015,0.00036,0.00183,0.00638,0.00000,0.00385,0.03257
1403715279.260834455490112,0.01739,0.00030,0.00004,0.00693,0.00770,0.00218,0.03454
1403715279.311205863952637,0.01879,0.00033,0.00010,0.00677,0.00511,0.00224,0.03334
1403715279.362103939056396,0.02329,0.00038,0.00003,0.00729,0.00163,0.00276,0.03538
1403715279.412764072418213,0.02031,0.00037,0.00004,0.00871,0.01002,0.00200,0.04145
1403715279.462554216384888,0.01645,0.00037,0.00003,0.01300,0.00000,0.00304,0.03289
1403715279.512528896331787,0.01690,0.00041,0.01756,0.00469,0.00118,0.00245,0.04318
1403715279.562960147857666,0.01008,0.00026,0.00002,0.00646,0.00005,0.00243,0.01930
1403715279.613028287887573,0.02089,0.00041,0.00328,0.00764,0.00125,0.00246,0.03594
1403715279.663176536560059,0.02357,0.00041,0.00004,0.01138,0.00000,0.00241,0.03781
1403715279.713297605514526,0.02338,0.00042,0.00004,0.01185,0.00000,0.00309,0.03878
1403715279.763321399688721,0.02570,0.00040,0.00004,0.01250,0.00000,0.00251,0.04115
1403715279.813151121139526,0.01718,0.00041,0.00010,0.01321,0.00000,0.00301,0.03392
1403715279.863201618194580,0.01876,0.00040,0.00014,0.01265,0.00000,0.00234,0.03429
1403715279.913183450698853,0.01912,0.00042,0.00171,0.01286,0.00000,0.00275,0.03686
1403715279.963629484176636,0.02142,0.00038,0.00379,0.01085,0.00004,0.00230,0.03877
1403715280.014563560485840,0.01954,0.00043,0.00005,0.01312,0.00000,0.00351,0.03665
1403715280.064510345458984,0.02106,0.00042,0.00013,0.01113,0.00000,0.00224,0.03498
1403715280.114495515823364,0.02123,0.00034,0.01411,0.00493,0.00020,0.00241,0.04323
1403715280.164225578308105,0.01782,0.00030,0.00012,0.01130,0.00005,0.00264,0.03223
1403715280.214180231094360,0.01568,0.00022,0.00253,0.01114,0.00006,0.00253,0.03215
1403715280.264049530029297,0.02058,0.00041,0.00032,0.01204,0.00000,0.00226,0.03560
1403715280.314146518707275,0.02439,0.00044,0.00003,0.01147,0.00000,0.00243,0.03876
1403715280.364160060882568,0.01729,0.00039,0.00004,0.01088,0.00000,0.00223,0.03084
1403715280.414124727249146,0.02133,0.00016,0.00001,0.00776,0.00000,0.00306,0.03234
1403715280.463969469070435,0.02445,0.00036,0.00127,0.00904,0.00000,0.00218,0.03730
1403715280.513845443725586,0.01997,0.00041,0.00017,0.00999,0.00000,0.00225,0.03280
1403715280.563698291778564,0.01710,0.00041,0.00292,0.01059,0.00120,0.00265,0.03487
1403715280.613677501678467,0.02313,0.00039,0.00100,0.00782,0.00000,0.00220,0.03454
1403715280.663728713989258,0.00833,0.00020,0.00058,0.00482,0.00333,0.00224,0.01949
1403715280.713783740997314,0.00847,0.00019,0.01106,0.00492,0.00113,0.00217,0.02795
1403715280.763793230056763,0.02538,0.00044,0.00334,0.00858,0.00107,0.00217,0.04098
1403715280.813783168792725,0.01808,0.00038,0.00183,0.01209,0.00161,0.00240,0.03640
1403715280.863725185394287,0.01956,0.00042,0.00058,0.01044,0.00000,0.00235,0.03336
1403715280.913826704025269,0.02547,0.00041,0.00385,0.00846,0.00004,0.00232,0.04054
1403715280.963739633560181,0.02525,0.00041,0.00039,0.00916,0.00268,0.00222,0.04011
1403715281.013668298721313,0.02115,0.00037,0.00069,0.00797,0.00017,0.00232,0.03268
1403715281.063645839691162,0.01831,0.00041,0.00011,0.01201,0.00000,0.00341,0.03426
1403715281.113716840744019,0.00732,0.00033,0.00014,0.00397,0.00000,0.00262,0.01439
1403715281.163709878921509,0.01704,0.00024,0.00018,0.00554,0.00306,0.00206,0.02812
1403715281.213784456253052,0.03202,0.00038,0.00192,0.00782,0.00000,0.00263,0.04477
1403715281.263950347900391,0.01972,0.00040,0.00019,0.01153,0.00007,0.00293,0.03484
1403715281.314130067825317,0.02548,0.00044,0.01260,0.00395,0.00826,0.00225,0.05298
1403715281.364085197448730,0.01014,0.00017,0.00070,0.00687,0.00000,0.00320,0.02109
1403715281.414159297943115,0.02086,0.00050,0.00004,0.00995,0.00007,0.00343,0.03485
1403715281.464085578918457,0.02632,0.00038,0.01102,0.00220,0.00365,0.00222,0.04580
1403715281.514097213745117,0.01562,0.00038,0.00066,0.00652,0.00193,0.00355,0.02865
1403715281.564093828201294,0.02572,0.00051,0.00168,0.00505,0.00178,0.00277,0.03750
1403715281.614082574844360,0.01860,0.00048,0.00100,0.00747,0.00168,0.00249,0.03172
1403715281.664068937301636,0.02062,0.00044,0.00041,0.01005,0.00034,0.00216,0.03401
1403715281.714034795761108,0.02708,0.00043,0.00090,0.00964,0.00000,0.00305,0.04110
1403715281.763938426971436,0.03437,0.00043,0.00803,0.00386,0.00806,0.00240,0.05716
1403715281.813925743103027,0.01139,0.00023,0.00018,0.00486,0.00001,0.00208,0.01875
1403715281.863980770111084,0.01972,0.00046,0.00090,0.00995,0.00004,0.00257,0.03363
1403715281.913965702056885,0.02062,0.00063,0.00813,0.00699,0.00612,0.00257,0.04507
1403715281.964112997055054,0.01702,0.00029,0.00003,0.01244,0.00000,0.00250,0.03228
1403715282.014185667037964,0.02126,0.00048,0.00004,0.01164,0.00004,0.00225,0.03571
1403715282.064220666885376,0.02038,0.00046,0.01411,0.00553,0.00125,0.00213,0.04387
1403715282.114234447479248,0.01799,0.00043,0.00004,0.01319,0.00000,0.00288,0.03453
1403715282.164362192153931,0.01847,0.00047,0.00025,0.01183,0.00001,0.00273,0.03376
1403715282.214337110519409,0.02435,0.00041,0.00033,0.01062,0.00082,0.00249,0.03902
1403715282.264414548873901,0.01767,0.00038,0.00028,0.01274,0.00046,0.00252,0.03404
1403715282.314488172531128,0.01754,0.00042,0.01446,0.00499,0.00211,0.00226,0.04177
1403715282.364515781402588,0.01347,0.00036,0.01105,0.00682,0.00116,0.00248,0.03534
1403715282.414466381072998,0.02283,0.00032,0.00117,0.00755,0.00034,0.00229,0.03451
1403715282.464462518692017,0.01998,0.00043,0.00036,0.01230,0.00031,0.00248,0.03586
1403715282.514420270919800,0.01981,0.00043,0.00452,0.01036,0.00256,0.00201,0.03969
1403715282.564427614212036,0.01775,0.00037,0.00019,0.00907,0.00001,0.00224,0.02963
1403715282.614430904388428,0.01800,0.00042,0.00048,0.01057,0.00044,0.00233,0.03225
1403715282.664516687393188,0.01796,0.00048,0.00874,0.00539,0.00433,0.00241,0.03931
1403715282.714467048645020,0.01123,0.00018,0.00059,0.00527,0.00000,0.00220,0.01947
1403715282.764466762542725,0.02099,0.00040,0.00012,0.00880,0.00000,0.00227,0.03258
1403715282.814517498016357,0.02496,0.00041,0.00070,0.01120,0.00041,0.00238,0.04006
1403715282.864523649215698,0.02578,0.00042,0.00022,0.01000,0.00020,0.00260,0.03922
1403715282.914534330368042,0.01941,0.00042,0.01341,0.00515,0.00511,0.00236,0.04586
1403715282.964452266693115,0.01601,0.00034,0.01004,0.00625,0.00000,0.00238,0.03502
1403715283.014517307281494,0.01887,0.00042,0.00177,0.01106,0.00000,0.00252,0.03464
1403715283.064493179321289,0.02210,0.00038,0.00031,0.01154,0.00024,0.00275,0.03732
1403715283.114474296569824,0.01974,0.00042,0.00036,0.01118,0.00241,0.00234,0.03645
1403715283.164449214935303,0.02405,0.00041,0.00013,0.01088,0.00022,0.00266,0.03835
1403715283.214460849761963,0.02466,0.00032,0.00036,0.00776,0.00058,0.00241,0.03608
1403715283.264625072479248,0.01941,0.00020,0.01673,0.00517,0.00111,0.00210,0.04472
1403715283.314638614654541,0.01178,0.00031,0.00100,0.01110,0.00111,0.00272,0.02803
1403715283.364681959152222,0.02124,0.00048,0.00007,0.01288,0.00000,0.00261,0.03728
1403715283.414733171463013,0.02133,0.00043,0.00036,0.00964,0.00018,0.00240,0.03434
1403715283.464776754379272,0.02038,0.00042,0.00025,0.01040,0.00021,0.00240,0.03407
1403715283.514820337295532,0.02038,0.00048,0.01061,0.00493,0.00391,0.00232,0.04263
1403715283.564857959747314,0.01680,0.00033,0.00071,0.00698,0.00633,0.00231,0.03346
1403715283.614900350570679,0.02946,0.00036,0.00014,0.00846,0.00000,0.00226,0.04068
1403715283.664876937866211,0.02902,0.00043,0.00106,0.01022,0.00000,0.00250,0.04323
1403715283.714795589447021,0.02821,0.00046,0.00047,0.01170,0.00000,0.00260,0.04344
1403715283.764794826507568,0.02130,0.00044,0.00140,0.01221,0.00024,0.00252,0.03810
1403715283.814815282821655,0.02218,0.00044,0.00017,0.00979,0.00000,0.00219,0.03477
1403715283.864759445190430,0.02741,0.00041,0.01637,0.00508,0.00080,0.00234,0.05242
1403715283.914738893508911,0.01120,0.00025,0.00012,0.01059,0.00000,0.00274,0.02491
1403715283.964588880538940,0.02499,0.00046,0.00004,0.01178,0.00000,0.00264,0.03990
1403715284.014455080032349,0.02821,0.00048,0.00004,0.01149,0.00000,0.00281,0.04303
1403715284.064303874969482,0.02726,0.00043,0.00012,0.01058,0.00000,0.00262,0.04102
1403715284.114205121994019,0.00764,0.00020,0.00324,0.00566,0.00233,0.00233,0.02139
1403715284.164168596267700,0.02852,0.00053,0.01804,0.00592,0.00000,0.00240,0.05542
1403715284.214266300201416,0.00809,0.00021,0.00002,0.00788,0.00000,0.00305,0.01924
1403715284.264344692230225,0.02086,0.00042,0.00094,0.01168,0.00000,0.00230,0.03621
1403715284.314373016357422,0.01884,0.00053,0.00004,0.01062,0.00000,0.00234,0.03237
1403715284.364356994628906,0.00623,0.00040,0.00008,0.00559,0.00019,0.00286,0.01535
1403715284.414280652999878,0.02397,0.00042,0.00018,0.01222,0.00001,0.00267,0.03947
1403715284.464185714721680,0.02071,0.00031,0.01187,0.00497,0.00123,0.00248,0.04158
1403715284.514116048812866,0.02370,0.00043,0.00038,0.01071,0.00042,0.00282,0.03846
1403715284.564115285873413,0.00729,0.00018,0.00001,0.00586,0.00000,0.00239,0.01574
1403715284.614089012145996,0.01838,0.00034,0.00003,0.00898,0.00000,0.00217,0.02991
1403715284.664082765579224,0.01951,0.00017,0.00050,0.01317,0.00000,0.00241,0.03577
1403715284.713988065719604,0.02174,0.00049,0.00449,0.00726,0.00260,0.00217,0.03874
1403715284.764013051986694,0.00823,0.00021,0.01220,0.00508,0.00064,0.00238,0.02874
1403715284.813991785049438,0.01051,0.00020,0.00010,0.00557,0.00031,0.00227,0.01897
1403715284.863969802856445,0.02725,0.00052,0.00004,0.01166,0.00000,0.00258,0.04205
1403715284.913948059082031,0.01485,0.00028,0.00017,0.01271,0.00027,0.00259,0.03086
