# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.864630222320557,0,3,0,0,5
1403715278.912889480590820,32,35,0,32,6
1403715278.963063716888428,31,4,31,0,7
1403715279.011522293090820,29,0,29,0,8
1403715279.060582637786865,29,0,29,0,9
1403715279.109985113143921,29,1,29,0,10
1403715279.160305500030518,28,2,28,0,11
1403715279.210777997970581,28,1,28,0,11
1403715279.260834455490112,33,0,28,5,11
1403715279.311205863952637,37,0,33,4,11
1403715279.362103939056396,38,0,37,1,11
1403715279.412764072418213,47,0,38,9,11
1403715279.462554216384888,47,0,47,0,11
1403715279.512528896331787,48,26,47,1,11
1403715279.562960147857666,48,0,48,0,11
1403715279.613028287887573,49,1,48,1,11
1403715279.663176536560059,49,0,49,0,11
1403715279.713297605514526,49,0,49,0,11
1403715279.763321399688721,49,0,49,0,11
1403715279.813151121139526,49,0,49,0,11
1403715279.863201618194580,49,0,49,0,11
1403715279.913183450698853,49,1,49,0,11
1403715279.963629484176636,49,1,49,0,11
1403715280.014563560485840,49,0,48,0,11
1403715280.064510345458984,49,0,48,0,11
1403715280.114495515823364,49,19,48,1,11
1403715280.164225578308105,48,0,48,0,11
1403715280.214180231094360,48,1,48,0,11
1403715280.264049530029297,47,0,47,0,11
1403715280.314146518707275,47,0,47,0,11
1403715280.364160060882568,47,0,47,0,11
1403715280.414124727249146,47,0,47,0,11
1403715280.463969469070435,47,1,46,0,11
1403715280.513845443725586,46,0,45,0,11
1403715280.563698291778564,47,3,44,2,11
1403715280.613677501678467,46,1,45,0,11
1403715280.663728713989258,47,1,44,3,11
1403715280.713783740997314,47,21,45,1,11
1403715280.763793230056763,48,2,46,1,11
1403715280.813783168792725,46,1,44,1,11
1403715280.863725185394287,46,1,44,0,11
1403715280.913826704025269,45,2,43,0,11
1403715280.963739633560181,44,0,40,3,11
1403715281.013668298721313,41,0,40,1,11
1403715281.063645839691162,41,0,41,0,11
1403715281.113716840744019,41,0,41,0,11
1403715281.163709878921509,42,0,39,3,11
1403715281.213784456253052,42,1,42,0,11
1403715281.263950347900391,41,0,41,0,11
1403715281.314130067825317,48,13,40,8,11
1403715281.364085197448730,47,1,42,0,11
1403715281.414159297943115,47,0,36,0,11
1403715281.464085578918457,50,12,26,8,11
1403715281.514097213745117,50,0,23,6,11
1403715281.564093828201294,50,1,26,10,11
1403715281.614082574844360,50,0,35,11,11
1403715281.664068937301636,49,0,46,2,11
1403715281.714034795761108,42,0,40,0,11
1403715281.763938426971436,47,7,38,8,11
1403715281.813925743103027,45,0,43,0,11
1403715281.863980770111084,44,2,42,0,11
1403715281.913965702056885,49,3,42,7,11
1403715281.964112997055054,49,0,48,0,11
1403715282.014185667037964,49,0,48,0,11
1403715282.064220666885376,50,10,47,2,11
1403715282.114234447479248,50,0,46,0,11
1403715282.164362192153931,48,0,43,0,11
1403715282.214337110519409,48,0,43,3,11
1403715282.264414548873901,48,0,43,2,11
1403715282.314488172531128,49,18,45,2,11
1403715282.364515781402588,50,6,47,1,11
1403715282.414466381072998,49,1,44,2,11
1403715282.464462518692017,47,0,41,1,11
1403715282.514420270919800,48,3,43,3,11
1403715282.564427614212036,46,0,44,0,11
1403715282.614430904388428,43,0,42,1,11
1403715282.664516687393188,47,6,43,4,11
1403715282.714467048645020,46,1,44,0,11
1403715282.764466762542725,46,0,43,0,11
1403715282.814517498016357,46,1,43,2,11
1403715282.864523649215698,45,0,44,1,11
1403715282.914534330368042,50,11,45,5,11
1403715282.964452266693115,47,6,46,0,11
1403715283.014517307281494,47,2,44,0,11
1403715283.064493179321289,46,0,42,1,11
1403715283.114474296569824,48,0,40,4,11
1403715283.164449214935303,48,0,44,1,11
1403715283.214460849761963,48,0,44,3,11
1403715283.264625072479248,48,31,46,1,11
1403715283.314638614654541,48,1,44,2,11
1403715283.364681959152222,48,0,45,0,11
1403715283.414733171463013,47,0,45,1,11
1403715283.464776754379272,46,0,45,1,11
1403715283.514820337295532,44,7,40,4,11
1403715283.564857959747314,50,1,44,6,11
