# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863002300262451,0.00845,0.00034,0.00096,0.00000,0.00000,0.00360,0.01336
1403715278.909403562545776,0.01029,0.00035,0.00837,0.00000,0.00779,0.00137,0.02817
1403715278.959442853927612,0.00660,0.00029,0.00133,0.00589,0.00000,0.00234,0.01645
1403715279.010307788848877,0.00668,0.00035,0.00013,0.00657,0.00000,0.00316,0.01690
1403715279.060608386993408,0.00968,0.00033,0.00003,0.00606,0.00000,0.00238,0.01848
1403715279.111069202423096,0.00624,0.00032,0.00127,0.00617,0.00000,0.00274,0.01674
1403715279.161531686782837,0.00668,0.00033,0.00144,0.00617,0.00000,0.00235,0.01696
1403715279.211843252182007,0.00602,0.00032,0.00193,0.00653,0.00000,0.00313,0.01792
1403715279.261901378631592,0.00706,0.00031,0.00003,0.00620,0.00637,0.00145,0.02143
1403715279.311944961547852,0.00356,0.00017,0.00005,0.00309,0.00583,0.00175,0.01445
1403715279.364542245864868,0.00724,0.00039,0.00003,0.00813,0.00181,0.00165,0.01926
1403715279.416804075241089,0.00648,0.00043,0.00004,0.00813,0.00990,0.00168,0.02666
1403715279.467494487762451,0.00536,0.00019,0.00003,0.00971,0.00000,0.00229,0.01758
1403715279.519009351730347,0.00699,0.00042,0.01697,0.00471,0.00119,0.00171,0.03199
1403715279.569516181945801,0.00373,0.00021,0.00002,0.01049,0.00009,0.00195,0.01648
1403715279.620160341262817,0.00727,0.00041,0.00382,0.00984,0.00150,0.00173,0.02458
1403715279.671708583831787,0.00444,0.00019,0.00002,0.01282,0.00000,0.00166,0.01913
1403715279.722233057022095,0.00906,0.00045,0.00004,0.01083,0.00000,0.00192,0.02230
1403715279.772199869155884,0.00788,0.00041,0.00003,0.01052,0.00000,0.00143,0.02027
1403715279.822231531143188,0.00651,0.00040,0.00010,0.01336,0.00000,0.00202,0.02239
1403715279.872178554534912,0.00687,0.00038,0.00014,0.01053,0.00000,0.00162,0.01954
1403715279.921691894531250,0.00590,0.00041,0.00176,0.01059,0.00000,0.00188,0.02055
1403715279.971206188201904,0.00760,0.00041,0.00356,0.00835,0.00003,0.00149,0.02144
1403715280.021237373352051,0.00870,0.00035,0.00003,0.00882,0.00000,0.00203,0.01994
1403715280.071275949478149,0.00793,0.00039,0.00013,0.00960,0.00000,0.00152,0.01958
1403715280.121256589889526,0.00681,0.00042,0.01925,0.00478,0.00022,0.00142,0.03290
1403715280.170957326889038,0.00412,0.00027,0.00002,0.00623,0.00003,0.00134,0.01201
1403715280.220530271530151,0.00664,0.00047,0.00019,0.01274,0.00171,0.00182,0.02356
1403715280.269669532775879,0.00641,0.00045,0.00032,0.01133,0.00000,0.00157,0.02008
1403715280.319601058959961,0.00725,0.00046,0.00016,0.01242,0.00000,0.00197,0.02226
1403715280.369634628295898,0.00682,0.00040,0.00003,0.01271,0.00000,0.00185,0.02181
1403715280.419636487960815,0.00542,0.00020,0.00002,0.00672,0.00000,0.00216,0.01452
1403715280.469536542892456,0.00700,0.00040,0.00143,0.01146,0.00000,0.00164,0.02193
1403715280.519317865371704,0.00637,0.00040,0.00051,0.00973,0.00022,0.00209,0.01933
1403715280.569061994552612,0.00952,0.00046,0.00280,0.00911,0.00083,0.00166,0.02438
1403715280.618688583374023,0.00297,0.00019,0.00068,0.00484,0.00348,0.00174,0.01390
1403715280.668568849563599,0.00665,0.00050,0.00136,0.00993,0.00000,0.00152,0.01995
1403715280.718382358551025,0.00950,0.00040,0.01543,0.00521,0.00006,0.00177,0.03237
1403715280.768342494964600,0.00480,0.00023,0.00115,0.01008,0.00157,0.00178,0.01961
1403715280.818227291107178,0.00883,0.00042,0.00190,0.00752,0.00004,0.00134,0.02005
1403715280.868034839630127,0.00709,0.00040,0.00150,0.01021,0.00001,0.00192,0.02114
1403715280.918035507202148,0.00903,0.00039,0.00387,0.00810,0.00033,0.00173,0.02344
1403715280.967781782150269,0.00820,0.00040,0.00061,0.00942,0.00406,0.00168,0.02437
1403715281.017574310302734,0.00730,0.00041,0.00074,0.00718,0.00025,0.00249,0.01837
1403715281.067474842071533,0.01069,0.00041,0.00031,0.00603,0.00059,0.00236,0.02039
1403715281.117354393005371,0.00738,0.00042,0.00052,0.00636,0.00128,0.00275,0.01871
1403715281.167008876800537,0.00762,0.00035,0.00088,0.00752,0.00550,0.00145,0.02332
1403715281.216945886611938,0.00679,0.00035,0.00186,0.00654,0.00019,0.00204,0.01777
1403715281.267143487930298,0.00918,0.00045,0.00025,0.00962,0.00023,0.00204,0.02177
1403715281.317203521728516,0.01093,0.00035,0.01061,0.00335,0.00896,0.00189,0.03608
1403715281.367124080657959,0.00420,0.00016,0.00061,0.00417,0.00000,0.00145,0.01059
1403715281.417095422744751,0.00738,0.00039,0.00014,0.01157,0.00036,0.00246,0.02229
1403715281.466975688934326,0.00845,0.00047,0.01139,0.00420,0.00271,0.00154,0.02876
1403715281.516883373260498,0.00591,0.00031,0.00003,0.01324,0.00000,0.00210,0.02159
1403715281.566760778427124,0.00846,0.00046,0.00004,0.01195,0.00000,0.00177,0.02268
1403715281.616697549819946,0.00818,0.00051,0.00048,0.01216,0.00036,0.00217,0.02385
1403715281.666627168655396,0.00829,0.00041,0.00024,0.00914,0.00019,0.00174,0.02000
1403715281.716588258743286,0.01075,0.00034,0.00157,0.00594,0.00022,0.00210,0.02093
1403715281.766456604003906,0.00826,0.00040,0.00046,0.00772,0.00036,0.00187,0.01907
1403715281.816500663757324,0.01029,0.00031,0.00026,0.00655,0.00001,0.00217,0.01960
1403715281.866399765014648,0.00681,0.00043,0.01344,0.00368,0.01170,0.00140,0.03747
1403715281.916427135467529,0.00265,0.00016,0.00484,0.00479,0.00221,0.00147,0.01612
1403715281.966545104980469,0.00622,0.00038,0.00003,0.01381,0.00000,0.00174,0.02217
1403715282.016688108444214,0.00898,0.00049,0.00021,0.01160,0.00000,0.00197,0.02325
1403715282.066833972930908,0.00949,0.00046,0.01239,0.00560,0.00018,0.00149,0.02962
1403715282.116877079010010,0.00490,0.00032,0.00010,0.01324,0.00000,0.00191,0.02046
1403715282.166988134384155,0.00607,0.00039,0.00003,0.01308,0.00000,0.00181,0.02138
1403715282.216969251632690,0.00694,0.00044,0.00031,0.00970,0.00054,0.00194,0.01986
1403715282.267014026641846,0.00704,0.00039,0.00031,0.00958,0.00035,0.00162,0.01929
1403715282.317066192626953,0.01100,0.00033,0.00012,0.00777,0.00020,0.00158,0.02100
1403715282.367086410522461,0.00761,0.00034,0.00038,0.00809,0.00041,0.00154,0.01836
1403715282.417006969451904,0.00816,0.00042,0.00014,0.01121,0.00004,0.00202,0.02199
1403715282.466995477676392,0.00810,0.00041,0.01000,0.00500,0.00313,0.00168,0.02832
1403715282.516933679580688,0.00450,0.00022,0.00517,0.00417,0.00243,0.00166,0.01816
1403715282.566978693008423,0.00717,0.00043,0.00264,0.00923,0.00000,0.00169,0.02116
1403715282.616967201232910,0.00394,0.00019,0.00104,0.00555,0.00021,0.00201,0.01294
1403715282.667028903961182,0.00371,0.00019,0.00423,0.00558,0.00457,0.00152,0.01980
1403715282.717006206512451,0.01017,0.00052,0.00166,0.00946,0.00000,0.00154,0.02335
1403715282.767002344131470,0.00773,0.00040,0.00175,0.01319,0.00000,0.00161,0.02469
1403715282.817087888717651,0.00729,0.00052,0.00201,0.01103,0.00018,0.00161,0.02264
1403715282.867048501968384,0.00519,0.00018,0.02210,0.00526,0.00126,0.00151,0.03551
1403715282.916958808898926,0.00391,0.00020,0.00012,0.00873,0.00024,0.00184,0.01504
1403715282.967069149017334,0.00501,0.00018,0.00044,0.00970,0.00000,0.00177,0.01711
1403715283.017091035842896,0.00408,0.00016,0.00012,0.00845,0.00025,0.00205,0.01511
1403715283.067107200622559,0.00759,0.00045,0.00831,0.00672,0.00228,0.00150,0.02684
1403715283.117117881774902,0.00747,0.00029,0.00556,0.00637,0.00000,0.00159,0.02129
1403715283.167062520980835,0.00666,0.00046,0.00117,0.01389,0.00000,0.00164,0.02382
1403715283.217084169387817,0.00787,0.00043,0.00004,0.01266,0.00025,0.00171,0.02296
1403715283.267080545425415,0.00710,0.00042,0.01101,0.00651,0.00020,0.00145,0.02669
1403715283.317061901092529,0.00682,0.00047,0.00028,0.01296,0.00040,0.00168,0.02261
1403715283.366975545883179,0.00694,0.00048,0.00141,0.01354,0.00022,0.00160,0.02418
1403715283.416841268539429,0.00694,0.00046,0.00004,0.01395,0.00000,0.00174,0.02314
1403715283.466728925704956,0.00699,0.00047,0.01698,0.00478,0.00205,0.00138,0.03265
1403715283.516637086868286,0.00309,0.00020,0.00018,0.00479,0.00000,0.00169,0.00995
1403715283.566578626632690,0.01221,0.00031,0.00009,0.00748,0.00000,0.00161,0.02171
1403715283.616584300994873,0.00857,0.00043,0.00037,0.00769,0.00000,0.00173,0.01879
1403715283.666582345962524,0.00871,0.00039,0.00056,0.00805,0.00371,0.00146,0.02286
1403715283.716495037078857,0.00747,0.00039,0.00355,0.00653,0.00467,0.00194,0.02455
