# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.008857727050781,0.01038,0.00033,0.00130,0.00000,0.00000,0.00333,0.01534
1413393890.052974939346313,0.00891,0.00026,0.00591,0.00000,0.00537,0.00148,0.02193
1413393890.102765798568726,0.00870,0.00025,0.00013,0.00225,0.00000,0.00331,0.01464
1413393890.152996301651001,0.00686,0.00029,0.00010,0.00218,0.00000,0.00355,0.01299
1413393890.204369783401489,0.00730,0.00029,0.00075,0.00182,0.00000,0.00360,0.01375
1413393890.255329132080078,0.00732,0.00033,0.00112,0.00167,0.00002,0.00380,0.01425
1413393890.307226896286011,0.00683,0.00036,0.00186,0.00170,0.00048,0.00460,0.01583
1413393890.357722997665405,0.01089,0.00035,0.00012,0.00246,0.00000,0.00352,0.01735
1413393890.407659769058228,0.00785,0.00039,0.00032,0.00243,0.00212,0.00395,0.01706
1413393890.457195281982422,0.01004,0.00027,0.00094,0.00238,0.00105,0.00298,0.01766
1413393890.506755590438843,0.00742,0.00035,0.00119,0.00240,0.00000,0.00443,0.01580
1413393890.556315183639526,0.00950,0.00032,0.00228,0.00148,0.00703,0.00152,0.02214
1413393890.606869459152222,0.00784,0.00025,0.00017,0.00278,0.00673,0.00183,0.01959
1413393890.658290386199951,0.00977,0.00030,0.00431,0.00315,0.01387,0.00138,0.03277
1413393890.708104848861694,0.00373,0.00025,0.00002,0.00727,0.00618,0.00148,0.01893
1413393890.758167028427124,0.00632,0.00054,0.01169,0.00589,0.00000,0.00149,0.02592
1413393890.808113098144531,0.00706,0.00037,0.00003,0.00841,0.00000,0.00155,0.01741
1413393890.857999086380005,0.01009,0.00047,0.00821,0.00622,0.00000,0.00234,0.02733
1413393890.907809019088745,0.00776,0.00040,0.00332,0.01013,0.00000,0.00153,0.02313
1413393890.957629442214966,0.00707,0.00047,0.00583,0.00622,0.00000,0.00164,0.02124
1413393891.007677555084229,0.00792,0.00044,0.00334,0.00725,0.00000,0.00138,0.02032
1413393891.057665109634399,0.00785,0.00048,0.00826,0.00497,0.00001,0.00162,0.02320
1413393891.107863187789917,0.01062,0.00041,0.00013,0.00973,0.00116,0.00159,0.02364
1413393891.158033609390259,0.00961,0.00042,0.00926,0.00526,0.00000,0.00212,0.02667
1413393891.208161115646362,0.00532,0.00022,0.00510,0.00553,0.00022,0.00170,0.01809
1413393891.258398771286011,0.00832,0.00043,0.00767,0.00589,0.00035,0.00214,0.02480
1413393891.308886289596558,0.00812,0.00045,0.00053,0.00989,0.00026,0.00209,0.02135
1413393891.359251022338867,0.00772,0.00039,0.00741,0.00417,0.00294,0.00157,0.02421
1413393891.409181594848633,0.01020,0.00049,0.00330,0.00687,0.00000,0.00166,0.02252
1413393891.458985567092896,0.00748,0.00042,0.00145,0.00623,0.00386,0.00172,0.02116
1413393891.508684873580933,0.01108,0.00040,0.00078,0.00559,0.00040,0.00209,0.02034
1413393891.558099985122681,0.00384,0.00020,0.00092,0.00266,0.00158,0.00182,0.01103
1413393891.607697486877441,0.00280,0.00017,0.00021,0.00254,0.00043,0.00173,0.00787
1413393891.657344341278076,0.00688,0.00036,0.00027,0.00796,0.00587,0.00163,0.02297
1413393891.707182645797729,0.00745,0.00048,0.00010,0.00843,0.00000,0.00229,0.01876
1413393891.757044076919556,0.00641,0.00039,0.00022,0.00874,0.00435,0.00170,0.02182
1413393891.806877374649048,0.00625,0.00047,0.00004,0.01079,0.00501,0.00146,0.02402
1413393891.856794834136963,0.01027,0.00034,0.00013,0.00667,0.00364,0.00140,0.02246
1413393891.906613349914551,0.00709,0.00045,0.00009,0.01020,0.00000,0.00207,0.01991
1413393891.956478834152222,0.01011,0.00047,0.00805,0.00419,0.00123,0.00194,0.02598
1413393892.006396532058716,0.01185,0.00038,0.01046,0.00332,0.00106,0.00138,0.02845
1413393892.056431770324707,0.00884,0.00038,0.00016,0.00781,0.00286,0.00175,0.02181
1413393892.106510162353516,0.00738,0.00022,0.00154,0.00393,0.00507,0.00137,0.01950
1413393892.156551837921143,0.00582,0.00026,0.00036,0.00488,0.00194,0.00173,0.01500
1413393892.206466674804688,0.01063,0.00028,0.00058,0.00468,0.00127,0.00144,0.01888
1413393892.256340503692627,0.00856,0.00038,0.00066,0.00704,0.00005,0.00242,0.01911
1413393892.306302070617676,0.01227,0.00037,0.00131,0.00590,0.00000,0.00212,0.02197
1413393892.356333494186401,0.01101,0.00037,0.00209,0.00598,0.00071,0.00174,0.02189
1413393892.406359672546387,0.00818,0.00041,0.00238,0.00721,0.00032,0.00219,0.02070
1413393892.456374883651733,0.00821,0.00037,0.00050,0.00643,0.00000,0.00183,0.01734
1413393892.506399154663086,0.00912,0.00047,0.00142,0.00612,0.00000,0.00208,0.01921
1413393892.556398868560791,0.00766,0.00035,0.00150,0.00619,0.00705,0.00154,0.02429
1413393892.606354951858521,0.00743,0.00035,0.00160,0.00594,0.00344,0.00152,0.02029
1413393892.656339168548584,0.01125,0.00032,0.00184,0.00524,0.00517,0.00143,0.02524
1413393892.706322431564331,0.00976,0.00041,0.00256,0.00763,0.00336,0.00157,0.02528
1413393892.756300210952759,0.00694,0.00039,0.00336,0.00546,0.00083,0.00167,0.01865
1413393892.806295871734619,0.00839,0.00043,0.00081,0.00792,0.00644,0.00155,0.02554
1413393892.856266260147095,0.00714,0.00036,0.00163,0.00778,0.00657,0.00142,0.02490
1413393892.906273126602173,0.01066,0.00038,0.00083,0.00741,0.00028,0.00180,0.02136
1413393892.956284999847412,0.01083,0.00037,0.00479,0.00464,0.00232,0.00152,0.02446
1413393893.006292581558228,0.00744,0.00044,0.00071,0.00749,0.00002,0.00268,0.01877
1413393893.056308507919312,0.00972,0.00035,0.00129,0.00508,0.00294,0.00174,0.02112
1413393893.106330871582031,0.00743,0.00039,0.00145,0.00532,0.00003,0.00249,0.01711
1413393893.156383275985718,0.00724,0.00034,0.00131,0.00609,0.00126,0.00307,0.01932
1413393893.206372022628784,0.00600,0.00017,0.00061,0.00308,0.00664,0.00151,0.01801
1413393893.256372451782227,0.00925,0.00043,0.01103,0.00325,0.00675,0.00148,0.03220
1413393893.306404829025269,0.00455,0.00027,0.00016,0.00765,0.00385,0.00191,0.01839
1413393893.356409072875977,0.00659,0.00040,0.00015,0.00983,0.00171,0.00180,0.02048
1413393893.406412601470947,0.00718,0.00042,0.00195,0.00793,0.00180,0.00157,0.02085
1413393893.456441402435303,0.00715,0.00051,0.02117,0.00356,0.00145,0.00155,0.03539
1413393893.506453752517700,0.00349,0.00019,0.00098,0.00581,0.00187,0.00201,0.01435
1413393893.556459426879883,0.00692,0.00052,0.00985,0.00525,0.00115,0.00145,0.02514
1413393893.606471776962280,0.00641,0.00029,0.00147,0.00540,0.00085,0.00163,0.01605
1413393893.656467914581299,0.00383,0.00033,0.00240,0.00480,0.00158,0.00213,0.01506
1413393893.706453084945679,0.00307,0.00022,0.00048,0.00408,0.00079,0.00151,0.01015
1413393893.756448984146118,0.00681,0.00050,0.00104,0.00980,0.00188,0.00185,0.02187
1413393893.806406974792480,0.00690,0.00044,0.00327,0.00659,0.00136,0.00169,0.02025
1413393893.856375932693481,0.00773,0.00045,0.01068,0.00304,0.00098,0.00142,0.02430
1413393893.906364679336548,0.00720,0.00037,0.00524,0.00360,0.00032,0.00145,0.01818
1413393893.956358671188354,0.00801,0.00038,0.00173,0.00577,0.00022,0.00200,0.01811
1413393894.006381034851074,0.00809,0.00038,0.00384,0.00373,0.00180,0.00178,0.01962
1413393894.056457519531250,0.00782,0.00039,0.00421,0.00353,0.00843,0.00138,0.02575
1413393894.106487512588501,0.00844,0.00043,0.00299,0.00477,0.00032,0.00239,0.01933
1413393894.156562805175781,0.00818,0.00040,0.00134,0.00431,0.00489,0.00159,0.02072
1413393894.206610918045044,0.00704,0.00048,0.00240,0.00341,0.00023,0.00218,0.01573
1413393894.256636619567871,0.00762,0.00035,0.00073,0.00437,0.00049,0.00319,0.01676
