# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.009048223495483,0,7,0,0,5
1413393890.052407264709473,16,16,0,16,6
1413393890.102111577987671,16,0,16,0,7
1413393890.152195930480957,16,0,15,0,8
1413393890.203304767608643,16,1,13,0,9
1413393890.254790306091309,14,3,10,0,10
1413393890.306953430175781,14,1,10,2,11
1413393890.357784032821655,13,0,12,1,11
1413393890.407975912094116,14,1,13,1,11
1413393890.457556962966919,14,1,14,0,11
1413393890.506968259811401,14,1,13,0,11
1413393890.557705879211426,24,3,13,10,11
1413393890.608242511749268,29,0,21,8,11
1413393890.659305810928345,47,3,29,18,11
1413393890.709314823150635,50,0,46,3,11
1413393890.759389400482178,50,7,49,0,11
1413393890.809322118759155,49,2,49,0,11
1413393890.859260797500610,50,2,49,1,11
1413393890.909467458724976,50,1,50,0,11
1413393890.959502458572388,50,3,49,0,11
1413393891.009677886962891,50,1,49,0,11
1413393891.059825897216797,49,4,48,0,11
1413393891.109883308410645,50,0,48,1,11
1413393891.159863948822021,50,7,48,1,11
1413393891.210024356842041,50,5,47,0,11
1413393891.260135889053345,50,2,44,1,11
1413393891.310100793838501,49,0,45,1,11
1413393891.360043048858643,44,7,39,3,11
1413393891.409947395324707,43,2,38,1,11
1413393891.459775209426880,45,1,29,3,11
1413393891.509501934051514,38,1,17,1,11
1413393891.558913946151733,35,0,12,6,11
1413393891.608583211898804,28,0,16,5,11
1413393891.658169507980347,29,0,15,6,11
1413393891.707994222640991,27,0,19,0,11
1413393891.757865667343140,24,0,19,2,11
1413393891.807672023773193,24,0,19,3,11
1413393891.857480525970459,25,0,19,2,11
1413393891.907328605651855,24,1,18,0,11
1413393891.957020282745361,24,3,12,3,11
1413393892.006790399551392,23,14,16,3,11
1413393892.056755781173706,23,1,19,3,11
1413393892.106782913208008,29,0,20,8,11
1413393892.156727075576782,32,2,24,4,11
1413393892.206602096557617,36,1,25,7,11
1413393892.256535768508911,36,1,33,2,11
1413393892.306520223617554,37,5,34,2,11
1413393892.356517791748047,38,3,35,3,11
1413393892.406484365463257,40,3,36,4,11
1413393892.456463336944580,40,2,39,1,11
1413393892.506452560424805,36,0,36,0,11
1413393892.556453704833984,39,6,32,6,11
1413393892.606427431106567,42,4,37,4,11
1413393892.656404018402100,48,2,40,6,11
1413393892.706424951553345,45,7,42,1,11
1413393892.756432294845581,49,1,42,4,11
1413393892.806430816650391,44,1,41,0,11
1413393892.856386661529541,48,1,41,5,11
1413393892.906349658966064,46,5,42,0,11
1413393892.956334829330444,43,3,37,0,11
1413393893.006313562393188,36,0,30,0,11
1413393893.056306600570679,33,0,27,3,11
1413393893.106273889541626,29,1,28,0,11
1413393893.156225442886353,30,1,28,1,11
1413393893.206180095672607,29,0,27,0,11
1413393893.256098747253418,34,2,26,6,11
1413393893.306061267852783,37,1,31,4,11
1413393893.355953931808472,38,2,32,1,11
1413393893.405886888504028,38,0,34,2,11
1413393893.455848217010498,36,0,33,1,11
1413393893.505629777908325,49,12,32,14,11
1413393893.555599927902222,48,5,46,0,11
1413393893.605580091476440,47,0,44,2,11
1413393893.655523777008057,47,6,39,3,11
1413393893.705511569976807,45,2,41,1,11
1413393893.755512475967407,40,5,40,0,11
1413393893.805479049682617,39,2,36,1,11
1413393893.855420827865601,46,15,33,10,11
1413393893.905419826507568,45,2,40,1,11
1413393893.955428838729858,39,13,35,0,11
1413393894.005460977554321,34,7,28,0,11
1413393894.055512666702271,33,7,26,1,11
1413393894.105566024780273,31,1,24,3,11
1413393894.155619621276855,34,3,23,4,11
1413393894.205686569213867,29,2,21,0,11
1413393894.255768299102783,33,1,21,8,11
1413393894.305815696716309,32,5,26,3,11
1413393894.355852127075195,32,5,24,3,11
1413393894.405868530273438,29,2,25,1,11
1413393894.455906391143799,35,0,25,8,11
1413393894.505926609039307,35,2,32,2,11
1413393894.555946826934814,37,1,34,2,11
1413393894.605947256088257,41,4,36,5,11
1413393894.655938625335693,42,2,41,1,11
1413393894.705932855606079,46,5,42,4,11
1413393894.755937814712524,49,4,43,4,11
1413393894.805933713912964,50,4,46,1,11
1413393894.855938434600830,49,6,47,1,11
1413393894.905939817428589,48,2,47,1,11
1413393894.955951213836670,48,2,45,1,11
1413393895.005969762802124,48,1,46,0,11
1413393895.055997848510742,49,1,44,3,11
1413393895.105994701385498,49,0,45,1,11
1413393895.155963182449341,48,4,46,2,11
1413393895.205957889556885,46,1,46,0,11
1413393895.255959749221802,46,0,40,4,11
1413393895.305956840515137,46,3,42,2,11
1413393895.355958223342896,46,2,40,5,11
1413393895.405960798263550,44,3,41,2,11
1413393895.455956935882568,48,1,41,6,11
1413393895.505950450897217,47,2,45,1,11
1413393895.555958509445190,45,5,36,1,11
1413393895.605974674224854,48,2,36,4,11
1413393895.655990123748779,41,3,36,2,11
1413393895.705989122390747,40,2,32,3,11
1413393895.755993127822876,36,3,30,2,11
1413393895.806001663208008,37,4,28,4,11
1413393895.856014966964722,34,8,29,1,11
1413393895.906016826629639,31,5,23,3,11
1413393895.956017017364502,30,0,22,1,11
1413393896.006025552749634,29,2,21,5,11
1413393896.056026220321655,27,6,21,2,11
1413393896.106042146682739,27,1,23,3,11
1413393896.156045913696289,26,9,23,0,11
1413393896.206057071685791,26,1,22,0,11
1413393896.256082773208618,23,1,17,0,11
1413393896.306102037429810,22,1,16,1,11
1413393896.356119155883789,23,1,15,6,11
1413393896.406137704849243,22,0,16,0,11
1413393896.456181526184082,23,1,15,3,11
1413393896.506194353103638,22,2,15,4,11
1413393896.556202173233032,21,3,12,0,11
1413393896.606228828430176,27,8,12,10,11
1413393896.656219244003296,27,1,19,5,11
1413393896.706200361251831,27,0,21,0,11
1413393896.756199598312378,25,2,17,1,11
1413393896.806193351745605,26,2,17,4,11
1413393896.856200933456421,35,0,19,13,11
