# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.059281826019287,0.00791,0.00024,0.00169,0.00001,0.00000,0.00396,0.01382
1413393890.106870412826538,0.00885,0.00029,0.00536,0.00000,0.00643,0.00170,0.02263
1413393890.156970500946045,0.00765,0.00030,0.00009,0.00257,0.00000,0.00290,0.01350
1413393890.206721782684326,0.01101,0.00033,0.00090,0.00242,0.00000,0.00276,0.01744
1413393890.257146596908569,0.00807,0.00029,0.00045,0.00264,0.00001,0.00441,0.01587
1413393890.307899951934814,0.00811,0.00033,0.00121,0.00259,0.00000,0.00318,0.01542
1413393890.357849597930908,0.00770,0.00037,0.00088,0.00270,0.00032,0.00419,0.01615
1413393890.407918691635132,0.00883,0.00035,0.00182,0.00275,0.00000,0.00330,0.01705
1413393890.458275079727173,0.00736,0.00029,0.00096,0.00260,0.00405,0.00302,0.01829
1413393890.508395671844482,0.01069,0.00036,0.00080,0.00324,0.00054,0.00288,0.01853
1413393890.558400154113770,0.01007,0.00033,0.00107,0.00325,0.00984,0.00173,0.02628
1413393890.608472108840942,0.00809,0.00034,0.00056,0.00627,0.00957,0.00133,0.02617
1413393890.658444404602051,0.00730,0.00036,0.00028,0.00875,0.00337,0.00225,0.02232
1413393890.708775281906128,0.00810,0.00043,0.00913,0.00335,0.01022,0.00146,0.03269
1413393890.758648633956909,0.00387,0.00030,0.00739,0.00865,0.00019,0.00147,0.02187
1413393890.808650970458984,0.00812,0.00052,0.00016,0.00960,0.00128,0.00148,0.02116
1413393890.858674764633179,0.00759,0.00047,0.00899,0.00663,0.00000,0.00137,0.02505
1413393890.908468961715698,0.00687,0.00044,0.00195,0.01256,0.00000,0.00176,0.02358
1413393890.958318471908569,0.00712,0.00046,0.00748,0.00599,0.00000,0.00139,0.02244
1413393891.008335828781128,0.00751,0.00036,0.00042,0.01125,0.00001,0.00169,0.02124
1413393891.058459043502808,0.00296,0.00018,0.00319,0.00502,0.00121,0.00154,0.01410
1413393891.108620166778564,0.00992,0.00043,0.00140,0.00798,0.00000,0.00149,0.02122
1413393891.158705472946167,0.00699,0.00041,0.00686,0.00638,0.00001,0.00159,0.02223
1413393891.208816528320312,0.00744,0.00049,0.00332,0.00754,0.00018,0.00160,0.02058
1413393891.258860111236572,0.00649,0.00044,0.00012,0.01097,0.00092,0.00162,0.02057
1413393891.308336019515991,0.00843,0.00046,0.00883,0.00548,0.00113,0.00147,0.02580
1413393891.357707738876343,0.00722,0.00038,0.00852,0.00615,0.00000,0.00152,0.02379
1413393891.407474279403687,0.00910,0.00047,0.00575,0.00652,0.00000,0.00218,0.02403
1413393891.457460403442383,0.00908,0.00042,0.00168,0.00552,0.00326,0.00137,0.02134
1413393891.507350206375122,0.00848,0.00041,0.00293,0.00544,0.00139,0.00182,0.02047
1413393891.557058572769165,0.01085,0.00034,0.00051,0.00534,0.00264,0.00146,0.02115
1413393891.606896877288818,0.00751,0.00044,0.00019,0.00776,0.00150,0.00205,0.01945
1413393891.656534910202026,0.00823,0.00036,0.00029,0.00761,0.00529,0.00149,0.02327
1413393891.706438302993774,0.00928,0.00056,0.00014,0.00964,0.00000,0.00278,0.02240
1413393891.756355285644531,0.00955,0.00040,0.00115,0.00923,0.00337,0.00154,0.02524
1413393891.806316852569580,0.00701,0.00052,0.00041,0.01079,0.00199,0.00225,0.02297
1413393891.856293916702271,0.00996,0.00036,0.00031,0.00890,0.00039,0.00192,0.02184
1413393891.906182050704956,0.00922,0.00049,0.00225,0.00860,0.00315,0.00186,0.02556
1413393891.956102371215820,0.00930,0.00041,0.00475,0.00789,0.00283,0.00138,0.02656
1413393892.006056547164917,0.01047,0.00036,0.00877,0.00414,0.00199,0.00144,0.02717
1413393892.056091308593750,0.01012,0.00036,0.00098,0.00782,0.00356,0.00135,0.02418
1413393892.106240749359131,0.00530,0.00027,0.01196,0.00476,0.00121,0.00135,0.02485
1413393892.156288146972656,0.00436,0.00026,0.00045,0.00479,0.00187,0.00131,0.01304
1413393892.206259727478027,0.00887,0.00041,0.00133,0.00865,0.00021,0.00174,0.02121
1413393892.256141901016235,0.01175,0.00041,0.00109,0.00846,0.00000,0.00161,0.02332
1413393892.306018590927124,0.00906,0.00039,0.00191,0.00936,0.00000,0.00175,0.02248
1413393892.356029272079468,0.00695,0.00041,0.00313,0.00695,0.00133,0.00163,0.02040
1413393892.406082630157471,0.00864,0.00042,0.00202,0.00659,0.00061,0.00153,0.01980
1413393892.456137418746948,0.00850,0.00039,0.00194,0.00957,0.00004,0.00188,0.02232
1413393892.506242990493774,0.00797,0.00051,0.00112,0.00932,0.00545,0.00163,0.02601
1413393892.556262016296387,0.00698,0.00041,0.00486,0.00802,0.00021,0.00161,0.02209
1413393892.606258392333984,0.00687,0.00040,0.00307,0.00666,0.00253,0.00161,0.02114
1413393892.656231880187988,0.00954,0.00038,0.00044,0.00979,0.00494,0.00144,0.02654
1413393892.706186771392822,0.00980,0.00033,0.00646,0.00338,0.00344,0.00157,0.02498
1413393892.756166696548462,0.00774,0.00029,0.00252,0.00485,0.00102,0.00148,0.01791
1413393892.806151628494263,0.00685,0.00047,0.00081,0.00743,0.00490,0.00155,0.02200
1413393892.856120109558105,0.00930,0.00035,0.00034,0.00903,0.00189,0.00189,0.02279
1413393892.906111717224121,0.01128,0.00039,0.00544,0.00458,0.00020,0.00183,0.02371
1413393892.956108570098877,0.01127,0.00040,0.00103,0.00664,0.00386,0.00158,0.02478
1413393893.006098747253418,0.00882,0.00038,0.00645,0.00310,0.00469,0.00171,0.02516
1413393893.056099414825439,0.00814,0.00041,0.00237,0.00758,0.00038,0.00231,0.02119
1413393893.106102943420410,0.00331,0.00017,0.00128,0.00308,0.00002,0.00167,0.00953
1413393893.156126260757446,0.00457,0.00018,0.00042,0.00361,0.00058,0.00188,0.01123
1413393893.206098318099976,0.01040,0.00037,0.00145,0.00504,0.00659,0.00170,0.02555
1413393893.256059885025024,0.00780,0.00044,0.01358,0.00370,0.00175,0.00169,0.02897
1413393893.306047201156616,0.00686,0.00032,0.00309,0.00499,0.00318,0.00149,0.01993
1413393893.356003999710083,0.00977,0.00042,0.00618,0.00720,0.00000,0.00174,0.02532
1413393893.405982255935669,0.00718,0.00042,0.01518,0.00415,0.00001,0.00167,0.02861
1413393893.455986738204956,0.00275,0.00023,0.00194,0.00447,0.00201,0.00200,0.01341
1413393893.505985498428345,0.00704,0.00047,0.02018,0.00351,0.00018,0.00152,0.03290
1413393893.555980443954468,0.00571,0.00032,0.00025,0.00775,0.00292,0.00199,0.01894
1413393893.605996608734131,0.00790,0.00042,0.00674,0.00606,0.00421,0.00170,0.02704
1413393893.655979871749878,0.00912,0.00033,0.00141,0.00511,0.00152,0.00151,0.01900
1413393893.705977201461792,0.00653,0.00045,0.00195,0.00802,0.00036,0.00202,0.01934
1413393893.755977630615234,0.01123,0.00043,0.00103,0.00629,0.00094,0.00199,0.02192
1413393893.805958509445190,0.01023,0.00041,0.00380,0.00529,0.00062,0.00194,0.02228
1413393893.855940818786621,0.00584,0.00017,0.00748,0.00320,0.00338,0.00146,0.02153
1413393893.905938386917114,0.00801,0.00039,0.00577,0.00528,0.00046,0.00195,0.02185
1413393893.955940723419189,0.00920,0.00037,0.00383,0.00363,0.00024,0.00163,0.01890
1413393894.005970954895020,0.00703,0.00039,0.00370,0.00358,0.00473,0.00164,0.02106
1413393894.056026220321655,0.00761,0.00040,0.00161,0.00314,0.00179,0.00207,0.01664
1413393894.106041908264160,0.00794,0.00046,0.00210,0.00194,0.00466,0.00255,0.01966
1413393894.156051158905029,0.01175,0.00035,0.00071,0.00104,0.00048,0.00314,0.01748
1413393894.206063270568848,0.00768,0.00042,0.00118,0.00101,0.00091,0.00389,0.01508
1413393894.256070852279663,0.00765,0.00030,0.00179,0.00080,0.00027,0.00349,0.01430
1413393894.306226968765259,0.00684,0.00035,0.00065,0.00083,0.01443,0.00146,0.02456
1413393894.356255054473877,0.00820,0.00029,0.00233,0.00066,0.00185,0.00212,0.01545
1413393894.406257152557373,0.00781,0.00034,0.00079,0.00084,0.00077,0.00366,0.01422
1413393894.456341028213501,0.00846,0.00050,0.00083,0.00062,0.00910,0.00179,0.02131
1413393894.506378173828125,0.00621,0.00035,0.00206,0.00061,0.00720,0.00193,0.01836
1413393894.556385278701782,0.00736,0.00029,0.00142,0.00074,0.00252,0.00362,0.01596
1413393894.606437206268311,0.00937,0.00036,0.00099,0.00056,0.00801,0.00214,0.02143
1413393894.656437873840332,0.00742,0.00037,0.00112,0.00079,0.00171,0.00378,0.01519
1413393894.706439733505249,0.01050,0.00035,0.00167,0.00064,0.00284,0.00279,0.01879
1413393894.756471395492554,0.00739,0.00031,0.00140,0.00034,0.00769,0.00212,0.01926
1413393894.806502819061279,0.00744,0.00034,0.00079,0.00064,0.01254,0.00176,0.02351
1413393894.856503486633301,0.00978,0.00035,0.00122,0.00083,0.00182,0.00230,0.01631
1413393894.906502485275269,0.00736,0.00035,0.00208,0.00068,0.00262,0.00287,0.01596
1413393894.956496477127075,0.00774,0.00034,0.00242,0.00059,0.00270,0.00337,0.01717
1413393895.006489753723145,0.00896,0.00034,0.00061,0.00112,0.00349,0.00258,0.01710
1413393895.056480646133423,0.01002,0.00033,0.00103,0.00160,0.00575,0.00191,0.02064
1413393895.106477022171021,0.00759,0.00040,0.00042,0.00196,0.00329,0.00333,0.01700
1413393895.156482696533203,0.00820,0.00024,0.00071,0.00087,0.00026,0.00210,0.01239
1413393895.206468820571899,0.00383,0.00015,0.00089,0.00056,0.00261,0.00156,0.00960
1413393895.256463050842285,0.00265,0.00016,0.00076,0.00077,0.00159,0.00137,0.00730
1413393895.306447029113770,0.00796,0.00044,0.00231,0.00287,0.00780,0.00158,0.02295
1413393895.356441974639893,0.00768,0.00034,0.00327,0.00361,0.00638,0.00142,0.02270
1413393895.406440973281860,0.00781,0.00033,0.00203,0.00579,0.00215,0.00224,0.02035
1413393895.456448554992676,0.00688,0.00031,0.00183,0.00495,0.00806,0.00153,0.02356
1413393895.506448507308960,0.00687,0.00042,0.00060,0.00709,0.00356,0.00185,0.02040
1413393895.556463479995728,0.01004,0.00040,0.00457,0.00363,0.00672,0.00151,0.02687
1413393895.606477260589600,0.00755,0.00041,0.00048,0.00915,0.00106,0.00212,0.02077
1413393895.656501770019531,0.01011,0.00042,0.00335,0.00498,0.00509,0.00135,0.02529
1413393895.706538438796997,0.01033,0.00047,0.00449,0.00612,0.00000,0.00181,0.02323
1413393895.756576299667358,0.01052,0.00035,0.00254,0.00569,0.00040,0.00189,0.02139
1413393895.806597232818604,0.00834,0.00037,0.00143,0.00266,0.00436,0.00287,0.02004
1413393895.856619596481323,0.00863,0.00035,0.00444,0.00183,0.00282,0.00160,0.01966
1413393895.906630754470825,0.01029,0.00046,0.00380,0.00189,0.00343,0.00163,0.02150
1413393895.956632852554321,0.00980,0.00034,0.00084,0.00689,0.00189,0.00181,0.02158
1413393896.006634950637817,0.00899,0.00048,0.00104,0.00596,0.00056,0.00245,0.01949
1413393896.056638240814209,0.01016,0.00036,0.00114,0.00265,0.00029,0.00222,0.01682
1413393896.106654882431030,0.01100,0.00044,0.00111,0.00226,0.00051,0.00287,0.01819
1413393896.156659126281738,0.00874,0.00035,0.00283,0.00203,0.00096,0.00230,0.01722
1413393896.206656217575073,0.00711,0.00034,0.00115,0.00450,0.00001,0.00380,0.01691
1413393896.256671667098999,0.00841,0.00032,0.00089,0.00332,0.00045,0.00247,0.01587
1413393896.306683063507080,0.00984,0.00040,0.00110,0.00271,0.00111,0.00324,0.01840
1413393896.356687068939209,0.00782,0.00033,0.00087,0.00386,0.00109,0.00309,0.01707
1413393896.406697273254395,0.00966,0.00032,0.00087,0.00239,0.00032,0.00368,0.01724
1413393896.456740379333496,0.01164,0.00038,0.00076,0.00187,0.00606,0.00212,0.02285
1413393896.506759166717529,0.01129,0.00034,0.00131,0.00164,0.00288,0.00245,0.01991
1413393896.556767702102661,0.00944,0.00032,0.00080,0.00148,0.00068,0.00293,0.01565
1413393896.606783151626587,0.00748,0.00039,0.00252,0.00202,0.00516,0.00174,0.01933
1413393896.656786203384399,0.00712,0.00030,0.00039,0.00291,0.00080,0.00285,0.01438
1413393896.706781864166260,0.00681,0.00034,0.00166,0.00318,0.00277,0.00255,0.01732
1413393896.756779670715332,0.00663,0.00031,0.00075,0.00255,0.00129,0.00339,0.01492
1413393896.806769371032715,0.00684,0.00035,0.00067,0.00334,0.00119,0.00344,0.01583
1413393896.856778144836426,0.00693,0.00032,0.00017,0.00281,0.01147,0.00132,0.02302
1413393896.906773328781128,0.00786,0.00030,0.00029,0.00482,0.00073,0.00207,0.01608
1413393896.956763505935669,0.00669,0.00033,0.00104,0.00601,0.00057,0.00284,0.01748
1413393897.006748914718628,0.00914,0.00034,0.00012,0.00394,0.00017,0.00322,0.01694
1413393897.056737661361694,0.00746,0.00031,0.00027,0.00210,0.00434,0.00325,0.01774
1413393897.106693744659424,0.01148,0.00044,0.00140,0.00159,0.00665,0.00183,0.02339
1413393897.156695604324341,0.00869,0.00038,0.00265,0.00239,0.00399,0.00231,0.02041
1413393897.206751823425293,0.00411,0.00019,0.00094,0.00110,0.00914,0.00159,0.01707
1413393897.256768465042114,0.00799,0.00024,0.00079,0.00084,0.00130,0.00156,0.01272
1413393897.306792736053467,0.00258,0.00014,0.00029,0.00026,0.00193,0.00154,0.00674
1413393897.356802225112915,0.01114,0.00046,0.00247,0.00148,0.00282,0.00217,0.02054
1413393897.406804323196411,0.01165,0.00031,0.00089,0.00081,0.00144,0.00257,0.01767
1413393897.456806659698486,0.00716,0.00040,0.00092,0.00111,0.00257,0.00349,0.01565
1413393897.506831884384155,0.01116,0.00034,0.00083,0.00062,0.00400,0.00242,0.01937
1413393897.556821346282959,0.00834,0.00032,0.00053,0.00185,0.00049,0.00396,0.01548
1413393897.606813907623291,0.00792,0.00034,0.00103,0.00231,0.00133,0.00332,0.01626
1413393897.656813144683838,0.00826,0.00032,0.00125,0.00168,0.00452,0.00274,0.01877
1413393897.706803321838379,0.00707,0.00032,0.00094,0.00184,0.00126,0.00373,0.01517
1413393897.756802797317505,0.00650,0.00028,0.00055,0.00070,0.00285,0.00378,0.01466
1413393897.806795597076416,0.00748,0.00034,0.00179,0.00146,0.00348,0.00300,0.01756
1413393897.856765508651733,0.00730,0.00033,0.00028,0.00098,0.00486,0.00322,0.01696
1413393897.906748533248901,0.00860,0.00034,0.00007,0.00243,0.00344,0.00267,0.01755
1413393897.956716299057007,0.00752,0.00033,0.00080,0.00266,0.01184,0.00167,0.02481
1413393898.006715774536133,0.00705,0.00027,0.00085,0.00561,0.00743,0.00171,0.02292
1413393898.056751251220703,0.01000,0.00037,0.00256,0.00475,0.00476,0.00146,0.02390
1413393898.106792688369751,0.00795,0.00036,0.00058,0.00451,0.01138,0.00160,0.02639
1413393898.156850337982178,0.00706,0.00033,0.00125,0.00484,0.00029,0.00179,0.01556
1413393898.206882715225220,0.00907,0.00039,0.00704,0.00342,0.00337,0.00136,0.02464
1413393898.256892681121826,0.00899,0.00027,0.00176,0.00371,0.00195,0.00151,0.01820
1413393898.306914091110229,0.01407,0.00041,0.00228,0.00423,0.00205,0.00134,0.02437
1413393898.356929063796997,0.01015,0.00030,0.00145,0.00446,0.00498,0.00134,0.02268
1413393898.406899213790894,0.00831,0.00038,0.00106,0.00780,0.00099,0.00225,0.02080
1413393898.456889152526855,0.01140,0.00030,0.00341,0.00306,0.00128,0.00165,0.02110
1413393898.506909132003784,0.01136,0.00032,0.00129,0.00265,0.00000,0.00209,0.01771
1413393898.556996583938599,0.01216,0.00032,0.00023,0.00307,0.00211,0.00223,0.02013
1413393898.607081174850464,0.01001,0.00039,0.00377,0.00329,0.00000,0.00227,0.01974
1413393898.657120704650879,0.00985,0.00035,0.00036,0.00238,0.00070,0.00267,0.01632
1413393898.707157373428345,0.01004,0.00034,0.00332,0.00169,0.00059,0.00230,0.01829
1413393898.757178306579590,0.00912,0.00033,0.00150,0.00114,0.00136,0.00269,0.01614
1413393898.807193517684937,0.01086,0.00034,0.00177,0.00073,0.00141,0.00233,0.01745
1413393898.857189893722534,0.00974,0.00033,0.00046,0.00105,0.00100,0.00303,0.01560
1413393898.907175064086914,0.00907,0.00033,0.00144,0.00123,0.00029,0.00347,0.01583
1413393898.957156419754028,0.00993,0.00038,0.00033,0.00123,0.00080,0.00342,0.01609
1413393899.007134199142456,0.00460,0.00017,0.00036,0.00058,0.00027,0.00184,0.00781
1413393899.057065010070801,0.01286,0.00036,0.00020,0.00097,0.00261,0.00260,0.01960
1413393899.107030391693115,0.00752,0.00030,0.00112,0.00042,0.00182,0.00379,0.01497
1413393899.157015323638916,0.01336,0.00032,0.00109,0.00048,0.00046,0.00313,0.01884
1413393899.206895112991333,0.01103,0.00037,0.00206,0.00036,0.00368,0.00228,0.01979
1413393899.256597995758057,0.01254,0.00024,0.00215,0.00040,0.00834,0.00136,0.02503
1413393899.306575775146484,0.01941,0.00018,0.00404,0.00043,0.00154,0.00144,0.02705
1413393899.356579780578613,0.00579,0.00014,0.00025,0.00053,0.00005,0.00136,0.00811
1413393899.406551599502563,0.00996,0.00034,0.00388,0.00083,0.00259,0.00185,0.01945
1413393899.456532001495361,0.01113,0.00031,0.00039,0.00126,0.00200,0.00251,0.01760
1413393899.506545543670654,0.00973,0.00038,0.00392,0.00067,0.00000,0.00257,0.01727
1413393899.556553363800049,0.00755,0.00032,0.00137,0.00049,0.00159,0.00367,0.01499
1413393899.606542348861694,0.00923,0.00030,0.00129,0.00038,0.00000,0.00347,0.01467
1413393899.656540155410767,0.01299,0.00029,0.00055,0.00018,0.00023,0.00324,0.01748
1413393899.706556558609009,0.01192,0.00032,0.00078,0.00023,0.00432,0.00249,0.02007
1413393899.756564378738403,0.00828,0.00030,0.00056,0.00041,0.00203,0.00346,0.01504
1413393899.806633710861206,0.01313,0.00027,0.00145,0.00036,0.00503,0.00171,0.02196
1413393899.856647014617920,0.01625,0.00020,0.00355,0.00014,0.00172,0.00137,0.02323
1413393899.906637430191040,0.01890,0.00027,0.00045,0.00027,0.00206,0.00154,0.02348
1413393899.956635475158691,0.01402,0.00028,0.00212,0.00025,0.00017,0.00219,0.01903
1413393900.006745338439941,0.01170,0.00022,0.00179,0.00009,0.00352,0.00177,0.01909
1413393900.056741714477539,0.01727,0.00020,0.00059,0.00026,0.00003,0.00215,0.02051
1413393900.106744050979614,0.01128,0.00030,0.00166,0.00038,0.00002,0.00324,0.01687
1413393900.156745910644531,0.01282,0.00022,0.00090,0.00025,0.00046,0.00255,0.01721
1413393900.206747293472290,0.01242,0.00038,0.00117,0.00027,0.00000,0.00335,0.01758
1413393900.256748676300049,0.01208,0.00030,0.00150,0.00020,0.00000,0.00294,0.01702
1413393900.306784629821777,0.01245,0.00033,0.00075,0.00033,0.00216,0.00308,0.01911
1413393900.356794357299805,0.00992,0.00031,0.00145,0.00031,0.00089,0.00324,0.01612
1413393900.406786203384399,0.01105,0.00033,0.00457,0.00042,0.00053,0.00263,0.01953
1413393900.456790924072266,0.01257,0.00038,0.00400,0.00020,0.00193,0.00197,0.02105
1413393900.506802797317505,0.00916,0.00035,0.00578,0.00042,0.00934,0.00245,0.02749
1413393900.556810140609741,0.00508,0.00016,0.00208,0.00037,0.00210,0.00137,0.01116
1413393900.606831073760986,0.01216,0.00043,0.00517,0.00102,0.00463,0.00154,0.02495
1413393900.656835079193115,0.01363,0.00032,0.00355,0.00097,0.00067,0.00183,0.02097
1413393900.706830501556396,0.00987,0.00033,0.00170,0.00128,0.00005,0.00358,0.01682
1413393900.756809949874878,0.00846,0.00032,0.00033,0.00079,0.00834,0.00167,0.01991
1413393900.806780338287354,0.00828,0.00036,0.00209,0.00156,0.00062,0.00344,0.01634
1413393900.856748580932617,0.01160,0.00033,0.00168,0.00099,0.00088,0.00257,0.01805
1413393900.906725406646729,0.00907,0.00034,0.00033,0.00115,0.00029,0.00467,0.01584
1413393900.956688404083252,0.00780,0.00037,0.00160,0.00102,0.00653,0.00223,0.01955
1413393901.006666421890259,0.00773,0.00037,0.00301,0.00106,0.00353,0.00194,0.01764
1413393901.056635379791260,0.01102,0.00039,0.00682,0.00053,0.00507,0.00130,0.02514
1413393901.106609106063843,0.01051,0.00030,0.00309,0.00095,0.00130,0.00149,0.01764
1413393901.156601190567017,0.01084,0.00038,0.00089,0.00139,0.00029,0.00212,0.01591
1413393901.206587076187134,0.01092,0.00036,0.00246,0.00155,0.00133,0.00236,0.01898
1413393901.256584644317627,0.00934,0.00032,0.00082,0.00191,0.00051,0.00347,0.01637
1413393901.306577920913696,0.00879,0.00030,0.00076,0.00133,0.00550,0.00226,0.01893
1413393901.356577873229980,0.00875,0.00040,0.00357,0.00122,0.00000,0.00254,0.01649
1413393901.406585693359375,0.00447,0.00016,0.00035,0.00048,0.00058,0.00158,0.00762
1413393901.456604957580566,0.00353,0.00015,0.00058,0.00043,0.00144,0.00149,0.00762
1413393901.506615877151489,0.00800,0.00034,0.00656,0.00185,0.00000,0.00534,0.02209
1413393901.556633949279785,0.00357,0.00012,0.00032,0.00034,0.00075,0.00151,0.00661
1413393901.606639623641968,0.00796,0.00031,0.00169,0.00165,0.00570,0.00250,0.01982
1413393901.656650543212891,0.00778,0.00042,0.00293,0.00219,0.00633,0.00201,0.02165
1413393901.706648111343384,0.01136,0.00032,0.00244,0.00233,0.00491,0.00182,0.02317
1413393901.756651639938354,0.00863,0.00030,0.00591,0.00300,0.00648,0.00146,0.02579
1413393901.806629896163940,0.00319,0.00015,0.00250,0.00203,0.00947,0.00140,0.01875
1413393901.856627702713013,0.00924,0.00033,0.00613,0.00313,0.00106,0.00149,0.02138
1413393901.906631469726562,0.00828,0.00042,0.00167,0.00706,0.00078,0.00230,0.02051
1413393901.956639051437378,0.00926,0.00038,0.00150,0.00631,0.00033,0.00227,0.02004
1413393902.006645679473877,0.00792,0.00036,0.00106,0.00631,0.00071,0.00269,0.01905
1413393902.056649446487427,0.00628,0.00040,0.00110,0.00682,0.00608,0.00167,0.02235
1413393902.106652021408081,0.00664,0.00038,0.00113,0.00643,0.00661,0.00143,0.02261
1413393902.156655550003052,0.00929,0.00047,0.00219,0.00597,0.00236,0.00154,0.02183
1413393902.206652164459229,0.00801,0.00032,0.00186,0.00547,0.00102,0.00156,0.01825
1413393902.256655216217041,0.00943,0.00043,0.00490,0.00640,0.00263,0.00157,0.02536
1413393902.306659698486328,0.00882,0.00039,0.00227,0.00844,0.00150,0.00168,0.02310
1413393902.356664180755615,0.00875,0.00040,0.01234,0.00359,0.00329,0.00148,0.02985
1413393902.406663179397583,0.00638,0.00035,0.00550,0.00695,0.00076,0.00178,0.02172
1413393902.456664562225342,0.00859,0.00042,0.00124,0.00580,0.00009,0.00293,0.01906
1413393902.506665706634521,0.00845,0.00044,0.00216,0.00494,0.00152,0.00180,0.01932
1413393902.556677818298340,0.01142,0.00040,0.00211,0.00557,0.00514,0.00156,0.02621
1413393902.606683492660522,0.00787,0.00032,0.00080,0.00474,0.00000,0.00182,0.01555
1413393902.656683444976807,0.00749,0.00043,0.00411,0.00418,0.00000,0.00206,0.01827
1413393902.706683397293091,0.00756,0.00038,0.00200,0.00424,0.00200,0.00211,0.01828
1413393902.756680965423584,0.00786,0.00036,0.00370,0.00445,0.00347,0.00155,0.02138
1413393902.806680679321289,0.01278,0.00046,0.00496,0.00402,0.00055,0.00161,0.02439
1413393902.856673002243042,0.00857,0.00039,0.00327,0.00465,0.00332,0.00175,0.02195
1413393902.906668424606323,0.00545,0.00029,0.00286,0.00579,0.00029,0.00216,0.01685
1413393902.956662178039551,0.01022,0.00042,0.00335,0.00452,0.00890,0.00156,0.02896
1413393903.006653308868408,0.00908,0.00022,0.00144,0.00303,0.00213,0.00133,0.01724
1413393903.056650876998901,0.00932,0.00044,0.00224,0.00477,0.00170,0.00154,0.02000
1413393903.106650829315186,0.00847,0.00042,0.00121,0.00692,0.00088,0.00203,0.01993
1413393903.156659603118896,0.01045,0.00038,0.00145,0.00542,0.00040,0.00167,0.01976
1413393903.206660509109497,0.00880,0.00044,0.00129,0.00540,0.00187,0.00162,0.01941
1413393903.256654024124146,0.01121,0.00036,0.00247,0.00505,0.00000,0.00216,0.02125
1413393903.306645154953003,0.00821,0.00036,0.00119,0.00350,0.00002,0.00175,0.01503
1413393903.356637001037598,0.00739,0.00043,0.00205,0.00625,0.00278,0.00176,0.02067
1413393903.406629800796509,0.00846,0.00041,0.00095,0.00676,0.00607,0.00207,0.02472
1413393903.456619501113892,0.01035,0.00028,0.00302,0.00405,0.00430,0.00159,0.02360
1413393903.506612062454224,0.00371,0.00019,0.00038,0.00307,0.00108,0.00191,0.01034
1413393903.556611537933350,0.00693,0.00017,0.00070,0.00631,0.00382,0.00157,0.01950
1413393903.606610774993896,0.00859,0.00041,0.00429,0.00520,0.00033,0.00198,0.02080
1413393903.656610965728760,0.01071,0.00031,0.00281,0.00482,0.00116,0.00144,0.02126
1413393903.706611156463623,0.00906,0.00043,0.00239,0.00749,0.00258,0.00215,0.02410
1413393903.756611108779907,0.01154,0.00038,0.00173,0.00401,0.00226,0.00160,0.02153
1413393903.806617259979248,0.00759,0.00038,0.00245,0.00731,0.00990,0.00148,0.02911
1413393903.856618165969849,0.01017,0.00044,0.00724,0.00474,0.00262,0.00144,0.02665
1413393903.906626224517822,0.00677,0.00038,0.00099,0.01026,0.00197,0.00155,0.02193
1413393903.956634521484375,0.00726,0.00042,0.00903,0.00543,0.00063,0.00148,0.02425
