# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.059749364852905,0.02269,0.00024,0.00166,0.00001,0.00000,0.00502,0.02961
1413393890.104205369949341,0.02645,0.00028,0.00630,0.00001,0.00611,0.00260,0.04174
1413393890.154243946075439,0.01999,0.00030,0.00009,0.00234,0.00000,0.00401,0.02673
1413393890.204581499099731,0.02300,0.00033,0.00093,0.00250,0.00000,0.00474,0.03151
1413393890.254878520965576,0.02399,0.00031,0.00045,0.00256,0.00000,0.00493,0.03224
1413393890.305497169494629,0.02237,0.00033,0.00133,0.00258,0.00000,0.00529,0.03191
1413393890.355421543121338,0.02193,0.00034,0.00079,0.00250,0.00000,0.00505,0.03062
1413393890.405517101287842,0.02157,0.00035,0.00184,0.00247,0.00000,0.00539,0.03162
1413393890.456324815750122,0.02635,0.00028,0.00094,0.00214,0.00394,0.00345,0.03712
1413393890.506820678710938,0.02738,0.00044,0.00124,0.00457,0.00037,0.00399,0.03799
1413393890.557267427444458,0.02191,0.00032,0.00113,0.00332,0.01280,0.00231,0.04178
1413393890.607625484466553,0.00745,0.00024,0.00036,0.00305,0.01152,0.00253,0.02516
1413393890.658712863922119,0.00794,0.00014,0.00011,0.00254,0.00150,0.00249,0.01471
1413393890.709782361984253,0.02886,0.00048,0.01099,0.00350,0.01184,0.00205,0.05772
1413393890.759957790374756,0.00950,0.00017,0.00344,0.00651,0.00011,0.00230,0.02202
1413393890.809948921203613,0.02768,0.00048,0.00279,0.00808,0.00129,0.00224,0.04256
1413393890.859791755676270,0.02702,0.00047,0.00853,0.00633,0.00000,0.00295,0.04530
1413393890.909391880035400,0.02776,0.00035,0.00023,0.00748,0.00001,0.00232,0.03814
1413393890.959006786346436,0.02164,0.00049,0.00766,0.00788,0.00111,0.00256,0.04134
1413393891.008897781372070,0.02218,0.00040,0.00029,0.00940,0.00000,0.00216,0.03444
1413393891.058732748031616,0.02219,0.00044,0.00851,0.00575,0.00000,0.00199,0.03888
1413393891.108731508255005,0.02139,0.00036,0.00165,0.00833,0.00000,0.00221,0.03394
1413393891.158731698989868,0.01684,0.00030,0.00483,0.00537,0.00018,0.00225,0.02977
1413393891.208817481994629,0.01918,0.00052,0.00394,0.01142,0.00022,0.00215,0.03744
1413393891.258877992630005,0.02500,0.00042,0.00228,0.01104,0.00000,0.00250,0.04125
1413393891.309091091156006,0.01845,0.00045,0.00959,0.00531,0.00000,0.00215,0.03594
1413393891.358981370925903,0.02140,0.00040,0.00947,0.00622,0.00019,0.00207,0.03976
1413393891.408907413482666,0.02523,0.00040,0.00346,0.00560,0.00014,0.00202,0.03685
1413393891.458865880966187,0.02553,0.00043,0.00164,0.00865,0.00283,0.00239,0.04146
1413393891.508669137954712,0.02142,0.00042,0.00270,0.00808,0.00032,0.00281,0.03576
1413393891.558238983154297,0.02613,0.00043,0.00028,0.00649,0.00165,0.00258,0.03757
1413393891.607812404632568,0.01873,0.00042,0.00031,0.00795,0.00049,0.00285,0.03074
1413393891.657477378845215,0.02108,0.00035,0.00039,0.00427,0.00853,0.00217,0.03678
1413393891.707366943359375,0.02090,0.00065,0.00096,0.00391,0.00044,0.00549,0.03234
1413393891.757243394851685,0.02186,0.00039,0.00137,0.00288,0.00570,0.00315,0.03535
1413393891.807129144668579,0.01909,0.00047,0.00160,0.00688,0.00329,0.00290,0.03423
1413393891.857064247131348,0.02557,0.00037,0.00124,0.00651,0.00029,0.00309,0.03707
1413393891.906813859939575,0.01942,0.00046,0.00221,0.00550,0.00577,0.00272,0.03606
1413393891.956663370132446,0.02101,0.00039,0.00382,0.00176,0.00410,0.00246,0.03355
1413393892.006469011306763,0.02807,0.00037,0.00936,0.00092,0.00186,0.00194,0.04252
1413393892.056490659713745,0.02704,0.00035,0.00098,0.00213,0.00399,0.00335,0.03783
1413393892.106563329696655,0.02621,0.00032,0.00067,0.00368,0.00799,0.00242,0.04129
1413393892.156675100326538,0.01055,0.00018,0.00033,0.00232,0.00213,0.00215,0.01767
1413393892.206736326217651,0.03023,0.00035,0.00168,0.00392,0.00004,0.00325,0.03946
1413393892.256761789321899,0.02467,0.00033,0.00073,0.00536,0.00007,0.00442,0.03557
1413393892.306824207305908,0.02525,0.00034,0.00193,0.00511,0.00004,0.00346,0.03613
1413393892.356861114501953,0.01912,0.00033,0.00221,0.00463,0.00404,0.00259,0.03293
1413393892.406916141510010,0.02139,0.00039,0.00201,0.00638,0.00206,0.00332,0.03555
1413393892.456936836242676,0.02886,0.00028,0.00078,0.00480,0.00000,0.00297,0.03769
1413393892.507104396820068,0.02413,0.00043,0.00046,0.00558,0.00731,0.00221,0.04012
1413393892.557144165039062,0.01920,0.00035,0.00266,0.00390,0.00340,0.00233,0.03184
1413393892.607151269912720,0.02549,0.00037,0.00292,0.00622,0.00465,0.00218,0.04183
1413393892.657105684280396,0.02377,0.00050,0.00043,0.00622,0.00858,0.00269,0.04220
1413393892.707057952880859,0.00916,0.00016,0.00099,0.00264,0.00691,0.00246,0.02233
