# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.987318277359009,0,8,0,0,5
1403637150.036755084991455,15,14,0,15,6
1403637150.086406707763672,13,29,12,0,7
1403637150.136349201202393,10,1,8,0,8
1403637150.186404228210449,9,2,6,0,9
1403637150.236432313919067,5,10,5,0,10
1403637150.286446809768677,5,7,4,0,11
1403637150.336531877517700,3,4,3,0,11
1403637150.386538743972778,2,10,2,0,11
1403637150.436788082122803,1,7,1,0,11
1403637150.486697196960449,1,7,1,0,11
1403637150.536769390106201,0,5,0,0,11
1403637150.586838245391846,0,2,0,0,11
1403637150.637249231338501,12,7,0,12,11
1403637150.687317132949829,11,4,10,0,11
1403637150.737396240234375,10,0,9,0,11
1403637150.787371158599854,9,2,9,0,11
1403637150.837417840957642,10,2,9,1,11
1403637150.887588500976562,12,6,9,3,11
1403637150.937628746032715,12,1,11,0,11
1403637150.987830877304077,17,2,12,5,11
1403637151.037876605987549,18,2,16,1,11
1403637151.087860107421875,17,2,17,0,11
1403637151.137880563735962,20,2,17,3,11
1403637151.187987565994263,20,2,20,0,11
1403637151.238192319869995,26,3,20,6,11
1403637151.288264036178589,26,0,26,0,11
1403637151.338323593139648,26,1,25,1,11
1403637151.388300657272339,26,0,26,0,11
1403637151.438247680664062,26,5,26,0,11
1403637151.488285541534424,27,0,26,1,11
1403637151.538222551345825,29,0,27,2,11
1403637151.588172197341919,30,1,28,1,11
1403637151.638101339340210,30,1,29,0,11
1403637151.688021898269653,30,8,29,1,11
1403637151.738013744354248,30,0,28,0,11
1403637151.788053512573242,32,0,27,2,11
1403637151.838027000427246,30,0,29,0,11
1403637151.888087272644043,28,1,27,0,11
1403637151.938150644302368,35,1,26,7,11
1403637151.988166332244873,35,0,33,1,11
1403637152.038193225860596,36,2,34,2,11
1403637152.088196992874146,36,0,35,1,11
1403637152.138205528259277,37,0,35,2,11
1403637152.188195705413818,38,0,37,1,11
1403637152.238218307495117,38,1,37,1,11
1403637152.288219213485718,38,0,36,1,11
1403637152.338239192962646,38,0,37,0,11
1403637152.388284206390381,37,0,34,1,11
1403637152.438191652297974,37,0,34,1,11
1403637152.488226413726807,34,0,33,0,11
1403637152.538184404373169,34,0,33,0,11
1403637152.588130950927734,33,0,33,0,11
1403637152.638179063796997,34,1,32,2,11
1403637152.688248872756958,34,0,34,0,11
1403637152.738334178924561,34,0,34,0,11
1403637152.788427114486694,34,0,34,0,11
1403637152.838521957397461,34,0,34,0,11
1403637152.888594865798950,33,0,33,0,11
1403637152.938549757003784,36,0,32,4,11
1403637152.988480567932129,37,1,36,1,11
1403637153.038497686386108,37,3,35,1,11
1403637153.088408946990967,39,0,36,2,11
1403637153.138360261917114,38,0,36,1,11
1403637153.188325643539429,38,2,37,0,11
1403637153.238325834274292,37,0,35,0,11
1403637153.288315057754517,36,0,33,1,11
1403637153.338305234909058,34,0,34,0,11
1403637153.388289928436279,33,0,32,1,11
1403637153.438279151916504,33,0,33,0,11
1403637153.488302230834961,35,0,33,2,11
1403637153.538354873657227,38,2,35,3,11
1403637153.588341712951660,38,0,38,0,11
1403637153.638313531875610,38,0,38,0,11
1403637153.688275814056396,37,0,36,0,11
1403637153.738250494003296,38,0,35,1,11
1403637153.788207292556763,36,0,35,0,11
1403637153.838222026824951,36,0,35,1,11
1403637153.888225078582764,35,1,33,0,11
1403637153.938224792480469,36,1,32,1,11
1403637153.988268852233887,34,0,32,0,11
1403637154.038311243057251,33,0,32,0,11
1403637154.088432073593140,32,0,31,0,11
1403637154.138530254364014,35,1,31,3,11
1403637154.188595056533813,34,0,34,0,11
1403637154.238569974899292,34,0,33,0,11
1403637154.288523197174072,34,0,33,0,11
1403637154.338494062423706,32,0,31,0,11
1403637154.388441801071167,32,0,30,1,11
1403637154.438325405120850,31,0,30,0,11
1403637154.488278627395630,37,0,29,6,11
1403637154.538285017013550,35,1,32,0,11
1403637154.588275671005249,36,0,32,2,11
1403637154.638334751129150,34,0,31,1,11
1403637154.688351869583130,32,0,29,1,11
1403637154.738331317901611,33,0,24,4,11
1403637154.788338661193848,32,0,26,2,11
1403637154.838353157043457,28,2,25,0,11
1403637154.888365745544434,26,0,21,0,11
1403637154.938402652740479,23,0,20,0,11
1403637154.988435506820679,21,0,20,0,11
1403637155.038463354110718,19,0,19,0,11
1403637155.088481903076172,20,1,17,3,11
1403637155.138485193252563,20,0,18,0,11
1403637155.188473701477051,24,0,18,4,11
1403637155.238468170166016,23,2,22,1,11
1403637155.288478851318359,22,1,21,1,11
1403637155.338475942611694,26,0,21,4,11
1403637155.388478279113770,26,0,23,0,11
1403637155.438460350036621,30,0,22,6,11
1403637155.488443136215210,28,2,28,0,11
1403637155.538418531417847,28,0,28,0,11
1403637155.588386297225952,28,1,27,0,11
1403637155.638303518295288,34,0,27,6,11
1403637155.688274383544922,35,0,32,3,11
1403637155.738271951675415,35,0,35,0,11
1403637155.788222074508667,41,2,35,6,11
1403637155.838239431381226,42,0,38,2,11
1403637155.888205051422119,40,0,39,0,11
1403637155.938190698623657,39,0,37,0,11
1403637155.988201856613159,35,0,35,0,11
1403637156.038220167160034,35,1,33,0,11
1403637156.088228702545166,30,1,29,0,11
1403637156.138224601745605,29,1,27,0,11
1403637156.188220262527466,27,0,26,0,11
1403637156.238219022750854,24,0,24,0,11
1403637156.288208961486816,23,1,23,0,11
1403637156.338197708129883,23,0,22,0,11
1403637156.388192415237427,23,0,22,0,11
1403637156.438173055648804,21,1,21,0,11
1403637156.488161087036133,21,2,20,0,11
1403637156.538146018981934,20,1,20,0,11
1403637156.588135242462158,20,0,19,0,11
1403637156.638133049011230,17,0,16,0,11
1403637156.688133478164673,17,0,16,0,11
1403637156.738129615783691,15,0,15,0,11
1403637156.788079261779785,18,1,14,4,11
1403637156.838058471679688,19,0,18,1,11
1403637156.888034582138062,19,0,18,1,11
1403637156.938018798828125,19,0,18,0,11
1403637156.987974405288696,20,0,18,1,11
1403637157.037990570068359,19,1,19,0,11
1403637157.088001966476440,21,0,19,2,11
1403637157.138019561767578,23,0,19,3,11
1403637157.188017606735229,23,0,21,0,11
1403637157.238015651702881,23,0,21,1,11
1403637157.288010358810425,22,0,22,0,11
1403637157.338003158569336,23,0,22,1,11
1403637157.387990236282349,24,1,23,1,11
1403637157.437973499298096,28,0,24,4,11
1403637157.487966537475586,28,0,28,0,11
1403637157.537955522537231,29,0,28,1,11
1403637157.587953329086304,37,0,29,8,11
1403637157.637954235076904,37,0,37,0,11
1403637157.687956571578979,38,0,36,1,11
1403637157.737980365753174,43,6,37,5,11
1403637157.787988662719727,41,3,41,0,11
1403637157.837984561920166,41,0,39,2,11
1403637157.887975931167603,41,0,39,1,11
1403637157.937968015670776,42,0,40,1,11
1403637157.987980365753174,48,4,40,8,11
1403637158.037979841232300,45,4,42,2,11
1403637158.087992429733276,45,0,42,1,11
1403637158.138014316558838,46,0,43,1,11
1403637158.188019990921021,43,4,38,0,11
1403637158.238021612167358,41,0,37,0,11
1403637158.288015127182007,35,0,34,0,11
1403637158.338016510009766,48,2,33,13,11
1403637158.388003110885620,46,1,43,0,11
1403637158.438002824783325,48,0,42,4,11
1403637158.487992286682129,44,0,43,0,11
1403637158.537980556488037,44,0,43,0,11
1403637158.587985038757324,45,0,41,3,11
1403637158.637910366058350,46,6,43,3,11
1403637158.687904596328735,46,1,46,0,11
1403637158.737901449203491,45,2,41,1,11
1403637158.787899494171143,48,2,40,4,11
1403637158.837894439697266,44,5,39,2,11
1403637158.887888669967651,43,0,41,1,11
1403637158.937866926193237,44,0,42,2,11
1403637158.987845420837402,43,0,41,0,11
1403637159.037851572036743,42,1,40,0,11
1403637159.087864875793457,41,0,38,2,11
1403637159.137859582901001,48,0,39,8,11
1403637159.187854528427124,49,2,45,1,11
1403637159.237870216369629,47,5,43,1,11
1403637159.287878751754761,45,0,43,0,11
1403637159.337886810302734,49,1,41,5,11
1403637159.387894630432129,49,0,44,1,11
1403637159.437884569168091,48,8,44,1,11
1403637159.487895488739014,46,0,42,0,11
1403637159.537903308868408,45,1,41,0,11
1403637159.587921142578125,45,7,40,4,11
1403637159.637948513031006,41,3,40,0,11
1403637159.687946081161499,40,0,38,0,11
1403637159.737908124923706,38,1,35,1,11
1403637159.787886381149292,39,1,36,1,11
1403637159.837872266769409,46,2,35,9,11
1403637159.887851953506470,43,2,42,0,11
1403637159.937828779220581,45,0,38,3,11
1403637159.987816333770752,41,1,35,0,11
1403637160.037819862365723,43,0,34,6,11
1403637160.087824583053589,38,3,36,0,11
1403637160.137827873229980,41,2,34,6,11
1403637160.187839746475220,48,0,39,9,11
