# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00405,0.00012,0.00058,0.00000,0.00000,0.00125,0.00600
1403637150.036755084991455,0.00419,0.00010,0.00152,0.00000,0.00207,0.00117,0.00906
1403637150.086406707763672,0.00491,0.00013,0.00225,0.00026,0.00000,0.00118,0.00872
1403637150.136349201202393,0.00411,0.00012,0.00016,0.00018,0.00000,0.00127,0.00584
1403637150.186404228210449,0.00522,0.00012,0.00017,0.00014,0.00003,0.00125,0.00693
1403637150.236432313919067,0.00490,0.00013,0.00041,0.00009,0.00001,0.00121,0.00674
1403637150.286446809768677,0.00680,0.00014,0.00036,0.00009,0.00000,0.00125,0.00864
1403637150.336531877517700,0.00584,0.00014,0.00036,0.00007,0.00000,0.00133,0.00774
1403637150.386538743972778,0.00598,0.00013,0.00062,0.00006,0.00000,0.00133,0.00812
1403637150.436788082122803,0.00497,0.00013,0.00055,0.00004,0.00000,0.00136,0.00704
1403637150.486697196960449,0.00443,0.00013,0.00090,0.00004,0.00000,0.00142,0.00692
1403637150.536769390106201,0.00667,0.00022,0.00048,0.00000,0.00000,0.00189,0.00925
1403637150.586838245391846,0.00426,0.00013,0.00036,0.00000,0.00000,0.00139,0.00615
1403637150.637249231338501,0.00433,0.00012,0.00137,0.00000,0.00497,0.00131,0.01210
1403637150.687317132949829,0.00415,0.00013,0.00039,0.00030,0.00000,0.00126,0.00624
1403637150.737396240234375,0.00418,0.00013,0.00016,0.00027,0.00000,0.00130,0.00603
1403637150.787371158599854,0.00374,0.00014,0.00039,0.00024,0.00001,0.00131,0.00583
1403637150.837417840957642,0.00365,0.00013,0.00029,0.00025,0.00032,0.00134,0.00598
1403637150.887588500976562,0.00368,0.00013,0.00052,0.00024,0.00185,0.00131,0.00774
1403637150.937628746032715,0.00389,0.00013,0.00018,0.00033,0.00030,0.00132,0.00616
1403637150.987830877304077,0.00435,0.00015,0.00033,0.00036,0.00318,0.00137,0.00973
1403637151.037876605987549,0.00333,0.00014,0.00028,0.00060,0.00088,0.00132,0.00655
1403637151.087860107421875,0.00392,0.00015,0.00053,0.00076,0.00034,0.00143,0.00712
1403637151.137880563735962,0.00353,0.00014,0.00049,0.00075,0.00258,0.00134,0.00881
1403637151.187987565994263,0.00410,0.00018,0.00058,0.00103,0.00050,0.00158,0.00795
1403637151.238192319869995,0.00335,0.00014,0.00032,0.00094,0.00422,0.00139,0.01036
1403637151.288264036178589,0.00349,0.00015,0.00007,0.00169,0.00027,0.00133,0.00699
1403637151.338323593139648,0.00329,0.00015,0.00031,0.00159,0.00068,0.00130,0.00731
1403637151.388300657272339,0.00419,0.00016,0.00012,0.00167,0.00019,0.00131,0.00763
1403637151.438247680664062,0.00356,0.00015,0.00093,0.00165,0.00011,0.00130,0.00770
1403637151.488285541534424,0.00453,0.00014,0.00026,0.00168,0.00106,0.00132,0.00898
1403637151.538222551345825,0.00399,0.00015,0.00024,0.00176,0.00105,0.00143,0.00863
1403637151.588172197341919,0.00418,0.00017,0.00020,0.00177,0.00066,0.00133,0.00830
1403637151.638101339340210,0.00405,0.00016,0.00016,0.00189,0.00031,0.00139,0.00795
1403637151.688021898269653,0.00351,0.00016,0.00095,0.00180,0.00043,0.00138,0.00823
1403637151.738013744354248,0.00342,0.00016,0.00008,0.00170,0.00021,0.00144,0.00700
1403637151.788053512573242,0.00341,0.00015,0.00014,0.00167,0.00153,0.00144,0.00834
1403637151.838027000427246,0.00330,0.00017,0.00008,0.00183,0.00026,0.00137,0.00701
1403637151.888087272644043,0.00360,0.00016,0.00043,0.00165,0.00001,0.00138,0.00723
1403637151.938150644302368,0.00335,0.00015,0.00035,0.00163,0.00563,0.00142,0.01254
1403637151.988166332244873,0.00400,0.00017,0.00006,0.00231,0.00103,0.00145,0.00902
1403637152.038193225860596,0.00327,0.00015,0.00071,0.00215,0.00106,0.00207,0.00941
1403637152.088196992874146,0.00469,0.00018,0.00024,0.00229,0.00106,0.00193,0.01039
1403637152.138205528259277,0.00345,0.00016,0.00024,0.00232,0.00138,0.00135,0.00890
1403637152.188195705413818,0.00331,0.00017,0.00018,0.00265,0.00145,0.00138,0.00915
1403637152.238218307495117,0.00319,0.00018,0.00022,0.00243,0.00053,0.00135,0.00790
1403637152.288219213485718,0.00316,0.00016,0.00006,0.00241,0.00049,0.00136,0.00764
1403637152.338239192962646,0.00306,0.00017,0.00018,0.00251,0.00021,0.00135,0.00747
1403637152.388284206390381,0.00381,0.00019,0.00008,0.00219,0.00068,0.00130,0.00824
1403637152.438191652297974,0.00337,0.00017,0.00014,0.00227,0.00093,0.00177,0.00864
1403637152.488226413726807,0.00355,0.00017,0.00017,0.00226,0.00009,0.00137,0.00761
1403637152.538184404373169,0.00339,0.00016,0.00002,0.00222,0.00062,0.00162,0.00803
1403637152.588130950927734,0.00410,0.00018,0.00007,0.00242,0.00016,0.00157,0.00851
1403637152.638179063796997,0.00373,0.00018,0.00039,0.00233,0.00238,0.00175,0.01075
1403637152.688248872756958,0.00379,0.00016,0.00004,0.00237,0.00038,0.00139,0.00814
1403637152.738334178924561,0.00472,0.00017,0.00013,0.00236,0.00044,0.00157,0.00940
1403637152.788427114486694,0.00382,0.00017,0.00001,0.00236,0.00072,0.00137,0.00845
1403637152.838521957397461,0.00315,0.00016,0.00001,0.00231,0.00006,0.00139,0.00709
1403637152.888594865798950,0.00324,0.00016,0.00008,0.00237,0.00000,0.00140,0.00725
1403637152.938549757003784,0.00388,0.00016,0.00031,0.00222,0.00397,0.00135,0.01189
1403637152.988480567932129,0.00478,0.00018,0.00028,0.00283,0.00105,0.00147,0.01059
1403637153.038497686386108,0.00373,0.00017,0.00088,0.00269,0.00071,0.00139,0.00956
1403637153.088408946990967,0.00375,0.00017,0.00007,0.00288,0.00103,0.00142,0.00932
1403637153.138360261917114,0.00343,0.00017,0.00007,0.00274,0.00124,0.00140,0.00905
1403637153.188325643539429,0.00345,0.00016,0.00030,0.00300,0.00014,0.00148,0.00853
1403637153.238325834274292,0.00341,0.00016,0.00017,0.00272,0.00027,0.00136,0.00810
1403637153.288315057754517,0.00332,0.00018,0.00012,0.00268,0.00121,0.00146,0.00897
1403637153.338305234909058,0.00337,0.00016,0.00018,0.00268,0.00043,0.00140,0.00823
1403637153.388289928436279,0.00328,0.00017,0.00012,0.00244,0.00078,0.00150,0.00829
1403637153.438279151916504,0.00354,0.00016,0.00019,0.00261,0.00003,0.00138,0.00791
1403637153.488302230834961,0.00330,0.00016,0.00001,0.00267,0.00110,0.00144,0.00869
1403637153.538354873657227,0.00322,0.00016,0.00274,0.00257,0.00291,0.00141,0.01302
