# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00380,0.00012,0.00058,0.00000,0.00000,0.00127,0.00577
1403637150.036755084991455,0.00424,0.00011,0.00147,0.00000,0.00207,0.00116,0.00905
1403637150.086406707763672,0.00469,0.00013,0.00238,0.00028,0.00000,0.00119,0.00868
1403637150.136349201202393,0.00473,0.00012,0.00015,0.00018,0.00000,0.00126,0.00644
1403637150.186404228210449,0.00510,0.00013,0.00018,0.00014,0.00003,0.00127,0.00685
1403637150.236432313919067,0.00500,0.00013,0.00040,0.00010,0.00001,0.00123,0.00687
1403637150.286446809768677,0.00704,0.00014,0.00037,0.00009,0.00000,0.00125,0.00888
1403637150.336531877517700,0.00603,0.00013,0.00037,0.00007,0.00000,0.00127,0.00786
1403637150.386538743972778,0.00596,0.00012,0.00059,0.00005,0.00000,0.00130,0.00803
1403637150.436788082122803,0.00510,0.00014,0.00055,0.00004,0.00000,0.00127,0.00710
1403637150.486697196960449,0.00441,0.00012,0.00083,0.00004,0.00000,0.00130,0.00670
1403637150.536769390106201,0.00381,0.00012,0.00028,0.00000,0.00000,0.00129,0.00551
1403637150.586838245391846,0.00392,0.00012,0.00033,0.00000,0.00000,0.00134,0.00571
1403637150.637249231338501,0.00436,0.00012,0.00138,0.00000,0.00492,0.00130,0.01208
1403637150.687317132949829,0.00424,0.00014,0.00040,0.00031,0.00000,0.00135,0.00643
1403637150.737396240234375,0.00422,0.00014,0.00015,0.00027,0.00000,0.00133,0.00610
1403637150.787371158599854,0.00387,0.00014,0.00040,0.00024,0.00001,0.00143,0.00610
1403637150.837417840957642,0.00360,0.00013,0.00029,0.00024,0.00032,0.00136,0.00594
1403637150.887588500976562,0.00379,0.00014,0.00058,0.00026,0.00192,0.00133,0.00801
1403637150.937628746032715,0.00393,0.00014,0.00018,0.00032,0.00031,0.00143,0.00630
1403637150.987830877304077,0.00413,0.00014,0.00032,0.00035,0.00315,0.00139,0.00948
1403637151.037876605987549,0.00365,0.00016,0.00033,0.00064,0.00098,0.00149,0.00725
1403637151.087860107421875,0.00384,0.00015,0.00049,0.00070,0.00031,0.00130,0.00681
1403637151.137880563735962,0.00350,0.00018,0.00050,0.00073,0.00250,0.00129,0.00871
1403637151.187987565994263,0.00418,0.00014,0.00053,0.00102,0.00045,0.00139,0.00771
1403637151.238192319869995,0.00328,0.00014,0.00032,0.00095,0.00422,0.00135,0.01026
1403637151.288264036178589,0.00351,0.00015,0.00008,0.00167,0.00027,0.00132,0.00700
1403637151.338331222534180,0.00328,0.00014,0.00030,0.00158,0.00067,0.00128,0.00725
1403637151.388295888900757,0.00426,0.00016,0.00013,0.00167,0.00018,0.00133,0.00773
1403637151.438218355178833,0.00356,0.00015,0.00092,0.00165,0.00010,0.00136,0.00773
1403637151.488248825073242,0.00458,0.00015,0.00028,0.00165,0.00106,0.00144,0.00917
1403637151.538188695907593,0.00413,0.00016,0.00023,0.00180,0.00106,0.00136,0.00874
1403637151.588125705718994,0.00414,0.00016,0.00020,0.00177,0.00073,0.00136,0.00836
1403637151.638087272644043,0.00400,0.00016,0.00015,0.00186,0.00030,0.00136,0.00784
1403637151.688003540039062,0.00369,0.00017,0.00101,0.00189,0.00046,0.00150,0.00872
1403637151.737995147705078,0.00350,0.00016,0.00009,0.00182,0.00021,0.00145,0.00723
1403637151.788007736206055,0.00345,0.00015,0.00014,0.00167,0.00162,0.00140,0.00842
1403637151.838013410568237,0.00327,0.00015,0.00008,0.00179,0.00026,0.00133,0.00688
1403637151.888022422790527,0.00356,0.00016,0.00046,0.00172,0.00001,0.00144,0.00734
1403637151.938079118728638,0.00325,0.00015,0.00034,0.00163,0.00561,0.00144,0.01243
1403637151.988085031509399,0.00328,0.00016,0.00005,0.00222,0.00104,0.00137,0.00812
1403637152.038086175918579,0.00330,0.00016,0.00061,0.00228,0.00059,0.00131,0.00825
1403637152.088106155395508,0.00413,0.00016,0.00024,0.00230,0.00110,0.00139,0.00932
1403637152.138147592544556,0.00343,0.00016,0.00021,0.00235,0.00139,0.00141,0.00895
1403637152.188132286071777,0.00338,0.00016,0.00007,0.00256,0.00193,0.00138,0.00948
1403637152.238174200057983,0.00329,0.00017,0.00031,0.00262,0.00055,0.00139,0.00832
