# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00814,0.00014,0.00059,0.00000,0.00000,0.00200,0.01087
1403637150.036755084991455,0.00865,0.00011,0.00159,0.00000,0.00217,0.00196,0.01447
1403637150.086406707763672,0.00975,0.00013,0.00230,0.00028,0.00000,0.00183,0.01430
1403637150.136349201202393,0.00888,0.00013,0.00016,0.00018,0.00000,0.00204,0.01140
1403637150.186404228210449,0.01042,0.00014,0.00018,0.00015,0.00003,0.00197,0.01288
1403637150.236432313919067,0.00927,0.00013,0.00040,0.00010,0.00001,0.00207,0.01198
1403637150.286446809768677,0.01308,0.00014,0.00037,0.00009,0.00000,0.00218,0.01586
1403637150.336531877517700,0.01234,0.00015,0.00039,0.00008,0.00000,0.00228,0.01524
1403637150.386538743972778,0.01083,0.00013,0.00065,0.00005,0.00000,0.00202,0.01368
1403637150.436788082122803,0.01048,0.00013,0.00056,0.00004,0.00000,0.00240,0.01362
1403637150.486697196960449,0.00980,0.00014,0.00089,0.00004,0.00000,0.00219,0.01306
1403637150.536769390106201,0.01049,0.00013,0.00031,0.00000,0.00000,0.00224,0.01317
1403637150.586838245391846,0.00949,0.00013,0.00035,0.00000,0.00000,0.00226,0.01223
1403637150.637249231338501,0.00961,0.00013,0.00150,0.00000,0.00490,0.00217,0.01831
1403637150.687317132949829,0.00850,0.00014,0.00042,0.00032,0.00000,0.00215,0.01154
1403637150.737396240234375,0.00872,0.00014,0.00018,0.00029,0.00000,0.00237,0.01171
1403637150.787371158599854,0.00919,0.00015,0.00042,0.00026,0.00001,0.00226,0.01230
1403637150.837424993515015,0.00861,0.00014,0.00032,0.00027,0.00035,0.00227,0.01196
1403637150.887590169906616,0.01011,0.00014,0.00055,0.00024,0.00190,0.00223,0.01516
1403637150.937640428543091,0.01149,0.00014,0.00018,0.00042,0.00031,0.00226,0.01481
1403637150.987824440002441,0.01048,0.00016,0.00034,0.00036,0.00325,0.00239,0.01697
1403637151.037861585617065,0.00730,0.00015,0.00033,0.00063,0.00096,0.00211,0.01147
1403637151.087846755981445,0.01002,0.00016,0.00046,0.00079,0.00032,0.00219,0.01394
1403637151.137861728668213,0.00835,0.00030,0.00071,0.00108,0.00273,0.00229,0.01546
1403637151.187901258468628,0.00989,0.00015,0.00058,0.00110,0.00046,0.00244,0.01462
1403637151.238008260726929,0.00757,0.00016,0.00035,0.00112,0.00438,0.00225,0.01582
1403637151.288039207458496,0.00896,0.00016,0.00008,0.00173,0.00029,0.00237,0.01357
1403637151.338073730468750,0.00803,0.00015,0.00033,0.00161,0.00072,0.00209,0.01293
1403637151.388071060180664,0.01003,0.00017,0.00021,0.00181,0.00018,0.00227,0.01467
1403637151.438055515289307,0.00767,0.00016,0.00122,0.00166,0.00011,0.00208,0.01290
1403637151.488082170486450,0.01200,0.00016,0.00021,0.00172,0.00117,0.00235,0.01761
1403637151.538052797317505,0.01062,0.00015,0.00007,0.00176,0.00109,0.00229,0.01598
1403637151.588022708892822,0.01089,0.00015,0.00030,0.00185,0.00025,0.00226,0.01570
1403637151.638002872467041,0.00942,0.00017,0.00030,0.00187,0.00031,0.00227,0.01434
1403637151.687977552413940,0.00810,0.00017,0.00107,0.00179,0.00001,0.00226,0.01340
1403637151.737976789474487,0.00769,0.00018,0.00015,0.00174,0.00025,0.00236,0.01238
1403637151.788003444671631,0.00772,0.00016,0.00002,0.00173,0.00159,0.00231,0.01352
1403637151.838001251220703,0.00753,0.00017,0.00007,0.00189,0.00030,0.00227,0.01225
1403637151.888041257858276,0.00860,0.00016,0.00016,0.00171,0.00001,0.00233,0.01297
1403637151.938113212585449,0.00847,0.00016,0.00038,0.00170,0.00529,0.00244,0.01844
1403637151.988128185272217,0.00739,0.00017,0.00046,0.00209,0.00097,0.00233,0.01342
1403637152.038161754608154,0.00728,0.00018,0.00022,0.00219,0.00058,0.00217,0.01262
1403637152.088167190551758,0.00954,0.00017,0.00029,0.00214,0.00107,0.00239,0.01560
1403637152.138180255889893,0.00737,0.00017,0.00021,0.00215,0.00141,0.00217,0.01348
1403637152.188183546066284,0.00718,0.00019,0.00011,0.00239,0.00225,0.00217,0.01430
