# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863081693649292,0,3,0,0,5
1403715278.911648035049438,32,35,0,32,6
1403715278.961622953414917,31,4,31,0,7
1403715279.011556863784790,29,0,29,0,8
1403715279.061496734619141,29,0,29,0,9
1403715279.111364603042603,29,1,29,0,10
1403715279.161426067352295,28,2,28,0,11
1403715279.211374282836914,28,1,28,0,11
1403715279.261372566223145,33,0,28,5,11
1403715279.311329603195190,37,0,33,4,11
1403715279.361208677291870,38,0,37,1,11
1403715279.410988569259644,47,0,38,9,11
1403715279.460932016372681,47,0,47,0,11
1403715279.510709762573242,48,21,47,1,11
1403715279.560320377349854,48,0,48,0,11
1403715279.610207557678223,49,1,48,1,11
1403715279.660173416137695,49,0,49,0,11
1403715279.710187435150146,49,0,49,0,11
1403715279.760126590728760,49,0,49,0,11
1403715279.810199499130249,49,0,49,0,11
1403715279.860111951828003,49,0,49,0,11
1403715279.909745454788208,49,1,49,0,11
1403715279.959301233291626,49,1,49,0,11
1403715280.009522438049316,49,0,49,0,11
1403715280.059881210327148,49,0,48,0,11
1403715280.109912872314453,48,19,48,0,11
1403715280.160745859146118,48,0,48,0,11
1403715280.211723327636719,48,1,48,0,11
1403715280.262670516967773,47,0,47,0,11
1403715280.312739372253418,47,0,47,0,11
1403715280.362687110900879,47,0,47,0,11
1403715280.412528038024902,47,0,47,0,11
1403715280.462194919586182,47,1,47,0,11
1403715280.512059450149536,46,0,46,0,11
1403715280.561865091323853,47,3,45,1,11
1403715280.611809015274048,49,1,45,4,11
1403715280.661745309829712,49,1,48,0,11
1403715280.711741209030151,49,25,48,0,11
1403715280.761723041534424,48,1,47,1,11
1403715280.811742305755615,47,2,45,1,11
1403715280.861822366714478,47,0,45,0,11
1403715280.911929368972778,45,0,43,0,11
1403715280.962036132812500,42,1,41,0,11
1403715281.012088775634766,41,0,40,1,11
1403715281.062091827392578,41,1,41,0,11
1403715281.112091779708862,46,0,41,5,11
1403715281.162089824676514,44,1,44,0,11
1403715281.212028026580811,44,2,44,0,11
1403715281.262072563171387,44,0,43,1,11
1403715281.312237501144409,48,14,43,5,11
1403715281.362249851226807,48,6,47,1,11
1403715281.412340641021729,49,0,48,1,11
1403715281.462461233139038,48,0,48,0,11
1403715281.512448072433472,48,0,47,0,11
1403715281.562411308288574,49,6,46,1,11
1403715281.612430572509766,49,1,45,1,11
1403715281.662426710128784,49,0,43,1,11
1403715281.712393999099731,43,0,37,2,11
1403715281.762309789657593,38,1,37,0,11
1403715281.812335491180420,38,0,34,0,11
1403715281.862282276153564,40,2,32,6,11
1403715281.912234783172607,49,22,38,11,11
1403715281.962300300598145,49,5,49,0,11
1403715282.012304306030273,49,0,49,0,11
1403715282.062431335449219,49,0,47,0,11
1403715282.112451553344727,49,0,47,0,11
1403715282.162509441375732,50,4,47,2,11
1403715282.212526798248291,50,1,48,1,11
1403715282.262584686279297,49,0,48,1,11
1403715282.312556266784668,49,0,48,0,11
1403715282.362548112869263,49,0,48,0,11
1403715282.412533521652222,47,1,47,0,11
1403715282.462546348571777,48,0,44,2,11
1403715282.512567996978760,50,19,46,2,11
1403715282.562558174133301,48,5,46,0,11
1403715282.612528800964355,47,18,44,2,11
1403715282.662524938583374,47,0,46,1,11
1403715282.712541103363037,47,0,47,0,11
1403715282.762539863586426,48,1,46,2,11
1403715282.812552452087402,48,0,48,0,11
1403715282.862576246261597,47,0,47,0,11
1403715282.912567853927612,46,0,46,0,11
1403715282.962556838989258,46,0,45,0,11
1403715283.012468814849854,45,0,44,0,11
1403715283.062521457672119,45,1,43,1,11
1403715283.112523794174194,50,13,43,5,11
1403715283.162522077560425,49,6,47,0,11
1403715283.212501287460327,50,16,46,2,11
1403715283.262537717819214,48,2,47,0,11
1403715283.312529087066650,48,0,47,0,11
1403715283.362574338912964,48,1,47,1,11
1403715283.412609815597534,49,23,47,2,11
1403715283.462669849395752,46,0,46,0,11
1403715283.512701988220215,43,0,43,0,11
1403715283.562722206115723,43,1,43,0,11
1403715283.612760066986084,43,0,43,0,11
1403715283.662794589996338,42,1,42,0,11
1403715283.712828397750854,50,5,41,8,11
1403715283.762856006622314,50,5,49,0,11
1403715283.812900781631470,48,14,48,0,11
1403715283.862907648086548,48,0,48,0,11
1403715283.912896871566772,47,1,47,0,11
1403715283.962894916534424,47,0,47,0,11
1403715284.012950658798218,50,13,47,3,11
1403715284.062963962554932,50,0,50,0,11
1403715284.112967491149902,50,0,50,0,11
1403715284.162952899932861,50,0,50,0,11
1403715284.212941169738770,50,0,49,0,11
1403715284.262939453125000,50,0,49,0,11
1403715284.312925338745117,50,5,49,0,11
1403715284.362921953201294,50,6,48,1,11
1403715284.412907123565674,49,17,46,0,11
1403715284.462892770767212,49,0,46,2,11
1403715284.512867927551270,48,0,46,1,11
1403715284.562863588333130,48,1,48,0,11
1403715284.612816333770752,48,13,48,0,11
1403715284.662684679031372,48,1,48,0,11
1403715284.712697982788086,48,0,48,0,11
1403715284.762593507766724,48,0,46,0,11
1403715284.812596559524536,47,0,46,0,11
1403715284.862661600112915,49,20,46,3,11
1403715284.912683248519897,50,4,49,1,11
1403715284.962726354598999,50,5,50,0,11
1403715285.012728452682495,50,10,47,0,11
1403715285.062749624252319,48,0,47,0,11
1403715285.112744808197021,47,0,45,0,11
1403715285.162764787673950,45,0,44,0,11
1403715285.212769746780396,44,13,43,1,11
1403715285.262787103652954,44,0,44,0,11
1403715285.312807798385620,44,0,44,0,11
1403715285.362816572189331,44,0,44,0,11
1403715285.412800550460815,44,0,42,0,11
1403715285.462755203247070,49,8,43,5,11
1403715285.512729644775391,49,3,45,1,11
1403715285.562674760818481,48,4,44,1,11
1403715285.612617492675781,49,10,44,4,11
1403715285.662632703781128,48,0,47,1,11
1403715285.712686300277710,49,0,48,1,11
1403715285.762658834457397,47,0,47,0,11
1403715285.812688350677490,49,15,47,2,11
1403715285.862726449966431,48,0,48,0,11
1403715285.912735462188721,48,0,48,0,11
1403715285.962736368179321,48,0,47,0,11
1403715286.012722015380859,47,0,45,1,11
1403715286.062698602676392,49,13,46,3,11
1403715286.112697124481201,50,2,49,1,11
1403715286.162705421447754,49,4,49,0,11
1403715286.212710618972778,49,14,49,0,11
1403715286.262703657150269,45,0,45,0,11
1403715286.312689542770386,45,0,45,0,11
1403715286.362675905227661,44,0,44,0,11
1403715286.412655353546143,49,10,43,5,11
1403715286.462641716003418,48,0,47,0,11
1403715286.512620687484741,45,1,45,0,11
1403715286.562611818313599,44,0,44,0,11
1403715286.612589836120605,43,0,42,0,11
1403715286.662562131881714,42,7,36,3,11
1403715286.712536334991455,41,0,36,2,11
1403715286.762539148330688,40,0,33,5,11
1403715286.812512636184692,46,5,35,9,11
1403715286.862504005432129,44,0,41,0,11
1403715286.912484884262085,43,0,39,1,11
1403715286.962491273880005,40,0,37,1,11
