# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00895,0.00011,0.00034,0.00000,0.00000,0.00201,0.01141
1403715278.911641120910645,0.00870,0.00012,0.00337,0.00000,0.00656,0.00202,0.02078
1403715278.961362123489380,0.00815,0.00013,0.00048,0.00208,0.00000,0.00188,0.01273
1403715279.010837316513062,0.00816,0.00015,0.00007,0.00209,0.00000,0.00209,0.01255
1403715279.060688972473145,0.00887,0.00015,0.00003,0.00215,0.00000,0.00240,0.01361
1403715279.110451221466064,0.00738,0.00017,0.00040,0.00210,0.00000,0.00222,0.01227
1403715279.160466670989990,0.00726,0.00015,0.00047,0.00220,0.00000,0.00207,0.01215
1403715279.210530757904053,0.00826,0.00016,0.00058,0.00216,0.00000,0.00232,0.01348
1403715279.260519266128540,0.00919,0.00015,0.00001,0.00226,0.00439,0.00227,0.01828
1403715279.310681104660034,0.00923,0.00017,0.00005,0.00271,0.00367,0.00231,0.01814
1403715279.361369132995605,0.00795,0.00043,0.00002,0.00318,0.00110,0.00217,0.01485
1403715279.412048816680908,0.00987,0.00018,0.00002,0.00342,0.00871,0.00216,0.02435
1403715279.462469577789307,0.00834,0.00019,0.00002,0.00502,0.00000,0.00260,0.01616
1403715279.512767314910889,0.00862,0.00018,0.01045,0.00475,0.00112,0.00228,0.02741
1403715279.562800645828247,0.00760,0.00019,0.00001,0.00512,0.00005,0.00215,0.01512
1403715279.612900495529175,0.00743,0.00019,0.00114,0.00520,0.00112,0.00217,0.01726
1403715279.662912845611572,0.00821,0.00024,0.00002,0.00558,0.00000,0.00252,0.01657
1403715279.713044881820679,0.00860,0.00018,0.00002,0.00558,0.00000,0.00205,0.01642
1403715279.763013839721680,0.00800,0.00027,0.00002,0.00552,0.00000,0.00273,0.01654
1403715279.813022613525391,0.00849,0.00018,0.00004,0.00550,0.00000,0.00230,0.01652
1403715279.862902402877808,0.00825,0.00029,0.00006,0.00560,0.00000,0.00247,0.01667
1403715279.912870883941650,0.00739,0.00020,0.00054,0.00545,0.00000,0.00237,0.01595
1403715279.962579250335693,0.00750,0.00022,0.00125,0.00565,0.00003,0.00226,0.01691
1403715280.012492656707764,0.00679,0.00021,0.00001,0.00532,0.00000,0.00237,0.01470
1403715280.062484264373779,0.00730,0.00021,0.00005,0.00523,0.00000,0.00232,0.01511
1403715280.112384796142578,0.00722,0.00018,0.01013,0.00495,0.00004,0.00212,0.02464
1403715280.162480592727661,0.00681,0.00020,0.00001,0.00573,0.00003,0.00199,0.01478
1403715280.212567329406738,0.00750,0.00021,0.00007,0.00527,0.00114,0.00227,0.01645
1403715280.262753009796143,0.00764,0.00022,0.00015,0.00527,0.00000,0.00200,0.01528
1403715280.312791347503662,0.00756,0.00020,0.00007,0.00528,0.00000,0.00216,0.01526
1403715280.362787008285522,0.00694,0.00018,0.00001,0.00472,0.00000,0.00237,0.01422
