# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00307,0.00012,0.00034,0.00000,0.00000,0.00139,0.00492
1403715278.911609649658203,0.00360,0.00011,0.00332,0.00000,0.00653,0.00131,0.01487
1403715278.961583137512207,0.00260,0.00012,0.00047,0.00217,0.00000,0.00131,0.00668
1403715279.011537551879883,0.00258,0.00017,0.00006,0.00216,0.00000,0.00133,0.00631
1403715279.061485052108765,0.00378,0.00016,0.00004,0.00222,0.00000,0.00136,0.00755
1403715279.111373662948608,0.00265,0.00015,0.00041,0.00209,0.00000,0.00140,0.00671
1403715279.161424398422241,0.00250,0.00016,0.00046,0.00215,0.00000,0.00141,0.00669
1403715279.211446762084961,0.00259,0.00015,0.00057,0.00211,0.00000,0.00148,0.00690
1403715279.261480093002319,0.00273,0.00015,0.00001,0.00222,0.00430,0.00141,0.01083
1403715279.311606407165527,0.00298,0.00016,0.00004,0.00275,0.00374,0.00135,0.01102
1403715279.362252712249756,0.00281,0.00018,0.00001,0.00320,0.00114,0.00140,0.00875
1403715279.412814617156982,0.00330,0.00020,0.00002,0.00342,0.00894,0.00135,0.01722
1403715279.463187694549561,0.00261,0.00019,0.00001,0.00491,0.00000,0.00165,0.00938
1403715279.513473987579346,0.00260,0.00018,0.01028,0.00464,0.00113,0.00131,0.02014
1403715279.563451766967773,0.00307,0.00022,0.00002,0.00512,0.00005,0.00144,0.00990
1403715279.613506793975830,0.00296,0.00019,0.00113,0.00509,0.00113,0.00141,0.01191
1403715279.663528442382812,0.00255,0.00019,0.00002,0.00558,0.00000,0.00141,0.00975
1403715279.713580608367920,0.00254,0.00018,0.00001,0.00526,0.00000,0.00142,0.00941
1403715279.763454675674438,0.00259,0.00019,0.00001,0.00562,0.00000,0.00134,0.00976
1403715279.813460588455200,0.00305,0.00021,0.00005,0.00589,0.00000,0.00155,0.01074
1403715279.863266468048096,0.00270,0.00021,0.00006,0.00588,0.00000,0.00147,0.01032
1403715279.913137197494507,0.00251,0.00019,0.00056,0.00570,0.00000,0.00138,0.01035
1403715279.962476015090942,0.00252,0.00018,0.00121,0.00551,0.00003,0.00145,0.01090
1403715280.012114048004150,0.00315,0.00020,0.00002,0.00553,0.00000,0.00167,0.01058
1403715280.062100410461426,0.00282,0.00019,0.00005,0.00560,0.00000,0.00147,0.01013
1403715280.111868143081665,0.00319,0.00020,0.01033,0.00528,0.00004,0.00139,0.02044
1403715280.161971569061279,0.00260,0.00019,0.00002,0.00533,0.00004,0.00146,0.00964
1403715280.212124109268188,0.00244,0.00019,0.00108,0.00504,0.00006,0.00133,0.01014
1403715280.262399196624756,0.00228,0.00019,0.00013,0.00505,0.00000,0.00145,0.00910
1403715280.312422275543213,0.00234,0.00022,0.00002,0.00496,0.00001,0.00135,0.00888
1403715280.362395286560059,0.00222,0.00019,0.00002,0.00478,0.00000,0.00138,0.00859
1403715280.412340641021729,0.00256,0.00018,0.00002,0.00468,0.00000,0.00145,0.00888
1403715280.462226390838623,0.00232,0.00019,0.00052,0.00497,0.00018,0.00145,0.00963
1403715280.512168884277344,0.00224,0.00020,0.00005,0.00494,0.00000,0.00150,0.00893
1403715280.562056779861450,0.00224,0.00020,0.00086,0.00472,0.00078,0.00169,0.01048
1403715280.612012147903442,0.00280,0.00016,0.00044,0.00472,0.00318,0.00135,0.01266
1403715280.661969423294067,0.00244,0.00023,0.00051,0.00517,0.00000,0.00134,0.00969
1403715280.712010860443115,0.00264,0.00019,0.00955,0.00502,0.00005,0.00135,0.01880
