# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00261,0.00011,0.00035,0.00000,0.00000,0.00140,0.00447
1403715278.911641120910645,0.00264,0.00011,0.00336,0.00000,0.00668,0.00131,0.01409
1403715278.961362123489380,0.00240,0.00013,0.00050,0.00234,0.00000,0.00127,0.00665
1403715279.010837316513062,0.00236,0.00016,0.00006,0.00216,0.00000,0.00135,0.00610
1403715279.060612201690674,0.00390,0.00015,0.00004,0.00228,0.00000,0.00163,0.00799
1403715279.110395669937134,0.00348,0.00016,0.00044,0.00235,0.00000,0.00144,0.00787
1403715279.160429716110229,0.00255,0.00015,0.00049,0.00218,0.00000,0.00162,0.00699
1403715279.210485696792603,0.00317,0.00015,0.00058,0.00213,0.00000,0.00148,0.00751
1403715279.260493993759155,0.00257,0.00015,0.00002,0.00221,0.00425,0.00145,0.01064
1403715279.310571908950806,0.00349,0.00020,0.00005,0.00265,0.00361,0.00152,0.01151
1403715279.360988616943359,0.00253,0.00017,0.00001,0.00331,0.00115,0.00147,0.00865
1403715279.411342382431030,0.00323,0.00017,0.00002,0.00355,0.00874,0.00141,0.01712
1403715279.461596488952637,0.00247,0.00018,0.00002,0.00484,0.00000,0.00169,0.00920
1403715279.511739730834961,0.00257,0.00018,0.01066,0.00490,0.00112,0.00130,0.02074
1403715279.561439514160156,0.00295,0.00020,0.00001,0.00534,0.00005,0.00136,0.00992
1403715279.611469507217407,0.00242,0.00018,0.00118,0.00525,0.00112,0.00141,0.01156
1403715279.661297082901001,0.00295,0.00018,0.00001,0.00563,0.00000,0.00144,0.01022
1403715279.711200952529907,0.00304,0.00020,0.00002,0.00575,0.00000,0.00151,0.01052
1403715279.761214494705200,0.00288,0.00018,0.00002,0.00568,0.00002,0.00145,0.01022
1403715279.811177968978882,0.00249,0.00019,0.00005,0.00587,0.00000,0.00150,0.01009
1403715279.861258983612061,0.00245,0.00019,0.00006,0.00564,0.00000,0.00139,0.00972
1403715279.911258697509766,0.00244,0.00025,0.00059,0.00589,0.00000,0.00162,0.01078
1403715279.961108922958374,0.00241,0.00018,0.00124,0.00537,0.00003,0.00150,0.01072
1403715280.011267900466919,0.00304,0.00020,0.00001,0.00525,0.00000,0.00174,0.01026
1403715280.061337709426880,0.00341,0.00018,0.00005,0.00546,0.00000,0.00144,0.01055
1403715280.111372232437134,0.00311,0.00017,0.01001,0.00505,0.00004,0.00137,0.01974
1403715280.161598443984985,0.00215,0.00017,0.00001,0.00525,0.00003,0.00139,0.00901
1403715280.211806774139404,0.00319,0.00019,0.00007,0.00515,0.00112,0.00144,0.01116
1403715280.262115478515625,0.00264,0.00018,0.00013,0.00527,0.00000,0.00138,0.00961
1403715280.312152624130249,0.00251,0.00020,0.00005,0.00511,0.00000,0.00137,0.00925
1403715280.362112760543823,0.00313,0.00019,0.00001,0.00510,0.00000,0.00139,0.00983
1403715280.412039995193481,0.00342,0.00018,0.00001,0.00525,0.00000,0.00140,0.01026
1403715280.461834192276001,0.00257,0.00019,0.00046,0.00511,0.00000,0.00141,0.00975
1403715280.511707067489624,0.00310,0.00019,0.00006,0.00505,0.00000,0.00150,0.00989
