# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058613061904907,0.00273,0.00010,0.00055,0.00000,0.00000,0.00128,0.00466
1413393890.105171203613281,0.00276,0.00010,0.00179,0.00000,0.00297,0.00122,0.00883
1413393890.155127048492432,0.00245,0.00014,0.00003,0.00084,0.00000,0.00131,0.00478
1413393890.205116271972656,0.00257,0.00014,0.00029,0.00083,0.00000,0.00132,0.00516
1413393890.255334377288818,0.00254,0.00013,0.00016,0.00086,0.00000,0.00128,0.00497
1413393890.305739402770996,0.00230,0.00015,0.00036,0.00084,0.00000,0.00130,0.00495
1413393890.355933189392090,0.00221,0.00015,0.00004,0.00093,0.00000,0.00132,0.00464
1413393890.406014680862427,0.00263,0.00016,0.00056,0.00082,0.00000,0.00143,0.00560
1413393890.455225706100464,0.00249,0.00013,0.00055,0.00082,0.00148,0.00138,0.00684
1413393890.505000829696655,0.00225,0.00014,0.00025,0.00099,0.00021,0.00140,0.00524
1413393890.554469823837280,0.00255,0.00013,0.00034,0.00116,0.00701,0.00139,0.01258
1413393890.604632854461670,0.00260,0.00016,0.00021,0.00199,0.00641,0.00143,0.01280
1413393890.655718803405762,0.00265,0.00016,0.00011,0.00260,0.00141,0.00154,0.00847
1413393890.706717491149902,0.00234,0.00020,0.00378,0.00263,0.00979,0.00131,0.02006
1413393890.756934404373169,0.00221,0.00022,0.00163,0.00428,0.00122,0.00137,0.01094
1413393890.806930065155029,0.00231,0.00020,0.00004,0.00477,0.00111,0.00140,0.00983
1413393890.856878280639648,0.00238,0.00019,0.00307,0.00489,0.00000,0.00141,0.01193
1413393890.906728029251099,0.00268,0.00018,0.00009,0.00524,0.00000,0.00132,0.00952
1413393890.956705808639526,0.00258,0.00020,0.00368,0.00619,0.00000,0.00139,0.01404
1413393891.006734371185303,0.00260,0.00021,0.00014,0.00529,0.00000,0.00143,0.00968
1413393891.056781530380249,0.00267,0.00021,0.00358,0.00475,0.00000,0.00136,0.01258
1413393891.106909036636353,0.00254,0.00017,0.00059,0.00463,0.00000,0.00144,0.00937
1413393891.156988143920898,0.00251,0.00019,0.00270,0.00452,0.00001,0.00145,0.01139
1413393891.207090854644775,0.00248,0.00020,0.00162,0.00447,0.00019,0.00157,0.01053
1413393891.257134199142456,0.00251,0.00020,0.00005,0.00469,0.00092,0.00146,0.00984
1413393891.307432889938354,0.00243,0.00020,0.00454,0.00455,0.00000,0.00144,0.01316
1413393891.357731103897095,0.00267,0.00018,0.00216,0.00351,0.00016,0.00130,0.00999
1413393891.407775640487671,0.00303,0.00019,0.00148,0.00316,0.00000,0.00134,0.00920
1413393891.457708835601807,0.00316,0.00019,0.00055,0.00317,0.00199,0.00126,0.01032
1413393891.507528543472290,0.00256,0.00018,0.00118,0.00285,0.00030,0.00128,0.00834
1413393891.557203769683838,0.00308,0.00017,0.00015,0.00309,0.00197,0.00130,0.00976
1413393891.606804370880127,0.00245,0.00017,0.00012,0.00328,0.00104,0.00131,0.00838
1413393891.656386137008667,0.00261,0.00017,0.00009,0.00262,0.00478,0.00130,0.01158
1413393891.706237792968750,0.00244,0.00019,0.00004,0.00283,0.00000,0.00133,0.00684
1413393891.756055116653442,0.00267,0.00018,0.00034,0.00219,0.00300,0.00145,0.00983
1413393891.805922746658325,0.00215,0.00019,0.00022,0.00266,0.00145,0.00141,0.00809
1413393891.855855941772461,0.00269,0.00017,0.00015,0.00273,0.00037,0.00134,0.00746
1413393891.905696153640747,0.00260,0.00018,0.00127,0.00288,0.00393,0.00131,0.01217
1413393891.955556154251099,0.00279,0.00018,0.00138,0.00361,0.00239,0.00129,0.01166
1413393892.005497694015503,0.00406,0.00018,0.00496,0.00326,0.00112,0.00130,0.01488
1413393892.055557727813721,0.00274,0.00017,0.00007,0.00352,0.00106,0.00128,0.00884
1413393892.105735778808594,0.00310,0.00016,0.00177,0.00327,0.00487,0.00136,0.01454
1413393892.155881643295288,0.00330,0.00018,0.00027,0.00395,0.00204,0.00142,0.01117
1413393892.205906867980957,0.00304,0.00018,0.00014,0.00393,0.00002,0.00149,0.00880
1413393892.255838632583618,0.00321,0.00018,0.00040,0.00390,0.00002,0.00154,0.00925
1413393892.305872917175293,0.00365,0.00018,0.00135,0.00327,0.00000,0.00152,0.00997
1413393892.355890512466431,0.00327,0.00018,0.00098,0.00340,0.00056,0.00148,0.00988
1413393892.405864953994751,0.00335,0.00022,0.00100,0.00326,0.00011,0.00145,0.00940
1413393892.455826044082642,0.00448,0.00014,0.00036,0.00310,0.00000,0.00158,0.00966
1413393892.505793094635010,0.00276,0.00018,0.00041,0.00307,0.00019,0.00144,0.00804
1413393892.555801391601562,0.00345,0.00018,0.00120,0.00272,0.00364,0.00151,0.01269
1413393892.605805635452271,0.00340,0.00017,0.00148,0.00305,0.00250,0.00144,0.01205
1413393892.655818223953247,0.00351,0.00018,0.00083,0.00336,0.00525,0.00147,0.01459
1413393892.705821275711060,0.00279,0.00020,0.00285,0.00391,0.00304,0.00139,0.01418
1413393892.755828142166138,0.00284,0.00020,0.00035,0.00394,0.00102,0.00144,0.00979
1413393892.805819988250732,0.00414,0.00020,0.00152,0.00355,0.00401,0.00142,0.01484
1413393892.855817794799805,0.00348,0.00019,0.00352,0.00379,0.00009,0.00150,0.01257
1413393892.905808687210083,0.00287,0.00018,0.00072,0.00356,0.00002,0.00152,0.00888
1413393892.955808639526367,0.00331,0.00019,0.00078,0.00314,0.00220,0.00152,0.01114
1413393893.005819082260132,0.00302,0.00032,0.00348,0.00327,0.00325,0.00153,0.01488
1413393893.055841207504272,0.00428,0.00026,0.00054,0.00332,0.00000,0.00153,0.00992
1413393893.105860233306885,0.00281,0.00019,0.00161,0.00283,0.00017,0.00147,0.00907
1413393893.155878305435181,0.00257,0.00018,0.00061,0.00287,0.00253,0.00144,0.01020
1413393893.205832719802856,0.00271,0.00017,0.00472,0.00320,0.00544,0.00151,0.01776
1413393893.255836248397827,0.00275,0.00022,0.00045,0.00467,0.00000,0.00150,0.00959
