# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058685302734375,0.00753,0.00009,0.00056,0.00000,0.00000,0.00194,0.01013
1413393890.106826305389404,0.00817,0.00011,0.00174,0.00000,0.00308,0.00188,0.01498
1413393890.156696796417236,0.00761,0.00014,0.00003,0.00077,0.00000,0.00186,0.01041
1413393890.206190109252930,0.00818,0.00014,0.00032,0.00076,0.00000,0.00207,0.01148
1413393890.256216526031494,0.00825,0.00012,0.00023,0.00080,0.00013,0.00205,0.01157
1413393890.306569814682007,0.00732,0.00015,0.00043,0.00086,0.00000,0.00208,0.01084
1413393890.356837987899780,0.00694,0.00015,0.00004,0.00091,0.00000,0.00192,0.00996
1413393890.406928777694702,0.00669,0.00015,0.00057,0.00095,0.00000,0.00231,0.01067
1413393890.457138538360596,0.00665,0.00012,0.00054,0.00090,0.00168,0.00196,0.01186
1413393890.507037878036499,0.00700,0.00016,0.00026,0.00110,0.00012,0.00203,0.01068
1413393890.556704044342041,0.00780,0.00015,0.00037,0.00115,0.00702,0.00186,0.01835
1413393890.606925964355469,0.00865,0.00016,0.00023,0.00219,0.00662,0.00214,0.02000
1413393890.657685518264771,0.00757,0.00016,0.00010,0.00260,0.00136,0.00224,0.01404
1413393890.708417892456055,0.00813,0.00020,0.00394,0.00297,0.01003,0.00238,0.02766
1413393890.758576154708862,0.00697,0.00020,0.00187,0.00437,0.00121,0.00207,0.01669
1413393890.808541059494019,0.00778,0.00031,0.00093,0.00474,0.00119,0.00202,0.01697
1413393890.858446836471558,0.00785,0.00020,0.00292,0.00486,0.00000,0.00211,0.01795
1413393890.908242702484131,0.00786,0.00020,0.00006,0.00519,0.00000,0.00206,0.01536
1413393890.958121061325073,0.00720,0.00020,0.00406,0.00491,0.00000,0.00204,0.01841
1413393891.008124589920044,0.00777,0.00020,0.00011,0.00636,0.00000,0.00221,0.01665
1413393891.058132648468018,0.00791,0.00020,0.00352,0.00491,0.00000,0.00203,0.01858
1413393891.108197927474976,0.00683,0.00018,0.00080,0.00469,0.00000,0.00213,0.01462
1413393891.158282995223999,0.00677,0.00019,0.00266,0.00445,0.00001,0.00226,0.01634
1413393891.208337783813477,0.00613,0.00019,0.00113,0.00460,0.00019,0.00221,0.01444
1413393891.258388996124268,0.00588,0.00020,0.00004,0.00449,0.00076,0.00230,0.01368
1413393891.308345079421997,0.00593,0.00019,0.00421,0.00501,0.00018,0.00217,0.01770
1413393891.358116865158081,0.00796,0.00019,0.00215,0.00439,0.00000,0.00208,0.01678
1413393891.408013105392456,0.00747,0.00019,0.00115,0.00361,0.00000,0.00208,0.01451
1413393891.458010911941528,0.00893,0.00031,0.00106,0.00543,0.00316,0.00247,0.02136
1413393891.507903575897217,0.01098,0.00039,0.00120,0.00294,0.00021,0.00205,0.01776
1413393891.557685852050781,0.00799,0.00016,0.00016,0.00293,0.00197,0.00218,0.01540
1413393891.607384204864502,0.00642,0.00020,0.00009,0.00314,0.00106,0.00201,0.01291
1413393891.656945466995239,0.00624,0.00015,0.00010,0.00282,0.00488,0.00213,0.01633
1413393891.706793308258057,0.00624,0.00018,0.00004,0.00304,0.00000,0.00211,0.01161
1413393891.756609201431274,0.00628,0.00022,0.00052,0.00256,0.00275,0.00206,0.01439
1413393891.806456089019775,0.00639,0.00022,0.00025,0.00270,0.00148,0.00212,0.01317
